11140
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Neuvième extrait>,<>,<>
à,à,81
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
ma,mon,73
famille,famille,22
me,je,51
confia,confier,19
aux,à,81
aux,le,71
soins,soin,21
d',de,81
une,un,52
de,de,81
mes,mon,73
parentes,parente,22
que,que,83
des,de,81
des,le,71
affaires,affaire,22
appelaient,appeler,18
en,en,81
Toscane,Toscane,20
",",",",p
où,où,60
elle,il,51
allait,aller,18
accompagnée,accompagné,31
de,de,81
son,son,73
mari,mari,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
occasion,occasion,22
de,de,81
me,je,51
faire,faire,14
voyager,voyager,14
et,et,82
de,de,81
m',je,51
arracher,arracher,14
à,à,81
cette,ce,74
oisiveté,oisiveté,22
dangereuse,dangereux,30
de,de,81
la,le,71
maison,maison,22
paternelle,paternel,30
et,et,82
des,de,81
des,le,71
villes,ville,22
de,de,81
province,province,22
",",",",p
où,où,60
les,le,71
premières,premier,72
passions,passion,22
de,de,81
l',le,71
âme,âme,22
se,se,51
corrompent,corrompre,17
faute,faute,22
d',de,81
activité,activité,22
/.,/.,P
je,je,51
partis,partir,19
avec,avec,81
l',le,71
enthousiasme,enthousiasme,21
d',de,81
un,un,71
enfant,enfant,21
qui,qui,52
va,aller,17
voir,voir,14
se,se,51
lever,lever,14
le,le,71
rideau,rideau,21
des,de,81
des,le,71
plus,plus,60
splendides,splendide,30
scènes,scène,22
de,de,81
la,le,71
nature,nature,22
et,et,82
de,de,81
la,le,71
vie,vie,22
/.,/.,P
les,le,71
Alpes,Alpe,20
",",",",p
dont,dont,52
je,je,51
voyais,voir,18
de,de,81
loin,loin,60
",",",",p
depuis,depuis,81
mon,mon,73
enfance,enfance,22
",",",",p
briller,briller,14
les,le,71
neiges,neige,22
éternelles,éternel,30
",",",",p
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
l',le,71
horizon,horizon,21
",",",",p
du,de,81
du,le,71
haut,haut,21
de,de,81
la,le,71
colline,colline,22
de,de,81
Milly,Milly,20
;,;,p
la,le,71
mer,mer,22
dont,dont,52
les,le,71
voyageurs,voyageur,21
et,et,82
les,le,71
poètes,poète,21
avaient,avoir,18
jeté,jeter,12
dans,dans,81
mon,mon,73
esprit,esprit,21
tant,tant,60
d',de,81
éclatantes,éclatant,30
images,image,22
;,;,p
le,le,71
ciel,ciel,21
italien,italien,30
",",",",p
dont,dont,52
j',je,51
avais,avoir,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
aspiré,aspirer,12
déjà,déjà,60
la,le,71
chaleur,chaleur,22
et,et,82
la,le,71
sérénité,sérénité,22
dans,dans,81
les,le,71
pages,page,22
de,de,81
Corinne,Corinne,20
et,et,82
dans,dans,81
les,le,71
vers,vers,21
de,de,81
Goethe,Goethe,20
:,:,p
connais,connaître,17
tu,tu,51
cette,ce,74
terre,terre,22
où,où,60
les,le,71
myrtes,myrte,21
fleurissent,fleurir,17
/?,/?,P
les,le,71
monuments,monument,21
encore,encore,60
debout,debout,60
de,de,81
cette,ce,74
antiquité,antiquité,22
romaine,romain,30
",",",",p
dont,dont,52
mes,mon,73
études,étude,22
toutes,tout,60
fraîches,frais,30
avaient,avoir,18
rempli,remplir,12
ma,mon,73
pensée,pensée,22
;,;,p
la,le,71
liberté,liberté,22
enfin,enfin,60
;,;,p
la,le,71
distance,distance,22
qui,qui,52
jette,jeter,17
un,un,71
prestige,prestige,21
sur,sur,81
les,le,71
choses,chose,22
éloignées,éloigné,31
;,;,p
les,le,71
aventures,aventure,22
",",",",p
ces,ce,74
accidents,accident,21
certains,certain,30
des,de,81
des,le,71
longs,long,30
voyages,voyage,21
",",",",p
que,que,52
l',le,71
imagination,imagination,22
jeune,jeune,30
prévoit,prévoir,17
",",",",p
combine,combiner,17
à,à,81
