11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
mon,mon,73
père,père,21
demeurait,demeurer,18
à,à,81
la,le,71
campagne,campagne,22
",",",",p
à,à,81
quelque,quelque,75
distance,distance,22
de,de,81
Paris,Paris,20
/.,/.,P
lorsque,lorsque,83
j',je,51
arrivai,arriver,19
",",",",p
je,je,51
trouvai,trouver,19
le,le,71
médecin,médecin,21
sur,sur,81
la,le,71
porte,porte,22
",",",",p
qui,qui,52
me,je,51
dit,dire,19
:,:,p
vous,vous,51
venez,venir,17
trop,trop,60
tard,tard,60
;,;,p
votre,votre,73
père,père,21
aurait,avoir,16
voulu,vouloir,12
vous,vous,51
voir,voir,14
une,un,71
dernière,dernier,30
fois,fois,22
/.,/.,P
j',je,51
entrai,entrer,19
et,et,82
vis,vivre,17
mon,mon,73
père,père,21
mort,mort,31
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dis,dire,19
je,je,51
au,à,81
au,le,71
médecin,médecin,21
",",",",p
faites,faire,17
",",",",p
je,je,51
vous,vous,51
prie,prier,17
",",",",p
que,que,83
tout,tout,75
le,le,71
monde,monde,21
se,se,51
retire,retirer,17
et,et,82
qu',que,83
on,on,51
me,je,51
laisse,laisser,17
seul,seul,30
ici,ici,60
;,;,p
mon,mon,73
père,père,21
avait,avoir,18
quelque,quelque,75
chose,chose,22
à,à,81
me,je,51
dire,dire,14
et,et,82
il,il,51
me,je,51
le,le,52
dira,dire,15
/.,/.,P
sur,sur,81
mon,mon,73
ordre,ordre,21
",",",",p
les,le,71
domestiques,domestique,21
s',se,51
en,en,52
allèrent,aller,19
;,;,p
je,je,51
m',je,51
approchai,approcher,19
alors,alors,60
du,de,81
du,le,71
lit,lit,21
et,et,82
soulevai,soulever,19
doucement,doucement,60
le,le,71
linceul,linceul,21
qui,qui,52
couvrait,couvrir,18
déjà,déjà,60
le,le,71
visage,visage,21
/.,/.,P
mais,mais,82
dès,dès,81
que,que,83
j',je,51
y,y,52
eus,avoir,19
jeté,jeté,21
les,le,71
yeux,oeil,21
",",",",p
je,je,51
me,je,51
précipitai,précipiter,19
pour,pour,81
l',le,52
embrasser,embrasser,14
et,et,82
perdis,perdre,19
connaissance,connaissance,22
/.,/.,P
quand,quand,83
je,je,51
revins,revenir,19
à,à,81
moi,moi,51
",",",",p
j',je,51
entendis,entendre,19
qu',que,83
on,on,51
disait,dire,18
:,:,p
s',si,83
il,il,51
le,le,52
demande,demander,17
",",",",p
refusez,refuser,17
le,le,52
",",",",p
sur,sur,81
quelque,quelque,75
prétexte,prétexte,21
que,que,83
ce,ce,52
soit,être,17
/.,/.,P
je,je,51
compris,comprendre,19
qu',que,83
on,on,51
voulait,vouloir,18
m',je,51
éloigner,éloigner,14
du,de,81
du,le,71
lit,lit,21
de,de,81
mort,mort,22
et,et,82
feignis,feindre,19
de,de,81
n',ne,60
avoir,avoir,14
rien,rien,52
entendu,entendre,12
/.,/.,P
comme,comme,83
on,on,51
me,je,51
vit,vivre,17
tranquille,tranquille,30
",",",",p
on,on,51
me,je,51
laissa,laisser,19
/.,/.,P
j',je,51
attendis,attendre,19
que,que,83
tout,tout,75
le,le,71
monde,monde,21
fût,être,19
couché,coucher,12
dans,dans,81
la,le,71
maison,maison,22
",",",",p
et,et,82
",",",",p
prenant,prendre,13
un,un,71
flambeau,flambeau,21
",",",",p
je,je,51
me,je,51
rendis,rendre,19
chez,chez,81
mon,mon,73
père,père,21
/.,/.,P
j',je,51
y,y,52
trouvai,trouver,19
un,un,71
jeune,jeune,30
ecclésiastique,ecclésiastique,21
",",",",p
seul,seul,30
assis,assis,31
près,près,81
du,de,81
du,le,71
lit,lit,21
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
disputer,disputer,14
à,à,81
un,un,71
orphelin,orphelin,21
la,le,71
dernière,dernier,30
veillée,veillée,22
à,à,81
côté,côté,21
de,de,81
son,son,73
père,père,21
",",",",p
c',ce,52
est,être,17
une,un,71
entreprise,entreprise,22
hardie,hardi,30
;,;,p
j',je,51
ignore,ignorer,17
ce,ce,52
qu',que,52
on,on,51
a,avoir,17
pu,pouvoir,12
vous,vous,51
en,en,52
dire,dire,14
/.,/.,P
restez,rester,17
dans,dans,81
la,le,71
chambre,chambre,22
voisine,voisin,30
;,;,p
s',si,83
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
mal,mal,21
",",",",p
je,je,51
le,le,52
prends,prendre,17
sur,sur,81
moi,moi,51
/.,/.,P
il,il,51
se,se,51
retira,retirer,19
/.,/.,P
un,un,71
seul,seul,30
flambeau,flambeau,21
",",",",p
posé,posé,31
sur,sur,81
une,un,71
table,table,22
",",",",p
éclairait,éclairer,18
le,le,71
lit,lit,21
;,;,p
je,je,51
m',je,51
assis,asseoir,19
à,à,81
la,le,71
place,place,22
de,de,81
l',le,71
ecclésiastique,ecclésiastique,21
",",",",p
et,et,82
découvris,découvrir,19
encore,encore,60
une,un,71
fois,fois,22
ces,ce,74
traits,trait,21
que,que,52
je,je,51
ne,ne,60
devais,devoir,18
jamais,jamais,60
revoir,revoir,14
/.,/.,P
-,-,p
que,que,52
vouliez,vouloir,18
vous,vous,51
me,je,51
dire,dire,14
",",",",p
mon,mon,73
père,père,21
?,?,p
lui,lui,51
demandai,demander,19
je,je,51
;,;,p
quelle,quel,52
a,avoir,17
été,être,12
votre,votre,73
dernière,dernier,30
pensée,pensée,22
en,en,81
cherchant,chercher,13
des,de,81
des,le,71
yeux,oeil,21
votre,votre,73
enfant,enfant,21
/?,/?,P
mon,mon,73
père,père,21
écrivait,écrire,18
un,un,71
journal,journal,21
où,où,60
il,il,51
avait,avoir,18
l',le,71
habitude,habitude,22
de,de,81
consigner,consigner,14
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
faisait,faire,18
jour,jour,21
par,par,81
jour,jour,21
/.,/.,P
ce,ce,74
journal,journal,21
était,être,18
sur,sur,81
la,le,71
table,table,22
",",",",p
et,et,82
je,je,51
vis,voir,19
qu',que,83
il,il,51
était,être,18
ouvert,ouvrir,12
;,;,p
je,je,51
m',je,51
en,en,52
approchai,approcher,19
et,et,82
m',je,51
agenouillai,agenouiller,19
;,;,p
sur,sur,81
la,le,71
page,page,22
ouverte,ouvert,31
étaient,être,18
ces,ce,74
deux,deux,72
seuls,seul,30
mots,mot,21
:,:,p
“,“,p
adieu,adieu,21
",",",",p
mon,mon,73
fils,fils,21
;,;,p
je,je,51
t',tu,51
aime,aimer,17
et,et,82
je,je,51
