11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
le,le,71
Gun-Club,Gun-Club,20
/.,/.,P
pendant,pendant,81
la,le,71
guerre,guerre,22
fédérale,fédéral,30
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
",",",",p
un,un,71
nouveau,nouveau,30
club,club,21
très,très,60
influent,influent,30
s',se,51
établit,établir,19
dans,dans,81
la,le,71
ville,ville,22
de,de,81
Baltimore,Baltimore,20
",",",",p
en,en,81
plein,plein,30
Maryland,Maryland,20
/.,/.,P
on,on,51
sait,savoir,17
avec,avec,81
quelle,quel,75
énergie,énergie,22
l',le,71
instinct,instinct,21
militaire,militaire,30
se,se,51
développa,développer,19
chez,chez,81
ce,ce,74
peuple,peuple,21
d',de,81
armateurs,armateur,21
",",",",p
de,de,81
marchands,marchand,21
et,et,82
de,de,81
mécaniciens,mécanicien,21
/.,/.,P
de,de,81
simples,simple,30
négociants,négociant,21
enjambèrent,enjamber,19
leur,leur,73
comptoir,comptoir,21
pour,pour,81
s',se,51
improviser,improviser,14
capitaines,capitaine,21
",",",",p
colonels,colonel,21
",",",",p
généraux,général,21
",",",",p
sans,sans,81
avoir,avoir,14
passé,passer,12
par,par,81
les,le,71
écoles,école,22
d',de,81
application,application,22
de,de,81
West Point,West Point,20
(,(,p
école,école,22
militaire,militaire,30
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
),),p
;,;,p
ils,ils,51
égalèrent,égaler,19
bientôt,bientôt,60
dans,dans,81
“,“,p
l',le,71
art,art,21
de,de,81
la,le,71
guerre,guerre,22
“,“,p
leurs,leur,73
collègues,collègue,21
du,de,81
du,le,71
vieux,vieux,30
continent,continent,21
",",",",p
et,et,82
comme,comme,83
eux,ils,51
ils,ils,51
remportèrent,remporter,19
des,de,81
des,le,71
victoires,victoire,22
à,à,81
force,force,22
de,de,81
prodiguer,prodiguer,14
les,le,71
boulets,boulet,21
",",",",p
les,le,71
millions,million,21
et,et,82
les,le,71
hommes,homme,21
/.,/.,P
mais,mais,82
en,en,81
quoi,quoi,52
les,le,71
Américains,Américain,20
surpassèrent,surpasser,19
singulièrement,singulièrement,60
les,le,71
Européens,Européen,20
",",",",p
ce,ce,52
fut,être,19
dans,dans,81
la,le,71
science,science,22
de,de,81
la,le,71
balistique,balistique,22
/.,/.,P
non,non,60
que,que,52
leurs,leur,73
armes,arme,22
atteignissent,atteindre,18
un,un,71
plus,plus,60
haut,haut,30
degré,degré,21
de,de,81
perfection,perfection,22
",",",",p
mais,mais,82
elles,ils,51
offrirent,offrir,19
des,de,81
des,le,71
dimensions,dimension,22
inusitées,inusité,30
",",",",p
et,et,82
eurent,avoir,19
par,par,81
conséquent,conséquent,30
des,de,81
des,le,71
portées,portée,22
inconnues,inconnu,30
jusqu',jusque,81
alors,alors,60
/.,/.,P
en,en,81
fait,fait,21
de,de,81
tirs,tir,21
rasants,rasant,30
",",",",p
plongeants,plongeant,30
ou,ou,82
de,de,81
plein,plein,30
fouet,fouet,21
",",",",p
de,de,81
feux,feu,21
d',de,81
écharpe,écharpe,22
",",",",p
d',de,81
enfilade,enfilade,22
ou,ou,82
de,de,81
revers,revers,21
",",",",p
les,le,71
Anglais,Anglais,20
",",",",p
les,le,71
Français,Français,20
",",",",p
les,le,71
Prussiens,Prussien,20
",",",",p
n',ne,60
ont,avoir,17
plus,plus,60
rien,rien,52
à,à,81
apprendre,apprendre,14
;,;,p
mais,mais,82
leurs,leur,73
canons,canon,21
",",",",p
leurs,leur,73
obusiers,obusier,21
",",",",p
leurs,leur,73
mortiers,mortier,21
ne,ne,60
sont,être,17
que,que,83
des,de,81
des,le,71
pistolets,pistolet,21
de,de,81
poche,poche,22
auprès,auprès,60
des,de,81
des,le,71
formidables,formidable,30
engins,engin,21
de,de,81
l',le,71
artillerie,artillerie,22
américaine,américain,30
/.,/.,P
ceci,ceci,52
ne,ne,60
doit,devoir,17
étonner,étonner,14
personne,personne,52
/.,/.,P
les,le,71
Yankees,Yankee,20
",",",",p
ces,ce,74
premiers,premier,72
mécaniciens,mécanicien,21
du,de,81
du,le,71
monde,monde,21
",",",",p
sont,être,17
ingénieurs,ingénieur,21
",",",",p
comme,comme,83
les,le,71
Italiens,Italien,20
sont,être,17
musiciens,musicien,30
et,et,82
les,le,71
Allemands,Allemand,20
métaphysiciens,métaphysicien,21
",",",",p
-,-,p
de,de,81
naissance,naissance,22
/.,/.,P
rien,rien,52
de,de,81
plus,plus,60
naturel,naturel,30
",",",",p
dès,dès,81
lors,lors,60
",",",",p
que,que,83
de,de,81
les,le,52
voir,voir,14
apporter,apporter,14
dans,dans,81
la,le,71
science,science,22
de,de,81
la,le,71
balistique,balistique,22
leur,leur,73
audacieuse,audacieux,30
ingéniosité,ingéniosité,22
/.,/.,P
de,de,81
là,là,60
ces,ce,74
canons,canon,21
gigantesques,gigantesque,30
",",",",p
beaucoup,beaucoup,60
moins,moins,60
utiles,utile,30
que,que,83
les,le,71
machines,machine,22
à,à,81
coudre,coudre,14
",",",",p
mais,mais,82
aussi,aussi,60
étonnants,étonnant,30
et,et,82
encore,encore,60
plus,plus,60
admirés,admiré,31
/.,/.,P
on,on,51
connaît,connaître,17
en,en,81
ce,ce,74
genre,genre,21
les,le,71
merveilles,merveille,22
de,de,81
Parrott,Parrott,20
",",",",p
de,de,81
Dahlgreen,Dahlgreen,20
",",",",p
de,de,81
Rodman,Rodman,20
/.,/.,P
les,le,71
Armstrong,Armstrong,20
",",",",p
les,le,71
Pallisser,Pallisser,20
et,et,82
les,le,71
Treuille,Treuille,20
de,de,81
Beaulieu,Beaulieu,20
n',ne,60
eurent,avoir,19
plus,plus,60
qu',que,83
à,à,81
s',se,51
incliner,incliner,14
devant,devant,81
leurs,leur,73
rivaux,rival,21
d',de,81
outre-mer,outre-mer,60
/.,/.,P
donc,donc,82
",",",",p
pendant,pendant,81
cette,ce,74
terrible,terrible,30
lutte,lutte,22
des,de,81
des,le,71
Nordistes,Nordiste,20
contre,contre,81
les,le,71
Sudistes,Sudiste,20
",",",",p
les,le,71
artilleurs,artilleur,21
tinrent,tenir,19
le,le,71
haut,haut,21
du,de,81
du,le,71
pavé,pavé,21
;,;,p
les,le,71
journaux,journal,21
de,de,81
l',le,71
Union,Union,20
célébraient,célébrer,18
leurs,leur,73
inventions,invention,22
avec,avec,81
enthousiasme,enthousiasme,21
",",",",p
et,et,82
il,il,51
n',ne,60
était,être,18
si,si,60
mince,mince,30
marchand,marchand,21
",",",",p
si,si,60
naïf,naïf,30
booby,booby,92
(,(,p
badaud,badaud,21
),),p
qui,qui,52
ne,ne,60
se,se,51
cassât,casser,18
jour,jour,21
et,et,82
nuit,nuit,22
la,le,71
tête,tête,22
à,à,81
calculer,calculer,14
des,de,81
des,le,71
trajectoires,trajectoire,22
insensées,insensé,30
/.,/.,P
or,or,82
",",",",p
quand,quand,83
un,un,71
Américain,Américain,20
a,avoir,17
une,un,71
idée,idée,22
",",",",p
il,il,51
cherche,chercher,17
un,un,71
second,second,72
Américain,Américain,20
qui,qui,52
la,le,52
partage,partager,17
/.,/.,P
sont,être,17
ils,ils,51
trois,trois,72
",",",",p
ils,ils,51
élisent,élire,17
un,un,71
président,président,21
et,et,82
deux,deux,72
secrétaires,secrétaire,21
/.,/.,P
quatre,quatre,72
",",",",p
ils,ils,51
nomment,nommer,17
un,un,71
archiviste,archiviste,21
",",",",p
et,et,82
le,le,71
bureau,bureau,21
fonctionne,fonctionner,17
/.,/.,P
cinq,cinq,72
",",",",p
ils,ils,51
se,se,51
convoquent,convoquer,17
en,en,81
assemblée,assemblée,22
générale,général,30
",",",",p
et,et,82
le,le,71
club,club,21
est,être,17
constitué,constituer,12
/.,/.,P
ainsi,ainsi,60
arriva,arriver,19
t,t,94
il,il,51
à,à,81
Baltimore,Baltimore,20
/.,/.,P
le,le,71
premier,premier,72
qui,qui,52
inventa,inventer,19
un,un,71
nouveau,nouveau,30
canon,canon,21
s',se,51
associa,associer,19
