11417
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dix-neuvième extrait>,<>,<>
nous,nous,51
y,y,52
entrâmes,entrer,19
à,à,81
travers,travers,21
les,le,71
lierres,lierre,21
et,et,82
les,le,71
giraumonts,giraumon,21
humides,humide,30
",",",",p
que,que,52
la,le,71
pluie,pluie,22
avait,avoir,18
abattus,abattre,12
des,de,81
des,le,71
rochers,rocher,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
dans,dans,81
ce,ce,74
lieu,lieu,21
qu',que,83
une,un,71
natte,natte,22
de,de,81
feuilles,feuille,22
de,de,81
papaye,papaye,22
",",",",p
une,un,71
calebasse,calebasse,22
pour,pour,81
puiser,puiser,14
de,de,81
l',le,71
eau,eau,22
",",",",p
quelques,quelque,75
vases,vase,21
de,de,81
bois,bois,21
",",",",p
une,un,71
bêche,bêche,22
",",",",p
un,un,71
serpent,serpent,21
familier,familier,30
",",",",p
et,et,82
sur,sur,81
une,un,71
pierre,pierre,22
qui,qui,52
servait,servir,18
de,de,81
table,table,22
",",",",p
un,un,71
crucifix,crucifix,21
et,et,82
le,le,71
livre,livre,21
des,de,81
des,le,71
chrétiens,chrétien,21
/.,/.,P
l',le,71
homme,homme,21
des,de,81
des,le,71
anciens,ancien,30
jours,jour,21
se,se,51
hâta,hâter,19
d',de,81
allumer,allumer,14
du,de,81
du,le,71
feu,feu,21
avec,avec,81
des,de,81
des,le,71
lianes,liane,22
sèches,sec,30
;,;,p
il,il,51
brisa,briser,19
du,de,81
du,le,71
maïs,maïs,21
entre,entre,81
deux,deux,72
pierres,pierre,22
",",",",p
et,et,82
en,en,81
ayant,avoir,13
fait,faire,12
un,un,71
gâteau,gâteau,21
",",",",p
il,il,51
le,le,52
mit,mettre,19
cuire,cuire,14
sous,sous,81
la,le,71
cendre,cendre,22
/.,/.,P
quand,quand,83
ce,ce,74
gâteau,gâteau,21
eut,avoir,19
pris,prendre,12
au,à,81
au,le,71
feu,feu,21
une,un,71
belle,beau,30
couleur,couleur,22
dorée,doré,31
",",",",p
il,il,51
nous,nous,51
le,le,52
servit,servir,19
tout,tout,60
brûlant,brûlant,30
",",",",p
avec,avec,81
de,de,81
la,le,71
crème,crème,22
de,de,81
noix,noix,22
dans,dans,81
un,un,71
vase,vase,21
d',de,81
érable,érable,21
/.,/.,P
le,le,71
soir,soir,21
ayant,avoir,13
ramené,ramener,12
la,le,71
sérénité,sérénité,22
",",",",p
le,le,71
serviteur,serviteur,21
du,de,81
du,le,71
grand,grand,30
esprit,esprit,21
nous,nous,51
proposa,proposer,19
d',de,81
aller,aller,14
nous,nous,51
asseoir,asseoir,14
à,à,81
l',le,71
entrée,entrée,22
de,de,81
la,le,71
grotte,grotte,22
/.,/.,P
nous,nous,51
le,le,52
suivîmes,suivre,19
dans,dans,81
ce,ce,74
lieu,lieu,21
qui,qui,52
commandait,commander,18
une,un,71
vue,vue,22
immense,immense,30
/.,/.,P
les,le,71
restes,reste,21
de,de,81
l',le,71
orage,orage,21
étaient,être,18
jetés,jeter,12
en,en,81
désordre,désordre,21
vers,vers,81
l',le,71
orient,orient,21
;,;,p
les,le,71
feux,feu,21
de,de,81
l',le,71
incendie,incendie,21
allumé,allumé,31
dans,dans,81
les,le,71
forêts,forêt,22
par,par,81
la,le,71
foudre,foudre,22
",",",",p
brillaient,briller,18
encore,encore,60
dans,dans,81
le,le,71
lointain,lointain,21
;,;,p
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
montagne,montagne,22
un,un,71
bois,bois,21
de,de,81
pins,pin,21
tout,tout,60
entier,entier,30
était,être,18
renversé,renverser,12
dans,dans,81
la,le,71
vase,vase,22
",",",",p
et,et,82
le,le,71
fleuve,fleuve,21
roulait,rouler,18
pêle-mêle,pêle-mêle,60
les,le,71
argiles,argile,22
détrempés,détrempé,31
",",",",p
les,le,71
troncs,tronc,21
des,de,81
des,le,71
arbres,arbre,21
",",",",p
les,le,71
corps,corps,21
des,de,81
des,le,71
animaux,animal,21
et,et,82
les,le,71
poissons,poisson,21
morts,mort,31
",",",",p
dont,dont,52
on,on,51
voyait,voir,18
le,le,71
ventre,ventre,21
argenté,argenté,31
flotter,flotter,14
à,à,81
la,le,71
surface,surface,22
des,de,81
des,le,71
eaux,eau,22
/.,/.,P
ce,ce,52
fut,être,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
scène,scène,22
",",",",p
qu',que,52
Atala,Atala,20
raconta,raconter,19
notre,notre,73
histoire,histoire,22
au,à,81
au,le,71
vieux,vieux,30
génie,génie,21
de,de,81
la,le,71
montagne,montagne,22
/.,/.,P
son,son,73
coeur,coeur,21
parut,paraître,19
touché,touché,31
",",",",p
et,et,82
des,de,81
des,le,71
larmes,larme,22
tombèrent,tomber,19
sur,sur,81
sa,son,73
barbe,barbe,22
:,:,p
mon,mon,73
enfant,enfant,21
",",",",p
dit,dire,19
il,il,51
à,à,81
Atala,Atala,20
",",",",p
il,il,51
faut,falloir,17
offrir,offrir,14
vos,votre,73
souffrances,souffrance,22
à,à,81
dieu,dieu,21
",",",",p
pour,pour,81
la,le,71
gloire,gloire,22
de,de,81
qui,qui,52
vous,vous,51
avez,avoir,17
déjà,déjà,60
fait,faire,12
tant,tant,60
de,de,81
choses,chose,22
;,;,p
il,il,51
vous,vous,51
rendra,rendre,15
le,le,71
repos,repos,21
/.,/.,P
voyez,voir,17
fumer,fumer,14
ces,ce,74
forêts,forêt,22
",",",",p
sécher,sécher,14
ces,ce,74
torrents,torrent,21
",",",",p
se,se,51
dissiper,dissiper,14
ces,ce,74
nuages,nuage,21
;,;,p
croyez,croire,17
vous,vous,51
que,que,83
celui,celui,52
qui,qui,52
peut,pouvoir,17
calmer,calmer,14
une,un,71
pareille,pareil,30
tempête,tempête,22
ne,ne,60
pourra,pouvoir,15
pas,pas,60
apaiser,apaiser,14
les,le,71
troubles,trouble,21
du,de,81
du,le,71
coeur,coeur,21
de,de,81
l',le,71
homme,homme,21
/?,/?,P
si,si,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
de,de,81
meilleure,meilleur,30
retraite,retraite,22
",",",",p
ma,mon,73
chère,cher,30
fille,fille,22
",",",",p
je,je,51
vous,vous,51
offre,offrir,17
une,un,71
place,place,22
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
troupeau,troupeau,21
que,que,52
j',je,51
ai,avoir,17
eu,avoir,12
le,le,71
bonheur,bonheur,21
d',de,81
appeler,appeler,14
à,à,81
Jésus-Christ,Jésus-Christ,20
/.,/.,P
j',je,51
instruirai,instruire,15
Chactas,Chactas,20
",",",",p
et,et,82
je,je,51
vous,vous,51
le,le,52
donnerai,donner,15
pour,pour,81
époux,époux,21
quand,quand,83
il,il,51
sera,être,15
digne,digne,30
de,de,81
l',le,52
être,être,14
/.,/.,P
à,à,81
ces,ce,74
mots,mot,21
je,je,51
tombai,tomber,19
aux,à,81
aux,le,71
genoux,genou,21
du,de,81
du,le,71
solitaire,solitaire,21
",",",",p
en,en,81
versant,verser,13
des,de,81
des,le,71
pleurs,pleur,21
de,de,81
joie,joie,22
;,;,p
mais,mais,82
Atala,Atala,20
devint,devenir,19
pâle,pâle,30
comme,comme,83
la,le,71
mort,mort,22
/.,/.,P
le,le,71
vieillard,vieillard,21
me,je,51
releva,relever,19
avec,avec,81
bénignité,bénignité,22
",",",",p
et,et,82
je,je,51
m',je,51
aperçus,apercevoir,19
alors,alors,60
qu',que,83
il,il,51
avait,avoir,18
les,le,71
deux,deux,72
mains,main,22
mutilées,mutilé,31
/.,/.,P
Atala,Atala,20
comprit,comprendre,19
sur-le-champ,sur-le-champ,60
ses,son,73
malheurs,malheur,21
/.,/.,P
les,le,71
barbares,barbare,21
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
/.,/.,P
ma,mon,73
fille,fille,22
",",",",p
reprit,reprendre,19
le,le,71
père,père,21
avec,avec,81
un,un,71
doux,doux,30
sourire,sourire,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,83
cela,cela,52
auprès,auprès,60
de,de,81
ce,ce,52
qu',que,52
a,avoir,17
enduré,endurer,12
mon,mon,73
divin,divin,30
maître,maître,21
/?,/?,P
si,si,83
les,le,71
Indiens,Indien,20
idolâtres,idolâtre,30
m',je,51
ont,avoir,17
affligé,affliger,12
",",",",p
ce,ce,52
sont,être,17
de,de,81
pauvres,pauvre,30
aveugles,aveugle,21
que,que,52
