11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
du,le,71
nom,nom,21
de,de,81
leur,leur,73
fiancé,fiancé,21
avant,avant,81
que,que,83
ce,ce,74
fiancé,fiancé,21
soit,être,17
leur,leur,73
mari,mari,21
;,;,p
appelez,appeler,17
moi,moi,51
donc,donc,82
Mercédès,Mercédès,20
",",",",p
je,je,51
vous,vous,51
prie,prier,17
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
lui,lui,51
pardonner,pardonner,14
",",",",p
à,à,81
ce,ce,74
bon,bon,30
voisin,voisin,21
Caderousse,Caderousse,20
",",",",p
dit,dire,19
Dantès,Dantès,20
",",",",p
il,il,51
se,se,51
trompe,tromper,17
de,de,81
si,si,83
peu,peu,60
de,de,81
chose,chose,22
/!,/!,P
ainsi,ainsi,60
",",",",p
la,le,71
noce,noce,22
va,aller,17
avoir,avoir,14
lieu,lieu,21
incessamment,incessamment,60
",",",",p
monsieur,monsieur,21
Dantès,Dantès,20
?,?,p
dit,dire,19
Danglars,Danglars,20
en,en,81
saluant,saluer,13
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
/.,/.,P
-,-,p
le,le,71
plus,plus,60
tôt,tôt,60
possible,possible,30
",",",",p
monsieur,monsieur,21
Danglars,Danglars,20
;,;,p
aujourd'hui,aujourd'hui,60
tous,tout,75
les,le,71
accords,accord,21
chez,chez,81
le,le,71
papa,papa,21
Dantès,Dantès,20
",",",",p
et,et,82
demain,demain,60
ou,ou,82
après-demain,après-demain,60
",",",",p
au,à,81
au,le,71
plus,plus,60
tard,tard,60
",",",",p
le,le,71
dîner,dîner,21
des,de,81
des,le,71
fiançailles,fiançaille,22
",",",",p
ici,ici,60
",",",",p
à,à,81
la,le,71
réserve,réserve,22
/.,/.,P
les,le,71
amis,ami,21
y,y,52
seront,être,15
",",",",p
je,je,51
l',le,52
espère,espérer,17
;,;,p
c',ce,52
est,être,17
vous,vous,51
dire,dire,14
que,que,83
vous,vous,51
êtes,être,17
invité,inviter,12
",",",",p
monsieur,monsieur,21
Danglars,Danglars,20
;,;,p
c',ce,52
est,être,17
te,tu,51
dire,dire,14
que,que,83
tu,tu,51
en,en,52
es,être,17
",",",",p
Caderousse,Caderousse,20
/.,/.,P
-,-,p
et,et,82
Fernand,Fernand,20
",",",",p
dit,dire,19
Caderousse,Caderousse,20
en,en,81
riant,rire,13
d',de,81
un,un,71
rire,rire,21
pâteux,pâteux,30
",",",",p
Fernand,Fernand,20
en,en,52
est,être,17
il,il,51
aussi,aussi,60
/?,/?,P
le,le,71
frère,frère,21
de,de,81
ma,mon,73
femme,femme,22
est,être,17
mon,mon,73
frère,frère,21
",",",",p
dit,dire,19
Edmond,Edmond,20
",",",",p
et,et,82
nous,nous,51
le,le,52
verrions,voir,16
avec,avec,81
un,un,71
profond,profond,30
regret,regret,21
",",",",p
Mercédès,Mercédès,20
et,et,82
moi,moi,51
",",",",p
s',se,51
écarter,écarter,14
de,de,81
nous,nous,51
dans,dans,81
un,un,71
pareil,pareil,30
moment,moment,21
/.,/.,P
“,“,p
Fernand,Fernand,20
ouvrit,ouvrir,19
la,le,71
bouche,bouche,22
pour,pour,81
répondre,répondre,14
;,;,p
mais,mais,82
la,le,71
voix,voix,22
expira,expirer,19
dans,dans,81
sa,son,73
gorge,gorge,22
",",",",p
et,et,82
il,il,51
ne,ne,60
put,pouvoir,19
articuler,articuler,14
un,un,71
seul,seul,30
mot,mot,21
/.,/.,P
“,“,p
aujourd'hui,aujourd'hui,60
les,le,71
accords,accord,21
",",",",p
demain,demain,60
ou,ou,82
après-demain,après-demain,60
les,le,71
fiançailles,fiançaille,22
…,…,p
diable,diable,21
!,!,p
vous,vous,51
êtes,être,17
bien,bien,60
pressé,presser,12
",",",",p
capitaine,capitaine,21
/.,/.,P
-,-,p
Danglars,Danglars,20
",",",",p
reprit,reprendre,19
Edmond,Edmond,20
en,en,81
souriant,sourire,13
",",",",p
je,je,51
vous,vous,51
dirai,dire,15
comme,comme,83
Mercédès,Mercédès,20
disait,dire,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
à,à,81
Caderousse,Caderousse,20
:,:,p
ne,ne,60
me,je,51
donnez,donner,17
pas,pas,60
le,le,71
titre,titre,21
qui,qui,52
ne,ne,60
me,je,51
convient,convenir,17
pas,pas,60
encore,encore,60
",",",",p
cela,cela,52
me,je,51
porterait,porter,16
malheur,malheur,21
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
répondit,répondre,19
Danglars,Danglars,20
;,;,p
je,je,51
disais,dire,18
donc,donc,82
simplement,simplement,60
que,que,83
vous,vous,51
paraissez,paraître,17
bien,bien,60
pressé,pressé,31
;,;,p
que,que,52
diable,diable,21
!,!,p
nous,nous,51
avons,avoir,17
le,le,71
temps,temps,21
:,:,p
le,le,71
Pharaon,Pharaon,20
ne,ne,60
se,se,51
remettra,remettre,15
guère,guère,60
en,en,81
mer,mer,22
avant,avant,81
trois,trois,72
mois,mois,21
/.,/.,P
-,-,p
on,on,51
est,être,17
toujours,toujours,60
pressé,presser,12
d',de,81
être,être,14
heureux,heureux,30
",",",",p
monsieur,monsieur,21
Danglars,Danglars,20
",",",",p
car,car,82
lorsqu',lorsque,83
on,on,51
a,avoir,17
souffert,souffrir,12
longtemps,longtemps,60
on,on,51
a,avoir,17
grand-peine,grand-peine,22
à,à,81
croire,croire,14
au,à,81
au,le,71
bonheur,bonheur,21
/.,/.,P
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
l',le,71
égoïsme,égoïsme,21
seul,seul,30
qui,qui,52
me,je,51
fait,faire,17
agir,agir,14
:,:,p
il,il,51
faut,falloir,17
que,que,83
j',je,51
aille,aller,17
à,à,81
Paris,Paris,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
vraiment,vraiment,60
!,!,p
à,à,81
Paris,Paris,20
:,:,p
et,et,82
c',ce,52
est,être,17
la,le,71
première,premier,72
fois,fois,22
que,que,83
vous,vous,51
y,y,52
allez,aller,17
",",",",p
Dantès,Dantès,20
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
vous,vous,51
y,y,52
avez,avoir,17
affaire,affaire,22
/?,/?,P
pas,pas,60
pour,pour,81
mon,mon,73
compte,compte,21
:,:,p
une,un,71
dernière,dernier,30
commission,commission,22
de,de,81
notre,notre,73
pauvre,pauvre,30
capitaine,capitaine,21
Leclère,Leclère,20
à,à,81
remplir,remplir,14
;,;,p
vous,vous,51
comprenez,comprendre,17
",",",",p
Danglars,Danglars,20
",",",",p
c',ce,52
est,être,17
sacré,sacrer,12
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
soyez,être,17
tranquille,tranquille,30
",",",",p
je,je,51
ne,ne,60
prendrai,prendre,15
que,que,83
le,le,71
temps,temps,21
d',de,81
aller,aller,14
et,et,82
revenir,revenir,14
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
je,je,51
comprends,comprendre,17
“,“,p
",",",",p
dit,dire,19
tout,tout,75
haut,haut,30
Danglars,Danglars,20
/.,/.,P
puis,puis,60
tout,tout,60
bas,bas,30
:,:,p
“,“,p
à,à,81
Paris,Paris,20
",",",",p
pour,pour,81
remettre,remettre,14
à,à,81
son,son,73
adresse,adresse,22
sans,sans,81
doute,doute,21
la,le,71
lettre,lettre,22
que,que,52
le,le,71
grand,grand,30
maréchal,maréchal,21
