12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
de,de,81
sa,son,73
tête,tête,22
pencher,pencher,14
par,par,81
le,le,71
sommet,sommet,21
/.,/.,P
à,à,81
ce,ce,74
moment,moment,21
",",",",p
une,un,71
pluie,pluie,22
de,de,81
graviers,gravier,21
",",",",p
déroula,dérouler,19
d',de,81
en,en,81
haut,haut,21
/.,/.,P
Pécuchet,Pécuchet,20
l',le,52
aperçut,apercevoir,19
qui,qui,52
détalait,détaler,18
avec,avec,81
violence,violence,22
",",",",p
comprit,comprendre,19
sa,son,73
terreur,terreur,22
",",",",p
cria,crier,19
",",",",p
de,de,81
loin,loin,60
:,:,p
-,-,p
“,“,p
arrête,arrêter,17
!,!,p
arrête,arrêter,17
!,!,p
la,le,71
période,période,22
n',ne,60
est,être,17
pas,pas,60
accomplie,accomplir,12
/.,/.,P
“,“,p
et,et,82
pour,pour,81
le,le,52
rattraper,rattraper,14
",",",",p
il,il,51
faisait,faire,18
des,de,81
des,le,71
sauts,saut,21
énormes,énorme,30
avec,avec,81
son,son,73
bâton,bâton,21
de,de,81
touriste,touriste,21
",",",",p
tout,tout,60
en,en,81
vociférant,vociférer,13
:,:,p
“,“,p
la,le,71
période,période,22
n',ne,60
est,être,17
pas,pas,60
accomplie,accomplir,12
!,!,p
la,le,71
période,période,22
n',ne,60
est,être,17
pas,pas,60
accomplie,accomplir,12
/!,/!,P
Bouvard,Bouvard,20
en,en,81
démence,démence,22
",",",",p
courait,courir,18
toujours,toujours,60
/.,/.,P
le,le,71
parapluie,parapluie,21
polybranches,branche,22
tomba,tomber,19
",",",",p
les,le,71
pans,pan,21
de,de,81
sa,son,73
redingote,redingote,22
s',se,51
envolaient,envoler,18
",",",",p
le,le,71
havresac,havresac,21
ballottait,ballotter,18
à,à,81
son,son,73
dos,dos,21
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
une,un,71
tortue,tortue,22
avec,avec,81
des,de,81
des,le,71
ailes,aile,22
",",",",p
qui,qui,52
aurait,avoir,16
galopé,galoper,12
parmi,parmi,81
les,le,71
roches,roche,22
;,;,p
une,un,71
plus,plus,60
grosse,gros,30
le,le,52
cacha,cacher,19
/.,/.,P
Pécuchet,Pécuchet,20
y,y,52
parvint,parvenir,19
hors,hors,81
d',de,81
haleine,haleine,22
",",",",p
ne,ne,60
vit,voir,19
personne,personne,52
;,;,p
puis,puis,60
retourna,retourner,19
en,en,81
arrière,arrière,21
pour,pour,81
gagner,gagner,14
les,le,71
