11862
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-septième extrait>,<>,<>
Duroy,Duroy,20
eut,avoir,19
le,le,71
réveil,réveil,21
triste,triste,30
",",",",p
le,le,71
lendemain,lendemain,21
/.,/.,P
il,il,51
s',se,51
habilla,habiller,19
lentement,lentement,60
",",",",p
puis,puis,60
s',se,51
assit,asseoir,19
devant,devant,81
sa,son,73
fenêtre,fenêtre,22
et,et,82
se,se,51
mit,mettre,19
à,à,81
réfléchir,réfléchir,14
/.,/.,P
il,il,51
se,se,51
sentait,sentir,18
dans,dans,81
tout,tout,75
le,le,71
corps,corps,21
",",",",p
une,un,71
espèce,espèce,22
de,de,81
courbature,courbature,22
",",",",p
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
",",",",p
reçu,recevoir,12
",",",",p
la,le,71
veille,veille,22
",",",",p
une,un,71
volée,volée,22
de,de,81
coups,coup,21
de,de,81
bâton,bâton,21
/.,/.,P
enfin,enfin,60
",",",",p
la,le,71
nécessité,nécessité,22
de,de,81
trouver,trouver,14
de,de,81
l',le,71
argent,argent,21
l',le,52
aiguillonna,aiguillonner,19
et,et,82
il,il,51
se,se,51
rendit,rendre,19
d'abord,d'abord,60
chez,chez,81
Forestier,Forestier,20
/.,/.,P
son,son,73
ami,ami,21
le,le,52
reçut,recevoir,19
",",",",p
les,le,71
pieds,pied,21
au,à,81
au,le,71
feu,feu,21
",",",",p
dans,dans,81
son,son,73
cabinet,cabinet,21
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
qui,qui,52
t',tu,51
a,avoir,17
fait,faire,12
lever,lever,14
si,si,60
tôt,tôt,60
/?,/?,P
une,un,71
affaire,affaire,22
très,très,60
grave,grave,30
",",",",p
j',je,51
ai,avoir,17
une,un,71
dette,dette,22
d',de,81
honneur,honneur,21
/.,/.,P
-,-,p
de,de,81
jeu,jeu,21
/?,/?,P
il,il,51
hésita,hésiter,19
",",",",p
puis,puis,60
avoua,avouer,19
:,:,p
-,-,p
de,de,81
jeu,jeu,21
/.,/.,P
-,-,p
grosse,gros,30
/?,/?,P
cinq,cinq,72
cents,cent,72
francs,franc,21
/!,/!,P
il,il,51
n',ne,60
en,en,52
devait,devoir,18
que,que,83
deux,deux,72
cent,cent,72
quatre,quatre,72
vingts,vingt,72
/.,/.,P
Forestier,Forestier,20
",",",",p
sceptique,sceptique,30
",",",",p
demanda,demander,19
:,:,p
-,-,p
à,à,81
quoi,quoi,52
dois,devoir,17
tu,tu,51
ça,ça,52
/?,/?,P
Duroy,Duroy,20
ne,ne,60
peut,pouvoir,17
pas,pas,60
répondre,répondre,14
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
-,-,p
/…,/…,P
mais,mais,82
à,à,81
/…,/…,P
à,à,81
/…,/…,P
à,à,81
un,un,71
monsieur,monsieur,21
de,de,81
Carleville,Carleville,20
/.,/.,P
-,-,p
ah,ah,93
/!,/!,P
et,et,82
où,où,60
demeure,demeurer,17
t,t,94
il,il,51
/?,/?,P
rue,rue,22
…,…,p
rue,rue,22
/…,/…,P
Forestier,Forestier,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
/.,/.,P
“,“,p
rue,rue,22
du,de,81
du,le,71
cherche,chercher,17
midi,midi,21
à,à,81
quatorze,quatorze,72
heures,heure,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
je,je,51
connais,connaître,17
ce,ce,74
monsieur,monsieur,21
là,là,60
",",",",p
mon,mon,73
cher,cher,30
/.,/.,P
si,si,83
tu,tu,51
veux,vouloir,17
vingt,vingt,72
franc,franc,21
",",",",p
j',je,51
ai,avoir,17
encore,encore,60
ça,ça,52
à,à,81
ta,ton,73
disposition,disposition,22
",",",",p
mais,mais,82
pas,pas,60
davantage,davantage,60
/.,/.,P
“,“,p
Duroy,Duroy,20
accepta,accepter,19
la,le,71
pièce,pièce,22
d',de,81
or,or,21
/.,/.,P
puis,puis,60
il,il,51
alla,aller,19
de,de,81
porte,porte,22
en,en,81
porte,porte,22
",",",",p
chez,chez,81
toutes,tout,75
les,le,71
personnes,personne,22
qu',que,52
il,il,51
connaissait,connaître,18
",",",",p
et,et,82
il,il,51
finit,finir,19
par,par,81
réunir,réunir,14
",",",",p
vers,vers,81
cinq,cinq,72
heures,heure,22
",",",",p
quatre,quatre,72
vingts,vingt,72
francs,franc,21
/.,/.,P
comme,comme,83
il,il,51
lui,lui,51
en,en,52
fallait,falloir,18
trouver,trouver,14
encore,encore,60
deux,deux,72
cents,cent,72
",",",",p
il,il,51
prit,prendre,19
son,son,73
parti,parti,21
résolument,résolument,60
",",",",p
et,et,82
",",",",p
gardant,garder,13
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
recueilli,recueillir,12
",",",",p
il,il,51
murmura,murmurer,19
:,:,p
“,“,p
zut,zut,93
",",",",p
je,je,51
ne,ne,60
vais,aller,17
pas,pas,60
me,je,51
faire,faire,14
de,de,81
bile,bile,22
pour,pour,81
cette,ce,74
garce,garce,22
là,là,60
/.,/.,P
je,je,51
le,le,52
payerai,payer,15
quand,quand,83
je,je,51
pourrai,pouvoir,15
/.,/.,P
“,“,p
pendant,pendant,81
quinze,quinze,72
jours,jour,21
il,il,51
vécut,vivre,19
d',de,81
une,un,71
vie,vie,22
économe,économe,30
",",",",p
réglée,réglé,31
et,et,82
chaste,chaste,30
",",",",p
l',le,71
esprit,esprit,21
plein,plein,30
de,de,81
résolutions,résolution,22
énergiques,énergique,30
/.,/.,P
puis,puis,60
il,il,51
fut,être,19
pris,prendre,12
d',de,81
un,un,71
grand,grand,30
désir,désir,21
d',de,81
amour,amour,21
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
plusieurs,plusieurs,75
années,année,22
s',se,51
étaient,être,18
écoulées,écouler,12
depuis,depuis,81
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
tenu,tenir,12
une,un,71
femme,femme,22
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
et,et,82
",",",",p
comme,comme,83
le,le,71
matelot,matelot,21
qui,qui,52
s',se,51
affole,affoler,17
en,en,81
revoyant,revoir,13
la,le,71
terre,terre,22
",",",",p
toutes,tout,75
les,le,71
jupes,jupe,22
rencontrées,rencontré,31
le,le,52
faisaient,faire,18
frissonner,frissonner,14
/.,/.,P
alors,alors,60
il,il,51
retourna,retourner,19
",",",",p
un,un,71
soir,soir,21
",",",",p
aux,à,81
aux,le,71
Folies-Bergère,Folies-Bergère,20
",",",",p
avec,avec,81
l',le,71
espoir,espoir,21
d',de,81
y,y,52
trouver,trouver,14
Rachel,Rachel,20
/.,/.,P
il,il,51
l',le,52
aperçut,apercevoir,19
en,en,81
effet,effet,21
",",",",p
dès,dès,81
l',le,71
entrée,entrée,22
",",",",p
car,car,82
elle,il,51
ne,ne,60
quittait,quitter,18
guère,guère,60
cet,ce,74
établissement,établissement,21
/.,/.,P
il,il,51
alla,aller,19
vers,vers,81
elle,il,51
souriant,sourire,13
",",",",p
la,le,71
main,main,22
tendue,tendu,31
/.,/.,P
mais,mais,82
elle,il,51
le,le,52
toisa,toiser,19
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
me,je,51
voulez,vouloir,17
/?,/?,P
il,il,51
essaya,essayer,19
de,de,81
rire,rire,14
:,:,p
allons,aller,17
",",",",p
ne,ne,60
fais,faire,17
pas,pas,60
ta,ton,73
poire,poire,22
/.,/.,P
elle,il,51
lui,lui,51
tourna,tourner,19
les,le,71
talons,talon,21
en,en,81
déclarant,déclarer,13
:,:,p
-,-,p
je,je,51
ne,ne,60
fréquente,fréquenter,17
pas,pas,60
les,le,71
dos,dos,21
verts,vert,30
/.,/.,P
elle,il,51
avait,avoir,18
cherché,chercher,12
la,le,71
plus,plus,60
grossière,grossier,30
injure,injure,22
/.,/.,P
il,il,51
sentit,sentir,19
le,le,71
sang,sang,21
lui,lui,51
empourprer,empourprer,14
la,le,71
face,face,22
",",",",p
et,et,82
il,il,51
rentra,rentrer,19
seul,seul,30
/.,/.,P
Forestier,Forestier,20
",",",",p
malade,malade,30
",",",",p
affaibli,affaibli,31
",",",",p
toussant,tousser,13
toujours,toujours,60
",",",",p
lui,lui,51
faisait,faire,18
",",",",p
au,à,81
au,le,71
journal,journal,21
",",",",p
une,un,71
existence,existence,22
pénible,pénible,30
",",",",p
semblait,sembler,18
se,se,51
creuser,creuser,14
l',le,71
esprit,esprit,21
pour,pour,81
lui,lui,51
trouver,trouver,14
des,de,81
des,le,71
corvées,corvée,22
ennuyeuses,ennuyeux,30
/.,/.,P
un,un,71
jour,jour,21
même,même,30
dans,dans,81
un,un,71
moment,moment,21
d',de,81
irritation,irritation,22
nerveuse,nerveux,30
",",",",p
et,et,82
après,après,81
une,un,71
longue,long,30
quinte,quinte,22
d',de,81
étouffement,étouffement,21
",",",",p
comme,comme,83
Duroy,Duroy,20
ne,ne,60
lui,lui,51
apportait,apporter,18
pas,pas,60
un,un,71
renseignement,renseignement,21
demandé,demandé,31
",",",",p
il,il,51
grogna,grogner,19
:,:,p
-,-,p
cristi,cristi,93
",",",",p
tu,tu,51
es,être,17
plus,plus,60
bête,bête,30
que,que,83
je,je,51
n',ne,60
aurais,avoir,16
cru,croire,12
/.,/.,P
l',le,71
autre,autre,52
faillit,faillir,19
le,le,52
gifler,gifler,14
",",",",p
mais,mais,82
il,il,51
se,se,51
contint,contenir,19
et,et,82
s',se,51
en,en,52
alla,aller,19
en,en,81
murmurant,murmurer,13
:,:,p
“,“,p
toi,toi,51
",",",",p
je,je,51
te,tu,51
rattraperai,rattraper,15
/.,/.,P
“,“,p
une,un,71
pensée,pensée,22
rapide,rapide,30
lui,lui,51
traversa,traverser,19
l',le,71
esprit,esprit,21
",",",",p
et,et,82
il,il,51
ajouta,ajouter,19
:,:,p
“,“,p
je,je,51
te,tu,51
vas,aller,17
faire,faire,14
cocu,cocu,30
",",",",p
mon,mon,73
vieux,vieux,21
/.,/.,P
“,“,p
et,et,82
il,il,51
s',se,51
en,en,52
alla,aller,19
en,en,81
se,se,51
frottant,frotter,13
les,le,71
mains,main,22
",",",",p
réjoui,réjoui,31
par,par,81
ce,ce,74
projet,projet,21
/.,/.,P
il,il,51
voulut,vouloir,19
",",",",p
dès,dès,81
le,le,71
jour,jour,21
suivant,suivant,30
",",",",p
en,en,52
commencer,commencer,14
l',le,71
exécution,exécution,22
/.,/.,P
il,il,51
fit,faire,19
à,à,81
madame,madame,22
Forestier,Forestier,20
une,un,71
visite,visite,22
en,en,81
éclaireur,éclaireur,21
/.,/.,P
il,il,51
la,le,52
trouva,trouver,19
qui,qui,52
lisait,lire,18
un,un,71
livre,livre,21
",",",",p
étendue,étendu,31
tout,tout,60
au,à,81
au,le,71
long,long,21
sur,sur,81
son,son,73
canapé,canapé,21
/.,/.,P
elle,il,51
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
",",",",p
sans,sans,81
bouger,bouger,14
",",",",p
tournant,tourner,13
seulement,seulement,60
la,le,71
tête,tête,22
",",",",p
et,et,82
elle,il,51
dit,dire,19
:,:,p
-,-,p
bonjour,bonjour,21
",",",",p
bel,beau,30
ami,ami,21
/!,/!,P
il,il,51
eut,avoir,19
la,le,71
sensation,sensation,22
d',de,81
un,un,52
souffler,souffler,14
reçu,reçu,31
:,:,p
-,-,p
pourquoi,pourquoi,60
m',je,51
appelez,appeler,17
vous,vous,51
ainsi,ainsi,60
/?,/?,P
elle,il,51
répondit,répondre,19
en,en,81
souriant,sourire,13
:,:,p
-,-,p
j',je,51
ai,avoir,17
vu,voir,12
madame,madame,22
de,de,81
Marelle,Marelle,20
l',le,71
autre,autre,75
semaine,semaine,22
",",",",p
et,et,82
j',je,51
ai,avoir,17
su,savoir,12
comment,comment,60
on,on,51
vous,vous,51
avait,avoir,18
baptisé,baptiser,12
chez,chez,81
elle,il,51
/.,/.,P
il,il,51
se,se,51
rassura,rassurer,19
devant,devant,81
l',le,71
air,air,21
aimable,aimable,30
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
/.,/.,P
comment,comment,60
aurait,avoir,16
il,il,51
pu,pouvoir,12
craindre,craindre,14
",",",",p
d',de,81
ailleurs,ailleurs,60
/?,/?,P
elle,il,51
reprit,reprendre,19
:,:,p
-,-,p
vous,vous,51
la,le,52
gâtez,gâter,17
/!,/!,P
quant,quand,83
à,à,81
moi,moi,51
",",",",p
on,on,51
me,je,51
vient,venir,17
voir,voir,14
quand,quand,83
on,on,51
y,y,52
pense,penser,17
",",",",p
les,le,71
trente,trente,72
six,six,72
du,de,81
du,le,71
mois,mois,21
",",",",p
ou,ou,82
peu,peu,60
s',se,51
en,en,52
faut,falloir,17
/?,/?,P
il,il,51
s',se,51
était,être,18
assis,asseoir,12
près,près,81
d',de,81
elle,il,51
et,et,82
il,il,51
la,le,52
regardait,regarder,18
avec,avec,81
une,un,71
curiosité,curiosité,22
nouvelle,nouveau,30
",",",",p
une,un,71
curiosité,curiosité,22
d',de,81
amateur,amateur,21
qui,qui,52
bibelote,bibelote,22
/.,/.,P
elle,il,51
était,être,18
charmante,charmant,30
",",",",p
blonde,blond,30
d',de,81
un,un,71
blond,blond,21
tendre,tendre,30
et,et,82
chaud,chaud,30
",",",",p
faite,fait,31
pour,pour,81
les,le,71
caresses,caresse,22
;,;,p
et,et,82
il,il,51
pensa,penser,19
:,:,p
“,“,p
elle,il,51
est,être,17
mieux,mieux,60
que,que,83
l',le,71
autre,autre,52
certainement,certainement,60
/.,/.,P
“,“,p
il,il,51
ne,ne,60
doutait,douter,18
point,point,60
du,de,81
du,le,71
succès,succès,21
",",",",p
il,il,51
n',ne,60
aurait,avoir,16
qu',que,83
à,à,81
allonger,allonger,14
la,le,71
main,main,22
",",",",p
lui,lui,51
semblait,sembler,18
il,il,51
",",",",p
et,et,82
à,à,81
la,le,52
prendre,prendre,14
",",",",p
comme,comme,83
on,on,51
cueille,cueillir,17
un,un,71
fruit,fruit,21
/.,/.,P
il,il,51
dit,dire,17
résolument,résolument,60
:,:,p
-,-,p
je,je,51
ne,ne,60
venais,venir,18
point,point,60
vous,vous,51
voir,voir,14
parce que,parce que,83
cela,cela,52
valait,valoir,18
mieux,mieux,60
/.,/.,P
elle,il,51
demanda,demander,19
",",",",p
sans,sans,81
comprendre,comprendre,14
:,:,p
-,-,p
comment,comment,60
/?,/?,P
pourquoi,pourquoi,60
/?,/?,P
pourquoi,pourquoi,60
/?,/?,P
vous,vous,51
ne,ne,60
devinez,deviner,17
pas,pas,60
/?,/?,P
non,non,60
",",",",p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
/.,/.,P
-,-,p
parce que,parce que,83
je,je,51
suis,être,17
amoureux,amoureux,30
de,de,81
vous,vous,51
…,…,p
oh,oh,93
!,!,p
un,un,71
peu,peu,60
",",",",p
rien,rien,52
qu',que,83
un,un,71
peu,peu,60
…,…,p
et,et,82
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
le,le,52
devenir,devenir,14
tout,tout,60
à,à,81
fait,fait,21
/…,/…,P
elle,il,51
ne,ne,60
parut,paraître,19
ni,ni,82
étonnée,étonné,31
",",",",p
ni,ni,82
choquée,choqué,31
",",",",p
ni,ni,82
flattée,flatté,31
;,;,p
elle,il,51
continuait,continuer,18
à,à,81
sourire,sourire,14
du,de,81
du,le,71
même,même,75
sourire,sourire,21
indifférent,indifférent,30
",",",",p
et,et,82
elle,il,51
répondit,répondre,19
avec,avec,81
tranquillité,tranquillité,22
:,:,p
-,-,p
oh,oh,93
!,!,p
vous,vous,51
pouvez,pouvoir,17
venir,venir,14
tout,tout,60
de,de,81
même,même,60
/.,/.,P
on,on,51
n',ne,60
est,être,17
jamais,jamais,60
amoureux,amoureux,30
de,de,81
moi,moi,51
longtemps,longtemps,60
/.,/.,P
il,il,51
fut,être,19
surpris,surprendre,12
du,de,81
du,le,71
ton,ton,21
plus,plus,60
encore,encore,60
que,que,83
des,de,81
des,le,71
paroles,parole,22
",",",",p
et,et,82
il,il,51
demanda,demander,19
:,:,p
