11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
Eurydice,Eurydice,20
/!,/!,P
Eurydice,Eurydice,20
/!,/!,P
une,un,71
seconde,second,72
fois,fois,22
perdue,perdu,31
/!,/!,P
tout,tout,52
est,être,17
fini,finir,12
",",",",p
tout,tout,52
est,être,17
passé,passer,12
/!,/!,P
c',ce,52
est,être,17
moi,moi,51
maintenant,maintenant,60
qui,qui,52
dois,devoir,17
mourir,mourir,14
et,et,82
mourir,mourir,14
sans,sans,81
espoir,espoir,21
/!,/!,P
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
que,que,83
la,le,71
mort,mort,22
/?,/?,P
si,si,83
c',ce,52
était,être,18
le,le,71
néant,néant,21
/…,/…,P
plût,plaire,18
à,à,81
dieu,dieu,21
/!,/!,P
mais,mais,82
dieu,dieu,21
lui-même,lui-même,51
ne,ne,60
peut,pouvoir,17
faire,faire,14
que,que,83
la,le,71
mort,mort,22
soit,être,17
le,le,71
néant,néant,21
/.,/.,P
pourquoi,pourquoi,60
donc,donc,82
est,être,17
ce,ce,52
la,le,71
première,premier,72
fois,fois,22
",",",",p
depuis,depuis,81
si,si,60
longtemps,longtemps,60
",",",",p
que,que,83
je,je,51
songe,songer,17
à,à,81
lui,lui,51
/?,/?,P
le,le,71
système,système,21
fatal,fatal,30
qui,qui,52
s',se,51
était,être,18
créé,créer,12
dans,dans,81
mon,mon,73
esprit,esprit,21
n',ne,60
admettait,admettre,18
pas,pas,60
cette,ce,74
royauté,royauté,22
solitaire,solitaire,30
…,…,p
ou,ou,82
plutôt,plutôt,60
",",",",p
elle,il,51
s',se,51
absorbait,absorber,18
dans,dans,81
la,le,71
somme,somme,22
des,de,81
des,le,71
êtres,être,21
:,:,p
c',ce,52
était,être,18
le,le,71
dieu,dieu,21
de,de,81
Lucretius,Lucretius,20
",",",",p
impuissant,impuissant,30
et,et,82
perdu,perdu,31
dans,dans,81
son,son,73
immensité,immensité,22
/.,/.,P
elle,il,51
",",",",p
pourtant,pourtant,60
",",",",p
croyait,croire,18
à,à,81
dieu,dieu,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
surpris,surprendre,12
un,un,71
jour,jour,21
le,le,71
nom,nom,21
de,de,81
Jésus,Jésus,20
sur,sur,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
il,il,51
en,en,52
coulait,couler,18
si,si,60
doucement,doucement,60
que,que,83
j',je,51
ai,avoir,17
pleuré,pleurer,12
/.,/.,P
o,oh,93
mon,mon,73
dieu,dieu,21
!,!,p
cette,ce,74
larme,larme,22
",",",",p
-,-,p
cette,ce,74
larme,larme,22
/…,/…,P
elle,il,51
est,être,17
séchée,sécher,12
depuis,depuis,81
si,si,60
longtemps,longtemps,60
/!,/!,P
cette,ce,74
larme,larme,22
",",",",p
mon,mon,73
dieu,dieu,21
/!,/!,P
