11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
le,le,71
lendemain,lendemain,21
",",",",p
le,le,71
baron,baron,21
",",",",p
devenu,devenu,31
fou,fou,30
de,de,81
madame,madame,22
Marneffe,Marneffe,20
",",",",p
alla,aller,19
voir,voir,14
la,le,71
cousine,cousine,22
Bette,Bette,20
",",",",p
assez,assez,60
stupéfaite,stupéfait,30
en,en,81
ouvrant,ouvrir,13
la,le,71
porte,porte,22
de,de,81
le,le,52
trouver,trouver,14
devant,devant,81
elle,il,51
",",",",p
car,car,82
il,il,51
n',ne,60
était,être,18
jamais,jamais,60
venu,venir,12
lui,lui,51
faire,faire,14
une,un,71
visite,visite,22
/.,/.,P
aussi,aussi,60
se,se,51
dit,dire,17
elle,il,51
en,en,81
elle-même,lui-même,51
:,:,p
-,-,p
Hortense,Hortense,20
aurait,avoir,16
elle,il,51
envie,envie,22
de,de,81
mon,mon,73
amoureux,amoureux,21
?,?,p
car,car,82
la,le,71
veille,veille,22
",",",",p
elle,il,51
avait,avoir,18
appris,apprendre,12
",",",",p
chez,chez,81
monsieur,monsieur,21
Crevel,Crevel,20
",",",",p
la,le,71
rupture,rupture,22
du,de,81
du,le,71
mariage,mariage,21
avec,avec,81
le,le,71
conseiller,conseiller,21
à,à,81
la,le,71
cour,cour,22
royale,royal,30
/.,/.,P
-,-,p
comment,comment,60
",",",",p
mon,mon,73
cousin,cousin,21
",",",",p
vous,vous,51
ici,ici,60
/?,/?,P
vous,vous,51
me,je,51
venez,venir,17
voir,voir,14
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
votre,votre,73
vie,vie,22
",",",",p
assurément,assurément,60
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
mes,mon,73
beaux,beau,30
yeux,oeil,21
/?,/?,P
beaux,beau,30
!,!,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
reprit,reprendre,19
le,le,71
baron,baron,21
",",",",p
tu,tu,51
as,avoir,17
les,le,71
plus,plus,60
beaux,beau,30
yeux,oeil,21
que,que,83
j',je,51
aie,avoir,17
vus,voir,12
/…,/…,P
pourquoi,pourquoi,60
venez,venir,17
vous,vous,51
/?,/?,P
tenez,tenir,17
",",",",p
me,je,51
voilà,voilà,81
honteuse,honteux,30
de,de,81
vous,vous,51
recevoir,recevoir,14
dans,dans,81
un,un,71
pareil,pareil,30
taudis,taudis,21
/.,/.,P
la,le,71
première,premier,72
des,de,81
des,le,71
deux,deux,72
pièces,pièce,22
dont,dont,52
se,se,51
composait,composer,18
l',le,71
appartement,appartement,21
de,de,81
la,le,71
cousine,cousine,22
Bette,Bette,20
",",",",p
lui,lui,51
servait,servir,18
à,à,81
la,le,71
fois,fois,22
de,de,81
salon,salon,21
",",",",p
de,de,81
salle,salle,22
à,à,81
manger,manger,14
",",",",p
de,de,81
cuisine,cuisine,22
et,et,82
d',de,81
atelier,atelier,21
/.,/.,P
les,le,71
meubles,meuble,21
étaient,être,18
ceux,celui,52
des,de,81
des,le,71
ménages,ménage,21
d',de,81
ouvriers,ouvrier,21
aisés,aisé,30
:,:,p
des,de,81
des,le,71
chaises,chaise,22
en,en,52
noyer,noyer,14
foncées,foncé,31
de,de,81
paille,paille,22
",",",",p
une,un,71
petite,petit,30
table,table,22
à,à,81
manger,manger,14
en,en,52
noyer,noyer,14
",",",",p
une,un,71
table,table,22
à,à,81
travailler,travailler,14
",",",",p
des,de,81
des,le,71
gravures,gravure,22
enluminées,enluminé,31
dans,dans,81
des,de,81
des,le,71
cadres,cadre,21
en,en,81
bois,bois,21
noirci,noirci,31
",",",",p
de,de,81
petits,petit,30
rideaux,rideau,21
de,de,81
mousseline,mousseline,22
aux,à,81
aux,le,71
fenêtres,fenêtre,22
",",",",p
une,un,71
grande,grand,30
armoire,armoire,22
en,en,52
noyer,noyer,14
",",",",p
le,le,71
carreau,carreau,21
bien,bien,60
frotté,frotté,31
",",",",p
bien,bien,60
reluisant,reluisant,30
de,de,81
propreté,propreté,22
",",",",p
tout,tout,75
cela,cela,52
sans,sans,81
un,un,71
grain,grain,21
de,de,81
poussière,poussière,22
",",",",p
mais,mais,82
plein,plein,81
de,de,81
tons,ton,21
froids,froid,30
",",",",p
un,un,71
vrai,vrai,30
tableau,tableau,21
de,de,81
Terburg,Terburg,20
où,où,60
rien,rien,52
ne,ne,60
manquait,manquer,18
",",",",p
pas,pas,60
même,même,60
sa,son,73
teinte,teinte,22
grise,gris,30
",",",",p
représenté,représenté,31
par,par,81
un,un,71
papier,papier,21
jadis,jadis,60
bleuâtre,bleuâtre,30
et,et,82
passé,passé,31
au,à,81
au,le,71
ton,ton,21
de,de,81
lin,lin,21
/.,/.,P
quant,quand,83
à,à,81
la,le,71
chambre,chambre,22
",",",",p
personne,personne,52
n',ne,60
y,y,52
avait,avoir,18
jamais,jamais,60
pénétré,pénétrer,12
/.,/.,P
le,le,71
baron,baron,21
embrassa,embrasser,19
tout,tout,52
",",",",p
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
vit,voir,19
la,le,71
signature,signature,22
de,de,81
la,le,71
médiocrité,médiocrité,22
dans,dans,81
chaque,chaque,75
chose,chose,22
",",",",p
depuis,depuis,81
le,le,71
poêle,poêle,21
en,en,81
fonte,fonte,22
jusqu',jusque,81
aux,à,81
aux,le,71
ustensiles,ustensile,21
de,de,81
ménage,ménage,21
",",",",p
et,et,82
il,il,51
fut,être,19
pris,prendre,12
d',de,81
une,un,71
nausée,nausée,22
en,en,81
se,se,51
disant,dire,13
à,à,81
lui-même,lui-même,51
:,:,p
-,-,p
voilà,voilà,81
donc,donc,82
la,le,71
vertu,vertu,22
/!,/!,P
pourquoi,pourquoi,60
je,je,51
viens,venir,17
?,?,p
répondit,répondre,19
il,il,51
à,à,81
haute,haut,30
voix,voix,22
/.,/.,P
tu,tu,51
es,être,17
une,un,71
fille,fille,22
trop,trop,60
rusée,rusé,31
pour,pour,81
ne,ne,60
pas,pas,60
finir,finir,14
par,par,81
le,le,52
deviner,deviner,14
",",",",p
et,et,82
il,il,51
vaut,valoir,17
mieux,mieux,60
te,tu,51
le,le,52
dire,dire,14
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
en,en,81
s',se,51
asseyant,asseoir,13
et,et,82
regardant,regarder,13
à,à,81
travers,travers,21
la,le,71
cour,cour,22
en,en,81
entr'ouvrant,entr'ouvrir,13
le,le,71
rideau,rideau,21
de,de,81
mousseline,mousseline,22
plissée,plissé,31
/.,/.,P
il,il,51
y,y,52
a,avoir,17
dans,dans,81
la,le,71
maison,maison,22
une,un,71
très,très,60
jolie,joli,30
femme,femme,22
/…,/…,P
madame,madame,22
Marneffe,Marneffe,20
/!,/!,P
oh,oh,93
!,!,p
j',je,51
y,y,52
suis,être,17
!,!,p
dit,dire,12
elle,il,51
en,en,81
comprenant,comprendre,13
tout,tout,52
/.,/.,P
et,et,82
Josépha,Josépha,20
/?,/?,P
hélas,hélas,60
!,!,p
cousine,cousine,22
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
Josépha,Josépha,20
/…,/…,P
j',je,51
ai,avoir,17
été,être,12
mis,mettre,12
à,à,81
la,le,71
porte,porte,22
comme,comme,83
un,un,71
laquais,laquais,21
/.,/.,P
-,-,p
et,et,82
vous,vous,51
voudriez,vouloir,16
?,?,p
demanda,demander,19
la,le,71
cousine,cousine,22
en,en,81
regardant,regarder,13
le,le,71
baron,baron,21
avec,avec,81
la,le,71
dignité,dignité,22
d',de,81
une,un,71
prude,prude,30
qui,qui,52
s',se,51
offense,offenser,17
un,un,71
quart,quart,21
d',de,81
heure,heure,22
trop,trop,60
tôt,tôt,60
/.,/.,P
-,-,p
comme,comme,83
madame,madame,22
Marneffe,Marneffe,20
est,être,17
une,un,71
femme,femme,22
très,très,60
comme,comme,83
il,il,51
faut,falloir,17
",",",",p
la,le,71
femme,femme,22
d',de,81
un,un,71
employé,employé,21
",",",",p
que,que,83
tu,tu,51
peux,pouvoir,17
la,le,52
voir,voir,14
sans,sans,81
te,tu,51
compromettre,compromettre,14
",",",",p
reprit,reprendre,19
le,le,71
baron,baron,21
",",",",p
je,je,51
voudrais,vouloir,16
te,tu,51
voir,voir,14
voisiner,voisiner,14
avec,avec,81
elle,il,51
/.,/.,P
oh,oh,93
!,!,p
sois,être,17
tranquille,tranquille,30
",",",",p
elle,il,51
aura,avoir,15
les,le,71
plus,plus,60
grands,grand,30
égards,égard,21
pour,pour,81
la,le,71
cousine,cousine,22
de,de,81
monsieur,monsieur,21
le,le,71
directeur,directeur,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
on,on,51
entendit,entendre,19
le,le,71
frôlement,frôlement,21
d',de,81
une,un,71
robe,robe,22
dans,dans,81
l',le,71
escalier,escalier,21
",",",",p
accompagné,accompagné,31
par,par,81
le,le,71
bruit,bruit,21
des,de,81
des,le,71
pas,pas,21
d',de,81
une,un,71
femme,femme,22
à,à,81
brodequins,brodequin,21
superfins,superfin,30
/.,/.,P
le,le,71
bruit,bruit,21
cessa,cesser,19
sur,sur,81
le,le,71
palier,palier,21
/.,/.,P
après,après,81
deux,deux,72
coups,coup,21
frappés,frappé,31
à,à,81
la,le,71
porte,porte,22
",",",",p
madame,madame,22
Marneffe,Marneffe,20
se,se,51
montra,montrer,19
/.,/.,P
-,-,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
mademoiselle,mademoiselle,22
",",",",p
cette,ce,74
irruption,irruption,22
chez,chez,81
vous,vous,51
;,;,p
mais,mais,82
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
point,point,60
trouvée,trouver,12
hier,hier,60
quand,quand,83
je,je,51
suis,être,17
venue,venir,12
vous,vous,51
faire,faire,14
une,un,71
visite,visite,22
;,;,p
nous,nous,51
sommes,être,17
voisines,voisin,30
",",",",p
et,et,82
si,si,83
j',je,51
avais,avoir,18
su,savoir,12
que,que,83
vous,vous,51
étiez,être,18
la,le,71
cousine,cousine,22
de,de,81
monsieur,monsieur,21
le,le,71
conseiller,conseiller,21
d',de,81
Etat,état,21
",",",",p
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
que,que,83
je,je,51
vous,vous,51
aurais,avoir,16
demandé,demander,12
votre,votre,73
protection,protection,22
auprès,auprès,60
de,de,81
lui,lui,51
/.,/.,P
j',je,51
ai,avoir,17
vu,voir,12
entrer,entrer,14
monsieur,monsieur,21
le,le,71
directeur,directeur,21
",",",",p
et,et,82
alors,alors,60
j',je,51
ai,avoir,17
pris,prendre,12
la,le,71
liberté,liberté,22
de,de,81
venir,venir,14
",",",",p
car,car,82
mon,mon,73
mari,mari,21
",",",",p
monsieur,monsieur,21
le,le,71
baron,baron,21
",",",",p
m',je,51
a,avoir,17
parlé,parler,12
d',de,81
un,un,71
travail,travail,21
sur,sur,81
le,le,71
personnel,personnel,21
qui,qui,52
sera,être,15
soumis,soumettre,12
demain,demain,60
au,à,81
au,le,71
ministre,ministre,21
/.,/.,P
elle,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
être,être,14
émue,émouvoir,12
",",",",p
de,de,81
palpiter,palpiter,14
;,;,p
mais,mais,82
elle,il,51
avait,avoir,18
tout,tout,52
bonnement,bonnement,60
monté,monter,12
l',le,71
escalier,escalier,21
en,en,81
courant,courir,13
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
faire,faire,14
la,le,71
solliciteuse,solliciteuse,22
",",",",p
belle,beau,30
dame,dame,22
",",",",p
répondit,répondre,19
le,le,71
baron,baron,21
",",",",p
c',ce,52
est,être,17
à,à,81
moi,moi,51
de,de,81
vous,vous,51
demander,demander,14
la,le,71
grâce,grâce,22
de,de,81
vous,vous,51
voir,voir,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
si,si,83
mademoiselle,mademoiselle,22
le,le,52
trouve,trouver,17
bon,bon,30
",",",",p
venez,venir,17
?,?,p
dit,dire,19
madame,madame,22
Marneffe,Marneffe,20
/.,/.,P
-,-,p
allez,aller,17
",",",",p
mon,mon,73
cousin,cousin,21
",",",",p
je,je,51
vais,aller,17
vous,vous,51
rejoindre,rejoindre,14
",",",",p
dit,dire,19
prudemment,prudemment,60
la,le,71
cousine,cousine,22
Bette,Bette,20
/.,/.,P
la,le,71
Parisienne,Parisien,20
comptait,compter,18
tellement,tellement,60
sur,sur,81
la,le,71
visite,visite,22
et,et,82
sur,sur,81
l',le,71
intelligence,intelligence,22
de,de,81
monsieur,monsieur,21
le,le,71
directeur,directeur,21
",",",",p
qu',que,83
elle,il,51
avait,avoir,18
fait,faire,12
",",",",p
non,non,60
seulement,seulement,60
une,un,71
toilette,toilette,22
appropriée,approprié,31
à,à,81
une,un,71
pareille,pareil,30
entrevue,entrevue,22
",",",",p
mais,mais,82
encore,encore,60
une,un,71
toilette,toilette,22
à,à,81
son,son,73
appartement,appartement,21
/.,/.,P
dès,dès,81
le,le,71
matin,matin,21
",",",",p
on,on,51
y,y,52
avait,avoir,18
mis,mettre,12
des,de,81
des,le,71
fleurs,fleur,22
achetées,acheté,31
à,à,81
crédit,crédit,21
/.,/.,P
Marneffe,Marneffe,20
avait,avoir,18
aidé,aider,12
sa,son,73
femme,femme,22
à,à,81
nettoyer,nettoyer,14
les,le,71
meubles,meuble,21
",",",",p
à,à,81
rendre,rendre,14
du,de,81
du,le,71
lustre,lustre,21
aux,à,81
aux,le,71
plus,plus,60
petits,petit,30
objets,objet,21
",",",",p
en,en,81
savonnant,savonner,13
",",",",p
en,en,81
brossant,brosser,13
",",",",p
en,en,81
époussetant,épousseter,13
tout,tout,52
/.,/.,P
Valérie,Valérie,20
voulait,vouloir,18
se,se,51
trouver,trouver,14
dans,dans,81
un,un,71
milieu,milieu,21
plein,plein,30
de,de,81
fraîcheur,fraîcheur,22
afin,afin,81
de,de,81
plaire,plaire,14
à,à,81
monsieur,monsieur,21
le,le,71
directeur,directeur,21
",",",",p
et,et,82
plaire,plaire,14
assez,assez,60
pour,pour,81
avoir,avoir,14
le,le,71
droit,droit,21
d',de,81
être,être,14
cruelle,cruel,30
",",",",p
de,de,81
lui,lui,51
tenir,tenir,14
la,le,71
dragée,dragée,22
haute,haut,30
",",",",p
comme,comme,83
à,à,81
un,un,71
enfant,enfant,21
",",",",p
en,en,81
employant,employer,13
les,le,71
ressources,ressource,22
de,de,81
la,le,71
tactique,tactique,22
moderne,moderne,30
/.,/.,P
elle,il,51
avait,avoir,18
jugé,juger,12
Hulot,Hulot,20
/.,/.,P
