11435
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-neuvième extrait>,<>,<>
semblait,sembler,18
garnie,garni,31
de,de,81
trois,trois,72
rangs,rang,21
de,de,81
dents,dent,22
comme,comme,83
la,le,71
gueule,gueule,22
du,de,81
du,le,71
requin,requin,21
/.,/.,P
un,un,71
fanon,fanon,21
puissant,puissant,30
comme,comme,83
celui,celui,52
du,de,81
du,le,71
taureau,taureau,21
Farnèse,Farnèse,20
unissait,unir,18
le,le,71
menton,menton,21
",",",",p
frappé,frappé,31
d',de,81
une,un,71
fossette,fossette,22
à,à,81
y,y,52
fourrer,fourrer,14
le,le,71
poing,poing,21
",",",",p
à,à,81
un,un,71
col,col,21
d',de,81
une,un,71
vigueur,vigueur,22
athlétique,athlétique,30
tout,tout,60
sillonné,sillonné,31
de,de,81
veines,veine,22
et,et,82
de,de,81
muscles,muscle,21
/.,/.,P
deux,deux,72
touffes,touffe,22
de,de,81
favoris,favori,21
",",",",p
dont,dont,52
chacun,chacun,52
eût,avoir,19
pu,pouvoir,12
fournir,fournir,14
une,un,71
barbe,barbe,22
raisonnable,raisonnable,30
à,à,81
un,un,71
sapeur,sapeur,21
",",",",p
encadraient,encadrer,18
cette,ce,74
large,large,30
face,face,22
martelée,martelé,31
de,de,81
tons,ton,21
violents,violent,30
:,:,p
des,de,81
des,le,71
cheveux,cheveu,21
noirs,noir,30
frisés,frisé,31
",",",",p
luisants,luisant,30
",",",",p
où,où,60
se,se,51
mêlaient,mêler,18
quelques,quelque,75
fils,fil,21
argentés,argenté,31
",",",",p
se,se,51
tordaient,tordre,18
sur,sur,81
son,son,73
crâne,crâne,21
en,en,81
petites,petit,30
mèches,mèche,22
courtes,court,30
",",",",p
et,et,82
sa,son,73
nuque,nuque,22
plissée,plissé,31
de,de,81
trois,trois,72
boursouflures,boursouflure,22
transversales,transversal,30
débordait,déborder,18
du,de,81
du,le,71
collet,collet,21
de,de,81
sa,son,73
veste,veste,22
;,;,p
aux,à,81
aux,le,71
lobes,lobe,21
de,de,81
ses,son,73
oreilles,oreille,22
",",",",p
relevées,relevé,31
par,par,81
les,le,71
apophyses,apophyse,22
de,de,81
mâchoires,mâchoire,22
capables,capable,30
de,de,81
broyer,broyer,14
un,un,71
boeuf,boeuf,21
dans,dans,81
une,un,71
journée,journée,22
",",",",p
brillaient,briller,18
des,de,81
des,le,71
boucles,boucle,22
d',de,81
argent,argent,21
grandes,grand,30
comme,comme,83
le,le,71
disque,disque,21
de,de,81
la,le,71
lune,lune,22
;,;,p
tel,tel,52
était,être,18
maître,maître,21
Virgilio,Virgilio,20
Falsacappa,Falsacappa,20
",",",",p
que,que,83
son,son,73
tablier,tablier,21
retroussé,retroussé,31
sur,sur,81
la,le,71
hanche,hanche,22
et,et,82
son,son,73
couteau,couteau,21
plongé,plongé,31
dans,dans,81
une,un,71
gaine,gaine,22
de,de,81
bois,bois,21
faisaient,faire,18
ressembler,ressembler,14
à,à,81
un,un,71
victimaire,victimaire,92
plus,plus,60
qu',que,83
à,à,81
un,un,71
cuisinier,cuisinier,21
/.,/.,P
ensuite,ensuite,60
apparaissait,apparaître,18
Timberio,Timberio,20
le,le,71
portefaix,portefaix,21
",",",",p
que,que,83
la,le,71
gymnastique,gymnastique,22
de,de,81
sa,son,73
profession,profession,22
et,et,82
la,le,71
sobriété,sobriété,22
de,de,81
son,son,73
régime,régime,21
",",",",p
consistant,consister,13
en,en,81
une,un,71
poignée,poignée,22
de,de,81
macaroni,macaroni,21
demi-cru,demi-cru,31
et,et,82
saupoudré,saupoudré,31
de,de,81
cacio,cacio,92
cavallo,cavallo,92
",",",",p
une,un,71
tranche,tranche,22
de,de,81
pastèque,pastèque,22
et,et,82
un,un,71
verre,verre,21
d',de,81
eau,eau,22
à,à,81
la,le,71
neige,neige,22
",",",",p
maintenait,maintenir,18
dans,dans,81
un,un,71
état,état,21
de,de,81
maigreur,maigreur,22
relative,relatif,30
",",",",p
et,et,82
qui,qui,52
",",",",p
bien,bien,60
nourri,nourri,31
",",",",p
eût,avoir,19
certes,certes,60
atteint,atteindre,12
l',le,71
embonpoint,embonpoint,21
de,de,81
Falsacappa,Falsacappa,20
",",",",p
tant,tant,60
sa,son,73
robuste,robuste,30
charpente,charpente,22
paraissait,paraître,18
faite,fait,31
pour,pour,81
supporter,supporter,14
un,un,71
poids,poids,21
énorme,énorme,30
de,de,81
chair,chair,22
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
d',de,81
autre,autre,75
costume,costume,21
qu',que,83
un,un,71
caleçon,caleçon,21
",",",",p
un,un,71
long,long,30
gilet,gilet,21
d',de,81
étoffe,étoffe,22
brune,brun,30
et,et,82
un,un,71
grossier,grossier,30
caban,caban,21
jeté,jeté,31
sur,sur,81
l',le,71
épaule,épaule,22
/.,/.,P
appuyé,appuyé,31
sur,sur,81
le,le,71
bord,bord,21
de,de,81
la,le,71
table,table,22
",",",",p
Scazziga,Scazziga,20
",",",",p
le,le,71
cocher,cocher,21
de,de,81
la,le,71
calèche,calèche,22
de,de,81
louage,louage,21
dont,dont,52
se,se,51
servait,servir,18
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
présentait,présenter,18
aussi,aussi,60
une,un,71
physionomie,physionomie,22
frappante,frappant,30
;,;,p
ses,son,73
traits,trait,21
irréguliers,irrégulier,30
et,et,82
spirituels,spirituel,30
étaient,être,18
empreints,empreindre,12
d',de,81
une,un,71
astuce,astuce,22
naïve,naïf,30
;,;,p
un,un,71
sourire,sourire,21
de,de,81
