11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
mot,mot,21
",",",",p
tout,tout,52
était,être,18
fini,finir,12
",",",",p
et,et,82
peut-être,peut-être,60
que,que,83
",",",",p
lié,lier,12
avec,avec,81
moi,moi,51
",",",",p
il,il,51
n',ne,60
eût,avoir,19
pas,pas,60
songé,songer,12
à,à,81
cette,ce,74
petite,petit,30
Clélia,Clélia,20
;,;,p
mais,mais,82
ce,ce,74
mot,mot,21
me,je,51
faisait,faire,18
une,un,71
répugnance,répugnance,22
horrible,horrible,30
/.,/.,P
maintenant,maintenant,60
elle,il,51
l',le,52
emporte,emporter,17
sur,sur,81
moi,moi,51
/.,/.,P
quoi,quoi,52
de,de,81
plus,plus,60
simple,simple,30
?,?,p
elle,il,51
a,avoir,17
vingt,vingt,72
ans,an,21
;,;,p
et,et,82
moi,moi,51
",",",",p
changée,changé,31
par,par,81
les,le,71
soucis,souci,21
",",",",p
malade,malade,30
",",",",p
j',je,51
ai,avoir,17
le,le,71
double,double,21
de,de,81
son,son,73
âge,âge,21
!,!,p
/…,/…,P
il,il,51
faut,falloir,17
mourir,mourir,14
",",",",p
il,il,51
faut,falloir,17
finir,finir,14
/!,/!,P
une,un,71
femme,femme,22
de,de,81
quarante,quarante,72
ans,an,21
n',ne,60
est,être,17
plus,plus,60
quelque,quelque,75
chose,chose,22
que,que,83
pour,pour,81
les,le,71
hommes,homme,21
qui,qui,52
l',le,52
ont,avoir,17
aimée,aimer,12
dans,dans,81
sa,son,73
jeunesse,jeunesse,22
/!,/!,P
maintenant,maintenant,60
je,je,51
ne,ne,60
trouverai,trouver,15
plus,plus,60
que,que,83
des,de,81
des,le,71
jouissances,jouissance,22
de,de,81
vanité,vanité,22
;,;,p
et,et,82
cela,cela,52
vaut,valoir,17
il,il,51
la,le,71
peine,peine,22
de,de,81
vivre,vivre,14
/?,/?,P
raison,raison,22
de,de,81
plus,plus,60
pour,pour,81
aller,aller,14
à,à,81
Parme,Parme,20
",",",",p
et,et,82
pour,pour,81
m',je,51
amuser,amuser,14
/.,/.,P
si,si,83
les,le,71
choses,chose,22
tournaient,tourner,18
d',de,81
une,un,71
certaine,certain,75
façon,façon,22
",",",",p
on,on,51
m',je,51
ôterait,ôter,16
la,le,71
vie,vie,22
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
où,où,60
est,être,17
le,le,71
mal,mal,21
/?,/?,P
je,je,51
ferai,faire,15
une,un,71
mort,mort,22
magnifique,magnifique,30
",",",",p
et,et,82
",",",",p
avant,avant,81
que,que,83
de,de,81
finir,finir,14
",",",",p
mais,mais,82
seulement,seulement,60
alors,alors,60
",",",",p
je,je,51
dirai,dire,15
à,à,81
Fabrice,Fabrice,20
:,:,p
ingrat,ingrat,30
!,!,p
c',ce,52
est,être,17
pour,pour,81
toi,toi,51
!,!,p
/…,/…,P
oui,oui,60
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
trouver,trouver,14
d',de,81
occupation,occupation,22
pour,pour,81
ce,ce,74
peu,peu,60
de,de,81
vie,vie,22
qui,qui,52
me,je,51
reste,rester,17
qu',que,83
à,à,81
Parme,Parme,20
;,;,p
j',je,51
y,y,52
ferai,faire,15
la,le,71
grande,grand,30
dame,dame,22
/.,/.,P
quel,quel,75
bonheur,bonheur,21
si,si,83
je,je,51
pouvais,pouvoir,18
être,être,14
sensible,sensible,30
maintenant,maintenant,60
à,à,81
toutes,tout,75
ces,ce,74
distinctions,distinction,22
qui,qui,52
autrefois,autrefois,60
faisaient,faire,18
le,le,71
malheur,malheur,21
de,de,81
la,le,71
Raversi,Raversi,20
/!,/!,P
alors,alors,60
",",",",p
pour,pour,81
voir,voir,14
mon,mon,73
bonheur,bonheur,21
",",",",p
j',je,51
avais,avoir,18
besoin,besoin,21
de,de,81
regarder,regarder,14
dans,dans,81
les,le,71
yeux,oeil,21
de,de,81
l',le,71
envie,envie,22
/…,/…,P
ma,mon,73
vanité,vanité,22
a,avoir,17
un,un,71
bonheur,bonheur,21
;,;,p
à,à,81
l',le,71
exception,exception,22
du,de,81
du,le,71
comte,comte,21
peut-être,peut-être,60
",",",",p
personne,personne,52
n',ne,60
aura,avoir,15
pu,pouvoir,12
deviner,deviner,14
quel,quel,52
a,avoir,17
été,être,12
l',le,71
événement,événement,21
qui,qui,52
a,avoir,17
mis,mettre,12
fin,fin,22
à,à,81
la,le,71
vie,vie,22
de,de,81
mon,mon,73
coeur,coeur,21
/…,/…,P
j',je,51
aimerai,aimer,15
Fabrice,Fabrice,20
",",",",p
je,je,51
serai,être,16
dévouée,dévouer,12
à,à,81
sa,son,73
fortune,fortune,22
",",",",p
mais,mais,82
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
qu',que,83
il,il,51
rompe,rompre,17
le,le,71
mariage,mariage,21
de,de,81
la,le,71
Clélia,Clélia,20
",",",",p
et,et,82
qu',que,83
il,il,51
finisse,finir,17
par,par,81
l',le,52
épouser,épouser,14
/…,/…,P
non,non,60
",",",",p
cela,cela,52
ne,ne,60
sera,être,15
pas,pas,60
/!,/!,P
la,le,71
duchesse,duchesse,22
en,en,52
était,être,18
là,là,60
de,de,81
son,son,73
triste,triste,30
monologue,monologue,21
lorsqu',lorsque,83
elle,il,51
entendit,entendre,19
un,un,71
grand,grand,30
bruit,bruit,21
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
-,-,p
bon,bon,60
!,!,p
se,se,51
dit,dire,19
elle,il,51
",",",",p
voilà,voilà,81
qu',que,83
on,on,51
vient,venir,17
m',je,51
arrêter,arrêter,14
;,;,p
Ferrante,Ferrante,20
se,se,51
sera,être,15
laissé,laisser,12
prendre,prendre,14
",",",",p
il,il,51
aura,avoir,15
parlé,parler,12
/.,/.,P
eh,eh,93
bien,bien,60
tant,tant,60
mieux,mieux,60
!,!,p
je,je,51
vais,aller,17
avoir,avoir,14
une,un,71
occupation,occupation,22
",",",",p
je,je,51
vais,aller,17
leur,leur,52
disputer,disputer,14
ma,mon,73
tête,tête,22
/.,/.,P
mais,mais,82
primo,primo,60
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
se,se,51
laisser,laisser,14
prendre,prendre,14
/.,/.,P
la,le,71
duchesse,duchesse,22
",",",",p
à,à,81
demi,demi,30
vêtue,vêtu,31
",",",",p
s',se,51
enfuit,enfuir,19
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
jardin,jardin,21
:,:,p
elle,il,51
songeait,songer,18
déjà,déjà,60
à,à,81
passer,passer,14
par-dessus,par-dessus,60
un,un,71
petit,petit,30
mur,mur,21
et,et,82
à,à,81
se,se,51
sauver,sauver,14
dans,dans,81
la,le,71
campagne,campagne,22
;,;,p
mais,mais,82
elle,il,51
vit,voir,19
qu',que,83
on,on,51
entrait,entrer,18
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
elle,il,51
reconnut,reconnaître,19
Bruno,Bruno,20
",",",",p
l',le,71
homme,homme,21
de,de,81
confiance,confiance,22
du,de,81
du,le,71
comte,comte,21
:,:,p
il,il,51
était,être,18
seul,seul,30
avec,avec,81
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
/.,/.,P
elle,il,51
s',se,51
approcha,approcher,19
de,de,81
la,le,71
porte-fenêtre,porte-fenêtre,22
/.,/.,P
cet,ce,74
homme,homme,21
parlait,parler,18
à,à,81
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
des,de,81
des,le,71
blessures,blessure,22
qu',que,52
il,il,51
avait,avoir,18
reçues,recevoir,12
/.,/.,P
la,le,71
duchesse,duchesse,22
rentra,rentrer,19
chez,chez,81
elle,il,51
",",",",p
Bruno,Bruno,20
se,se,51
jeta,jeter,19
presque,presque,60
à,à,81
ses,son,73
pieds,pied,21
",",",",p
la,le,52
conjurant,conjurer,13
de,de,81
ne,ne,60
pas,pas,60
dire,dire,14
au,à,81
au,le,71
comte,comte,21
l',le,71
heure,heure,22
ridicule,ridicule,30
à,à,81
laquelle,lequel,52
il,il,51
arrivait,arriver,18
/.,/.,P
-,-,p
aussitôt,aussitôt,60
la,le,71
mort,mort,22
du,de,81
du,le,71
prince,prince,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
monsieur,monsieur,21
le,le,71
comte,comte,21
a,avoir,17
donné,donner,12
l',le,71
ordre,ordre,21
",",",",p
à,à,81
toutes,tout,75
les,le,71
postes,poste,22
",",",",p
de,de,81
ne,ne,60
pas,pas,60
fournir,fournir,14
de,de,81
chevaux,cheval,21
aux,à,81
aux,le,71
sujets,sujet,21
des,de,81
des,le,71
états,état,21
de,de,81
Parme,Parme,20
/.,/.,P
en,en,81
conséquence,conséquence,22
",",",",p
je,je,51
suis,être,17
allé,aller,12
jusqu',jusque,81
au,à,81
au,le,71
Pô,Pô,20
avec,avec,81
les,le,71
chevaux,cheval,21
de,de,81
la,le,71
maison,maison,22
;,;,p
mais,mais,82
au,à,81
au,le,71
sortir,sortir,21
de,de,81
la,le,71
barque,barque,22
",",",",p
ma,mon,73
voiture,voiture,22
a,avoir,17
été,être,12
renversée,renverser,12
",",",",p
brisée,briser,12
",",",",p
abîmée,abîmer,12
",",",",p
et,et,82
j',je,51
ai,avoir,17
eu,avoir,12
des,de,81
des,le,71
contusions,contusion,22
si,si,60
graves,grave,30
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
monter,monter,14
à,à,81
cheval,cheval,21
",",",",p
comme,comme,83
c',ce,52
était,être,18
mon,mon,73
devoir,devoir,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
la,le,71
duchesse,duchesse,22
",",",",p
il,il,51
est,être,17
trois,trois,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
:,:,p
je,je,51
dirai,dire,15
que,que,83
vous,vous,51
êtes,être,17
arrivé,arriver,12
à,à,81
midi,midi,21
;,;,p
vous,vous,51
n',ne,60
allez,aller,17
pas,pas,60
me,je,51
contredire,contredire,14
/.,/.,P
-,-,p
je,je,51
reconnais,reconnaître,17
bien,bien,60
les,le,71
bontés,bonté,22
de,de,81
madame,madame,22
/.,/.,P
la,le,71
politique,politique,22
dans,dans,81
une,un,71
oeuvre,oeuvre,22
littéraire,littéraire,30
",",",",p
c',ce,52
est,être,17
un,un,71
coup,coup,21
de,de,81
pistolet,pistolet,21
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
concert,concert,21
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
grossier,grossier,30
et,et,82
auquel,à,81
auquel,lequel,52
pourtant,pourtant,60
il,il,51
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
de,de,81
refuser,refuser,14
son,son,73
attention,attention,22
/.,/.,P
nous,nous,51
allons,aller,17
parler,parler,14
de,de,81
fort,fort,60
vilaines,vilain,30
choses,chose,22
",",",",p
et,et,82
que,que,52
",",",",p
pour,pour,81
plus,plus,60
d',de,81
une,un,71
raison,raison,22
",",",",p
nous,nous,51
voudrions,vouloir,16
taire,taire,14
;,;,p
mais,mais,82
nous,nous,51
sommes,être,17
forcés,forcer,12
d',de,81
en,en,52
venir,venir,14
à,à,81
des,de,81
des,le,71
événements,événement,21
qui,qui,52
sont,être,17
de,de,81
notre,notre,73
domaine,domaine,21
",",",",p
puisqu',puisque,83
ils,ils,51
ont,avoir,17
pour,pour,81
théâtre,théâtre,21
le,le,71
coeur,coeur,21
des,de,81
des,le,71
personnages,personnage,21
/.,/.,P
-,-,p
mais,mais,82
",",",",p
grand,grand,30
dieu,dieu,21
!,!,p
comment,comment,60
est,être,17
mort,mourir,12
ce,ce,74
grand,grand,30
prince,prince,21
?,?,p
dit,dire,19
la,le,71
duchesse,duchesse,22
à,à,81
Bruno,Bruno,20
/.,/.,P
-,-,p
il,il,51
était,être,18
à,à,81
la,le,71
chasse,chasse,22
des,de,81
des,le,71
oiseaux,oiseau,21
de,de,81
passage,passage,21
",",",",p
dans,dans,81
les,le,71
marais,marais,21
",",",",p
le,le,71
long,long,21
du,de,81
du,le,71
Pô,Pô,20
",",",",p
à,à,81
deux,deux,72
lieues,lieue,22
de,de,81
Sacca,Sacca,20
/.,/.,P
il,il,51
est,être,17
tombé,tomber,12
dans,dans,81
un,un,71
trou,trou,21
caché,caché,31
par,par,81
une,un,71
touffe,touffe,22
d',de,81
herbe,herbe,22
:,:,p
il,il,51
était,être,18
tout,tout,52
en,en,81
sueur,sueur,22
",",",",p
et,et,82
le,le,71
froid,froid,21
l',le,52
a,avoir,17
saisi,saisir,12
;,;,p
on,on,51
l',le,52
a,avoir,17
transporté,transporter,12
dans,dans,81
une,un,71
maison,maison,22
isolée,isolé,31
",",",",p
où,où,60
il,il,51
est,être,17
mort,mourir,12
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
heures,heure,22
/.,/.,P
d',de,81
autres,autre,52
prétendent,prétendre,17
que,que,83
messieurs,monsieur,21
Catena,Catena,20
et,et,82
Borone,Borone,20
sont,être,17
morts,mourir,12
aussi,aussi,60
",",",",p
et,et,82
que,que,83
tout,tout,75
l',le,71
accident,accident,21
provient,provenir,17
des,de,81
des,le,71
casseroles,casserole,22
de,de,81
cuivre,cuivre,21
du,de,81
du,le,71
paysan,paysan,21
chez,chez,81
lequel,lequel,52
on,on,51
est,être,17
entré,entrer,12
",",",",p
qui,qui,52
étaient,être,18
remplies,remplir,12
de,de,81
vert-de-gris,vert-de-gris,22
/.,/.,P
on,on,51
a,avoir,17
déjeuné,déjeuner,12
chez,chez,81
cet,ce,74
homme,homme,21
/.,/.,P
enfin,enfin,60
",",",",p
les,le,71
têtes,tête,22
exaltées,exalté,31
",",",",p
les,le,71
jacobins,jacobin,21
",",",",p
qui,qui,52
racontent,raconter,17
ce,ce,52
qu',que,52
ils,ils,51
désirent,désirer,17
",",",",p
parlent,parler,17
de,de,81
poison,poison,21
/.,/.,P
je,je,51
sais,savoir,17
que,que,83
mon,mon,73
ami,ami,21
Toto,Toto,20
",",",",p
