11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
la,le,71
confusion,confusion,22
il,il,51
faut,falloir,17
",",",",p
en,en,81
France,France,20
",",",",p
beaucoup,beaucoup,60
de,de,81
fermeté,fermeté,22
et,et,82
une,un,71
grande,grand,30
étendue,étendue,22
d',de,81
esprit,esprit,21
pour,pour,81
se,se,51
passer,passer,14
des,de,81
des,le,71
charges,charge,22
et,et,82
des,de,81
des,le,71
emplois,emploi,21
",",",",p
et,et,82
consentir,consentir,14
ainsi,ainsi,60
à,à,81
demeurer,demeurer,14
chez,chez,81
soi,soi,51
à,à,81
ne,ne,60
rien,rien,52
faire,faire,14
/.,/.,P
personne,personne,52
",",",",p
presque,presque,60
",",",",p
n',ne,60
a,avoir,17
assez,assez,60
de,de,81
mérite,mérite,21
pour,pour,81
jouer,jouer,14
ce,ce,74
rôle,rôle,21
avec,avec,81
dignité,dignité,22
",",",",p
ni,ni,82
assez,assez,60
de,de,81
fonds,fonds,21
pour,pour,81
remplir,remplir,14
le,le,71
vide,vide,21
du,de,81
du,le,71
temps,temps,21
",",",",p
sans,sans,81
ce,ce,52
que,que,52
le,le,71
vulgaire,vulgaire,21
appelle,appeler,17
les,le,71
affaires,affaire,22
/.,/.,P
il,il,51
ne,ne,60
manque,manquer,17
cependant,cependant,82
à,à,81
l',le,71
oisiveté,oisiveté,22
du,de,81
du,le,71
sage,sage,21
qu',que,83
un,un,71
meilleur,meilleur,30
nom,nom,21
",",",",p
et,et,82
que,que,83
méditer,méditer,14
",",",",p
parler,parler,14
",",",",p
lire,lire,14
et,et,82
être,être,14
tranquille,tranquille,30
",",",",p
s',se,51
appelât,appeler,18
travailler,travailler,14
/.,/.,P
La Bruyère,La Bruyère,20
/.,/.,P
pendant,pendant,81
cette,ce,74
même,même,75
matinée,matinée,22
dont,dont,52
nous,nous,51
avons,avoir,17
vu,voir,12
les,le,71
effets,effet,21
divers,divers,30
chez,chez,81
Gaston,Gaston,20
d',de,81
Orléans,Orléans,20
et,et,82
chez,chez,81
la,le,71
reine,reine,22
",",",",p
le,le,71
calme,calme,21
et,et,82
le,le,71
silence,silence,21
de,de,81
l',le,71
étude,étude,22
régnaient,régner,18
dans,dans,81
un,un,71
cabinet,cabinet,21
modeste,modeste,30
d',de,81
une,un,71
grande,grand,30
maison,maison,22
voisine,voisin,30
du,de,81
du,le,71
palais,palais,21
de,de,81
justice,justice,22
/.,/.,P
une,un,71
lampe,lampe,22
de,de,81
cuivre,cuivre,21
d',de,81
une,un,71
forme,forme,22
gothique,gothique,30
y,y,52
luttait,lutter,18
avec,avec,81
le,le,71
jour,jour,21
naissant,naissant,30
",",",",p
et,et,82
jetait,jeter,18
sa,son,73
lumière,lumière,22
rougeâtre,rougeâtre,30
sur,sur,81
un,un,71
amas,amas,21
de,de,81
papiers,papier,21
et,et,82
de,de,81
livres,livre,21
qui,qui,52
couvraient,couvrir,18
une,un,71
grande,grand,30
table,table,22
;,;,p
elle,il,51
éclairait,éclairer,18
le,le,71
buste,buste,21
de,de,81
l',le,71
Hospital,Hospital,20
",",",",p
celui,celui,52
de,de,81
Montaigne,Montaigne,20
",",",",p
du,de,81
du,le,71
président,président,21
de,de,81
Thou,Thou,20
l',le,71
historien,historien,21
",",",",p
et,et,82
du,de,81
du,le,71
roi,roi,21
Louis XIII,Louis XIII,20
;,;,p
une,un,71
cheminée,cheminée,22
assez,assez,60
haute,haut,30
pour,pour,81
qu',que,83
un,un,71
homme,homme,21
pût,pouvoir,18
y,y,52
entrer,entrer,14
",",",",p
et,et,82
même,même,60
s',se,51
y,y,52
asseoir,asseoir,14
",",",",p
était,être,18
remplie,remplir,12
par,par,81
un,un,71
grand,grand,30
feu,feu,21
brûlant,brûler,13
sur,sur,81
d',de,81
énormes,énorme,30
chenets,chenet,21
de,de,81
fer,fer,21
/.,/.,P
sur,sur,81
l',le,71
un,un,52
de,de,81
ces,ce,74
chenets,chenet,21
était,être,18
appuyé,appuyer,12
le,le,71
pied,pied,21
du,de,81
du,le,71
studieux,studieux,30
de,de,81
Thou,Thou,20
",",",",p
qui,qui,52
",",",",p
déjà,déjà,60
levé,levé,31
",",",",p
examinait,examiner,18
avec,avec,81
attention,attention,22
les,le,71
oeuvres,oeuvre,22
nouvelles,nouveau,30
de,de,81
Descartes,Descartes,20
et,et,82
de,de,81
Grotius,Grotius,20
;,;,p
il,il,51
écrivait,écrire,18
",",",",p
sur,sur,81
son,son,73
genou,genou,21
",",",",p
ses,son,73
notes,note,22
sur,sur,81
ces,ce,74
livres,livre,21
de,de,81
philosophie,philosophie,22
et,et,82
de,de,81
politique,politique,22
qui,qui,52
faisaient,faire,18
alors,alors,60
le,le,71
sujet,sujet,21
de,de,81
toutes,tout,75
les,le,71
conversations,conversation,22
;,;,p
mais,mais,82
en,en,81
ce,ce,74
moment,moment,21
les,le,71
méditations,méditation,22
métaphysiques,métaphysique,30
absorbaient,absorber,18
toute,tout,75
son,son,73
attention,attention,22
;,;,p
le,le,71
philosophe,philosophe,21
de,de,81
la,le,71
Touraine,Touraine,20
enchantait,enchanter,18
le,le,71
jeune,jeune,30
conseiller,conseiller,21
/.,/.,P
souvent,souvent,60
",",",",p
dans,dans,81
son,son,73
enthousiasme,enthousiasme,21
",",",",p
il,il,51
frappait,frapper,18
sur,sur,81
le,le,71
livre,livre,21
en,en,81
jetant,jeter,13
des,de,81
des,le,71
cris,cri,21
d',de,81
admiration,admiration,22
;,;,p
quelquefois,quelquefois,60
il,il,51
prenait,prendre,18
une,un,71
sphère,sphère,22
placée,placé,31
près,près,81
de,de,81
lui,lui,51
",",",",p
et,et,82
",",",",p
la,le,52
tournant,tourner,13
longtemps,longtemps,60
sous,sous,81
ses,son,73
doigts,doigt,21
",",",",p
s',se,51
enfonçait,enfoncer,18
dans,dans,81
les,le,71
