11581
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-troisième extrait>,<>,<>
la,le,71
main,main,22
",",",",p
le,le,52
conduisit,conduire,19
au,à,81
au,le,71
piano,piano,21
placé,placé,31
à,à,81
l',le,71
angle,angle,21
de,de,81
la,le,71
terrasse,terrasse,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
en,en,81
ouvrant,ouvrir,13
un,un,71
cahier,cahier,21
de,de,81
musique,musique,22
sur,sur,81
le,le,71
pupitre,pupitre,21
:,:,p
“,“,p
mon,mon,73
ami,ami,21
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
en,en,81
train,train,21
de,de,81
causer,causer,14
aujourd'hui,aujourd'hui,60
et,et,82
",",",",p
“,“,p
ce,ce,52
qui,qui,52
ne,ne,60
vaut,valoir,17
pas,pas,60
la,le,71
peine,peine,22
d',de,81
être,être,14
dit,dire,12
",",",",p
on,on,51
le,le,52
chante,chanter,17
“,“,p
;,;,p
vous,vous,51
allez,aller,17
donc,donc,82
faire,faire,14
votre,votre,73
partie,partie,22
dans,dans,81
ce,ce,74
duettino,duettino,92
",",",",p
dont,dont,52
l',le,71
accompagnement,accompagnement,21
n',ne,60
est,être,17
pas,pas,60
difficile,difficile,30
:,:,p
ce,ce,52
ne,ne,60
sont,être,17
presque,presque,60
que,que,83
des,de,81
des,le,71
accords,accord,21
plaqués,plaqué,31
/.,/.,P
“,“,p
Paul,Paul,20
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
tabouret,tabouret,21
",",",",p
miss,miss,22
Alicia,Alicia,20
se,se,51
mit,mettre,19
debout,debout,60
près,près,81
de,de,81
lui,lui,51
",",",",p
de,de,81
manière,manière,22
à,à,81
pouvoir,pouvoir,14
suivre,suivre,14
le,le,71
chant,chant,21
sur,sur,81
la,le,71
partition,partition,22
/.,/.,P
le,le,71
commodore,commodore,21
renversa,renverser,19
sa,son,73
tête,tête,22
",",",",p
allongea,allonger,19
ses,son,73
jambes,jambe,22
et,et,82
prit,prendre,19
une,un,71
pose,pose,22
de,de,81
béatitude,béatitude,22
anticipée,anticipé,31
",",",",p
car,car,82
il,il,51
avait,avoir,18
des,de,81
des,le,71
prétentions,prétention,22
au,à,81
au,le,71
dilettantisme,dilettantisme,21
et,et,82
affirmait,affirmer,18
adorer,adorer,14
la,le,71
musique,musique,22
;,;,p
mais,mais,82
dès,dès,81
la,le,71
sixième,sixième,72
mesure,mesure,22
il,il,51
s',se,51
endormait,endormir,18
du,de,81
du,le,71
sommeil,sommeil,21
des,de,81
des,le,71
justes,juste,21
",",",",p
sommeil,sommeil,21
qu',que,52
il,il,51
s',se,51
obstinait,obstiner,18
",",",",p
malgré,malgré,81
les,le,71
railleries,raillerie,22
de,de,81
sa,son,73
nièce,nièce,22
",",",",p
à,à,81
appeler,appeler,14
une,un,71
extase,extase,22
",",",",p
-,-,p
quoiqu',quoique,83
il,il,51
lui,lui,51
arrivât,arriver,18
quelquefois,quelquefois,60
de,de,81
ronfler,ronfler,14
",",",",p
symptôme,symptôme,21
médiocrement,médiocrement,60
extatique,extatique,30
/.,/.,P
le,le,71
duettino,duettino,92
était,être,18
une,un,71
vive,vif,30
et,et,82
légère,léger,30
mélodie,mélodie,22
",",",",p
dans,dans,81
le,le,71
goût,goût,21
de,de,81
Cimarosa,Cimarosa,20
",",",",p
sur,sur,81
des,de,81
des,le,71
paroles,parole,22
de,de,81
Métastase,Métastase,20
",",",",p
et,et,82
que,que,52
nous,nous,51
ne,ne,60
saurions,savoir,16
mieux,mieux,60
définir,définir,14
qu',que,83
en,en,81
la,le,52
comparant,comparer,13
à,à,81
un,un,71
papillon,papillon,21
traversant,traverser,13
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
/.,/.,P
la,le,71
musique,musique,22
a,avoir,17
le,le,71
pouvoir,pouvoir,21
de,de,81
chasser,chasser,14
les,le,71
mauvais,mauvais,30
esprits,esprit,21
:,:,p
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
phrases,phrase,22
",",",",p
Paul,Paul,20
ne,ne,60
pensait,penser,18
plus,plus,60
aux,à,81
aux,le,71
doigts,doigt,21
conjurateurs,conjurateur,30
",",",",p
aux,à,81
aux,le,71
cornes,corne,22
magiques,magique,30
",",",",p
aux,à,81
aux,le,71
amulettes,amulette,22
de,de,81
corail,corail,21
;,;,p
il,il,51
avait,avoir,18
oublié,oublier,12
le,le,71
terrible,terrible,30
bouquin,bouquin,21
du,de,81
du,le,71
signor,signor,21
Valetta,Valetta,20
et,et,82
toutes,tout,75
les,le,71
rêveries,rêverie,22
de,de,81
la,le,71
jettatura,jettatura,92
/.,/.,P
son,son,73
âme,âme,22
montait,monter,18
gaiement,gaiement,60
",",",",p
avec,avec,81
la,le,71
voix,voix,22
d',de,81
Alicia,Alicia,20
",",",",p
dans,dans,81
un,un,71
air,air,21
pur,pur,30
et,et,82
lumineux,lumineux,30
/.,/.,P
les,le,71
cigales,cigale,22
faisaient,faire,18
silence,silence,21
comme,comme,83
pour,pour,81
écouter,écouter,14
",",",",p
et,et,82
la,le,71
brise,brise,22
de,de,81
mer,mer,22
qui,qui,52
venait,venir,18
de,de,81
se,se,51
lever,lever,14
emportait,emporter,18
les,le,71
notes,note,22
avec,avec,81
les,le,71
pétales,pétale,21
des,de,81
des,le,71
fleurs,fleur,22
tombés,tombé,31
des,de,81
des,le,71
vases,vase,21
sur,sur,81
le,le,71
rebord,rebord,21
de,de,81
la,le,71
terrasse,terrasse,22
/.,/.,P
“,“,p
mon,mon,73
oncle,oncle,21
dort,dormir,17
comme,comme,83
les,le,71
sept,sept,72
dormants,dormant,30
dans,dans,81
leur,leur,73
grotte,grotte,22
/.,/.,P
s',si,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
coutumier,coutumier,30
du,de,81
du,le,71
fait,fait,21
",",",",p
il,il,51
y,y,52
aurait,avoir,16
de,de,81
quoi,quoi,52
froisser,froisser,14
notre,notre,73
amour-propre,amour-propre,21
de,de,81
virtuoses,virtuose,21
",",",",p
dit,dire,17
Alicia,Alicia,20
en,en,81
refermant,refermer,13
le,le,71
cahier,cahier,21
/.,/.,P
pendant,pendant,81
qu',que,83
il,il,51
repose,reposer,17
",",",",p
voulez,vouloir,17
vous,vous,51
faire,faire,14
un,un,71
tour,tour,21
de,de,81
jardin,jardin,21
avec,avec,81
moi,moi,51
",",",",p
Paul,Paul,20
?,?,p
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
pas,pas,60
encore,encore,60
montré,montrer,12
mon,mon,73
paradis,paradis,21
/.,/.,P
“,“,p
et,et,82
elle,il,51
prit,prendre,19
à,à,81
un,un,71
clou,clou,21
planté,planté,31
dans,dans,81
l',le,71
une,un,52
des,de,81
des,le,71
colonnes,colonne,22
",",",",p
où,où,60
il,il,51
était,être,18
suspendu,suspendre,12
par,par,81
des,de,81
des,le,71
brides,bride,22
",",",",p
un,un,71
large,large,30
chapeau,chapeau,21
de,de,81
paille,paille,22
de,de,81
Florence,Florence,20
/.,/.,P
Alicia,Alicia,20
professait,professer,18
en,en,81
fait,fait,21
d',de,81
horticulture,horticulture,22
les,le,71
principes,principe,21
les,le,71
plus,plus,60
bizarres,bizarre,30
;,;,p
elle,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
qu',que,83
on,on,51
cueillît,cueillir,18
les,le,71
fleurs,fleur,22
ni,ni,82
qu',que,83
on,on,51
taillât,tailler,18
les,le,71
branches,branche,22
;,;,p
et,et,82
ce,ce,52
qui,qui,52
l',le,52
avait,avoir,18
charmée,charmer,12
dans,dans,81
la,le,71
villa,villa,22
",",",",p
c',ce,52
était,être,18
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
l',le,71
état,état,21
sauvagement,sauvagement,60
inculte,inculte,30
du,de,81
du,le,71
jardin,jardin,21
/.,/.,P
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
se,se,51
frayaient,frayer,18
une,un,71
route,route,22
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
massifs,massif,21
qui,qui,52
se,se,51
rejoignaient,rejoindre,18
aussitôt,aussitôt,60
après,après,81
leur,leur,73
passage,passage,21
/.,/.,P
Alicia,Alicia,20
marchait,marcher,18
devant,devant,81
et,et,82
riait,rire,18
de,de,81
voir,voir,14
Paul,Paul,20
cinglé,cinglé,31
derrière,derrière,81
elle,il,51
par,par,81
