11767
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-cinquième extrait>,<>,<> 
il,il,51
s',se,51
habilla,habiller,19
tristement,tristement,60
/.,/.,P
une,un,71
pensée,pensée,22
lui,lui,51
était,être,18
venue,venir,12
tout,tout,60
en,en,81
ficelant,ficeler,13
ses,son,73
bottines,bottine,22
",",",",p
mais,mais,82
il,il,51
la,le,52
repoussa,repousser,19
d'abord,d'abord,60
;,;,p
cependant,cependant,82
elle,il,51
revint,revenir,19
",",",",p
et,et,82
il,il,51
mit,mettre,19
son,son,73
gilet,gilet,21
à,à,81
l',le,71
envers,envers,21
",",",",p
signe,signe,21
évident,évident,30
d',de,81
un,un,71
violent,violent,30
combat,combat,21
intérieur,intérieur,30
/.,/.,P
enfin,enfin,60
il,il,51
jeta,jeter,19
rudement,rudement,60
son,son,73
bonnet,bonnet,21
à,à,81
terre,terre,22
et,et,82
s',se,51
écria,écrier,19
:,:,p
-,-,p
tant,tant,60
pis,pis,60
!,!,p
il,il,51
en,en,52
sera,être,15
ce,ce,52
qu',que,52
il,il,51
pourra,pouvoir,15
/.,/.,P
je,je,51
vais,aller,17
aller,aller,14
chez,chez,81
mon,mon,73
frère,frère,21
/.,/.,P
j',je,51
attraperai,attraper,15
un,un,71
sermon,sermon,21
",",",",p
mais,mais,82
j',je,51
attraperai,attraper,15
un,un,71
écu,écu,21
/.,/.,P
alors,alors,60
il,il,51
endossa,endosser,19
précipitamment,précipitamment,60
sa,son,73
casaque,casaque,22
à,à,81
mahoîtres,mahoître,22
fourrées,fourré,31
",",",",p
ramassa,ramasser,19
son,son,73
bonnet,bonnet,21
et,et,82
sortit,sortir,19
en,en,81
désespéré,désespéré,21
/.,/.,P
il,il,51
descendit,descendre,19
la,le,71
rue,rue,22
de,de,81
la,le,71
Harpe,Harpe,20
vers,vers,81
la,le,71
Cité,Cité,20
/.,/.,P
en,en,81
passant,passer,13
devant,devant,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Huchette,Huchette,20
",",",",p
l',le,71
odeur,odeur,22
de,de,81
ces,ce,74
admirables,admirable,30
broches,broche,22
qui,qui,52
tournaient,tourner,18
incessamment,incessamment,60
vint,venir,19
chatouiller,chatouiller,14
son,son,73
appareil,appareil,21
olfactif,olfactif,30
",",",",p
et,et,82
il,il,51
donna,donner,19
un,un,71
regard,regard,21
d',de,81
amour,amour,21
à,à,81
la,le,71
cyclopéenne,cyclopéen,30
rôtisserie,rôtisserie,22
qui,qui,52
arracha,arracher,19
un,un,71
jour,jour,21
au,à,81
au,le,71
cordelier,cordelier,21
Calatagirone,Calatagirone,20
cette,ce,74
pathétique,pathétique,30
exclamation,exclamation,22
:,:,p
veramente,veramente,92
",",",",p
queste,queste,92
rôtisserie,rôtisserie,22
sono,sono,22
cosa,cosa,92
stupenda,stupenda,92
/!,/!,P
mais,mais,82
Jehan,Jehan,20
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
quoi,quoi,52
déjeuner,déjeuner,14
",",",",p
et,et,82
il,il,51
s',se,51
enfonça,enfoncer,19
avec,avec,81
un,un,71
profond,profond,30
soupir,soupir,21
sous,sous,81
le,le,71
porche,porche,21
du,de,81
du,le,71
Petit-Châtelet,Petit Châtelet,20
",",",",p
énorme,énorme,30
double,double,30
trèfle,trèfle,21
de,de,81
tours,tour,22
massives,massif,30
qui,qui,52
gardait,garder,18
l',le,71
entrée,entrée,22
de,de,81
la,le,71
Cité,Cité,20
/.,/.,P
il,il,51
ne,ne,60
prit,prendre,19
pas,pas,60
même,même,60
le,le,71
temps,temps,21
de,de,81
jeter,jeter,14
une,un,71
pierre,pierre,22
en,en,81
passant,passer,13
",",",",p
comme,comme,83
c',ce,52
était,être,18
l',le,71
usage,usage,21
",",",",p
à,à,81
la,le,71
misérable,misérable,30
statue,statue,22
de,de,81
ce,ce,74
Périnet,Périnet,20
Leclerc,Leclerc,20
qui,qui,52
avait,avoir,18
livré,livrer,12
le,le,71
Paris,Paris,20
de,de,81
Charles VI,Charles VI,20
aux,à,81
aux,le,71
Anglais,Anglais,20
",",",",p
crime,crime,21
que,que,52
son,son,73
effigie,effigie,22
",",",",p
la,le,71
face,face,22
écrasée,écrasé,31
de,de,81
pierres,pierre,22
et,et,82
souillée,souillé,31
de,de,81
boue,boue,22
",",",",p
a,avoir,17
expié,expier,12
pendant,pendant,81
trois,trois,72
siècles,siècle,21
au,à,81
au,le,71
coin,coin,21
des,de,81
des,le,71
rues,rue,22
de,de,81
la,le,71
Harpe,Harpe,20
et,et,82
de,de,81
Bussy,Bussy,20
",",",",p
comme,comme,83
à,à,81
un,un,71
pilori,pilori,21
éternel,éternel,30
/.,/.,P
le,le,71
Petit-Pont,Petit-Pont,20
traversé,traversé,31
",",",",p
la,le,71
rue,rue,22
neuve,neuf,30
Sainte-Geneviève,Sainte Geneviève,20
enjambée,enjambé,31
",",",",p
Jehan,Jehan,20
de,de,81
Molendino,Molendino,20
se,se,51
trouva,trouver,19
devant,devant,81
Notre-Dame,Notre Dame,20
/.,/.,P
alors,alors,60
son,son,73
indécision,indécision,22
le,le,52
reprit,reprendre,19
",",",",p
et,et,82
il,il,51
se,se,51
promena,promener,19
quelques,quelque,75
instants,instant,21
autour,autour,60
de,de,81
la,le,71
statue,statue,22
de,de,81
