11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
et,et,82
alors,alors,60
j',je,51
ai,avoir,17
craint,craindre,12
de,de,81
rester,rester,14
au-dessous,au-dessous,60
de,de,81
vous,vous,51
si,si,83
je,je,51
n',ne,60
abjurais,abjurer,18
ces,ce,74
soupçons,soupçon,21
puérils,puéril,30
et,et,82
ces,ce,74
mille,mille,72
exigences,exigence,22
de,de,81
femme,femme,22
qui,qui,52
rapetissent,rapetisser,17
les,le,71
amours,amour,21
vulgaires,vulgaire,30
/.,/.,P
j',je,51
ai,avoir,17
supporté,supporter,12
avec,avec,81
résignation,résignation,22
la,le,71
brièveté,brièveté,22
de,de,81
vos,votre,73
visites,visite,22
",",",",p
la,le,71
gêne,gêne,22
de,de,81
nos,notre,73
entretien,entretien,21
",",",",p
l',le,71
empressement,empressement,21
que,que,52
vous,vous,51
sembliez,sembler,18
mettre,mettre,14
à,à,81
éviter,éviter,14
tout,tout,75
épanchement,épanchement,21
avec,avec,81
moi,moi,51
;,;,p
j',je,51
ai,avoir,17
gardé,garder,12
ma,mon,73
confiance,confiance,22
en,en,81
vous,vous,51
/.,/.,P
le,le,71
ciel,ciel,21
m',je,51
est,être,17
témoin,témoin,21
que,que,83
",",",",p
lorsque,lorsque,83
l',le,71
inquiétude,inquiétude,22
et,et,82
l',le,71
épouvante,épouvante,22
me,je,51
rongeaient,ronger,18
le,le,71
coeur,coeur,21
",",",",p
je,je,51
les,le,52
repoussais,repousser,18
comme,comme,83
de,de,81
criminelles,criminel,30
pensées,pensée,22
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
je,je,51
viens,venir,17
chercher,chercher,14
la,le,71
récompense,récompense,22
de,de,81
ma,mon,73
foi,foi,22
;,;,p
le,le,71
moment,moment,21
est,être,17
venu,venir,12
:,:,p
dites,dire,17
",",",",p
acceptez,accepter,17
vous,vous,51
mes,mon,73
sacrifices,sacrifice,21
/?,/?,P
la,le,71
crise,crise,22
était,être,18
si,si,60
pressante,pressant,30
",",",",p
que,que,83
Raymon,Raymon,20
ne,ne,60
se,se,51
sentit,sentir,19
plus,plus,60
le,le,71
courage,courage,21
de,de,81
feindre,feindre,14
/.,/.,P
désespéré,désespéré,31
",",",",p
furieux,furieux,30
de,de,81
se,se,51
voir,voir,14
pris,pris,31
dans,dans,81
ses,son,73
propres,propre,30
pièges,piège,21
",",",",p
il,il,51
perdit,perdre,19
la,le,71
raison,raison,22
et,et,82
s',se,51
emporta,emporter,19
en,en,81
malédictions,malédiction,22
brutales,brutal,30
et,et,82
grossières,grossier,30
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
une,un,71
folle,folle,22
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
en,en,81
se,se,51
jetant,jeter,13
sur,sur,81
son,son,73
fauteuil,fauteuil,21
/.,/.,P
où,où,60
avez,avoir,17
vous,vous,51
rêvé,rêver,12
l',le,71
amour,amour,21
?,?,p
dans,dans,81
quel,quel,75
roman,roman,21
à,à,81
l',le,71
usage,usage,21
des,de,81
des,le,71
femmes,femme,22
de,de,81
chambre,chambre,22
avez,avoir,17
vous,vous,51
étudié,étudier,12
la,le,71
société,société,22
",",",",p
je,je,51
vous,vous,51
prie,prier,17
/?,/?,P
puis,puis,60
il,il,51
s',se,51
arrêta,arrêter,19
",",",",p
s',se,51
apercevant,apercevoir,13
qu',que,83
il,il,51
était,être,18
par,par,81
trop,trop,60
rude,rude,30
",",",",p
et,et,82
cherchant,chercher,13
dans,dans,81
sa,son,73
pensée,pensée,22
les,le,71
moyens,moyen,21
de,de,81
lui,lui,51
dire,dire,14
ces,ce,74
choses,chose,22
en,en,81
d',de,81
autres,autre,75
termes,terme,21
et,et,82
de,de,81
la,le,52
renvoyer,renvoyer,14
sans,sans,81
outrage,outrage,21
/.,/.,P
mais,mais,82
elle,il,51
était,être,18
calme,calme,30
comme,comme,83
une,un,71
personne,personne,22
préparée,préparé,31
à,à,81
tout,tout,52
entendre,entendre,14
/.,/.,P
-,-,p
continuez,continuer,17
",",",",p
dit,dire,19
elle,il,51
en,en,81
croisant,croiser,13
ses,son,73
bras,bras,21
sur,sur,81
son,son,73
coeur,coeur,21
",",",",p
dont,dont,52
les,le,71
mouvements,mouvement,21
se,se,51
paralysaient,paralyser,18
par,par,81
degrés,degré,21
",",",",p
je,je,51
vous,vous,51
écoute,écouter,17
;,;,p
sans,sans,81
doute,doute,21
vous,vous,51
avez,avoir,17
plus,plus,60
d',de,81
un,un,71
mot,mot,21
à,à,81
me,je,51
dire,dire,14
/.,/.,P
-,-,p
encore,encore,60
un,un,71
effort,effort,21
d',de,81
imagination,imagination,22
",",",",p
encore,encore,60
une,un,71
scène,scène,22
d',de,81
