11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
l',le,71
homme,homme,21
de,de,81
Meung,Meung,20
/.,/.,P
ce,ce,74
rassemblement,rassemblement,21
était,être,18
produit,produire,12
non,non,60
point,point,60
par,par,81
l',le,71
attente,attente,22
d',de,81
un,un,71
homme,homme,21
qu',que,52
on,on,51
devait,devoir,18
pendre,pendre,14
",",",",p
mais,mais,82
par,par,81
la,le,71
contemplation,contemplation,22
d',de,81
un,un,71
pendu,pendu,21
/.,/.,P
la,le,71
voiture,voiture,22
",",",",p
arrêtée,arrêté,31
un,un,71
instant,instant,21
",",",",p
reprit,reprendre,19
donc,donc,82
sa,son,73
marche,marche,22
",",",",p
traversa,traverser,19
la,le,71
foule,foule,22
",",",",p
continua,continuer,19
son,son,73
chemin,chemin,21
",",",",p
enfila,enfiler,19
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
",",",",p
tourna,tourner,19
la,le,71
rue,rue,22
des,de,81
des,le,71
bons,bon,30
enfants,enfant,21
et,et,82
s',se,51
arrêta,arrêter,19
devant,devant,81
une,un,71
porte,porte,22
basse,bas,30
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
deux,deux,72
gardes,garde,21
reçurent,recevoir,19
dans,dans,81
leurs,leur,73
bras,bras,21
Bonacieux,Bonacieux,20
",",",",p
soutenu,soutenu,31
par,par,81
l',le,71
exempt,exempt,21
;,;,p
on,on,51
le,le,52
poussa,pousser,19
dans,dans,81
une,un,71
allée,allée,22
",",",",p
on,on,51
lui,lui,51
fit,faire,19
monter,monter,14
un,un,71
escalier,escalier,21
",",",",p
et,et,82
on,on,51
le,le,52
déposa,déposer,19
dans,dans,81
une,un,71
antichambre,antichambre,22
/.,/.,P
tous,tout,75
ces,ce,74
mouvements,mouvement,21
s',se,51
étaient,être,18
opérés,opérer,12
pour,pour,81
lui,lui,51
d',de,81
une,un,71
façon,façon,22
machinale,machinal,30
/.,/.,P
il,il,51
avait,avoir,18
marché,marcher,12
comme,comme,83
on,on,51
marche,marcher,17
en,en,81
rêve,rêve,21
;,;,p
il,il,51
avait,avoir,18
entrevu,entrevoir,12
les,le,71
objets,objet,21
à,à,81
travers,travers,21
un,un,71
brouillard,brouillard,21
;,;,p
ses,son,73
oreilles,oreille,22
avaient,avoir,18
