11215
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quatrième extrait>,<>,<>
Guy,Guy,20
de,de,81
Malivert,Malivert,20
était,être,18
étendu,étendre,12
",",",",p
assis,asseoir,12
presque,presque,60
sur,sur,81
les,le,71
épaules,épaule,22
",",",",p
dans,dans,81
un,un,71
excellent,excellent,30
fauteuil,fauteuil,21
près,près,81
de,de,81
sa,son,73
cheminée,cheminée,22
",",",",p
où,où,60
flambait,flamber,18
un,un,71
bon,bon,30
feu,feu,21
/.,/.,P
il,il,51
semblait,sembler,18
avoir,avoir,14
pris,prendre,12
ses,son,73
dispositions,disposition,22
pour,pour,81
passer,passer,14
chez,chez,81
lui,lui,51
une,un,52
de,de,81
ces,ce,74
soirées,soirée,22
tranquilles,tranquille,30
dont,dont,52
la,le,71
fatigue,fatigue,22
des,de,81
des,le,71
joies,joie,22
mondaines,mondain,30
fait,faire,17
parfois,parfois,60
un,un,71
plaisir,plaisir,21
et,et,82
une,un,71
nécessité,nécessité,22
aux,à,81
aux,le,71
jeunes,jeune,30
gens,gens,21
à,à,81
la,le,71
mode,mode,22
/.,/.,P
un,un,71
saute,sauter,17
en,en,81
barque,barque,22
de,de,81
velours,velours,21
noir,noir,30
agrémenté,agrémenté,31
de,de,81
soutaches,soutache,22
en,en,81
soie,soie,22
de,de,81
même,même,75
couleur,couleur,22
",",",",p
une,un,71
chemise,chemise,22
de,de,81
foulard,foulard,21
",",",",p
un,un,71
pantalon,pantalon,21
à,à,81
pied,pied,21
de,de,81
flanelle,flanelle,22
rouge,rouge,30
",",",",p
de,de,81
larges,large,30
pantoufles,pantoufle,22
du,de,81
du,le,71
Maroc,Maroc,20
où,où,60
dansait,danser,18
son,son,73
pied,pied,21
nerveux,nerveux,30
et,et,82
cambré,cambré,31
",",",",p
composaient,composer,18
son,son,73
costume,costume,21
",",",",p
dont,dont,52
la,le,71
confortabilité,confortabilité,22
n',ne,60
excluait,exclure,18
pas,pas,60
l',le,71
élégance,élégance,22
/.,/.,P
le,le,71
corps,corps,21
débarrassé,débarrassé,31
de,de,81
toute,tout,75
pression,pression,22
incommode,incommode,30
",",",",p
à,à,81
l',le,71
aise,aise,22
dans,dans,81
ces,ce,74
vêtements,vêtement,21
moelleux,moelleux,30
et,et,82
souples,souple,30
",",",",p
Guy,Guy,20
de,de,81
Malivert,Malivert,20
",",",",p
qui,qui,52
avait,avoir,18
fait,faire,12
à,à,81
la,le,71
maison,maison,22
un,un,71
dîner,dîner,21
d',de,81
une,un,71
simplicité,simplicité,22
savante,savant,30
",",",",p
égayé,égayer,12
de,de,81
deux,deux,72
ou,ou,82
trois,trois,72
verres,verre,21
d',de,81
un,un,71
grand,grand,30
vin,vin,21
de,de,81
Bordeaux,Bordeaux,20
retour,retour,21
de,de,81
l',le,71
Inde,Inde,20
",",",",p
éprouvait,éprouver,18
cette,ce,74
sorte,sorte,22
de,de,81
béatitude,béatitude,22
physique,physique,30
",",",",p
résultat,résultat,21
de,de,81
l',le,71
accord,accord,21
parfait,parfait,31
des,de,81
des,le,71
organes,organe,21
/.,/.,P
il,il,51
était,être,18
heureux,heureux,30
sans,sans,81
qu',que,83
il,il,51
lui,lui,51
fût,être,19
arrivé,arriver,12
aucun,aucun,75
bonheur,bonheur,21
/.,/.,P
près,près,81
de,de,81
lui,lui,51
",",",",p
une,un,71
lampe,lampe,22
ajustée,ajusté,31
dans,dans,81
un,un,71
cornet,cornet,21
de,de,81
vieux,vieux,30
céladon,céladon,21
craquelé,craquelé,31
répandait,répandre,18
la,le,71
lumière,lumière,22
laiteuse,laiteux,30
et,et,82
douce,doux,30
de,de,81
son,son,73
globe,globe,21
dépoli,dépoli,31
",",",",p
semblable,semblable,30
à,à,81
une,un,71
lune,lune,22
qu',que,52
estompe,estomper,17
un,un,71
léger,léger,30
brouillard,brouillard,21
/.,/.,P
la,le,71
lueur,lueur,22
en,en,52
tombait,tomber,18
sur,sur,81
un,un,71
volume,volume,21
que,que,52
Guy,Guy,20
tenait,tenir,18
d',de,81
une,un,71
main,main,22
distraite,distrait,31
et,et,82
qui,qui,52
n',ne,60
était,être,18
autre,autre,30
que,que,83
l',le,71
Evangeline,Evangeline,20
de,de,81
Longfellow,Longfellow,20
/.,/.,P
sans,sans,81
doute,doute,21
Guy,Guy,20
admirait,admirer,18
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
plus,plus,60
grand,grand,30
poète,poète,21
qu',que,83
ait,avoir,17
produit,produire,12
encore,encore,60
la,le,71
jeune,jeune,30
Amérique,Amérique,20
",",",",p
mais,mais,82
il,il,51
était,être,18
dans,dans,81
cette,ce,74
paresseuse,paresseux,30
disposition,disposition,22
d',de,81
âme,âme,22
où,où,60
l',le,71
absence,absence,22
de,de,81
pensée,penser,12
est,être,17
préférable,préférable,30
à,à,81
la,le,71
plus,plus,60
belle,beau,30
idée,idée,22
exprimée,exprimé,31
en,en,81
termes,terme,21
sublimes,sublime,30
/.,/.,P
il,il,51
avait,avoir,18
lu,lire,12
quelques,quelque,75
vers,vers,21
",",",",p
puis,puis,60
",",",",p
sans,sans,81
quitter,quitter,14
le,le,71
livre,livre,21
",",",",p
il,il,51
avait,avoir,18
appuyé,appuyer,12
sa,son,73
tête,tête,22
au,à,81
au,le,71
douillet,douillet,30
capitonnage,capitonnage,21
du,de,81
du,le,71
fauteuil,fauteuil,21
recouvert,recouvert,31
d',de,81
une,un,71
guipure,guipure,22
",",",",p
et,et,82
il,il,51
jouissait,jouir,18
délicieusement,délicieusement,60
de,de,81
ce,ce,74
temps,temps,21
d',de,81
arrêt,arrêt,21
de,de,81
son,son,73
cerveau,cerveau,21
/.,/.,P
l',le,71
air,air,21
tiède,tiède,30
de,de,81
la,le,71
chambre,chambre,22
l',le,52
enveloppait,envelopper,18
d',de,81
une,un,71
suave,suave,30
caresse,caresse,22
/.,/.,P
autour,autour,60
de,de,81
lui,lui,51
tout,tout,52
était,être,18
repos,repos,21
",",",",p
bien-être,bien-être,21
",",",",p
silence,silence,21
discret,discret,30
",",",",p
quiétude,quiétude,22
intime,intime,30
/.,/.,P
le,le,71
seul,seul,30
bruit,bruit,21
perceptible,perceptible,30
était,être,18
le,le,71
sifflement,sifflement,21
d',de,81
un,un,71
jet,jet,21
de,de,81
gaz,gaz,21
sortant,sortant,30
d',de,81
une,un,71
bûche,bûche,22
et,et,82
le,le,71
tic-tac,tic-tac,21
de,de,81
la,le,71
pendule,pendule,22
dont,dont,52
le,le,71
balancier,balancier,21
rythmait,rythmer,18
le,le,71
temps,temps,21
à,à,81
voix,voix,22
basse,bas,30
/.,/.,P
on,on,51
était,être,18
en,en,81
hiver,hiver,21
;,;,p
la,le,71
neige,neige,22
récemment,récemment,60
tombée,tombé,31
assourdissait,assourdir,18
le,le,71
roulement,roulement,21
lointain,lointain,30
des,de,81
des,le,71
voitures,voiture,22
",",",",p
assez,assez,60
rares,rare,30
dans,dans,81
ce,ce,74
quartier,quartier,21
désert,désert,30
",",",",p
car,car,82
Guy,Guy,20
habitait,habiter,18
une,un,52
des,de,81
des,le,71
rues,rue,22
les,le,71
moins,moins,60
fréquentées,fréquenté,31
du,de,81
du,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
/.,/.,P
dix,dix,72
heures,heure,22
venaient,venir,18
de,de,81
sonner,sonner,14
",",",",p
et,et,82
notre,notre,73
paresseux,paresseux,30
se,se,51
félicitait,féliciter,18
de,de,81
ne,ne,60
pas,pas,60
être,être,14
en,en,81
habit,habit,21
noir,noir,30
et,et,82
en,en,81
cravate,cravate,22
blanche,blanc,30
debout,debout,60
dans,dans,81
une,un,71
embrasure,embrasure,22
de,de,81
croisée,croisée,22
au,à,81
au,le,71
bal,bal,21
de,de,81
quelque,quelque,75
ambassade,ambassade,22
",",",",p
ayant,avoir,13
pour,pour,81
perspective,perspective,22
les,le,71
maigres,maigre,30
omoplates,omoplate,22
d',de,81
une,un,71
vieille,vieux,30
douairière,douairière,22
trop,trop,60
décolletée,décolleté,31
/.,/.,P
bien,bien,60
qu',que,83
il,il,51
régnât,régner,18
dans,dans,81
la,le,71
chambre,chambre,22
une,un,71
température,température,22
de,de,81
serre,serre,22
chaude,chaud,30
",",",",p
on,on,51
sentait,sentir,18
qu',que,83
il,il,51
faisait,faire,18
froid,froid,21
dehors,dehors,60
",",",",p
rien,rien,52
qu',que,83
à,à,81
l',le,71
ardeur,ardeur,22
avec,avec,81
laquelle,lequel,52
brûlait,brûler,18
le,le,71
feu,feu,21
et,et,82
au,à,81
au,le,71
silence,silence,21
profond,profond,30
des,de,81
des,le,71
rues,rue,22
/.,/.,P
le,le,71
magnifique,magnifique,30
angora,angora,21
",",",",p
compagnon,compagnon,21
de,de,81
Malivert,Malivert,20
en,en,81
cette,ce,74
soirée,soirée,22
de,de,81
farniente,farniente,21
",",",",p
s',se,51
était,être,18
rapproché,rapprocher,12
du,de,81
du,le,71
foyer,foyer,21
à,à,81
roussir,roussir,14
sa,son,73
blanche,blanc,30
fourrure,fourrure,22
",",",",p
et,et,82
le,le,71
garde-feu,garde-feu,21
doré,doré,31
