11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
l',le,71
écu,écu,21
changé,changé,31
en,en,81
feuille,feuille,22
sèche,sec,30
/.,/.,P
Gringoire,Gringoire,20
et,et,82
toute,tout,75
la,le,71
cour,cour,22
des,de,81
des,le,71
miracles,miracle,21
étaient,être,18
dans,dans,81
une,un,71
mortelle,mortel,30
inquiétude,inquiétude,22
/.,/.,P
on,on,51
ne,ne,60
savait,savoir,18
depuis,depuis,81
un,un,71
grand,grand,30
mois,mois,21
ce,ce,52
qu',que,52
était,être,18
devenue,devenir,12
la,le,71
Esmeralda,Esmeralda,20
",",",",p
ce,ce,52
qui,qui,52
contristait,contrister,18
fort,fort,60
le,le,71
duc,duc,21
d',de,81
Egypte,Egypte,20
et,et,82
ses,son,73
amis,ami,21
les,le,71
truands,truand,21
",",",",p
ni,ni,82
ce,ce,52
qu',que,52
était,être,18
devenue,devenir,12
sa,son,73
chèvre,chèvre,22
",",",",p
ce,ce,52
qui,qui,52
redoublait,redoubler,18
la,le,71
douleur,douleur,22
de,de,81
Gringoire,Gringoire,20
/.,/.,P
un,un,71
soir,soir,21
",",",",p
l',le,71
égyptienne,égyptienne,22
avait,avoir,18
disparu,disparaître,12
",",",",p
et,et,82
depuis,depuis,81
lors,lors,60
n',ne,60
avait,avoir,18
plus,plus,60
donné,donner,12
signe,signe,21
de,de,81
vie,vie,22
/.,/.,P
toutes,tout,52
recherches,recherche,22
avaient,avoir,18
été,être,12
inutiles,inutile,30
/.,/.,P
quelques,quelque,75
sabouleux,sabouleux,21
taquins,taquin,30
disaient,dire,18
à,à,81
Gringoire,Gringoire,20
l',le,52
avoir,avoir,14
rencontrée,rencontrer,12
ce,ce,74
soir,soir,21
là,là,60
aux,à,81
aux,le,71
environs,environs,21
du,de,81
du,le,71
Pont Saint-Michel,Pont Saint-Michel,20
s',se,51
en,en,52
allant,aller,13
avec,avec,81
un,un,71
officier,officier,21
;,;,p
mais,mais,82
ce,ce,74
mari,mari,21
à,à,81
la,le,71
mode,mode,22
de,de,81
Bohême,Bohême,20
était,être,18
un,un,71
philosophe,philosophe,21
incrédule,incrédule,30
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
il,il,51
savait,savoir,18
mieux,mieux,60
que,que,83
personne,personne,52
à,à,81
quel,quel,75
point,point,21
sa,son,73
femme,femme,22
était,être,18
vierge,vierge,30
/.,/.,P
il,il,51
avait,avoir,18
pu,pouvoir,12
juger,juger,14
quelle,quel,75
pudeur,pudeur,22
inexpugnable,inexpugnable,30
résultait,résulter,18
des,de,81
des,le,71
deux,deux,72
vertus,vertu,22
combinées,combiné,31
de,de,81
l',le,71
amulette,amulette,22
et,et,82
de,de,81
l',le,71
égyptienne,égyptienne,22
",",",",p
et,et,82
il,il,51
avait,avoir,18
