11697
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-septième extrait>,<>,<>
à,à,81
petits,petit,30
pas,pas,21
",",",",p
Olivier,Olivier,20
retournait,retourner,18
chez,chez,81
lui,lui,51
",",",",p
troublé,troublé,31
comme,comme,83
s',si,83
il,il,51
venait,venir,18
d',de,81
apprendre,apprendre,14
un,un,71
honteux,honteux,30
secret,secret,21
de,de,81
famille,famille,22
/.,/.,P
il,il,51
essayait,essayer,18
de,de,81
sonder,sonder,14
son,son,73
coeur,coeur,21
",",",",p
de,de,81
voir,voir,14
clair,clair,60
en,en,81
lui,lui,51
",",",",p
de,de,81
lire,lire,14
ces,ce,74
pages,page,22
intimes,intime,30
du,de,81
du,le,71
livre,livre,21
intérieur,intérieur,30
qui,qui,52
semblent,sembler,17
collées,collé,31
l',le,71
une,un,52
à,à,81
l',le,71
autre,autre,52
",",",",p
et,et,82
que,que,52
seul,seul,30
",",",",p
parfois,parfois,60
",",",",p
un,un,71
doigt,doigt,21
étranger,étranger,30
peut,pouvoir,17
retourner,retourner,14
en,en,81
les,le,52
séparant,séparer,13
/.,/.,P
certes,certes,60
",",",",p
il,il,51
ne,ne,60
se,se,51
croyait,croire,18
pas,pas,60
amoureux,amoureux,30
d',de,81
Annette,Annette,20
/!,/!,P
la,le,71
comtesse,comtesse,22
",",",",p
dont,dont,52
la,le,71
jalousie,jalousie,22
ombrageuse,ombrageux,30
ne,ne,60
cessait,cesser,18
d',de,81
être,être,14
en,en,81
alerte,alerte,22
",",",",p
avait,avoir,18
prévu,prévoir,12
",",",",p
de,de,81
loin,loin,60
",",",",p
le,le,71
péril,péril,21
",",",",p
et,et,82
l',le,52
avait,avoir,18
signalé,signaler,12
avant,avant,81
qu',que,83
il,il,51
existât,exister,18
/.,/.,P
mais,mais,82
ce,ce,74
péril,péril,21
pouvait,pouvoir,18
il,il,51
exister,exister,14
",",",",p
demain,demain,60
",",",",p
après-demain,après-demain,60
",",",",p
dans,dans,81
un,un,71
mois,mois,21
/?,/?,P
c',ce,52
est,être,17
à,à,81
cette,ce,74
question,question,22
sincère,sincère,30
qu',que,52
il,il,51
essayait,essayer,18
de,de,81
répondre,répondre,14
sincèrement,sincèrement,60
/.,/.,P
certes,certes,60
",",",",p
la,le,71
petite,petite,22
remuait,remuer,18
ses,son,73
instincts,instinct,21
de,de,81
tendresse,tendresse,22
",",",",p
mais,mais,82
ils,ils,51
sont,être,17
si,si,60
nombreux,nombreux,30
dans,dans,81
l',le,71
homme,homme,21
ces,ce,74
instincts,instinct,21
là,là,60
",",",",p
qu',que,83
il,il,51
ne,ne,60
fallait,falloir,18
pas,pas,60
confondre,confondre,14
les,le,71
redoutables,redoutable,30
avec,avec,81
les,le,71
inoffensifs,inoffensif,30
/.,/.,P
ainsi,ainsi,60
il,il,51
adorait,adorer,18
les,le,71
bêtes,bête,22
",",",",p
les,le,71
chats,chat,21
surtout,surtout,60
",",",",p
et,et,82
ne,ne,60
pouvait,pouvoir,18
apercevoir,apercevoir,14
leur,leur,73
fourrure,fourrure,22
soyeuse,soyeux,30
sans,sans,81
être,être,14
saisi,saisir,12
d',de,81
une,un,71
envie,envie,22
irrésistible,irrésistible,30
",",",",p
sensuelle,sensuel,30
",",",",p
de,de,81
caresser,caresser,14
leur,leur,73
dos,dos,21
onduleux,onduleux,30
et,et,82
doux,doux,30
",",",",p
de,de,81
baiser,baiser,14
leur,leur,73
poil,poil,21
électrique,électrique,30
/.,/.,P
l',le,71
attraction,attraction,22
qui,qui,52
le,le,52
poussait,pousser,18
vers,vers,81
la,le,71
jeune,jeune,30
fille,fille,22
ressemblait,ressembler,18
un,un,71
peu,peu,60
à,à,81
ces,ce,74
désirs,désir,21
obscurs,obscur,30
et,et,82
innocents,innocent,30
qui,qui,52
font,faire,17
partie,partie,22
de,de,81
toutes,tout,75
les,le,71
vibrations,vibration,22
incessantes,incessant,30
et,et,82
inapaisables,inapaisable,30
des,de,81
des,le,71
nerfs,nerf,21
humains,humain,30
/.,/.,P
ses,son,73
yeux,oeil,21
d',de,81
artiste,artiste,21
et,et,82
ses,son,73
yeux,oeil,21
d',de,81
homme,homme,21
étaient,être,18
séduits,séduire,12
par,par,81
sa,son,73
fraîcheur,fraîcheur,22
",",",",p
par,par,81
