11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
le,le,71
père,père,21
Maurice,Maurice,20
Germain,Germain,20
",",",",p
lui,lui,51
dit,dire,19
un,un,71
jour,jour,21
son,son,73
beau-père,beau-père,21
",",",",p
il,il,51
faut,falloir,17
pourtant,pourtant,60
te,tu,51
décider,décider,14
à,à,81
reprendre,reprendre,14
femme,femme,22
/.,/.,P
voilà,voilà,81
bientôt,bientôt,60
deux,deux,72
ans,an,21
que,que,52
tu,tu,51
es,être,17
veuf,veuf,21
de,de,81
ma,mon,73
fille,fille,22
",",",",p
et,et,82
ton,ton,73
aîné,aîné,21
a,avoir,17
sept,sept,72
ans,an,21
/.,/.,P
tu,tu,51
approches,approcher,17
de,de,81
la,le,71
trentaine,trentaine,22
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
et,et,82
tu,tu,51
sais,savoir,17
que,que,83
",",",",p
passé,passé,31
cet,ce,74
âge,âge,21
là,là,60
",",",",p
dans,dans,81
nos,notre,73
pays,pays,21
",",",",p
un,un,71
homme,homme,21
est,être,17
réputé,réputer,12
trop,trop,60
vieux,vieux,30
pour,pour,81
rentrer,rentrer,14
en,en,81
ménage,ménage,21
/.,/.,P
tu,tu,51
as,avoir,17
trois,trois,72
beaux,beau,30
enfants,enfant,21
",",",",p
et,et,82
jusqu'ici,jusqu'ici,81
ils,ils,51
ne,ne,60
nous,nous,51
ont,avoir,17
point,point,60
embarrassés,embarrasser,12
/.,/.,P
ma,mon,73
femme,femme,22
et,et,82
ma,mon,73
bru,bru,22
les,le,52
ont,avoir,17
soignés,soigner,12
de,de,81
leur,leur,52
mieux,mieux,60
",",",",p
et,et,82
les,le,52
ont,avoir,17
aimés,aimer,12
comme,comme,83
elles,ils,51
le,le,52
devaient,devoir,18
/.,/.,P
voilà,voilà,81
Petit-Pierre,Petit Pierre,20
quasi,quasi,60
élevé,élevé,31
;,;,p
il,il,51
pique,piquer,17
déjà,déjà,60
les,le,71
boeufs,boeuf,21
assez,assez,60
gentiment,gentiment,60
;,;,p
il,il,51
est,être,17
