11751
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quinzième extrait>,<>,<>
Gringoire,Gringoire,20
a,avoir,17
plusieurs,plusieurs,75
bonnes,bon,30
idées,idée,22
de,de,81
suite,suite,22
rue,rue,22
des,de,81
des,le,71
Bernardins,Bernardin,20
/.,/.,P
depuis,depuis,81
que,que,83
Pierre,Pierre,20
Gringoire,Gringoire,20
avait,avoir,18
vu,voir,12
comment,comment,60
toute,tout,75
cette,ce,74
affaire,affaire,22
tournait,tourner,18
",",",",p
et,et,82
que,que,83
décidément,décidément,60
il,il,51
y,y,52
aurait,avoir,16
corde,corde,22
",",",",p
pendaison,pendaison,22
et,et,82
autres,autre,75
désagréments,désagrément,21
pour,pour,81
les,le,71
personnages,personnage,21
principaux,principal,30
de,de,81
cette,ce,74
comédie,comédie,22
",",",",p
il,il,51
ne,ne,60
s',se,51
était,être,18
plus,plus,60
soucié,soucier,12
de,de,81
s',se,51
en,en,52
mêler,mêler,14
/.,/.,P
les,le,71
truands,truand,21
",",",",p
parmi,parmi,81
lesquels,lequel,52
il,il,51
était,être,18
resté,rester,12
considérant,considérer,13
qu',que,83
en,en,81
dernier,dernier,30
résultat,résultat,21
c',ce,52
était,être,18
la,le,71
meilleure,meilleur,30
compagnie,compagnie,22
de,de,81
Paris,Paris,20
",",",",p
les,le,71
truands,truand,21
avaient,avoir,18
continué,continuer,12
de,de,81
s',se,51
intéresser,intéresser,14
à,à,81
l',le,71
égyptienne,égyptienne,22
/.,/.,P
il,il,51
avait,avoir,18
trouvé,trouver,12
cela,cela,52
fort,fort,60
simple,simple,30
de,de,81
la,le,71
part,part,22
de,de,81
gens,gens,21
qui,qui,52
n',ne,60
avaient,avoir,18
",",",",p
comme,comme,83
elle,il,51
",",",",p
d',de,81
autre,autre,75
perspective,perspective,22
que,que,83
Charmolue,Charmolue,20
et,et,82
Torterue,Torterue,20
",",",",p
et,et,82
qui,qui,52
ne,ne,60
chevauchaient,chevaucher,18
pas,pas,60
comme,comme,83
lui,lui,51
dans,dans,81
les,le,71
régions,région,22
imaginaires,imaginaire,30
entre,entre,81
les,le,71
deux,deux,72
ailes,aile,22
de,de,81
Pegasus,Pegasus,20
/.,/.,P
il,il,51
avait,avoir,18
appris,apprendre,12
par,par,81
leurs,leur,73
propos,propos,21
que,que,52
son,son,73
épousée,épousée,22
au,à,81
au,le,71
pot,pot,21
cassé,cassé,31
s',se,51
était,être,18
réfugiée,réfugier,12
dans,dans,81
Notre-Dame,Notre Dame,20
",",",",p
et,et,82
il,il,51
en,en,52
était,être,18
bien,bien,60
aise,aise,22
/.,/.,P
mais,mais,82
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
même,même,60
la,le,71
tentation,tentation,22
d',de,81
y,y,52
aller,aller,14
voir,voir,14
/.,/.,P
il,il,51
songeait,songer,18
quelquefois,quelquefois,60
à,à,81
la,le,71
petite,petit,30
chèvre,chèvre,22
",",",",p
et,et,82
c',ce,52
était,être,18
tout,tout,52
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
le,le,71
jour,jour,21
il,il,51
faisait,faire,18
des,de,81
des,le,71
tours,tour,21
de,de,81
force,force,22
pour,pour,81
vivre,vivre,14
",",",",p
et,et,82
la,le,71
nuit,nuit,22
il,il,51
élucubrait,élucubrer,18
un,un,71
mémoire,mémoire,21
contre,contre,81
l',le,71
évêque,évêque,21
de,de,81
Paris,Paris,20
",",",",p
car,car,82
il,il,51
se,se,51
souvenait,souvenir,18
d',de,81
avoir,avoir,14
été,être,12
inondé,inonder,12
par,par,81
les,le,71
roues,roue,22
de,de,81
ses,son,73
moulins,moulin,21
",",",",p
et,et,82
il,il,51
lui,lui,51
en,en,52
gardait,garder,18
rancune,rancune,22
/.,/.,P
il,il,51
s',se,51
occupait,occuper,18
aussi,aussi,60
de,de,81
commenter,commenter,14
le,le,71
bel,beau,30
ouvrage,ouvrage,21
de,de,81
Baudry,Baudry,20
Le Rouge,Le Rouge,20
",",",",p
évêque,évêque,21
de,de,81
Noyon,Noyon,20
et,et,82
de,de,81
Tournay,Tournay,20
",",",",p
de,de,81
Cupa,Cupa,20
Petrarum,Petrarum,20
",",",",p
ce,ce,52
qui,qui,52
lui,lui,51
avait,avoir,18
donné,donner,12
un,un,71
goût,goût,21
violent,violent,30
pour,pour,81
l',le,71
architecture,architecture,22
;,;,p
penchant,penchant,21
qui,qui,52
avait,avoir,18
remplacé,remplacer,12
dans,dans,81
son,son,73
coeur,coeur,21
sa,son,73
passion,passion,22
pour,pour,81
l',le,71
hermétisme,hermétisme,21
",",",",p
dont,dont,52
il,il,51
n',ne,60
était,être,18
d',de,81
ailleurs,ailleurs,60
qu',que,83
un,un,71
corollaire,corollaire,21
naturel,naturel,30
",",",",p
puisqu',puisque,83
il,il,51
y,y,52
a,avoir,17
un,un,71
lien,lien,21
intime,intime,30
entre,entre,81
l',le,71
hermétique,hermétique,30
et,et,82
la,le,71
maçonnerie,maçonnerie,22
/.,/.,P
Gringoire,Gringoire,20
avait,avoir,18
passé,passer,12
de,de,81
l',le,71
amour,amour,21
d',de,81
une,un,71
idée,idée,22
à,à,81
l',le,71
amour,amour,21
de,de,81
la,le,71
forme,forme,22
de,de,81
cette,ce,74
idée,idée,22
/.,/.,P
un,un,71
jour,jour,21
",",",",p
il,il,51
s',se,51
était,être,18
arrêté,arrêter,12
près,près,81
de,de,81
Saint-Germain-l'Auxerrois,Saint-Germain-l'Auxerrois,20
à,à,81
l',le,71
angle,angle,21
d',de,81
un,un,71
logis,logis,21
qu',que,52
on,on,51
appelait,appeler,18
le,le,71
For-l'Evêque,For-l'Evêque,20
",",",",p
lequel,lequel,52
faisait,faire,18
face,face,22
à,à,81
un,un,71
autre,autre,52
qu',que,52
on,on,51
appelait,appeler,18
le,le,71
For-le-Roi,For-le-Roi,20
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
à,à,81
ce,ce,74
For-l'Evêque,For-l'Evêque,20
une,un,71
charmante,charmant,30
chapelle,chapelle,22
du,de,81
du,le,71
quatorzième,quatorzième,72
siècle,siècle,21
dont,dont,52
le,le,71
chevet,chevet,21
donnait,donner,18
sur,sur,81
la,le,71
rue,rue,22
/.,/.,P
Gringoire,Gringoire,20
en,en,52
examinait,examiner,18
dévotement,dévotement,60
les,le,71
sculptures,sculpture,22
extérieures,extérieur,30
/.,/.,P
il,il,51
était,être,18
dans,dans,81
un,un,52
de,de,81
ces,ce,74
moments,moment,21
de,de,81
jouissance,jouissance,22
égoïste,égoïste,30
",",",",p
exclusive,exclusif,30
",",",",p
suprême,suprême,30
",",",",p
où,où,60
l',le,71
artiste,artiste,21
ne,ne,60
voit,voir,17
dans,dans,81
le,le,71
monde,monde,21
que,que,83
l',le,71
art,art,21
et,et,82
voit,voir,17
le,le,71
monde,monde,21
dans,dans,81
l',le,71
art,art,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
sent,sentir,17
une,un,71
main,main,22
se,se,51
poser,poser,14
gravement,gravement,60
sur,sur,81
son,son,73
épaule,épaule,22
/.,/.,P
il,il,51
se,se,51
retourne,retourner,17
/.,/.,P
c',ce,52
était,être,18
son,son,73
ancien,ancien,30
ami,ami,21
",",",",p
son,son,73
ancien,ancien,30
maître,maître,21
",",",",p
monsieur,monsieur,21
l',le,71
archidiacre,archidiacre,21
/.,/.,P
il,il,51
resta,rester,19
stupéfait,stupéfait,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
longtemps,longtemps,60
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
vu,voir,12
l',le,71
archidiacre,archidiacre,21
",",",",p
et,et,82
dom,dom,21
Claude,Claude,20
était,être,18
un,un,52
de,de,81
ces,ce,74
hommes,homme,21
solennels,solennel,30
et,et,82
passionnés,passionné,31
dont,dont,52
la,le,71
rencontre,rencontre,22
dérange,déranger,17
toujours,toujours,60
l',le,71
équilibre,équilibre,21
d',de,81
un,un,71
philosophe,philosophe,21
sceptique,sceptique,30
/.,/.,P
l',le,71
archidiacre,archidiacre,21
garda,garder,19
quelques,quelque,75
instants,instant,21
un,un,71
silence,silence,21
pendant,pendant,81
lequel,lequel,52
Gringoire,Gringoire,20
eut,avoir,19
le,le,71
loisir,loisir,21
de,de,81
l',le,52
observer,observer,14
/.,/.,P
il,il,51
trouva,trouver,19
dom,dom,21
Claude,Claude,20
bien,bien,60
changé,changé,31
",",",",p
pâle,pâle,30
comme,comme,83
un,un,71
matin,matin,21
d',de,81
hiver,hiver,21
",",",",p
les,le,71
yeux,oeil,21
caves,cave,30
",",",",p
les,le,71
cheveux,cheveu,21
presque,presque,60
blancs,blanc,30
/.,/.,P
ce,ce,52
fut,être,19
le,le,71
prêtre,prêtre,21
qui,qui,52
rompit,rompre,19
enfin,enfin,60
le,le,71
silence,silence,21
en,en,81
disant,dire,13
d',de,81
un,un,71
ton,ton,21
tranquille,tranquille,30
",",",",p
mais,mais,82
glacial,glacial,30
:,:,p
-,-,p
comment,comment,60
vous,vous,51
portez,porter,17
vous,vous,51
",",",",p
maître,maître,21
Pierre,Pierre,20
/?,/?,P
ma,mon,73
santé,santé,22
?,?,p
répondit,répondre,19
Gringoire,Gringoire,20
/.,/.,P
hé,hé,93
!,!,p
hé,hé,93
!,!,p
on,on,51
en,en,52
peut,pouvoir,17
dire,dire,14
ceci,ceci,52
et,et,82
cela,cela,52
/.,/.,P
toutefois,toutefois,60
l',le,71
ensemble,ensemble,21
est,être,17
bon,bon,30
/.,/.,P
je,je,51
ne,ne,60
prends,prendre,17
trop,trop,60
de,de,81
rien,rien,52
/.,/.,P
vous,vous,51
savez,savoir,17
",",",",p
maître,maître,21
?,?,p
le,le,71
secret,secret,21
de,de,81
se,se,51
bien,bien,60
porter,porter,14
",",",",p
selon,selon,81
Hippocrates,Hippocrates,20
",",",",p
id est,id est,60
:,:,p
cibi,cibi,92
",",",",p
potus,potus,92
",",",",p
somni,somni,92
",",",",p
venus,venus,92
",",",",p
omnia,omnia,92
moderata,moderata,92
sint,sint,92
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
donc,donc,82
aucun,aucun,75
souci,souci,21
",",",",p
maître,maître,21
Pierre,Pierre,20
?,?,p
reprit,reprendre,19
l',le,71
archidiacre,archidiacre,21
en,en,81
regardant,regarder,13
fixement,fixement,60
Gringoire,Gringoire,20
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
non,non,60
/.,/.,P
-,-,p
et,et,82
que,que,52
faites,faire,17
vous,vous,51
maintenant,maintenant,60
/?,/?,P
vous,vous,51
le,le,52
voyez,voir,17
",",",",p
mon,mon,73
maître,maître,21
/.,/.,P
j',je,51
examine,examiner,17
la,le,71
coupe,coupe,22
de,de,81
ces,ce,74
pierres,pierre,22
",",",",p
et,et,82
la,le,71
façon,façon,22
dont,dont,52
est,être,17
fouillé,fouiller,12
ce,ce,74
bas-relief,bas-relief,21
/.,/.,P
le,le,71
prêtre,prêtre,21
se,se,51
mit,mettre,19
à,à,81
sourire,sourire,14
",",",",p
de,de,81
ce,ce,74
sourire,sourire,21
amer,amer,30
qui,qui,52
ne,ne,60
relève,relever,17
qu',que,83
une,un,52
des,de,81
des,le,71
extrémités,extrémité,22
de,de,81
la,le,71
bouche,bouche,22
/.,/.,P
-,-,p
et,et,82
cela,cela,52
vous,vous,51
amuse,amuser,17
/?,/?,P
c',ce,52
est,être,17
le,le,71
paradis,paradis,21
!,!,p
s',se,51
écria,écrier,19
Gringoire,Gringoire,20
/.,/.,P
et,et,82
se,se,51
penchant,pencher,13
sur,sur,81
les,le,71
sculptures,sculpture,22
avec,avec,81
la,le,71
mine,mine,22
éblouie,ébloui,31
d',de,81
un,un,71
démonstrateur,démonstrateur,21
de,de,81
phénomènes,phénomène,21
vivants,vivant,30
:,:,p
est,être,17
ce,ce,52
donc,donc,82
que,que,83
vous,vous,51
ne,ne,60
trouvez,trouver,17
pas,pas,60
",",",",p
par,par,81
exemple,exemple,21
",",",",p
cette,ce,74
métamorphose,métamorphose,22
de,de,81
basse,bas,30
taille,taille,22
exécutée,exécuté,31
avec,avec,81
beaucoup,beaucoup,60
d',de,81
adresse,adresse,22
",",",",p
de,de,81
mignardise,mignardise,22
et,et,82
de,de,81
patience,patience,22
/?,/?,P
regardez,regarder,17
cette,ce,74
colonnette,colonnette,22
/.,/.,P
autour,autour,60
de,de,81
quel,quel,75
chapiteau,chapiteau,21
avez,avoir,17
vous,vous,51
vu,voir,12
