11738
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-septième extrait>,<>,<>
qui,qui,52
tourne,tourner,17
/.,/.,P
à,à,81
force,force,22
de,de,81
chercher,chercher,14
une,un,71
distraction,distraction,22
pour,pour,81
son,son,73
esprit,esprit,21
",",",",p
une,un,71
occupation,occupation,22
pour,pour,81
son,son,73
corps,corps,21
",",",",p
il,il,51
se,se,51
souvint,souvenir,19
que,que,83
",",",",p
ce,ce,74
jour,jour,21
là,là,60
même,même,60
",",",",p
quelques,quelque,75
membres,membre,21
de,de,81
son,son,73
cercle,cercle,21
se,se,51
retrouvaient,retrouver,18
",",",",p
chaque,chaque,75
semaine,semaine,22
",",",",p
au,à,81
au,le,71
Bain Maure,Bain Maure,20
où,où,60
ils,ils,51
déjeunaient,déjeuner,18
après,après,81
le,le,71
massage,massage,21
/.,/.,P
il,il,51
s',se,51
habilla,habiller,19
donc,donc,82
rapidement,rapidement,60
",",",",p
espérant,espérer,13
que,que,83
l',le,71
étuve,étuve,22
et,et,82
la,le,71
douche,douche,22
le,le,52
calmeraient,calmer,16
",",",",p
et,et,82
il,il,51
sortit,sortir,19
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
eut,avoir,19
mis,mettre,12
le,le,71
pied,pied,21
dehors,dehors,60
",",",",p
un,un,71
froid,froid,21
vif,vif,30
le,le,52
saisit,saisir,19
",",",",p
ce,ce,74
premier,premier,72
froid,froid,21
crispant,crispant,30
de,de,81
la,le,71
première,premier,72
gelée,gelée,22
qui,qui,52
détruit,détruire,17
",",",",p
en,en,81
une,un,71
seule,seul,30
nuit,nuit,22
",",",",p
les,le,71
derniers,dernier,30
restes,reste,21
de,de,81
l',le,71
été,été,21
/.,/.,P
tout,tout,75
le,le,71
long,long,21
des,de,81
des,le,71
boulevards,boulevard,21
",",",",p
c',ce,52
était,être,18
une,un,71
pluie,pluie,22
épaisse,épais,30
de,de,81
larges,large,30
feuilles,feuille,22
jaunes,jaune,30
qui,qui,52
tombaient,tomber,18
avec,avec,81
un,un,71
bruit,bruit,21
sec,sec,30
et,et,82
menu,menu,30
/.,/.,P
elles,ils,51
tombaient,tomber,18
",",",",p
à,à,81
perte,perte,22
de,de,81
vue,vue,22
",",",",p
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
des,de,81
des,le,71
larges,large,30
avenues,avenue,22
entre,entre,81
les,le,71
façades,façade,22
des,de,81
des,le,71
maisons,maison,22
",",",",p
comme,comme,83
si,si,83
toutes,tout,75
les,le,71
tiges,tige,22
venaient,venir,18
d',de,81
être,être,14
séparées,séparer,12
des,de,81
des,le,71
branches,branche,22
par,par,81
le,le,71
tranchant,tranchant,21
d',de,81
une,un,71
fine,fin,30
lame,lame,22
de,de,81
glace,glace,22
/.,/.,P
les,le,71
chaussées,chaussée,22
et,et,82
les,le,71
trottoirs,trottoir,21
en,en,52
étaient,être,18
déjà,déjà,60
couverts,couvrir,12
",",",",p
ressemblaient,ressembler,18
",",",",p
pour,pour,81
quelques,quelque,75
heures,heure,22
",",",",p
aux,à,81
aux,le,71
allées,allée,22
des,de,81
des,le,71
forêts,forêt,22
au,à,81
au,le,71
début,début,21
de,de,81
l',le,71
hiver,hiver,21
/.,/.,P
tout,tout,75
ce,ce,74
feuillage,feuillage,21
mort,mort,31
crépitait,crépiter,18
sous,sous,81
les,le,71
pas,pas,21
et,et,82
s',se,51
amassait,amasser,18
",",",",p
par,par,81
moments,moment,21
",",",",p
en,en,81
vagues,vague,22
légères,léger,30
",",",",p
sous,sous,81
les,le,71
poussées,poussée,22
du,de,81
du,le,71
vent,vent,21
/.,/.,P
c',ce,52
était,être,18
un,un,52
de,de,81
ces,ce,74
jours,jour,21
de,de,81
transition,transition,22
qui,qui,52
sont,être,17
la,le,71
fin,fin,22
d',de,81
une,un,71
saison,saison,22
et,et,82
le,le,71
commencement,commencement,21
d',de,81
une,un,71
autre,autre,52
",",",",p
qui,qui,52
ont,avoir,17
une,un,71
saveur,saveur,22
ou,ou,82
une,un,71
tristesse,tristesse,22
spéciale,spécial,30
",",",",p
tristesse,tristesse,22
d',de,81
