11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
penser,penser,14
aux,à,81
aux,le,71
autres,autre,52
plus,plus,60
qu',que,83
à,à,81
elle-même,lui-même,51
/.,/.,P
petite,petit,30
Marie,Marie,20
",",",",p
l',le,71
homme,homme,21
qui,qui,52
t',tu,51
épousera,épouser,15
ne,ne,60
sera,être,15
pas,pas,60
sot,sot,30
/.,/.,P
-,-,p
je,je,51
l',le,52
espère,espérer,17
",",",",p
car,car,82
je,je,51
n',ne,60
aimerais,aimer,16
pas,pas,60
un,un,71
sot,sot,21
/.,/.,P
allons,aller,17
",",",",p
mangez,manger,17
vos,votre,73
perdrix,perdrix,22
",",",",p
elles,ils,51
sont,être,17
cuites,cuire,12
à,à,81
point,point,21
;,;,p
et,et,82
faute,faute,22
de,de,81
pain,pain,21
",",",",p
vous,vous,51
vous,vous,51
contenterez,contenter,15
de,de,81
châtaignes,châtaigne,22
/.,/.,P
-,-,p
et,et,82
où,où,60
diable,diable,21
as,avoir,17
tu,tu,51
pris,prendre,12
aussi,aussi,60
des,de,81
des,le,71
châtaignes,châtaigne,22
/?,/?,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
étonnant,étonnant,30
!,!,p
tout,tout,75
le,le,71
long,long,21
du,de,81
du,le,71
chemin,chemin,21
",",",",p
j',je,51
en,en,52
ai,avoir,17
pris,prendre,12
aux,à,81
aux,le,71
branches,branche,22
en,en,81
passant,passer,13
",",",",p
et,et,82
j',je,51
en,en,52
ai,avoir,17
rempli,remplir,12
mes,mon,73
poches,poche,22
/.,/.,P
-,-,p
et,et,82
elles,ils,51
sont,être,17
cuites,cuire,12
aussi,aussi,60
/?,/?,P
-,-,p
à,à,81
quoi,quoi,52
donc,donc,82
aurais,avoir,16
je,je,51
eu,avoir,12
l',le,71
esprit,esprit,21
si,si,83
je,je,51
ne,ne,60
les,le,52
avais,avoir,18
pas,pas,60
mises,mettre,12
dans,dans,81
le,le,71
feu,feu,21
dès,dès,81
qu',que,83
il,il,51
a,avoir,17
été,être,12
allumé,allumer,12
/?,/?,P
ça,ça,52
se,se,51
fait,faire,17
toujours,toujours,60
",",",",p
aux,à,81
aux,le,71
champs,champ,21
/.,/.,P
-,-,p
ah,ah,93
ça,ça,52
",",",",p
petite,petit,30
Marie,Marie,20
",",",",p
nous,nous,51
allons,aller,17
souper,souper,14
ensemble,ensemble,60
!,!,p
je,je,51
veux,vouloir,17
boire,boire,14
à,à,81
ta,ton,73
santé,santé,22
et,et,82
te,tu,51
souhaiter,souhaiter,14
un,un,71
bon,bon,30
mari,mari,21
...,...,p
là,là,60
",",",",p
comme,comme,83
tu,tu,51
le,le,52
souhaiterais,souhaiter,16
toi-même,toi-même,51
/.,/.,P
dis,dire,17
moi,moi,51
un,un,71
peu,peu,60
cela,cela,52
/!,/!,P
-,-,p
j',je,51
en,en,52
serais,être,16
fort,fort,60
empêchée,empêcher,12
",",",",p
Germain,Germain,20
",",",",p
car,car,82
je,je,51
n',ne,60
y,y,52
ai,avoir,17
pas,pas,60
encore,encore,60
songé,songer,12
/.,/.,P
