11516
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-unième extrait>,<>,<>
le,le,71
colonel,colonel,21
resta,rester,19
pendant,pendant,81
un,un,71
moment,moment,21
interdit,interdit,31
",",",",p
immobile,immobile,30
",",",",p
regardant,regarder,13
sans,sans,81
voir,voir,14
",",",",p
abîmé,abîmé,31
dans,dans,81
un,un,71
désespoir,désespoir,21
sans,sans,81
bornes,borne,22
/.,/.,P
la,le,71
justice,justice,22
militaire,militaire,30
est,être,17
franche,franc,30
",",",",p
rapide,rapide,30
",",",",p
elle,il,51
décide,décider,17
à,à,81
la,le,71
turque,turc,30
",",",",p
et,et,82
juge,juger,17
presque,presque,60
toujours,toujours,60
bien,bien,60
;,;,p
cette,ce,74
justice,justice,22
était,être,18
la,le,71
seule,seul,30
que,que,52
connut,connaître,19
Chabert,Chabert,20
/.,/.,P
en,en,81
apercevant,apercevoir,13
le,le,71
dédale,dédale,21
de,de,81
difficultés,difficulté,22
où,où,60
il,il,51
fallait,falloir,18
s',se,51
engager,engager,14
",",",",p
en,en,81
voyant,voir,13
combien,combien,60
il,il,51
fallait,falloir,18
d',de,81
argent,argent,21
pour,pour,81
y,y,52
voyager,voyager,14
",",",",p
le,le,71
pauvre,pauvre,30
soldat,soldat,21
reçut,recevoir,19
un,un,71
coup,coup,21
mortel,mortel,30
dans,dans,81
cette,ce,74
puissance,puissance,22
particulière,particulier,30
à,à,81
l',le,71
homme,homme,21
et,et,82
que,que,52
l',l',94
on,on,51
nomme,nommer,17
la,le,71
volonté,volonté,22
/.,/.,P
il,il,51
lui,lui,51
parut,paraître,19
impossible,impossible,30
de,de,81
vivre,vivre,14
en,en,81
plaidant,plaider,13
",",",",p
il,il,51
fut,être,19
pour,pour,81
lui,lui,51
mille,mille,72
fois,fois,22
plus,plus,60
simple,simple,30
de,de,81
rester,rester,14
pauvre,pauvre,30
",",",",p
mendiant,mendiant,21
",",",",p
de,de,81
s',se,51
engager,engager,14
comme,comme,83
cavalier,cavalier,21
si,si,83
quelque,quelque,75
régiment,régiment,21
voulait,vouloir,18
de,de,81
lui,lui,51
/.,/.,P
ses,son,73
souffrances,souffrance,22
physiques,physique,30
et,et,82
morales,moral,30
lui,lui,51
avaient,avoir,18
déjà,déjà,60
vicié,vicier,12
le,le,71
corps,corps,21
dans,dans,81
quelques-uns,quelqu'un,52
des,de,81
des,le,71
organes,organe,21
les,le,71
plus,plus,60
importants,important,30
/.,/.,P
il,il,51
touchait,toucher,18
a,avoir,17
l',le,71
une,un,52
de,de,81
ces,ce,74
maladies,maladie,22
pour,pour,81
lesquelles,lequel,52
la,le,71
médecine,médecine,22
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
nom,nom,21
",",",",p
dont,dont,52
le,le,71
siège,siège,21
est,être,17
en,en,81
quelque,quelque,75
sorte,sorte,22
mobile,mobile,30
comme,comme,83
l',le,71
appareil,appareil,21
nerveux,nerveux,30
qui,qui,52
paraît,paraître,17
le,le,71
plus,plus,60
attaqué,attaqué,31
parmi,parmi,81
tous,tout,75
ceux,celui,52
de,de,81
notre,notre,73
machine,machine,22
",",",",p
affection,affection,22
qu',que,52
il,il,51
faudrait,falloir,16
nommer,nommer,14
le,le,71
spleen,spleen,21
du,de,81
du,le,71
malheur,malheur,21
/.,/.,P
quelque,quelque,75
grave,grave,30
que,que,83
fût,être,19
déjà,déjà,60
ce,ce,74
mal,mal,21
invisible,invisible,30
",",",",p
mais,mais,82
réel,réel,30
",",",",p
il,il,51
était,être,18
encore,encore,60
guérissable,guérissable,30
par,par,81
une,un,71
heureuse,heureux,30
conclusion,conclusion,22
/.,/.,P
pour,pour,81
ébranler,ébranler,14
tout,tout,60
à,à,81
fait,fait,21
cette,ce,74
vigoureuse,vigoureux,30
organisation,organisation,22
",",",",p
il,il,51
suffirait,suffire,16
d',de,81
un,un,71
obstacle,obstacle,21
nouveau,nouveau,30
",",",",p
de,de,81
quelque,quelque,75
fait,fait,21
imprévu,imprévu,30
qui,qui,52
en,en,52
romprait,rompre,16
les,le,71
ressorts,ressort,21
affaiblis,affaibli,31
et,et,82
produirait,produire,16
ces,ce,74
hésitations,hésitation,22
",",",",p
ces,ce,74
actes,acte,21
incompris,incompris,30
