11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
que,que,83
j',je,51
y,y,52
ai,avoir,17
aimé,aimer,12
une,un,71
femme,femme,22
qui,qui,52
vous,vous,51
ressemblait,ressembler,18
",",",",p
qui,qui,52
s',se,51
appelait,appeler,18
",",",",p
comme,comme,83
vous,vous,51
",",",",p
Christiane,Christiane,20
/!,/!,P
j',je,51
en,en,52
suis,être,17
tellement,tellement,60
certain,certain,30
",",",",p
qu',que,83
il,il,51
me,je,51
semble,sembler,17
vous,vous,51
voir,voir,14
encore,encore,60
",",",",p
m',je,51
appelant,appeler,13
du,de,81
du,le,71
haut,haut,21
de,de,81
cette,ce,74
tour,tour,22
/.,/.,P
cherchez,chercher,17
",",",",p
souvenez,souvenir,17
vous,vous,51
/!,/!,P
il,il,51
y,y,52
a,avoir,17
un,un,71
bois,bois,21
",",",",p
derrière,derrière,81
",",",",p
qui,qui,52
descend,descendre,17
dans,dans,81
une,un,71
profonde,profond,30
vallée,vallée,22
/.,/.,P
nous,nous,51
nous,nous,51
y,y,52
sommes,être,17
souvent,souvent,60
promenés,promener,12
/.,/.,P
vous,vous,51
aviez,avoir,18
des,de,81
des,le,71
robes,robe,22
légères,léger,30
",",",",p
les,le,71
soirs,soir,21
d',de,81
été,été,21
;,;,p
et,et,82
je,je,51
portais,porter,18
de,de,81
lourdes,lourd,30
armes,arme,22
qui,qui,52
sonnaient,sonner,18
sous,sous,81
les,le,71
feuillages,feuillage,21
/.,/.,P
“,“,p
vous,vous,51
ne,ne,60
vous,vous,51
rappelez,rappeler,17
pas,pas,60
/?,/?,P
cherchez,chercher,17
donc,donc,82
",",",",p
Christiane,Christiane,20
/!,/!,P
mais,mais,82
votre,votre,73
nom,nom,21
m',je,51
est,être,17
familier,familier,30
comme,comme,83
ceux,celui,52
qu',que,52
on,on,51
entend,entendre,17
dès,dès,81
l',le,71
enfance,enfance,22
/!,/!,P
on,on,51
regarderait,regarder,16
avec,avec,81
soin,soin,21
toutes,tout,75
les,le,71
pierres,pierre,22
de,de,81
cette,ce,74
forteresse,forteresse,22
",",",",p
on,on,51
l',le,52
y,y,52
retrouverait,retrouver,16
gravé,gravé,31
par,par,81
ma,mon,73
main,main,22
",",",",p
jadis,jadis,60
/!,/!,P
je,je,51
vous,vous,51
affirme,affirmer,17
que,que,83
je,je,51
reconnais,reconnaître,17
ma,mon,73
demeure,demeure,22
",",",",p
mon,mon,73
pays,pays,21
",",",",p
comme,comme,83
je,je,51
vous,vous,51
ai,avoir,17
reconnue,reconnaître,12
",",",",p
vous,vous,51
",",",",p
la,le,71
première,premier,72
fois,fois,22
que,que,83
je,je,51
vous,vous,51
ai,avoir,17
vue,voir,12
/!,/!,P
il,il,51
parlait,parler,18
avec,avec,81
une,un,71
conviction,conviction,22
exaltée,exalté,31
",",",",p
grisé,grisé,31
poétiquement,poétiquement,60
par,par,81
le,le,71
contact,contact,21
de,de,81
cette,ce,74
femme,femme,22
",",",",p
et,et,82
par,par,81
la,le,71
nuit,nuit,22
",",",",p
et,et,82
par,par,81
la,le,71
lune,lune,22
",",",",p
et,et,82
par,par,81
la,le,71
ruine,ruine,22
/.,/.,P
brusquement,brusquement,60
il,il,51
se,se,51
mit,mettre,19
à,à,81
genoux,genou,21
devant,devant,81
Christiane,Christiane,20
",",",",p
et,et,82
",",",",p
d',de,81
une,un,71
voix,voix,22
tremblante,tremblant,30
:,:,p
“,“,p
laissez,laisser,17
moi,moi,51
vous,vous,51
adorer,adorer,14
encore,encore,60
",",",",p
puisque,puisque,83
je,je,51
vous,vous,51
ai,avoir,17
retrouvée,retrouver,12
/.,/.,P
voilà,voilà,81
si,si,60
longtemps,longtemps,60
que,que,83
je,je,51
vous,vous,51
cherche,chercher,17
/!,/!,P
elle,il,51
voulait,vouloir,18
se,se,51
lever,lever,14
",",",",p
partir,partir,14
",",",",p
rejoindre,rejoindre,14
son,son,73
père,père,21
;,;,p
mais,mais,82
elle,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
la,le,71
force,force,22
",",",",p
elle,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
le,le,71
courage,courage,21
",",",",p
retenue,retenue,22
",",",",p
paralysée,paralysé,31
par,par,81
une,un,71
envie,envie,22
ardente,ardent,30
de,de,81
l',le,52
écouter,écouter,14
encore,encore,60
",",",",p
d',de,81
entendre,entendre,14
entrer,entrer,14
dans,dans,81
son,son,73
coeur,coeur,21
ces,ce,74
paroles,parole,22
qui,qui,52
la,le,52
ravissaient,ravir,18
/.,/.,P
elle,il,51
se,se,51
sentait,sentir,18
emportée,emporté,31
dans,dans,81
un,un,71
songe,songe,21
",",",",p
dans,dans,81
le,le,71
songe,songe,21
toujours,toujours,60
espéré,espéré,31
",",",",p
si,si,60
doux,doux,30
",",",",p
si,si,60
poétique,poétique,30
",",",",p
plein,plein,30
de,de,81
rayons,rayon,21
de,de,81
lune,lune,22
et,et,82
de,de,81
ballades,ballade,22
/.,/.,P
il,il,51
lui,lui,51
avait,avoir,18
saisi,saisir,12
les,le,71
mains,main,22
et,et,82
lui,lui,51
baisait,baiser,18
le,le,71
bout,bout,21
des,de,81
des,le,71
ongles,ongle,21
en,en,81
balbutiant,balbutier,13
:,:,p
“,“,p
Christiane,Christiane,20
/…,/…,P
Christiane,Christiane,20
…,…,p
prenez,prendre,17
moi,moi,51
…,…,p
tuez,tuer,17
moi,moi,51
…,…,p
je,je,51
vous,vous,51
aime,aimer,17
/…,/…,P
Christiane,Christiane,20
/…,/…,P
elle,il,51
le,le,52
sentait,sentir,18
trembler,trembler,14
",",",",p
frissonner,frissonner,14
à,à,81
ses,son,73
pieds,pied,21
/.,/.,P
il,il,51
lui,lui,51
baisait,baiser,18
les,le,71
genoux,genou,21
maintenant,maintenant,60
",",",",p
avec,avec,81
des,de,81
des,le,71
sanglots,sanglot,21
profonds,profond,30
dans,dans,81
la,le,71
poitrine,poitrine,22
/.,/.,P
elle,il,51
eut,avoir,19
peur,peur,22
qu',que,83
il,il,51
ne,ne,60
devînt,devenir,18
fou,fou,30
et,et,82
se,se,51
leva,lever,19
pour,pour,81
se,se,51
sauver,sauver,14
/.,/.,P
mais,mais,82
il,il,51
s',se,51
était,être,18
dressé,dresser,12
plus,plus,60
vite,vite,60
qu',que,83
elle,il,51
et,et,82
l',le,52
avait,avoir,18
saisie,saisir,12
dans,dans,81
ses,son,73
bras,bras,21
en,en,81
se,se,51
jetant,jeter,13
sur,sur,81
sa,son,73
bouche,bouche,22
/.,/.,P
alors,alors,60
",",",",p
sans,sans,81
un,un,71
cri,cri,21
",",",",p
sans,sans,81
révolte,révolte,22
",",",",p
sans,sans,81
résistance,résistance,22
",",",",p
elle,il,51
se,se,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
l',le,71
herbe,herbe,22
",",",",p
comme,comme,83
si,si,83
cette,ce,74
caresse,caresse,22
lui,lui,51
eût,avoir,19
cassé,casser,12
les,le,71
reins,rein,21
en,en,81
brisant,briser,13
sa,son,73
volonté,volonté,22
/.,/.,P
et,et,82
il,il,51
la,le,52
prit,prendre,19
aussi,aussi,60
facilement,facilement,60
que,que,83
s',si,83
il,il,51
cueillait,cueillir,18
un,un,71
fruit,fruit,21
mûr,mûr,30
/.,/.,P
mais,mais,82
",",",",p
à,à,81
peine,peine,22
eut,avoir,19
il,il,51
desserré,desserrer,12
son,son,73
étreinte,étreinte,22
",",",",p
elle,il,51
se,se,51
releva,relever,19
et,et,82
se,se,51
sauva,sauver,19
",",",",p
éperdue,éperdu,30
",",",",p
frissonnante,frissonnant,30
et,et,82
glacée,glacé,31
soudain,soudain,60
comme,comme,83
un,un,71
être,être,21
qui,qui,52
vient,venir,17
de,de,81
tomber,tomber,14
à,à,81
l',le,71
eau,eau,22
/.,/.,P
il,il,51
la,le,52
rejoignit,rejoindre,19
en,en,81
quelques,quelque,75
enjambées,enjambée,22
et,et,82
la,le,52
saisit,saisir,19
par,par,81
le,le,71
bras,bras,21
en,en,81
murmurant,murmurer,13
:,:,p
“,“,p
Christiane,Christiane,20
",",",",p
Christiane,Christiane,20
!,!,p
…,…,p
prenez,prendre,17
garde,garde,22
à,à,81
votre,votre,73
père,père,21
/.,/.,P
“,“,p
elle,il,51
se,se,51
remit,remettre,19
à,à,81
marcher,marcher,14
",",",",p
sans,sans,81
répondre,répondre,14
",",",",p
sans,sans,81
se,se,51
retourner,retourner,14
",",",",p
allant,aller,13
droit,droit,60
devant,devant,81
elle,il,51
d',de,81
un,un,71
pas,pas,21
roide,raide,30
et,et,82
saccadé,saccadé,31
/.,/.,P
il,il,51
la,le,52
suivait,suivre,18
maintenant,maintenant,60
sans,sans,81
oser,oser,14
lui,lui,51
parler,parler,14
/.,/.,P
dès,dès,81
que,que,83
le,le,71
marquis,marquis,21
les,le,52
aperçut,apercevoir,19
",",",",p
il,il,51
se,se,51
leva,lever,19
:,:,p
“,“,p
allons,aller,17
vite,vite,60
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
commençais,commencer,18
à,à,81
avoir,avoir,14
froid,froid,21
/.,/.,P
c',ce,52
est,être,17
très,très,60
beau,beau,30
",",",",p
ces,ce,74
choses,chose,22
là,là,60
",",",",p
mais,mais,82
mauvais,mauvais,30
pour,pour,81
le,le,71
traitement,traitement,21
/.,/.,P
“,“,p
Christiane,Christiane,20
se,se,51
serrait,serrer,18
contre,contre,81
son,son,73
père,père,21
",",",",p
comme,comme,83
pour,pour,81
lui,lui,51
demander,demander,14
protection,protection,22
et,et,82
se,se,51
réfugier,réfugier,14
dans,dans,81
sa,son,73
tendresse,tendresse,22
/.,/.,P
aussitôt,aussitôt,60
rentrée,rentré,31
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
se,se,51
dévêtit,dévêtir,19
en,en,81
quelques,quelque,75
secondes,seconde,22
et,et,82
s',se,51
enfonça,enfoncer,19
dans,dans,81
son,son,73
lit,lit,21
",",",",p
en,en,81
cachant,cacher,13
sa,son,73
tête,tête,22
sous,sous,81
les,le,71
draps,drap,21
",",",",p
puis,puis,60
elle,il,51
pleura,pleurer,19
/.,/.,P
elle,il,51
pleura,pleurer,19
",",",",p
la,le,71
figure,figure,22
dans,dans,81
l',le,71
oreiller,oreiller,21
",",",",p
longtemps,longtemps,60
",",",",p
longtemps,longtemps,60
",",",",p
inerte,inerte,30
",",",",p
anéantie,anéanti,31
/.,/.,P
elle,il,51
ne,ne,60
songeait,songer,18
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
souffrait,souffrir,18
point,point,60
",",",",p
elle,il,51
ne,ne,60
regrettait,regretter,18
pas,pas,60
/.,/.,P
elle,il,51
pleurait,pleurer,18
sans,sans,81
songer,songer,14
",",",",p
sans,sans,81
réfléchir,réfléchir,14
",",",",p
sans,sans,81
savoir,savoir,14
pourquoi,pourquoi,60
/.,/.,P
elle,il,51
pleurait,pleurer,18
",",",",p
par,par,81
instinct,instinct,21
",",",",p
comme,comme,83
on,on,51
chante,chanter,17
quand,quand,83
on,on,51
est,être,17
gai,gai,30
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
elle,il,51
fut,être,19
épuisée,épuiser,12
de,de,81
larmes,larme,22
",",",",p
accablée,accabler,12
",",",",p
courbaturée,courbaturer,12
à,à,81
force,force,22
d',de,81
avoir,avoir,14
sangloté,sangloter,12
",",",",p
elle,il,51
s',se,51
endormit,endormir,19
de,de,81
fatigue,fatigue,22
et,et,82
de,de,81
lassitude,lassitude,22
/.,/.,P
elle,il,51
fut,être,19
réveillée,réveiller,12
par,par,81
des,de,81
des,le,71
coups,coup,21
légers,léger,30
frappés,frappé,31
à,à,81
la,le,71
porte,porte,22
de,de,81
sa,son,73
chambre,chambre,22
qui,qui,52
donnait,donner,18
sur,sur,81
le,le,71
salon,salon,21
/.,/.,P
il,il,51
faisait,faire,18
grand,grand,30
jour,jour,21
",",",",p
il,il,51
était,être,18
neuf,neuf,72
heures,heure,22
/.,/.,P
elle,il,51
cria,crier,19
:,:,p
“,“,p
entrez,entrer,17
/!,/!,P
et,et,82
son,son,73
mari,mari,21
parut,paraître,19
",",",",p
joyeux,joyeux,30
",",",",p
animé,animé,31
",",",",p
coiffé,coiffé,31
d',de,81
une,un,71
casquette,casquette,22
de,de,81
route,route,22
",",",",p
et,et,82
portant,porter,13
au,à,81
au,le,71
flanc,flanc,21
son,son,73
petit,petit,30
sac,sac,21
à,à,81
argent,argent,21
qu',que,83
il,il,51
ne,ne,60
quittait,quitter,18
jamais,jamais,60
en,en,81
voyage,voyage,21
/.,/.,P
il,il,51
s',se,51
écria,écrier,19
:,:,p
“,“,p
comment,comment,60
",",",",p
tu,tu,51
dormais,dormir,18
encore,encore,60
",",",",p
ma,mon,73
chère,cher,30
/!,/!,P
et,et,82
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
te,tu,51
réveille,réveiller,17
/.,/.,P
voilà,voilà,81
/!,/!,P
j',je,51
arrive,arriver,17
sans,sans,81
m',je,51
annoncer,annoncer,14
/.,/.,P
