11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
Rougon,Rougon,20
",",",",p
vers,vers,81
cinq,cinq,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
osa,oser,19
enfin,enfin,60
sortir,sortir,14
de,de,81
chez,chez,81
sa,son,73
mère,mère,22
/.,/.,P
la,le,71
vieille,vieille,22
s',se,51
était,être,18
endormie,endormir,12
sur,sur,81
une,un,71
chaise,chaise,22
/.,/.,P
il,il,51
s',se,51
aventura,aventurer,19
doucement,doucement,60
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
de,de,81
l',le,71
impasse,impasse,22
Saint-Mittre,Saint Mittre,20
/.,/.,P
pas,pas,60
un,un,71
bruit,bruit,21
",",",",p
pas,pas,60
une,un,71
ombre,ombre,22
/.,/.,P
il,il,51
poussa,pousser,19
jusqu',jusque,81
à,à,81
la,le,71
porte,porte,22
de,de,81
Rome,Rome,20
/.,/.,P
le,le,71
trou,trou,21
de,de,81
la,le,71
porte,porte,22
",",",",p
ouverte,ouvert,31
à,à,81
deux,deux,72
battants,battant,21
",",",",p
béante,béant,30
",",",",p
s',se,51
enfonçait,enfoncer,18
dans,dans,81
le,le,71
noir,noir,21
de,de,81
la,le,71
ville,ville,22
endormie,endormi,31
/.,/.,P
Plassans,Plassans,20
dormait,dormir,18
à,à,81
poings,poing,21
fermés,fermé,31
",",",",p
sans,sans,81
paraître,paraître,14
se,se,51
douter,douter,14
de,de,81
l',le,71
imprudence,imprudence,22
énorme,énorme,30
qu',que,52
il,il,51
commettait,commettre,18
en,en,81
dormant,dormir,13
ainsi,ainsi,60
les,le,71
portes,porte,22
ouvertes,ouvert,31
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
une,un,71
cité,cité,22
morte,mort,31
/.,/.,P
Rougon,Rougon,20
",",",",p
prenant,prendre,13
confiance,confiance,22
",",",",p
s',se,51
engagea,engager,19
dans,dans,81
la,le,71
rue,rue,22
de,de,81
Nice,Nice,20
/.,/.,P
il,il,51
surveillait,surveiller,18
de,de,81
loin,loin,60
les,le,71
coins,coin,21
des,de,81
des,le,71
ruelles,ruelle,22
;,;,p
il,il,51
frissonnait,frissonner,18
",",",",p
à,à,81
chaque,chaque,75
creux,creux,21
de,de,81
porte,porte,22
",",",",p
croyant,croire,13
toujours,toujours,60
voir,voir,14
une,un,71
bande,bande,22
d',de,81
insurgés,insurgé,21
lui,lui,51
sauter,sauter,14
aux,à,81
aux,le,71
épaules,épaule,22
/.,/.,P
mais,mais,82
il,il,51
arriva,arriver,19
au,à,81
au,le,71
cours,cours,21
Sauvaire,Sauvaire,20
sans,sans,81
mésaventure,mésaventure,22
/.,/.,P
décidément,décidément,60
",",",",p
les,le,71
insurgés,insurgé,21
s',se,51
étaient,être,18
évanouis,évanouir,12
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
comme,comme,83
un,un,71
cauchemar,cauchemar,21
/.,/.,P
alors,alors,60
Pierre,Pierre,20
s',se,51
arrêta,arrêter,19
un,un,71
instant,instant,21
sur,sur,81
le,le,71
trottoir,trottoir,21
désert,désert,30
/.,/.,P
il,il,51
poussa,pousser,19
un,un,71
gros,gros,30
soupir,soupir,21
de,de,81
soulagement,soulagement,21
et,et,82
de,de,81
triomphe,triomphe,21
/.,/.,P
ces,ce,74
gueux,gueux,21
de,de,81
républicains,républicain,21
lui,lui,51
abandonnaient,abandonner,18
donc,donc,82
Plassans,Plassans,20
/.,/.,P
la,le,71
ville,ville,22
lui,lui,51
appartenait,appartenir,18
",",",",p
à,à,81
cette,ce,74
heure,heure,22
:,:,p
elle,il,51
dormait,dormir,18
comme,comme,83
une,un,71
sotte,sotte,22
;,;,p
elle,il,51
était,être,18
là,là,60
",",",",p
noire,noir,30
et,et,82
paisible,paisible,30
",",",",p
muette,muet,30
et,et,82
confiante,confiant,30
",",",",p
et,et,82
il,il,51
n',ne,60
avait,avoir,18
qu',que,83
à,à,81
étendre,étendre,14
la,le,71
main,main,22
pour,pour,81
la,le,52
prendre,prendre,14
/.,/.,P
cette,ce,74
courte,court,30
halte,halte,22
",",",",p
ce,ce,74
regard,regard,21
d',de,81
homme,homme,21
supérieur,supérieur,30
jeté,jeté,31
sur,sur,81
le,le,71
sommeil,sommeil,21
de,de,81
toute,tout,75
une,un,71
sous-préfecture,sous-préfecture,22
",",",",p
lui,lui,51
causèrent,causer,19
des,de,81
des,le,71
jouissances,jouissance,22
ineffables,ineffable,30
/.,/.,P
il,il,51
resta,rester,19
là,là,60
",",",",p
croisant,croiser,13
les,le,71
bras,bras,21
",",",",p
prenant,prenant,30
",",",",p
seul,seul,30
dans,dans,81
la,le,71
nuit,nuit,22
",",",",p
une,un,71
pose,pose,22
de,de,81
grand,grand,30
capitaine,capitaine,21
à,à,81
la,le,71
veille,veille,22
d',de,81
une,un,71
victoire,victoire,22
/.,/.,P
au,à,81
au,le,71
loin,loin,60
",",",",p
il,il,51
n',ne,60
entendait,entendre,18
que,que,83
le,le,71
chant,chant,21
des,de,81
des,le,71
fontaines,fontaine,22
du,de,81
du,le,71
cours,cours,21
",",",",p
dont,dont,52
les,le,71
filets,filet,21
d',de,81
eau,eau,22
sonores,sonore,30
tombaient,tomber,18
dans,dans,81
les,le,71
bassins,bassin,21
/.,/.,P
puis,puis,60
des,de,81
des,le,71
inquiétudes,inquiétude,22
lui,lui,51
vinrent,venir,19
/.,/.,P
si,si,83
",",",",p
par,par,81
malheur,malheur,21
",",",",p
on,on,51
avait,avoir,18
fait,faire,12
l',le,71
Empire,empire,21
sans,sans,81
lui,lui,51
!,!,p
si,si,83
les,le,71
Sicardot,Sicardot,20
",",",",p
les,le,71
Garçonnet,Garçonnet,20
",",",",p
les,le,71
Peirotte,Peirotte,20
",",",",p
au,à,81
au,le,71
lieu,lieu,21
d',de,81
être,être,14
arrêtés,arrêter,12
et,et,82
emmenés,emmener,12
par,par,81
la,le,71
bande,bande,22
insurrectionnelle,insurrectionnel,30
",",",",p
l',le,52
avaient,avoir,18
jetée,jeter,12
tout,tout,60
entière,entier,30
dans,dans,81
les,le,71
prisons,prison,22
de,de,81
la,le,71
ville,ville,22
/!,/!,P
il,il,51
eut,avoir,19
une,un,71
sueur,sueur,22
froide,froid,30
",",",",p
il,il,51
se,se,51
remit,remettre,19
en,en,81
marche,marche,22
",",",",p
espérant,espérer,13
que,que,83
Félicité,Félicité,20
lui,lui,51
donnerait,donner,16
des,de,81
des,le,71
renseignements,renseignement,21
exacts,exact,30
/.,/.,P
il,il,51
avançait,avancer,18
plus,plus,60
rapidement,rapidement,60
",",",",p
filant,filer,13
le,le,71
long,long,21
des,de,81
des,le,71
maisons,maison,22
de,de,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Banne,Banne,20
",",",",p
lorsqu',lorsque,83
un,un,71
spectacle,spectacle,21
étrange,étrange,30
",",",",p
qu',que,83
il,il,51
aperçut,apercevoir,19
en,en,81
levant,lever,13
la,le,71
tête,tête,22
",",",",p
le,le,52
cloua,clouer,19
net,net,60
sur,sur,81
le,le,71
pavé,pavé,21
/.,/.,P
une,un,52
des,de,81
des,le,71
fenêtres,fenêtre,22
du,de,81
du,le,71
salon,salon,21
jaune,jaune,30
était,être,18
vivement,vivement,60
éclairée,éclairer,12
",",",",p
et,et,82
",",",",p
dans,dans,81
la,le,71
lueur,lueur,22
",",",",p
une,un,71
forme,forme,22
noire,noir,30
qu',que,52
il,il,51
reconnut,reconnaître,19
pour,pour,81
être,être,14
sa,son,73
femme,femme,22
",",",",p
se,se,51
penchait,pencher,18
",",",",p
agitait,agiter,18
les,le,71
bras,bras,21
d',de,81
une,un,71
façon,façon,22
désespérée,désespéré,31
/.,/.,P
il,il,51
s',se,51
interrogeait,interroger,18
",",",",p
ne,ne,60
comprenait,comprendre,18
pas,pas,60
",",",",p
effrayé,effrayé,31
",",",",p
lorsqu',lorsque,83
un,un,71
objet,objet,21
dur,dur,30
vint,venir,19
rebondir,rebondir,14
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
à,à,81
ses,son,73
pieds,pied,21
/.,/.,P
Félicité,Félicité,20
lui,lui,51
jetait,jeter,18
la,le,71
clef,clé,22
du,de,81
du,le,71
hangar,hangar,21
",",",",p
où,où,60
il,il,51
avait,avoir,18
caché,cacher,12
une,un,71
réserve,réserve,22
de,de,81
fusils,fusil,21
/.,/.,P
cette,ce,74
clef,clé,22
signifiait,signifier,18
clairement,clairement,60
qu',que,83
il,il,51
fallait,falloir,18
prendre,prendre,14
les,le,71
armes,arme,22
/.,/.,P
il,il,51
rebroussa,rebrousser,19
chemin,chemin,21
",",",",p
ne,ne,60
s',se,51
expliquant,expliquer,13
pas,pas,60
pourquoi,pourquoi,60
sa,son,73
femme,femme,22
l',le,52
avait,avoir,18
empêché,empêcher,12
de,de,81
monter,monter,14
",",",",p
s',se,51
imaginant,imaginer,13
des,de,81
des,le,71
choses,chose,22
terribles,terrible,30
/.,/.,P
il,il,51
alla,aller,19
droit,droit,60
chez,chez,81
Roudier,Roudier,20
",",",",p
qu',que,52
il,il,51
trouva,trouver,19
debout,debout,60
",",",",p
prêt,prêt,30
à,à,81
marcher,marcher,14
",",",",p
mais,mais,82
dans,dans,81
une,un,71
ignorance,ignorance,22
complète,complet,30
des,de,81
des,le,71
événements,événement,21
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
Roudier,Roudier,20
demeurait,demeurer,18
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
la,le,71
ville,ville,22
neuve,neuf,30
",",",",p
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
désert,désert,21
où,où,60
le,le,71
passage,passage,21
des,de,81
des,le,71
insurgés,insurgé,21
n',ne,60
avait,avoir,18
envoyé,envoyer,12
aucun,aucun,75
écho,écho,21
/.,/.,P
Pierre,Pierre,20
lui,lui,51
proposa,proposer,19
d',de,81
aller,aller,14
chercher,chercher,14
Granoux,Granoux,20
",",",",p
dont,dont,52
la,le,71
maison,maison,22
faisait,faire,18
un,un,71
angle,angle,21
de,de,81
la,le,71
place,place,22
des,de,81
des,le,71
Récollets,Récollets,20
",",",",p
et,et,82
sous,sous,81
les,le,71
fenêtres,fenêtre,22
duquel,de,81
duquel,lequel,52
la,le,71
bande,bande,22
avait,avoir,18
dû,devoir,12
passer,passer,14
/.,/.,P
la,le,71
bonne,bonne,22
du,de,81
du,le,71
conseiller,conseiller,21
municipal,municipal,30
parlementa,parlementer,19
longtemps,longtemps,60
avant,avant,81
de,de,81
les,le,52
introduire,introduire,14
",",",",p
et,et,82
ils,ils,51
entendaient,entendre,18
la,le,71
voix,voix,22
tremblante,tremblant,30
du,de,81
du,le,71
pauvre,pauvre,30
homme,homme,21
",",",",p
qui,qui,52
criait,crier,18
du,de,81
du,le,71
premier,premier,72
étage,étage,21
:,:,p
-,-,p
n',ne,60
ouvrez,ouvrir,17
pas,pas,60
",",",",p
Catherine,Catherine,20
!,!,p
les,le,71
rues,rue,22
sont,être,17
infestées,infester,12
de,de,81
brigands,brigand,21
/.,/.,P
il,il,51
était,être,18
dans,dans,81
sa,son,73
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
sans,sans,81
lumière,lumière,22
/.,/.,P
quand,quand,83
il,il,51
reconnut,reconnaître,19
ses,son,73
deux,deux,72
bons,bon,30
amis,ami,21
",",",",p
il,il,51
fut,être,19
soulagé,soulager,12
;,;,p
mais,mais,82
il,il,51
ne,ne,60
voulut,vouloir,19
pas,pas,60
que,que,83
la,le,71
bonne,bonne,22
apportât,apporter,18
une,un,71
lampe,lampe,22
",",",",p
de,de,81
peur,peur,22
que,que,83
la,le,71
clarté,clarté,22
ne,ne,60
lui,lui,51
attirât,attirer,18
quelque,quelque,75
balle,balle,22
/.,/.,P
il,il,51
semblait,sembler,18
croire,croire,14
que,que,83
la,le,71
ville,ville,22
était,être,18
encore,encore,60
pleine,plein,30
d',de,81
insurgés,insurgé,21
/.,/.,P
renversé,renversé,31
sur,sur,81
un,un,71
fauteuil,fauteuil,21
",",",",p
près,près,81
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
en,en,81
caleçon,caleçon,21
et,et,82
la,le,71
tête,tête,22
enveloppée,enveloppé,31
d',de,81
un,un,71
foulard,foulard,21
",",",",p
il,il,51
geignait,geindre,18
:,:,p
-,-,p
ah,ah,93
!,!,p
mes,mon,73
amis,ami,21
",",",",p
si,si,83
vous,vous,51
saviez,savoir,18
!,!,p
j',je,51
ai,avoir,17
essayé,essayer,12
de,de,81
me,je,51
coucher,coucher,14
;,;,p
mais,mais,82
ils,ils,51
faisaient,faire,18
un,un,71
tapage,tapage,21
/!,/!,P
alors,alors,60
je,je,51
me,je,51
suis,être,17
jeté,jeter,12
dans,dans,81
ce,ce,74
fauteuil,fauteuil,21
/.,/.,P
j',je,51
ai,avoir,17
tout,tout,52
vu,voir,12
",",",",p
tout,tout,52
/.,/.,P
des,de,81
des,le,71
figures,figure,22
atroces,atroce,30
",",",",p
une,un,71
bande,bande,22
de,de,81
forçats,forçat,21
échappés,échappé,31
/.,/.,P
puis,puis,60
ils,ils,51
ont,avoir,17
repassé,repasser,12
;,;,p
ils,ils,51
entraînaient,entraîner,18
le,le,71
brave,brave,30
commandant,commandant,21
Sicardot,Sicardot,20
",",",",p
le,le,71
digne,digne,30
monsieur,monsieur,21
Garçonnet,Garçonnet,20
",",",",p
le,le,71
directeur,directeur,21
des,de,81
des,le,71
postes,poste,22
",",",",p
tous,tout,75
ces,ce,74
messieurs,monsieur,21
",",",",p
en,en,81
poussant,pousser,13
des,de,81
des,le,71
cris,cri,21
de,de,81
cannibales,cannibale,21
/!,/!,P
Rougon,Rougon,20
eut,avoir,19
une,un,71
joie,joie,22
chaude,chaud,30
/.,/.,P
il,il,51
fit,faire,19
répéter,répéter,14
à,à,81
Granoux,Granoux,20
qu',que,52
il,il,51
avait,avoir,18
bien,bien,60
vu,voir,12
le,le,71
maire,maire,21
et,et,82
les,le,71
autres,autre,52
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
brigands,brigand,21
/.,/.,P
-,-,p
quand,quand,83
je,je,51
vous,vous,51
le,le,52
dis,dire,17
!,!,p
pleurait,pleurer,18
le,le,71
bonhomme,bonhomme,21
;,;,p
j',je,51
étais,être,18
derrière,derrière,81
ma,mon,73
persienne,persienne,22
/…,/…,P
c',ce,52
est,être,17
comme,comme,83
monsieur,monsieur,21
Peirotte,Peirotte,20
",",",",p
ils,ils,51
sont,être,17
venus,venir,12
l',le,52
arrêter,arrêter,14
;,;,p
je,je,51
l',le,52
ai,avoir,17
entendu,entendre,12
qui,qui,52
disait,dire,18
",",",",p
en,en,81
passant,passer,13
sous,sous,81
ma,mon,73
fenêtre,fenêtre,22
:,:,p
“,“,p
messieurs,monsieur,21
",",",",p
ne,ne,60
me,je,51
faites,faire,17
pas,pas,60
de,de,81
mal,mal,21
/.,/.,P
“,“,p
ils,ils,51
devaient,devoir,18
le,le,52
martyriser,martyriser,14
/…,/…,P
c',ce,52
est,être,17
une,un,71
honte,honte,22
",",",",p
une,un,71
honte,honte,22
/…,/…,P
Roudier,Roudier,20
calma,calmer,19
Granoux,Granoux,20
en,en,81
lui,lui,51
affirmant,affirmer,13
que,que,83
la,le,71
ville,ville,22
était,être,18
libre,libre,30
/.,/.,P
aussi,aussi,60
le,le,71
digne,digne,30
homme,homme,21
fut,être,19
il,il,51
pris,prendre,12
d',de,81
une,un,71
belle,beau,30
ardeur,ardeur,22
guerrière,guerrier,30
",",",",p
lorsque,lorsque,83
Pierre,Pierre,20
lui,lui,51
apprit,apprendre,19
qu',que,83
il,il,51
venait,venir,18
le,le,52
chercher,chercher,14
pour,pour,81
sauver,sauver,14
Plassans,Plassans,20
/.,/.,P
les,le,71
trois,trois,72
sauveurs,sauveur,21
délibérèrent,délibérer,19
/.,/.,P
ils,ils,51
résolurent,résoudre,19
d',de,81
aller,aller,14
éveiller,éveiller,14
chacun,chacun,52
leurs,leur,73
amis,ami,21
et,et,82
de,de,81
leur,leur,52
donner,donner,14
rendez-vous,rendez-vous,21
dans,dans,81
le,le,71
hangar,hangar,21
",",",",p
l',le,71
arsenal,arsenal,21
secret,secret,30
de,de,81
la,le,71
réaction,réaction,22
/.,/.,P
Rougon,Rougon,20
songeait,songer,18
toujours,toujours,60
aux,à,81
aux,le,71
grands,grand,30
gestes,geste,21
de,de,81
Félicité,Félicité,20
",",",",p
flairant,flairer,13
un,un,71
péril,péril,21
quelque,quelque,75
part,part,22
/.,/.,P
Granoux,Granoux,20
",",",",p
assurément,assurément,60
le,le,71
plus,plus,60
bête,bête,30
des,de,81
des,le,71
trois,trois,72
",",",",p
fut,être,19
le,le,71
premier,premier,72
à,à,81
trouver,trouver,14
qu',que,83
il,il,51
devait,devoir,18
être,être,14
resté,rester,12
des,de,81
des,le,71
républicains,républicain,21
dans,dans,81
la,le,71
ville,ville,22
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
trait,trait,21
de,de,81
lumière,lumière,22
",",",",p
et,et,82
Rougon,Rougon,20
",",",",p
avec,avec,81
un,un,71
pressentiment,pressentiment,21
qui,qui,52
ne,ne,60
le,le,52
trompa,tromper,19
pas,pas,60
",",",",p
se,se,51
dit,dire,19
en,en,81
lui-même,lui-même,51
:,:,p
-,-,p
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
Macquart,Macquart,20
là-dessous,là-dessous,60
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
heure,heure,22
",",",",p
ils,ils,51
se,se,51
retrouvèrent,retrouver,19
dans,dans,81
le,le,71
hangar,hangar,21
",",",",p
situé,situé,31
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
quartier,quartier,21
perdu,perdu,31
/.,/.,P
ils,ils,51
étaient,être,18
allés,aller,12
discrètement,discrètement,60
",",",",p
de,de,81
porte,porte,22
en,en,81
porte,porte,22
",",",",p
étouffant,étouffer,13
le,le,71
bruit,bruit,21
des,de,81
des,le,71
sonnettes,sonnette,22
et,et,82
des,de,81
des,le,71
marteaux,marteau,21
",",",",p
racolant,racoler,13
le,le,71
plus,plus,60
d',de,81
hommes,homme,21
possible,possible,30
/.,/.,P
mais,mais,82
ils,ils,51
n',ne,60
avaient,avoir,18
pu,pouvoir,12
en,en,52
réunir,réunir,14
qu',que,83
une,un,71
quarantaine,quarantaine,22
",",",",p
qui,qui,52
arrivèrent,arriver,19
à,à,81
la,le,71
file,file,22
",",",",p
se,se,51
glissant,glisser,13
dans,dans,81
l',le,71
ombre,ombre,22
",",",",p
sans,sans,81
cravate,cravate,22
",",",",p
avec,avec,81
les,le,71
mines,mine,22
blêmes,blême,30
et,et,82
encore,encore,60
tout,tout,60
endormies,endormi,31
de,de,81
bourgeois,bourgeois,21
effarés,effaré,31
/.,/.,P
le,le,71
hangar,hangar,21
",",",",p
loué,loué,31
à,à,81
un,un,71
tonnelier,tonnelier,21
",",",",p
se,se,51
trouvait,trouver,18
encombré,encombré,31
de,de,81
vieux,vieux,30
cercles,cercle,21
",",",",p
de,de,81
barils,baril,21
effondrés,effondré,31
",",",",p
qui,qui,52
s',se,51
entassaient,entasser,18
dans,dans,81
les,le,71
coins,coin,21
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
",",",",p
les,le,71
fusils,fusil,21
étaient,être,18
couchés,coucher,12
dans,dans,81
trois,trois,72
caisses,caisse,22
longues,long,30
/.,/.,P
un,un,71
rat-de-cave,rat-de-cave,21
",",",",p
posé,posé,31
sur,sur,81
une,un,71
pièce,pièce,22
de,de,81
bois,bois,21
",",",",p
éclairait,éclairer,18
cette,ce,74
scène,scène,22
étrange,étrange,30
d',de,81
une,un,71
lueur,lueur,22
de,de,81
veilleuse,veilleuse,22
qui,qui,52
vacillait,vaciller,18
/.,/.,P
quand,quand,83
Rougon,Rougon,20
eut,avoir,19
retiré,retirer,12
les,le,71
couvercles,couvercle,21
des,de,81
des,le,71
trois,trois,72
caisses,caisse,22
",",",",p
ce,ce,52
fut,être,19
un,un,71
spectacle,spectacle,21
d',de,81
un,un,71
sinistre,sinistre,21
grotesque,grotesque,30
/.,/.,P
au-dessus,au-dessus,60
des,de,81
des,le,71
fusils,fusil,21
",",",",p
dont,dont,52
les,le,71
canons,canon,21
luisaient,luire,18
",",",",p
bleuâtres,bleuâtre,30
et,et,82
comme,comme,83
phosphorescents,phosphorescent,30
",",",",p
des,de,81
des,le,71
cous,cou,21
s',se,51
allongeaient,allonger,18
",",",",p
des,de,81
des,le,71
têtes,tête,22
se,se,51
penchaient,pencher,18
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
horreur,horreur,22
secrète,secret,30
",",",",p
tandis que,tandis que,83
",",",",p
sur,sur,81
les,le,71
murs,mur,21
",",",",p
la,le,71
