-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
la,le,71
mort,mort,22
du,de,81
du,le,71
père,père,21
le,le,71
lendemain,lendemain,21
",",",",p
Goriot,Goriot,20
et,et,82
Rastignac,Rastignac,20
n',ne,60
attendaient,attendre,18
plus,plus,60
que,que,83
le,le,71
bon,bon,30
vouloir,vouloir,21
d',de,81
un,un,71
commissionnaire,commissionnaire,21
pour,pour,81
partir,partir,14
de,de,81
la,le,71
pension,pension,22
bourgeoise,bourgeois,30
",",",",p
quand,quand,83
vers,vers,81
midi,midi,21
le,le,71
bruit,bruit,21
d',de,81
un,un,71
équipage,équipage,21
qui,qui,52
s',se,51
arrêtait,arrêter,18
précisément,précisément,60
à,à,81
la,le,71
porte,porte,22
de,de,81
la,le,71
maison,maison,22
Vauquer,Vauquer,20
retentit,retentir,19
dans,dans,81
la,le,71
rue,rue,22
neuve,neuf,30
Sainte-Geneviève,Sainte Geneviève,20
/.,/.,P
madame,madame,22
de,de,81
Nucingen,Nucingen,20
descendit,descendre,19
de,de,81
sa,son,73
voiture,voiture,22
",",",",p
demanda,demander,19
si,si,83
son,son,73
père,père,21
était,être,18
encore,encore,60
à,à,81
la,le,71
pension,pension,22
/.,/.,P
sur,sur,81
la,le,71
réponse,réponse,22
affirmative,affirmatif,30
de,de,81
Sylvie,Sylvie,20
",",",",p
elle,il,51
monta,monter,19
lestement,lestement,60
l',le,71
escalier,escalier,21
/.,/.,P
Eugène,Eugène,20
se,se,51
trouvait,trouver,18
chez,chez,81
lui,lui,51
sans,sans,81
que,que,83
son,son,73
voisin,voisin,21
le,le,52
sût,savoir,18
/.,/.,P
il,il,51
avait,avoir,18
",",",",p
en,en,81
déjeunant,déjeuner,13
",",",",p
prié,prier,12
le,le,71
père,père,21
Goriot,Goriot,20
d',de,81
emporter,emporter,14
ses,son,73
effets,effet,21
",",",",p
en,en,81
lui,lui,51
disant,dire,13
qu',que,83
ils,ils,51
se,se,51
retrouveraient,retrouver,16
à,à,81
quatre,quatre,72
heures,heure,22
rue,rue,22
d',de,81
Artois,Artois,20
/.,/.,P
mais,mais,82
",",",",p
pendant,pendant,81
que,que,83
le,le,71
bonhomme,bonhomme,21
avait,avoir,18
été,être,12
chercher,chercher,14
des,de,81
des,le,71
porteurs,porteur,21
",",",",p
Eugène,Eugène,20
",",",",p
ayant,avoir,13
promptement,promptement,60
répondu,répondre,12
à,à,81
l',le,71
appel,appel,21
de,de,81
l',le,71
école,école,22
",",",",p
était,être,18
revenu,revenir,12
sans,sans,81
que,que,83
personne,personne,52
l',le,52
eût,avoir,19
aperçu,apercevoir,12
",",",",p
pour,pour,81
compter,compter,14
avec,avec,81
madame,madame,22
Vauquer,Vauquer,20
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
laisser,laisser,14
cette,ce,74
charge,charge,22
à,à,81
Goriot,Goriot,20
",",",",p
qui,qui,52
",",",",p
dans,dans,81
son,son,73
fanatisme,fanatisme,21
",",",",p
aurait,avoir,16
sans,sans,81
doute,doute,21
payé,payer,12
pour,pour,81
lui,lui,51
/.,/.,P
l',le,71
hôtesse,hôtesse,22
était,être,18
sortie,sortir,12
",",",",p
Eugène,Eugène,20
remonta,remonter,19
chez,chez,81
lui,lui,51
pour,pour,81
voir,voir,14
s',si,83
il,il,51
n',ne,60
y,y,52
oubliait,oublier,18
rien,rien,52
",",",",p
et,et,82
s',se,51
applaudit,applaudir,17
d',de,81
avoir,avoir,14
eu,avoir,12
cette,ce,74
pensée,pensée,22
en,en,81
voyant,voir,13
dans,dans,81
le,le,71
tiroir,tiroir,21
de,de,81
sa,son,73
table,table,22
l',le,71
acceptation,acceptation,22
en,en,81
blanc,blanc,21
",",",",p
souscrite,souscrit,31
à,à,81
Vautrin,Vautrin,20
",",",",p
qu',que,52
il,il,51
avait,avoir,18
insouciamment,insouciamment,60
jetée,jeter,12
là,là,60
le,le,71
jour,jour,21
où,où,60
il,il,51
l',le,52
avait,avoir,18
acquittée,acquitter,12
/.,/.,P
n',ne,60
ayant,avoir,13
pas,pas,60
de,de,81
feu,feu,21
",",",",p
