11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
Hérodias,Hérodias,20
la,le,71
citadelle,citadelle,22
de,de,81
Machaerous,Machaerous,20
se,se,51
dressait,dresser,18
à,à,81
l',le,71
orient,orient,21
de,de,81
la,le,71
Mer Morte,Mer Morte,20
sur,sur,81
un,un,71
pic,pic,21
de,de,81
basalte,basalte,21
",",",",p
ayant,avoir,13
la,le,71
forme,forme,22
d',de,81
un,un,71
cône,cône,21
/.,/.,P
quatre,quatre,72
vallées,vallée,22
profondes,profond,30
l',le,52
entouraient,entourer,18
:,:,p
deux,deux,72
vers,vers,21
les,le,71
flancs,flanc,21
",",",",p
une,un,52
en,en,81
face,face,22
",",",",p
la,le,71
quatrième,quatrième,72
au-delà,au-delà,60
/.,/.,P
des,de,81
des,le,71
maisons,maison,22
se,se,51
tassaient,tasser,18
contre,contre,81
sa,son,73
base,base,22
dans,dans,81
le,le,71
cercle,cercle,21
d',de,81
un,un,71
mur,mur,21
qui,qui,52
ondulait,onduler,18
suivant,suivant,81
les,le,71
inégalités,inégalité,22
du,de,81
du,le,71
terrain,terrain,21
;,;,p
et,et,82
",",",",p
par,par,81
un,un,71
chemin,chemin,21
en,en,81
zigzag,zigzag,21
tailladant,taillader,13
le,le,71
rocher,rocher,21
",",",",p
la,le,71
ville,ville,22
se,se,51
reliait,relier,18
à,à,81
la,le,71
forteresse,forteresse,22
-,-,p
dont,dont,52
les,le,71
murailles,muraille,22
étaient,être,18
hautes,haut,30
de,de,81
cent,cent,72
vingt,vingt,72
coudées,couder,12
",",",",p
avec,avec,81
des,de,81
des,le,71
angles,angle,21
nombreux,nombreux,30
",",",",p
des,de,81
des,le,71
créneaux,créneau,21
sur,sur,81
le,le,71
bord,bord,21
",",",",p
et,et,82
çà,çà,60
et,et,82
là,là,60
des,de,81
des,le,71
tours,tour,21
",",",",p
qui,qui,52
faisaient,faire,18
comme,comme,83
des,de,81
des,le,71
fleurons,fleuron,21
à,à,81
cette,ce,74
couronne,couronne,22
de,de,81
pierre,pierre,22
se,se,51
tenant,tenir,13
au-dessus,au-dessus,60
de,de,81
l',le,71
abîme,abîme,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
l',le,71
intérieur,intérieur,21
",",",",p
un,un,71
palais,palais,21
orné,orné,31
de,de,81
portiques,portique,21
",",",",p
