11776
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-huitième extrait>,<>,<>
le,le,71
lendemain,lendemain,21
",",",",p
avant,avant,81
le,le,71
jour,jour,21
",",",",p
Félicité,Félicité,20
alla,aller,19
à,à,81
la,le,71
mairie,mairie,22
",",",",p
munie,muni,31
des,de,81
des,le,71
instructions,instruction,22
de,de,81
Pierre,Pierre,20
",",",",p
pour,pour,81
pénétrer,pénétrer,14
près,près,81
de,de,81
Macquart,Macquart,20
/.,/.,P
elle,il,51
emportait,emporter,18
",",",",p
dans,dans,81
une,un,71
serviette,serviette,22
",",",",p
l',le,71
uniforme,uniforme,21
de,de,81
garde,garde,21
national,national,30
de,de,81
son,son,73
mari,mari,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
elle,il,51
n',ne,60
aperçut,apercevoir,19
que,que,83
quelques,quelque,75
hommes,homme,21
dormant,dormir,13
à,à,81
poings,poing,21
fermés,fermé,31
dans,dans,81
le,le,71
poste,poste,21
/.,/.,P
le,le,71
concierge,concierge,21
",",",",p
qui,qui,52
était,être,18
chargé,charger,12
de,de,81
nourrir,nourrir,14
le,le,71
prisonnier,prisonnier,21
",",",",p
monta,monter,19
lui,lui,51
ouvrir,ouvrir,14
le,le,71
cabinet,cabinet,21
de,de,81
toilette,toilette,22
",",",",p
transformé,transformé,31
en,en,81
cellule,cellule,22
/.,/.,P
puis,puis,60
il,il,51
redescendit,redescendre,19
tranquillement,tranquillement,60
/.,/.,P
Macquart,Macquart,20
était,être,18
enfermé,enfermer,12
dans,dans,81
le,le,71
cabinet,cabinet,21
depuis,depuis,81
deux,deux,72
jours,jour,21
et,et,82
deux,deux,72
nuits,nuit,22
/.,/.,P
il,il,51
avait,avoir,18
eu,avoir,12
le,le,71
temps,temps,21
d',de,81
y,y,52
faire,faire,14
de,de,81
longues,long,30
réflexions,réflexion,22
/.,/.,P
lorsqu',lorsque,83
il,il,51
eut,avoir,19
dormi,dormir,12
",",",",p
les,le,71
premières,premier,72
heures,heure,22
furent,être,19
données,donner,12
à,à,81
la,le,71
colère,colère,22
",",",",p
à,à,81
la,le,71
rage,rage,22
impuissante,impuissant,30
/.,/.,P
il,il,51
éprouvait,éprouver,18
des,de,81
des,le,71
envies,envie,22
de,de,81
briser,briser,14
la,le,71
porte,porte,22
",",",",p
à,à,81
la,le,71
pensée,pensée,22
que,que,83
son,son,73
frère,frère,21
se,se,51
carrait,carrer,18
dans,dans,81
la,le,71
pièce,pièce,22
voisine,voisin,30
/.,/.,P
et,et,82
il,il,51
se,se,51
promettait,promettre,18
de,de,81
l',le,52
étrangler,étrangler,14
de,de,81
ses,son,73
propres,propre,30
mains,main,22
lorsque,lorsque,83
les,le,71
insurgés,insurgé,21
viendraient,venir,16
le,le,52
délivrer,délivrer,14
/.,/.,P
mais,mais,82
le,le,71
soir,soir,21
",",",",p
au,à,81
au,le,71
crépuscule,crépuscule,21
",",",",p
il,il,51
se,se,51
calma,calmer,19
",",",",p
il,il,51
cessa,cesser,19
de,de,81
tourner,tourner,14
furieusement,furieusement,60
dans,dans,81
l',le,71
étroit,étroit,30
cabinet,cabinet,21
/.,/.,P
il,il,51
y,y,52
respirait,respirer,18
une,un,71
odeur,odeur,22
douce,doux,30
",",",",p
un,un,71
sentiment,sentiment,21
de,de,81
bien-être,bien-être,21
qui,qui,52
détendait,détendre,18
ses,son,73
nerfs,nerf,21
/.,/.,P
monsieur,monsieur,21
Garçonnet,Garçonnet,20
",",",",p
fort,fort,60
riche,riche,30
",",",",p
délicat,délicat,30
et,et,82
coquet,coquet,30
",",",",p
avait,avoir,18
fait,faire,12
arranger,arranger,14
ce,ce,74
réduit,réduit,21
d',de,81
une,un,71
très,très,60
élégante,élégant,30
façon,façon,22
;,;,p
le,le,71
divan,divan,21
était,être,18
moelleux,moelleux,30
et,et,82
tiède,tiède,30
;,;,p
des,de,81
des,le,71
parfums,parfum,21
",",",",p
des,de,81
des,le,71
pommades,pommade,22
",",",",p
des,de,81
des,le,71
savons,savon,21
garnissaient,garnir,18
le,le,71
lavabo,lavabo,21
de,de,81
marbre,marbre,21
",",",",p
et,et,82
le,le,71
jour,jour,21
pâlissant,pâlir,13
tombait,tomber,18
du,de,81
du,le,71
plafond,plafond,21
avec,avec,81
des,de,81
des,le,71
voluptés,volupté,22
molles,mou,30
",",",",p
pareil,pareil,30
aux,à,81
aux,le,71
lueurs,lueur,22
d',de,81
une,un,71
lampe,lampe,22
pendue,pendu,31
dans,dans,81
une,un,71
alcôve,alcôve,22
/.,/.,P
Macquart,Macquart,20
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cet,ce,74
air,air,21
musqué,musqué,30
",",",",p
fade,fade,30
et,et,82
assoupi,assoupi,31
",",",",p
qui,qui,52
traîne,traîner,17
dans,dans,81
les,le,71
cabinets,cabinet,21
de,de,81
toilette,toilette,22
",",",",p
s',se,51
endormit,endormir,19
en,en,81
pensant,penser,13
que,que,83
ces,ce,74
diables,diable,21
de,de,81
riches,riche,21
“,“,p
étaient,être,18
bien,bien,60
heureux,heureux,30
tout,tout,60
de,de,81
même,même,60
/.,/.,P
“,“,p
il,il,51
s',se,51
était,être,18
couvert,couvrir,12
d',de,81
une,un,71
couverture,couverture,22
qu',que,52
on,on,51
lui,lui,51
avait,avoir,18
donnée,donner,12
/.,/.,P
il,il,51
se,se,51
vautra,vautrer,19
jusqu',jusque,81
au,à,81
au,le,71
matin,matin,21
",",",",p
la,le,71
tête,tête,22
",",",",p
le,le,71
dos,dos,21
",",",",p
les,le,71
bras,bras,21
appuyés,appuyé,31
sur,sur,81
les,le,71
oreillers,oreiller,21
/.,/.,P
quand,quand,83
il,il,51
ouvrit,ouvrir,19
les,le,71
yeux,oeil,21
",",",",p
un,un,71
filet,filet,21
de,de,81
soleil,soleil,21
glissait,glisser,18
par,par,81
la,le,71
baie,baie,22
/.,/.,P
il,il,51
ne,ne,60
quitta,quitter,19
pas,pas,60
le,le,71
divan,divan,21
",",",",p
il,il,51
avait,avoir,18
chaud,chaud,21
",",",",p
il,il,51
songea,songer,19
en,en,81
regardant,regarder,13
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
il,il,51
se,se,51
disait,dire,18
que,que,83
jamais,jamais,60
il,il,51
n',ne,60
aurait,avoir,16
un,un,71
pareil,pareil,30
coin,coin,21
pour,pour,81
se,se,51
débarbouiller,débarbouiller,14
/.,/.,P
le,le,71
lavabo,lavabo,21
surtout,surtout,60
l',le,52
intéressait,intéresser,18
;,;,p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
malin,malin,30
",",",",p
pensait,penser,18
il,il,51
",",",",p
de,de,81
se,se,51
tenir,tenir,14
propre,propre,30
",",",",p
avec,avec,81
tant,tant,60
de,de,81
petits,petit,30
pots,pot,21
et,et,82
tant,tant,60
de,de,81
fioles,fiole,22
/.,/.,P
cela,cela,52
le,le,52
fit,faire,19
penser,penser,14
amèrement,amèrement,60
à,à,81
sa,son,73
vie,vie,22
manquée,manqué,31
/.,/.,P
l',le,71
idée,idée,22
lui,lui,51
vint,venir,19
qu',que,83
il,il,51
avait,avoir,18
peut-être,peut-être,60
fait,faire,12
fausse,faux,30
route,route,22
;,;,p
on,on,51
ne,ne,60
gagne,gagner,17
rien,rien,52
à,à,81
fréquenter,fréquenter,14
les,le,71
gueux,gueux,21
;,;,p
il,il,51
aurait,avoir,16
dû,devoir,12
ne,ne,60
pas,pas,60
faire,faire,14
le,le,71
méchant,méchant,21
et,et,82
s',se,51
entendre,entendre,14
avec,avec,81
les,le,71
Rougon,Rougon,20
/.,/.,P
puis,puis,60
il,il,51
rejeta,rejeter,19
cette,ce,74
pensée,pensée,22
/.,/.,P
les,le,71
Rougon,Rougon,20
étaient,être,18
des,de,81
des,le,71
scélérats,scélérat,21
qui,qui,52
l',le,52
avaient,avoir,18
volé,voler,12
/.,/.,P
mais,mais,82
les,le,71
tiédeurs,tiédeur,22
",",",",p
les,le,71
souplesses,souplesse,22
du,de,81
du,le,71
divan,divan,21
continuaient,continuer,18
à,à,81
l',le,52
adoucir,adoucir,14
",",",",p
à,à,81
lui,lui,51
donner,donner,14
un,un,71
regret,regret,21
vague,vague,30
/.,/.,P
après,après,81
tout,tout,52
",",",",p
les,le,71
insurgés,insurgé,21
l',le,52
abandonnaient,abandonner,18
",",",",p
ils,ils,51
se,se,51
faisaient,faire,18
battre,battre,14
comme,comme,83
des,de,81
des,le,71
imbéciles,imbécile,21
/.,/.,P
il,il,51
finit,finir,19
par,par,81
conclure,conclure,14
que,que,83
la,le,71
république,république,22
était,être,18
une,un,71
duperie,duperie,22
/.,/.,P
ces,ce,74
Rougon,Rougon,20
avaient,avoir,18
de,de,81
la,le,71
chance,chance,22
/.,/.,P
et,et,82
il,il,51
se,se,51
rappela,rappeler,19
ses,son,73
méchancetés,méchanceté,22
inutiles,inutile,30
",",",",p
sa,son,73
guerre,guerre,22
sourde,sourd,30
;,;,p
personne,personne,52
",",",",p
dans,dans,81
la,le,71
famille,famille,22
",",",",p
ne,ne,60
l',le,52
avait,avoir,18
soutenu,soutenir,12
:,:,p
ni,ni,82
Aristide,Aristide,20
",",",",p
ni,ni,82
le,le,71
frère,frère,21
de,de,81
Silvère,Silvère,20
",",",",p
ni,ni,82
Silvère,Silvère,20
lui-même,lui-même,51
",",",",p
qui,qui,52
était,être,18
un,un,71
sot,sot,21
de,de,81
s',se,51
enthousiasmer,enthousiasmer,14
pour,pour,81
les,le,71
républicains,républicain,21
",",",",p
et,et,82
qui,qui,52
n',ne,60
arriverait,arriver,16
jamais,jamais,60
à,à,81
rien,rien,52
/.,/.,P
maintenant,maintenant,60
",",",",p
sa,son,73
femme,femme,22
était,être,18
morte,mourir,12
",",",",p
ses,son,73
enfants,enfant,21
l',le,52
avaient,avoir,18
quitté,quitter,12
;,;,p
il,il,51
crèverait,crever,16
seul,seul,30
",",",",p
dans,dans,81
un,un,71
coin,coin,21
",",",",p
sans,sans,81
un,un,71
sou,sou,21
",",",",p
comme,comme,83
un,un,71
chien,chien,21
/.,/.,P
décidément,décidément,60
",",",",p
il,il,51
aurait,avoir,16
dû,devoir,12
se,se,51
vendre,vendre,14
à,à,81
la,le,71
réaction,réaction,22
/.,/.,P
en,en,81
pensant,penser,13
cela,cela,52
",",",",p
il,il,51
lorgnait,lorgner,18
le,le,71
lavabo,lavabo,21
",",",",p
pris,pris,31
d',de,81
une,un,71
grande,grand,30
envie,envie,22
d',de,81
aller,aller,14
se,se,51
laver,laver,14
les,le,71
mains,main,22
avec,avec,81
une,un,71
certaine,certain,75
poudre,poudre,22
de,de,81
savon,savon,21
contenue,contenu,31
dans,dans,81
une,un,71
boîte,boîte,22
de,de,81
cristal,cristal,21
/.,/.,P
Macquart,Macquart,20
",",",",p
comme,comme,83
tous,tout,75
les,le,71
fainéants,fainéant,21
qu',que,52
une,un,71
femme,femme,22
ou,ou,82
leurs,leur,73
enfants,enfant,21
nourrissent,nourrir,17
",",",",p
avait,avoir,18
des,de,81
des,le,71
goûts,goût,21
de,de,81
coiffeur,coiffeur,21
/.,/.,P
bien,bien,60
qu',que,83
il,il,51
portât,porter,18
des,de,81
des,le,71
pantalons,pantalon,21
rapiécés,rapiécé,31
",",",",p
il,il,51
aimait,aimer,18
à,à,81
s',se,51
inonder,inonder,14
d',de,81
huile,huile,22
aromatique,aromatique,30
/.,/.,P
il,il,51
passait,passer,18
des,de,81
des,le,71
heures,heure,22
chez,chez,81
son,son,73
barbier,barbier,21
",",",",p
où,où,60
l',l',94
on,on,51
parlait,parler,18
politique,politique,22
",",",",p
et,et,82
qui,qui,52
lui,lui,51
donnait,donner,18
un,un,71
coup,coup,21
de,de,81
peigne,peigne,21
",",",",p
entre,entre,81
deux,deux,72
discussions,discussion,22
/.,/.,P
la,le,71
tentation,tentation,22
devint,devenir,19
trop,trop,60
forte,fort,30
;,;,p
Macquart,Macquart,20
s',se,51
installa,installer,19
devant,devant,81
le,le,71
lavabo,lavabo,21
/.,/.,P
il,il,51
se,se,51
lava,laver,19
les,le,71
mains,main,22
",",",",p
la,le,71
figure,figure,22
;,;,p
il,il,51
se,se,51
coiffa,coiffer,19
",",",",p
se,se,51
parfuma,parfumer,19
",",",",p
fit,faire,19
une,un,71
toilette,toilette,22
complète,complet,30
/.,/.,P
il,il,51
usa,user,19
de,de,81
tous,tout,75
les,le,71
flacons,flacon,21
",",",",p
de,de,81
tous,tout,75
les,le,71
savons,savon,21
",",",",p
de,de,81
toutes,tout,75
les,le,71
poudres,poudre,22
/.,/.,P
mais,mais,82
sa,son,73
plus,plus,60
grande,grand,30
jouissance,jouissance,22
fut,être,19
de,de,81
s',se,51
essuyer,essuyer,14
avec,avec,81
les,le,71
serviettes,serviette,22
du,de,81
du,le,71
maire,maire,21
;,;,p
elles,ils,51
étaient,être,18
souples,souple,30
",",",",p
épaisses,épais,30
/.,/.,P
il,il,51
y,y,52
plongea,plonger,19
sa,son,73
figure,figure,22
humide,humide,30
",",",",p
y,y,52
respira,respirer,19
béatement,béatement,60
toutes,tout,75
les,le,71
senteurs,senteur,22
de,de,81
la,le,71
richesse,richesse,22
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
il,il,51
fut,être,19
pommadé,pommader,12
",",",",p
quand,quand,83
il,il,51
sentit,sentir,19
bon,bon,60
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
il,il,51
revint,revenir,19
s',se,51
étendre,étendre,14
sur,sur,81
le,le,71
divan,divan,21
",",",",p
rajeuni,rajeuni,31
",",",",p
porté,porté,31
aux,à,81
aux,le,71
idées,idée,22
conciliantes,conciliant,30
/.,/.,P
il,il,51
éprouvait,éprouver,18
un,un,71
mépris,mépris,21
encore,encore,60
plus,plus,60
grand,grand,30
pour,pour,81
la,le,71
république,république,22
",",",",p
depuis,depuis,81
qu',que,83
il,il,51
avait,avoir,18
mis,mettre,12
le,le,71
nez,nez,21
dans,dans,81
les,le,71
fioles,fiole,22
de,de,81
monsieur,monsieur,21
Garçonnet,Garçonnet,20
/.,/.,P
l',le,71
idée,idée,22
lui,lui,51
poussa,pousser,19
qu',que,83
il,il,51
était,être,18
peut-être,peut-être,60
encore,encore,60
temps,temps,21
de,de,81
faire,faire,14
la,le,71
paix,paix,22
avec,avec,81
son,son,73
frère,frère,21
/.,/.,P
il,il,51
pesa,peser,19
ce,ce,52
qu',que,52
il,il,51
pourrait,pouvoir,16
demander,demander,14
pour,pour,81
une,un,71
trahison,trahison,22
/.,/.,P
sa,son,73
rancune,rancune,22
contre,contre,81
les,le,71
Rougon,Rougon,20
le,le,52
mordait,mordre,18
