12011
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-onzième extrait>,<>,<>
Andermatt,Andermatt,20
et,et,82
le,le,71
docteur,docteur,21
Latonne,Latonne,20
se,se,51
promenaient,promener,18
devant,devant,81
le,le,71
casino,casino,21
",",",",p
sur,sur,81
la,le,71
terrasse,terrasse,22
ornée,orné,31
de,de,81
vases,vase,21
en,en,81
simili,simili,21
marbre,marbre,21
/.,/.,P
“,“,p
il,il,51
ne,ne,60
me,je,51
salue,saluer,17
même,même,60
plus,plus,60
",",",",p
disait,dire,18
le,le,71
médecin,médecin,21
",",",",p
parlant,parler,13
de,de,81
son,son,73
confrère,confrère,21
Bonnefille,Bonnefille,20
",",",",p
il,il,51
est,être,17
là-bas,là-bas,60
",",",",p
dans,dans,81
son,son,73
trou,trou,21
comme,comme,83
un,un,71
sanglier,sanglier,21
/.,/.,P
je,je,51
crois,croire,17
qu',que,83
il,il,51
empoisonnerait,empoisonner,16
nos,notre,73
sources,source,22
",",",",p
s',si,83
il,il,51
pouvait,pouvoir,18
/.,/.,P
“,“,p
Andermatt,Andermatt,20
",",",",p
les,le,71
mains,main,22
derrière,derrière,81
le,le,71
dos,dos,21
",",",",p
le,le,71
chapeau,chapeau,21
",",",",p
un,un,71
petit,petit,30
chapeau,chapeau,21
melon,melon,21
en,en,52
feutre,feutrer,17
gris,gris,21
rejeté,rejeté,31
sur,sur,81
la,le,71
nuque,nuque,22
et,et,82
laissant,laisser,13
deviner,deviner,14
la,le,71
calvitie,calvitie,22
du,de,81
du,le,71
front,front,21
",",",",p
songeait,songer,18
profondément,profondément,60
/.,/.,P
il,il,51
dit,dire,17
enfin,enfin,60
:,:,p
“,“,p
oh,oh,93
!,!,p
dans,dans,81
trois,trois,72
mois,mois,21
la,le,71
société,société,22
aura,avoir,15
couché,coucher,12
les,le,71
pouces,pouce,21
/.,/.,P
nous,nous,51
en,en,52
sommes,être,17
à,à,81
dix,dix,72
mille,mille,72
francs,franc,21
près,près,81
/.,/.,P
c',ce,52
est,être,17
ce,ce,74
misérable,misérable,30
Bonnefille,Bonnefille,20
qui,qui,52
les,le,52
excite,exciter,17
contre,contre,81
moi,moi,51
et,et,82
qui,qui,52
leur,leur,52
fait,faire,17
croire,croire,14
que,que,83
je,je,51
céderai,céder,15
/.,/.,P
mais,mais,82
il,il,51
se,se,51
trompe,tromper,17
/.,/.,P
“,“,p
le,le,71
nouvel,nouveau,30
inspecteur,inspecteur,21
reprit,reprendre,19
:,:,p
“,“,p
vous,vous,51
savez,savoir,17
qu',que,83
ils,ils,51
ont,avoir,17
fermé,fermer,12
leur,leur,73
casino,casino,21
depuis,depuis,81
hier,hier,60
/.,/.,P
ils,ils,51
n',ne,60
avaient,avoir,18
plus,plus,60
personne,personne,52
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
le,le,52
sais,savoir,17
",",",",p
mais,mais,82
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
assez,assez,60
de,de,81
monde,monde,21
ici,ici,60
",",",",p
nous,nous,51
/.,/.,P
on,on,51
reste,rester,17
trop,trop,60
dans,dans,81
les,le,71
hôtels,hôtel,21
;,;,p
et,et,82
dans,dans,81
les,le,71
hôtels,hôtel,21
on,on,51
s',se,51
ennuie,ennuyer,17
",",",",p
mon,mon,73
cher,cher,30
/.,/.,P
il,il,51
faut,falloir,17
amuser,amuser,14
les,le,71
baigneurs,baigneur,21
",",",",p
les,le,52
distraire,distraire,14
",",",",p
leur,leur,52
faire,faire,14
trouver,trouver,14
trop,trop,60
courte,court,30
la,le,71
saison,saison,22
/.,/.,P
ceux,celui,52
de,de,81
notre,notre,73
hôtel,hôtel,21
Mont-Oriol,Mont-Oriol,20
viennent,venir,17
tous,tout,75
les,le,71
soirs,soir,21
",",",",p
parce qu',parce que,83
ils,ils,51
sont,être,17
tout,tout,52
près,près,81
",",",",p
mais,mais,82
les,le,71
autres,autre,52
hésitent,hésiter,17
et,et,82
restent,rester,17
chez,chez,81
eux,ils,51
/.,/.,P
c',ce,52
est,être,17
une,un,71
question,question,22
de,de,81
routes,route,22
",",",",p
pas,pas,60
autre,autre,75
chose,chose,22
/.,/.,P
le,le,71
succès,succès,21
tient,tenir,17
toujours,toujours,60
à,à,81
des,de,81
des,le,71
causes,cause,22
imperceptibles,imperceptible,30
qu',que,83
on,on,51
doit,devoir,17
savoir,savoir,14
découvrir,découvrir,14
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
les,le,71
chemins,chemin,21
conduisant,conduire,13
à,à,81
un,un,71
lieu,lieu,21
de,de,81
plaisir,plaisir,21
soient,être,17
eux-mêmes,eux-mêmes,51
un,un,71
plaisir,plaisir,21
",",",",p
le,le,71
commencement,commencement,21
de,de,81
l',le,71
agrément,agrément,21
qu',que,52
on,on,51
aura,avoir,15
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
“,“,p
les,le,71
voies,voie,22
menant,mener,13
ici,ici,60
sont,être,17
mauvaises,mauvais,30
",",",",p
pierreuses,pierreux,30
",",",",p
dures,dur,30
",",",",p
elles,ils,51
fatiguent,fatiguer,17
/.,/.,P
quand,quand,83
une,un,71
route,route,22
allant,aller,13
quelque,quelque,75
part,part,22
où,où,60
on,on,51
désire,désirer,17
vaguement,vaguement,60
se,se,51
rendre,rendre,14
est,être,17
douce,doux,30
",",",",p
large,large,30
",",",",p
ombragée,ombragé,31
pendant,pendant,81
le,le,71
jour,jour,21
",",",",p
facile,facile,30
et,et,82
peu,peu,60
montante,montant,30
pour,pour,81
le,le,71
soir,soir,21
",",",",p
on,on,51
la,le,52
choisit,choisir,17
fatalement,fatalement,60
",",",",p
de,de,81
préférence,préférence,22
aux,à,81
aux,le,71
autres,autre,52
/.,/.,P
si,si,83
vous,vous,51
saviez,savoir,18
comme,comme,83
le,le,71
corps,corps,21
garde,garder,17
le,le,71
souvenir,souvenir,21
de,de,81
mille,mille,72
choses,chose,22
que,que,83
l',le,71
esprit,esprit,21
n',ne,60
a,avoir,17
pas,pas,60
pris,prendre,12
la,le,71
peine,peine,22
de,de,81
retenir,retenir,14
/!,/!,P
je,je,51
crois,croire,17
que,que,83
la,le,71
mémoire,mémoire,22
des,de,81
des,le,71
animaux,animal,21
est,être,17
faite,faire,12
ainsi,ainsi,60
/!,/!,P
avez,avoir,17
vous,vous,51
eu,avoir,12
trop,trop,60
chaud,chaud,21
en,en,81
vous,vous,51
rendant,rendre,13
à,à,81
tel,tel,75
endroit,endroit,21
",",",",p
vous,vous,51
êtes,être,17
vous,vous,51
lassé,lasser,12
les,le,71
pieds,pied,21
sur,sur,81
les,le,71
cailloux,caillou,21
