11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
dans,dans,81
la,le,71
plaine,plaine,22
rase,ras,30
",",",",p
sous,sous,81
la,le,71
nuit,nuit,22
sans,sans,81
étoiles,étoile,22
",",",",p
d',de,81
une,un,71
obscurité,obscurité,22
et,et,82
d',de,81
une,un,71
épaisseur,épaisseur,22
d',de,81
encre,encre,22
",",",",p
un,un,71
homme,homme,21
suivait,suivre,18
seul,seul,30
la,le,71
grande,grand,30
route,route,22
de,de,81
Marchiennes,Marchiennes,20
à,à,81
Montsou,Montsou,20
",",",",p
dix,dix,72
kilomètres,kilomètre,21
de,de,81
pavé,pavé,21
coupant,couper,13
tout,tout,60
droit,droit,60
",",",",p
à,à,81
travers,travers,21
les,le,71
champs,champ,21
de,de,81
betteraves,betterave,22
/.,/.,P
devant,devant,81
lui,lui,51
",",",",p
il,il,51
ne,ne,60
voyait,voir,18
même,même,60
pas,pas,60
le,le,71
sol,sol,21
noir,noir,30
",",",",p
et,et,82
il,il,51
n',ne,60
avait,avoir,18
la,le,71
sensation,sensation,22
de,de,81
l',le,71
immense,immense,30
horizon,horizon,21
plat,plat,30
que,que,83
par,par,81
les,le,71
souffles,souffle,21
du,de,81
du,le,71
vent,vent,21
de,de,81
mars,mars,21
",",",",p
des,de,81
des,le,71
rafales,rafale,22
larges,large,30
comme,comme,83
sur,sur,81
une,un,71
mer,mer,22
",",",",p
glacées,glacer,12
d',de,81
avoir,avoir,14
balayé,balayer,12
des,de,81
des,le,71
lieues,lieue,22
de,de,81
marais,marais,21
et,et,82
de,de,81
terres,terre,22
nues,nu,30
/.,/.,P
aucune,aucun,75
ombre,ombre,22
d',de,81
arbre,arbre,21
ne,ne,60
tachait,tacher,18
le,le,71
ciel,ciel,21
",",",",p
le,le,71
pavé,pavé,21
se,se,51
déroulait,dérouler,18
avec,avec,81
la,le,71
rectitude,rectitude,22
d',de,81
une,un,71
jetée,jetée,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
embrun,embrun,21
aveuglant,aveuglant,30
des,de,81
des,le,71
ténèbres,ténèbre,22
/.,/.,P
l',le,71
homme,homme,21
était,être,18
parti,partir,12
de,de,81
Marchiennes,Marchiennes,20
vers,vers,81
deux,deux,72
heures,heure,22
/.,/.,P
il,il,51
marchait,marcher,18
d',de,81
un,un,71
pas,pas,21
allongé,allongé,31
",",",",p
grelottant,grelotter,13
sous,sous,81
le,le,71
coton,coton,21
aminci,aminci,31
de,de,81
sa,son,73
veste,veste,22
et,et,82
de,de,81
son,son,73
pantalon,pantalon,21
de,de,81
velours,velours,21
/.,/.,P
un,un,71
petit,petit,30
paquet,paquet,21
",",",",p
noué,noué,31
dans,dans,81
un,un,71
mouchoir,mouchoir,21
à,à,81
carreaux,carreau,21
",",",",p
le,le,52
gênait,gêner,18
beaucoup,beaucoup,60
;,;,p
et,et,82
il,il,51
le,le,52
serrait,serrer,18
contre,contre,81
ses,son,73
flancs,flanc,21
",",",",p
tantôt,tantôt,60
d',de,81
un,un,71
coude,coude,21
",",",",p
tantôt,tantôt,60
de,de,81
l',le,71
autre,autre,52
",",",",p
pour,pour,81
glisser,glisser,14
au,à,81
au,le,71
fond,fond,21
de,de,81
ses,son,73
poches,poche,22
les,le,71
deux,deux,72
mains,main,22
à,à,81
la,le,71
fois,fois,22
",",",",p
des,de,81
des,le,71
mains,main,22
gourdes,gourde,22
que,que,52
les,le,71
lanières,lanière,22
du,de,81
du,le,71
vent,vent,21
d',de,81
est,est,21
faisaient,faire,18
saigner,saigner,14
/.,/.,P
une,un,71
seule,seul,30
idée,idée,22
occupait,occuper,18
sa,son,73
tête,tête,22
vide,vide,30
d',de,81
ouvrier,ouvrier,21
sans,sans,81
travail,travail,21
et,et,82
sans,sans,81
gîte,gîte,21
",",",",p
l',le,71
espoir,espoir,21
que,que,83
le,le,71
froid,froid,21
serait,être,16
moins,moins,60
vif,vif,30
après,après,81
le,le,71
lever,lever,21
du,de,81
du,le,71
jour,jour,21
/.,/.,P
depuis,depuis,81
une,un,71
heure,heure,22
",",",",p
il,il,51
avançait,avancer,18
ainsi,ainsi,60
",",",",p
lorsque,lorsque,83
sur,sur,81
la,le,71
gauche,gauche,22
à,à,81
deux,deux,72
kilomètres,kilomètre,21
de,de,81
Montsou,Montsou,20
",",",",p
il,il,51
aperçut,apercevoir,19
des,de,81
des,le,71
feux,feu,21
rouges,rouge,30
",",",",p
trois,trois,72
brasiers,brasier,21
brûlant,brûler,13
au,à,81
au,le,71
plein,plein,30
air,air,21
",",",",p
et,et,82
comme,comme,83
suspendus,suspendu,31
/.,/.,P
d'abord,d'abord,60
",",",",p
il,il,51
hésita,hésiter,19
",",",",p
pris,pris,31
de,de,81
crainte,crainte,22
;,;,p
puis,puis,60
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
résister,résister,14
au,à,81
au,le,71
besoin,besoin,21
douloureux,douloureux,30
de,de,81
se,se,51
chauffer,chauffer,14
un,un,71
instant,instant,21
les,le,71
mains,main,22
/.,/.,P
un,un,71
chemin,chemin,21
creux,creux,30
s',se,51
enfonçait,enfoncer,18
/.,/.,P
tout,tout,52
disparut,disparaître,19
/.,/.,P
l',le,71
homme,homme,21
avait,avoir,18
à,à,81
droite,droite,22
une,un,71
palissade,palissade,22
",",",",p
quelque,quelque,75
mur,mur,21
de,de,81
grosses,gros,30
planches,planche,22
fermant,fermer,13
une,un,71
voie,voie,22
ferrée,ferré,31
;,;,p
tandis qu',tandis que,83
un,un,71
talus,talus,21
d',de,81
herbe,herbe,22
s',se,51
élevait,élever,18
à,à,81
gauche,gauche,22
",",",",p
surmonté,surmonté,31
de,de,81
pignons,pignon,21
confus,confus,30
",",",",p
d',de,81
une,un,71
vision,vision,22
de,de,81
village,village,21
aux,à,81
aux,le,71
toitures,toiture,22
basses,bas,30
et,et,82
uniformes,uniforme,30
/.,/.,P
il,il,51
fit,faire,19
environ,environ,60
deux,deux,72
cents,cent,72
pas,pas,21
/.,/.,P
brusquement,brusquement,60
",",",",p
