11875
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quinzième extrait>,<>,<>
le,le,71
grand,grand,30
monde,monde,21
affluait,affluer,18
si,si,60
abondamment,abondamment,60
",",",",p
et,et,82
chacun,chacun,52
mettait,mettre,18
tant,tant,60
d',de,81
empressement,empressement,21
à,à,81
voir,voir,14
cette,ce,74
grande,grand,30
femme,femme,22
au,à,81
au,le,71
moment,moment,21
de,de,81
sa,son,73
chute,chute,22
",",",",p
que,que,83
les,le,71
appartements,appartement,21
",",",",p
situés,situé,31
au,à,81
au,le,71
rez-de-chaussée,rez-de-chaussée,21
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
étaient,être,18
déjà,déjà,60
pleins,plein,30
quand,quand,83
madame,madame,22
de,de,81
Nucingen,Nucingen,20
et,et,82
Rastignac,Rastignac,20
s',se,51
y,y,52
présentèrent,présenter,19
/.,/.,P
depuis,depuis,81
le,le,71
moment,moment,21
où,où,60
toute,tout,75
la,le,71
cour,cour,22
se,se,51
rua,ruer,19
chez,chez,81
la,le,71
grande,grand,30
mademoiselle,mademoiselle,22
à,à,81
qui,qui,52
Louis XIV,Louis XIV,20
arrachait,arracher,18
son,son,73
amant,amant,21
",",",",p
nul,nul,75
désastre,désastre,21
de,de,81
coeur,coeur,21
ne,ne,60
fut,être,19
plus,plus,60
éclatant,éclatant,30
que,que,83
ne,ne,60
l',le,52
était,être,18
celui,celui,52
de,de,81
madame,madame,22
de,de,81
Beauséant,Beauséant,20
/.,/.,P
en,en,81
cette,ce,74
circonstance,circonstance,22
",",",",p
la,le,71
dernière,dernier,30
fille,fille,22
de,de,81
la,le,71
quasi-royale,quasi-royal,30
maison,maison,22
de,de,81
Bourgogne,Bourgogne,20
se,se,51
montra,montrer,19
supérieure,supérieur,30
à,à,81
son,son,73
mal,mal,21
",",",",p
et,et,82
domina,dominer,19
jusqu',jusque,81
à,à,81
son,son,73
dernier,dernier,30
moment,moment,21
le,le,71
monde,monde,21
dont,dont,52
elle,il,51
n',ne,60
avait,avoir,18
accepté,accepter,12
les,le,71
vanités,vanité,22
que,que,83
pour,pour,81
les,le,52
faire,faire,14
servir,servir,14
au,à,81
au,le,71
triomphe,triomphe,21
de,de,81
sa,son,73
passion,passion,22
/.,/.,P
les,le,71
plus,plus,60
belles,beau,30
femmes,femme,22
de,de,81
Paris,Paris,20
animaient,animer,18
les,le,71
salons,salon,21
de,de,81
leurs,leur,73
toilettes,toilette,22
et,et,82
de,de,81
leurs,leur,73
sourires,sourire,21
/.,/.,P
les,le,71
hommes,homme,21
les,le,71
plus,plus,60
distingués,distingué,31
de,de,81
la,le,71
cour,cour,22
",",",",p
les,le,71
ambassadeurs,ambassadeur,21
",",",",p
