11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
elle,il,51
demeura,demeurer,19
trois,trois,72
mois,mois,21
dans,dans,81
sa,son,73
chambre,chambre,22
devenue,devenu,31
si,si,60
faible,faible,30
et,et,82
si,si,60
pâle,pâle,30
qu',que,83
on,on,51
la,le,52
croyait,croire,18
et,et,82
qu',que,83
on,on,51
la,le,52
disait,dire,18
perdue,perdu,31
/.,/.,P
puis,puis,60
peu,peu,60
à,à,81
peu,peu,60
elle,il,51
se,se,51
ranima,ranimer,19
/.,/.,P
petit,petit,30
père,père,21
et,et,82
tante,tante,22
Lison,Lison,20
ne,ne,60
la,le,52
quittaient,quitter,18
pas,pas,60
",",",",p
installés,installé,31
tous,tout,75
deux,deux,72
aux,à,81
aux,le,71
Peuples,Peuple,20
/.,/.,P
elle,il,51
avait,avoir,18
gardé,garder,12
de,de,81
cette,ce,74
secousse,secousse,22
une,un,71
maladie,maladie,22
nerveuse,nerveux,30
;,;,p
le,le,71
moindre,moindre,30
bruit,bruit,21
la,le,52
faisait,faire,18
défaillir,défaillir,14
",",",",p
et,et,82
elle,il,51
tombait,tomber,18
en,en,81
de,de,81
longues,long,30
syncopes,syncope,22
provoquées,provoqué,31
par,par,81
les,le,71
causes,cause,22
les,le,71
plus,plus,60
insignifiantes,insignifiant,30
/.,/.,P
jamais,jamais,60
elle,il,51
n',ne,60
avait,avoir,18
demandé,demander,12
de,de,81
détails,détail,21
sur,sur,81
la,le,71
mort,mort,22
de,de,81
Julien,Julien,20
/.,/.,P
que,que,52
lui,lui,51
importait,importer,18
/?,/?,P
n',ne,60
en,en,52
savait,savoir,18
elle,il,51
pas,pas,60
assez,assez,60
/?,/?,P
tout,tout,75
le,le,71
monde,monde,21
croyait,croire,18
à,à,81
un,un,71
accident,accident,21
",",",",p
mais,mais,82
elle,il,51
ne,ne,60
s',se,51
y,y,52
trompait,tromper,18
pas,pas,60
;,;,p
et,et,82
elle,il,51
gardait,garder,18
en,en,81
son,son,73
coeur,coeur,21
ce,ce,74
secret,secret,21
qui,qui,52
la,le,52
torturait,torturer,18
:,:,p
la,le,71
connaissance,connaissance,22
de,de,81
l',le,71
adultère,adultère,21
",",",",p
et,et,82
la,le,71
vision,vision,22
de,de,81
cette,ce,74
brusque,brusque,30
et,et,82
terrible,terrible,30
visite,visite,22
du,de,81
du,le,71
comte,comte,21
",",",",p
le,le,71
jour,jour,21
de,de,81
la,le,71
catastrophe,catastrophe,22
/.,/.,P
voilà,voilà,81
que,que,83
maintenant,maintenant,60
son,son,73
âme,âme,22
était,être,18
pénétrée,pénétrer,12
par,par,81
des,de,81
des,le,71
souvenirs,souvenir,21
attendris,attendri,31
",",",",p
doux,doux,30
et,et,82
mélancoliques,mélancolique,30
",",",",p
des,de,81
des,le,71
courtes,court,30
joies,joie,22
d',de,81
amour,amour,21
que,que,52
lui,lui,51
avait,avoir,18
autrefois,autrefois,60
données,donner,12
son,son,73
mari,mari,21
/.,/.,P
elle,il,51
tressaillait,tressaillir,18
à,à,81
tout,tout,75
moment,moment,21
à,à,81
des,de,81
des,le,71
réveils,réveil,21
inattendus,inattendu,30
de,de,81
sa,son,73
mémoire,mémoire,22
;,;,p
et,et,82
elle,il,51
le,le,52
revoyait,revoir,18
tel,tel,75
qu',que,83
il,il,51
avait,avoir,18
été,être,12
en,en,81
ces,ce,74
jours,jour,21
de,de,81
fiançailles,fiançaille,22
",",",",p
et,et,82
tel,tel,52
aussi,aussi,60
qu',que,83
elle,il,51
l',le,52
avait,avoir,18
chéri,chérir,12
en,en,81
ses,son,73
seules,seul,30
heures,heure,22
de,de,81
passion,passion,22
écloses,éclos,31
sous,sous,81
le,le,71
grand,grand,30
soleil,soleil,21
de,de,81
la,le,71
Corse,Corse,20
/.,/.,P
tous,tout,75
les,le,71
défauts,défaut,21
diminuaient,diminuer,18
",",",",p
toutes,tout,75
les,le,71
duretés,dureté,22
disparaissaient,disparaître,18
",",",",p
les,le,71
infidélités,infidélité,22
elles-mêmes,eux-mêmes,51
s',se,51
atténuaient,atténuer,18
maintenant,maintenant,60
dans,dans,81
l',le,71
éloignement,éloignement,21
grandissant,grandissant,30
du,de,81
du,le,71
tombeau,tombeau,21
fermé,fermé,31
/.,/.,P
et,et,82
Jeanne,Jeanne,20
",",",",p
envahie,envahi,31
par,par,81
une,un,71
sorte,sorte,22
de,de,81
vague,vague,30
gratitude,gratitude,22
posthume,posthume,30
pour,pour,81
cet,ce,74
homme,homme,21
qui,qui,52
l',le,52
avait,avoir,18
tenue,tenir,12
en,en,81
ses,son,73
bras,bras,21
",",",",p
pardonnait,pardonner,18
les,le,71
souffrances,souffrance,22
passées,passé,31
pour,pour,81
ne,ne,60
songer,songer,14
qu',que,83
aux,à,81
aux,le,71
moments,moment,21
heureux,heureux,30
/.,/.,P
puis,puis,60
le,le,71
temps,temps,21
marchant,marcher,13
toujours,toujours,60
et,et,82
les,le,71
mois,mois,21
tombant,tomber,13
sur,sur,81
les,le,71
mois,mois,21
poudrèrent,poudrer,19
d',de,81
oubli,oubli,21
",",",",p
comme,comme,83
d',de,81
une,un,71
poussière,poussière,22
accumulée,accumulé,31
",",",",p
toutes,tout,75
ses,son,73
réminiscences,réminiscence,22
et,et,82
ses,son,73
douleurs,douleur,22
;,;,p
