11942
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-huitième extrait>,<>,<>
Maheu,Maheu,20
",",",",p
sans,sans,81
regarder,regarder,14
à,à,81
sa,son,73
montre,montre,22
laissée,laissé,31
dans,dans,81
sa,son,73
veste,veste,22
",",",",p
s',se,51
arrêta,arrêter,19
et,et,82
dit,dire,19
:,:,p
-,-,p
bientôt,bientôt,60
une,un,71
heure,heure,22
/…,/…,P
Zacharie,Zacharie,20
",",",",p
est,être,17
ce,ce,52
fait,faire,12
/?,/?,P
le,le,71
jeune,jeune,30
homme,homme,21
boisait,boiser,18
depuis,depuis,81
un,un,71
instant,instant,21
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
sa,son,73
besogne,besogne,22
",",",",p
il,il,51
était,être,18
resté,rester,12
sur,sur,81
le,le,71
dos,dos,21
",",",",p
les,le,71
yeux,oeil,21
vagues,vague,30
",",",",p
rêvassant,rêvasser,13
aux,à,81
aux,le,71
parties,partie,22
de,de,81
crosse,crosse,22
qu',que,52
il,il,51
avait,avoir,18
faites,faire,12
la,le,71
veille,veille,22
/.,/.,P
il,il,51
s',se,51
éveilla,éveiller,19
",",",",p
il,il,51
répondit,répondre,19
:,:,p
-,-,p
oui,oui,60
",",",",p
ça,ça,52
suffira,suffire,15
",",",",p
on,on,51
verra,voir,15
demain,demain,60
/.,/.,P
et,et,82
il,il,51
retourna,retourner,19
prendre,prendre,14
sa,son,73
place,place,22
à,à,81
la,le,71
taille,taille,22
/.,/.,P
Levaque,Levaque,20
et,et,82
Chaval,Chaval,20
",",",",p
eux,ils,51
aussi,aussi,60
",",",",p
lâchaient,lâcher,18
la,le,71
rivelaine,rivelaine,22
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
repos,repos,21
/.,/.,P
tous,tout,52
s',se,51
essuyaient,essuyer,18
le,le,71
visage,visage,21
sur,sur,81
leurs,leur,73
bras,bras,21
nus,nu,30
",",",",p
en,en,81
regardant,regarder,13
la,le,71
roche,roche,22
du,de,81
du,le,71
toit,toit,21
",",",",p
dont,dont,52
les,le,71
masses,masse,22
schisteuses,schisteux,30
se,se,51
fendillaient,fendiller,18
/.,/.,P
ils,ils,51
ne,ne,60
causaient,causer,18
guère,guère,60
que,que,83
de,de,81
leur,leur,73
travail,travail,21
/.,/.,P
-,-,p
encore,encore,60
une,un,71
chance,chance,22
",",",",p
murmura,murmurer,19
Chaval,Chaval,20
",",",",p
d',de,81
être,être,14
tombé,tomber,12
sur,sur,81
des,de,81
des,le,71
terres,terre,22
qui,qui,52
déboulent,débouler,17
!,!,p
/…,/…,P
ils,ils,51
n',ne,60
ont,avoir,17
pas,pas,60
tenu,tenir,12
compte,compte,21
de,de,81
ça,ça,52
",",",",p
dans,dans,81
le,le,71
marchandage,marchandage,21
/.,/.,P
-,-,p
des,de,81
des,le,71
filous,filou,21
!,!,p
grogna,grogner,19
Levaque,Levaque,20
/.,/.,P
ils,ils,51
ne,ne,60
cherchent,chercher,17
qu',que,83
à,à,81
nous,nous,51
foutre,foutre,14
dedans,dedans,60
/.,/.,P
Zacharie,Zacharie,20
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
/.,/.,P
il,il,51
se,se,51
fichait,ficher,18
du,de,81
du,le,71
travail,travail,21
et,et,82
du,de,81
du,le,71
reste,reste,21
",",",",p
mais,mais,82
ça,ça,52
l',le,52
amusait,amuser,18
d',de,81
entendre,entendre,14
empoigner,empoigner,14
la,le,71
compagnie,compagnie,22
/.,/.,P
de,de,81
son,son,73
air,air,21
placide,placide,30
",",",",p
Maheu,Maheu,20
expliqua,expliquer,19
que,que,83
la,le,71
nature,nature,22
des,de,81
des,le,71
terrains,terrain,21
changeait,changer,18
tous,tout,75
les,le,71
vingt,vingt,72
mètres,mètre,21
/.,/.,P
il,il,51
fallait,falloir,18
être,être,14
juste,juste,30
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
rien,rien,52
prévoir,prévoir,14
/.,/.,P
puis,puis,60
",",",",p
les,le,71
deux,deux,72
autres,autre,52
continuant,continuer,13
à,à,81
déblatérer,déblatérer,14
contre,contre,81
les,le,71
chefs,chef,21
",",",",p
il,il,51
devint,devenir,19
inquiet,inquiet,30
",",",",p
il,il,51
regarda,regarder,19
