11659
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Centième extrait>,<>,<>
bal,bal,21
/.,/.,P
-,-,p
qui,qui,52
/?,/?,P
-,-,p
cette,ce,74
jeune,jeune,30
personne,personne,22
/.,/.,P
-,-,p
ah,ah,93
/!,/!,P
Isaure,Isaure,20
d',de,81
Aldrigger,Aldrigger,20
/.,/.,P
mais,mais,82
oui,oui,60
/.,/.,P
la,le,71
mère,mère,22
est,être,17
veuve,veuve,22
",",",",p
son,son,73
mari,mari,21
a,avoir,17
eu,avoir,12
Nucingen,Nucingen,20
dans,dans,81
ses,son,73
bureaux,bureau,21
à,à,81
Strasbourg,Strasbourg,20
/.,/.,P
veux,vouloir,17
tu,tu,51
la,le,52
revoir,revoir,14
",",",",p
tourne,tourner,17
un,un,71
compliment,compliment,21
à,à,81
madame,madame,22
de,de,81
Restaud,Restaud,20
",",",",p
qui,qui,52
donne,donner,17
un,un,71
bal,bal,21
après-demain,après-demain,60
",",",",p
la,le,71
baronne,baronne,22
d',de,81
Aldrigger,Aldrigger,20
et,et,82
ses,son,73
deux,deux,72
filles,fille,22
y,y,52
seront,être,15
",",",",p
tu,tu,51
seras,être,15
invité,inviter,12
/!,/!,P
pendant,pendant,81
trois,trois,72
jours,jour,21
dans,dans,81
la,le,71
chambre,chambre,22
obscure,obscur,30
de,de,81
son,son,73
cerveau,cerveau,21
",",",",p
Godefroid,Godefroid,20
vit,voir,19
son,son,73
Isaure,Isaure,20
et,et,82
les,le,71
camélias,camélia,21
blancs,blanc,30
",",",",p
et,et,82
les,le,71
airs,air,21
de,de,81
tête,tête,22
",",",",p
comme,comme,83
lorsqu',lorsque,83
après,après,81
avoir,avoir,14
contemplé,contempler,12
long,long,30
temps,temps,21
un,un,71
objet,objet,21
fortement,fortement,60
éclairé,éclairé,31
",",",",p
nous,nous,51
le,le,52
retrouvons,retrouver,17
les,le,71
yeux,oeil,21
fermés,fermé,31
sous,sous,81
une,un,71
forme,forme,22
moindre,moindre,30
",",",",p
radieux,radieux,30
et,et,82
coloré,coloré,31
",",",",p
qui,qui,52
pétille,pétiller,17
au,à,81
au,le,71
centre,centre,21
des,de,81
des,le,71
ténèbres,ténèbre,22
/.,/.,P
-,-,p
Bixiou,Bixiou,20
",",",",p
tu,tu,51
tombes,tomber,17
dans,dans,81
le,le,71
phénomène,phénomène,21
",",",",p
masse,masser,17
nous,nous,51
des,de,81
des,le,71
tableaux,tableau,21
?,?,p
dit,dire,19
Couture,Couture,20
/.,/.,P
-,-,p
voilà,voilà,81
!,!,p
reprit,reprendre,19
Bixiou,Bixiou,20
en,en,81
se,se,51
posant,poser,13
sans,sans,81
doute,doute,21
comme,comme,83
un,un,71
garçon,garçon,21
de,de,81
café,café,21
",",",",p
voilà,voilà,81
",",",",p
messieurs,monsieur,21
",",",",p
le,le,71
tableau,tableau,21
demandé,demandé,31
/!,/!,P
attention,attention,22
",",",",p
Finot,Finot,20
!,!,p
il,il,51
faut,falloir,17
tirer,tirer,14
sur,sur,81
ta,ton,73
bouche,bouche,22
comme,comme,83
un,un,71
cocher,cocher,21
de,de,81
coucou,coucou,21
sur,sur,81
celle,celui,52
de,de,81
sa,son,73
rosse,rosse,22
/!,/!,P
madame,madame,22
Théodor,Théodora,20
Marguerit,Marguerite,20
Wilhelmine,Wilhelmine,20
Adolphus,Adolphus,20
(,(,p
de,de,81
la,le,71
maison,maison,22
Adolphus,Adolphus,20
et,et,82
compagnie,compagnie,22
de,de,81
Manheim,Manheim,20
),),p
",",",",p
veuve,veuve,22
du,de,81
du,le,71
baron,baron,21
d',de,81
Aldrigger,Aldrigger,20
",",",",p
n',ne,60
était,être,18
pas,pas,60
une,un,71
bonne,bon,30
grosse,gros,30
Allemande,Allemand,20
",",",",p
compacte,compact,30
et,et,82
réfléchie,réfléchi,31
",",",",p
blanche,blanc,30
",",",",p
à,à,81
visage,visage,21
doré,doré,31
comme,comme,83
la,le,71
mousse,mousse,22
d',de,81
un,un,71
pot,pot,21
de,de,81
bière,bière,22
",",",",p
enrichie,enrichi,31
de,de,81
toutes,tout,75
les,le,71
vertus,vertu,22
patriarcales,patriarcal,30
que,que,52
la,le,71
Germanie,Germanie,20
possède,posséder,17
",",",",p
romancièrement,romancièrement,60
parlant,parlant,30
/.,/.,P
elle,il,51
avait,avoir,18
les,le,71
joues,joue,22
encore,encore,60
fraîches,frais,30
",",",",p
colorées,coloré,31
aux,à,81
aux,le,71
pommettes,pommette,22
comme,comme,83
celle,celui,52
d',de,81
une,un,71
poupée,poupée,22
de,de,81
Nuremberg,Nuremberg,20
",",",",p
des,de,81
des,le,71
tire-bouchons,tirebouchon,21
très,très,60
éveillés,éveillé,31
aux,à,81
aux,le,71
tempes,tempe,22
",",",",p
les,le,71
yeux,oeil,21
agaçants,agaçant,30
",",",",p
pas,pas,60
le,le,71
moindre,moindre,30
cheveu,cheveu,21
blanc,blanc,30
",",",",p
une,un,71
taille,taille,22
mince,mince,30
",",",",p
et,et,82
dont,dont,52
les,le,71
prétentions,prétention,22
étaient,être,18
mises,mettre,12
en,en,81
relief,relief,21
par,par,81
des,de,81
des,le,71
robes,robe,22
à,à,81
corset,corset,21
/.,/.,P
elle,il,51
avait,avoir,18
au,à,81
au,le,71
front,front,21
et,et,82
aux,à,81
aux,le,71
tempes,tempe,22
quelques,quelque,75
rides,ride,22
involontaires,involontaire,30
qu',que,52
elle,il,51
aurait,avoir,16
bien,bien,60
voulu,vouloir,12
",",",",p
comme,comme,83
Ninon,Ninon,20
",",",",p
exiler,exiler,14
à,à,81
ses,son,73
talons,talon,21
;,;,p
mais,mais,82
les,le,71
rides,ride,22
persistaient,persister,18
à,à,81
dessiner,dessiner,14
leurs,leur,73
zigs-zags,zigzag,21
aux,à,81
aux,le,71
endroits,endroit,21
les,le,71
plus,plus,60
visibles,visible,30
/.,/.,P
chez,chez,81
elle,il,51
",",",",p
le,le,71
tour,tour,21
du,de,81
du,le,71
nez,nez,21
se,se,51
fanait,faner,18
",",",",p
et,et,82
le,le,71
bout,bout,21
rougissait,rougir,18
",",",",p
ce,ce,52
qui,qui,52
était,être,18
d'autant,d'autant,60
plus,plus,60
gênant,gênant,30
que,que,83
le,le,71
nez,nez,21
s',se,51
harmoniait,harmonier,18
alors,alors,60
à,à,81
la,le,71
couleur,couleur,22
des,de,81
des,le,71
pommettes,pommette,22
/.,/.,P
en,en,81
qualité,qualité,22
