11342
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 125e extrait>,<>,<>
Don Quichotte,Don Quichotte,20
galopant,galopant,30
",",",",p
la,le,71
lance,lance,22
en,en,81
arrêt,arrêt,21
",",",",p
contre,contre,81
des,de,81
des,le,71
moulins,moulin,21
à,à,81
vent,vent,21
",",",",p
tandis que,tandis que,83
Sancho,Sancho,20
Pança,Pança,20
",",",",p
les,le,71
bras,bras,21
au,à,81
au,le,71
ciel,ciel,21
",",",",p
le,le,52
conjure,conjurer,17
en,en,81
vain,vain,30
de,de,81
s',se,51
arrêter,arrêter,14
/.,/.,P
cette,ce,74
canne,canne,22
est,être,17
tout,tout,52
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
recueilli,recueillir,12
de,de,81
l',le,71
héritage,héritage,21
de,de,81
mon,mon,73
oncle,oncle,21
",",",",p
le,le,71
capitaine,capitaine,21
Victor,Victor,20
",",",",p
qui,qui,52
fut,être,19
de,de,81
son,son,73
vivant,vivant,21
plus,plus,60
semblable,semblable,30
à,à,81
Don Quichotte,Don Quichotte,20
qu',que,83
à,à,81
Sancho,Sancho,20
Pança,Pança,20
et,et,82
qui,qui,52
aimait,aimer,18
les,le,71
coups,coup,21
aussi,aussi,60
naturellement,naturellement,60
qu',que,83
on,on,51
les,le,52
craint,craindre,17
d',de,81
ordinaire,ordinaire,21
/.,/.,P
depuis,depuis,81
trente,trente,72
ans,an,21
",",",",p
je,je,51
la,le,52
porte,porter,17
",",",",p
cette,ce,74
canne,canne,22
",",",",p
à,à,81
chaque,chaque,75
course,course,22
mémorable,mémorable,30
ou,ou,82
solennelle,solennel,30
que,que,52
je,je,51
fais,faire,17
",",",",p
et,et,82
les,le,71
deux,deux,72
figurines,figurine,22
du,de,81
du,le,71
seigneur,seigneur,21
et,et,82
de,de,81
l',le,71
écuyer,écuyer,21
m',je,51
inspirent,inspirer,17
et,et,82
me,je,51
conseillent,conseiller,17
/.,/.,P
je,je,51
crois,croire,17
les,le,52
entendre,entendre,14
/.,/.,P
Don Quichotte,Don Quichotte,20
me,je,51
dit,dire,17
:,:,p
-,-,p
“,“,p
pense,penser,17
fortement,fortement,60
de,de,81
grandes,grand,30
choses,chose,22
",",",",p
et,et,82
sache,savoir,17
que,que,83
la,le,71
pensée,pensée,22
est,être,17
la,le,71
seule,seul,30
réalité,réalité,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
hausse,hausse,22
la,le,71
nature,nature,22
à,à,81
ta,ton,73
taille,taille,22
",",",",p
et,et,82
que,que,52
l',le,71
univers,univers,21
tout,tout,60
entier,entier,30
ne,ne,60
soit,être,17
pour,pour,81
toi,toi,51
que,que,83
le,le,71
reflet,reflet,21
de,de,81
ton,ton,73
âme,âme,22
héroïque,héroïque,30
/.,/.,P
combats,combat,21
pour,pour,81
l',le,71
honneur,honneur,21
;,;,p
cela,cela,52
seul,seul,30
est,être,17
digne,digne,30
d',de,81
un,un,71
homme,homme,21
",",",",p
et,et,82
s',si,83
il,il,51
t',tu,51
arrive,arriver,17
de,de,81
recevoir,recevoir,14
des,de,81
des,le,71
blessures,blessure,22
",",",",p
