N°,Etiquette,Auteur et titre,Année
1,BHbe1,Balzac Honoré de - La cousine Bette,1846
2,CFat1,Chateaubriand François-René de - Atala,1801
3,DAmc1,Dumas Alexandre - Le comte de Monte Cristo,1845
4,FGbp1,Flaubert Gustave - Bouvard et Pécuchet,1881
5,GTav1,Gautier Théophile – Avatar,1856
6,GEge1,Goncourt Edmond et Jules de - Madame Gervaisais,1869
7,HVmi1,Hugo Victor - Les Misérables,1862
8,HJar1,Huysmans Joris-Karl - A rebours,1887
9,LAgr1,Lamartine (Alphonse de) - Graziella,1852
10,MGba1,Maupassant Guy de - Bel-Ami,1885
11,MAco1,Musset Alfred de - La Confession d’un enfant du siècle,1836
12,NGau1,Nerval Gérard de - Aurélia,1855
13,SGfa3,Sand George - La Petite Fadette,1851
14,SHch1,Stendhal (Henri Beyle) La Chartreuse de Parme,1839
15,VJtl1,Verne Jules - De la terre à la lune,1865
16,VAcm1,Vigny Alfred de - Cinq-Mars,1826
17,ZEar1,Zola Emile - L'Argent,1891
18,BHbe2,Balzac Honoré de - La cousine Bette,1846
19,CFat2,Chateaubriand François-René de - Atala,1801
20,DAmc2,Dumas Alexandre - Le comte de Monte Cristo,1845
21,FGbp2,Flaubert Gustave - Bouvard et Pécuchet,1881
22,GTav2,Gautier Théophile - Avatar,1856
23,GEge2,Goncourt Edmond et Jules de - Madame Gervaisais,1869
24,HVmi2,Hugo Victor - Les Misérables.,1862
25,HJar2,Huysmans Joris-Karl - A rebours,1887
26,LAgr2,Lamartine (Alphonse de) - Graziella,1849
27,MGba2,Maupassant Guy de - Bel-Ami,1885
28,MAco2,Musset Alfred de - La Confession d’un enfant du siècle,1836
29,NGau2,Nerval Gérard de - Aurélia,1855
30,SGfa4,Sand George - La Petite Fadette,1851
31,SHch2,Stendhal (Henri Beyle) La Chartreuse de Parme,1839
32,VJtl2,Verne Jules - De la terre à la lune,1865
33,VAcm2,Vigny Alfred de- Cinq-Mars,1826
