11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
pour,pour,81
savoir,savoir,14
la,le,71
chimie,chimie,22
",",",",p
ils,ils,51
se,se,51
procurèrent,procurer,19
le,le,71
cours,cours,21
de,de,81
Regnault,Regnault,20
-,-,p
et,et,82
apprirent,apprendre,19
d'abord,d'abord,60
que,que,83
“,“,p
les,le,71
corps,corps,21
simples,simple,30
sont,être,17
peut-être,peut-être,60
composés,composer,12
“,“,p
/.,/.,P
on,on,51
les,le,52
distingue,distinguer,17
en,en,81
métalloïdes,métalloïde,21
et,et,82
en,en,81
métaux,métal,21
",",",",p
-,-,p
différence,différence,22
qui,qui,52
n',ne,60
a,avoir,17
“,“,p
rien,rien,52
d',de,81
absolu,absolu,30
“,“,p
",",",",p
dit,dit,31
l',le,71
auteur,auteur,21
/.,/.,P
de,de,81
même,même,60
pour,pour,81
les,le,71
acides,acide,21
et,et,82
les,le,71
bases,base,22
",",",",p
“,“,p
un,un,71
corps,corps,21
pouvant,pouvoir,13
se,se,51
comporter,comporter,14
à,à,81
la,le,71
manière,manière,22
des,de,81
des,le,71
acides,acide,21
ou,ou,82
des,de,81
des,le,71
bases,base,22
",",",",p
suivant,suivant,81
les,le,71
circonstances,circonstance,22
“,“,p
/.,/.,P
la,le,71
notation,notation,22
leur,leur,52
parut,paraître,19
baroque,baroque,30
/.,/.,P
-,-,p
les,le,71
proportions,proportion,22
multiples,multiple,30
troublèrent,troubler,19
Pécuchet,Pécuchet,20
/.,/.,P
-,-,p
“,“,p
puisqu',puisque,83
une,un,71
molécule,molécule,22
de,de,81
A,A,20
",",",",p
je,je,51
suppose,supposer,17
",",",",p
se,se,51
combine,combiner,17
avec,avec,81
plusieurs,plusieurs,75
parties,partie,22
de,de,81
B,B,20
",",",",p
il,il,51
me,je,51
semble,sembler,17
que,que,83
cette,ce,74
molécule,molécule,22
doit,devoir,17
se,se,51
diviser,diviser,14
en,en,81
autant,autant,60
de,de,81
parties,partie,22
;,;,p
mais,mais,82
si,si,83
elle,il,51
se,se,51
divise,diviser,17
",",",",p
elle,il,51
cesse,cesser,17
d',de,81
être,être,14
l',le,71
unité,unité,22
",",",",p
la,le,71
molécule,molécule,22
primordiale,primordial,30
/.,/.,P
enfin,enfin,60
",",",",p
je,je,51
ne,ne,60
comprends,comprendre,17
pas,pas,60
/.,/.,P
“,“,p
-,-,p
“,“,p
moi,moi,51
",",",",p
non,non,60
plus,plus,60
!,!,p
disait,dire,18
Bouvard,Bouvard,20
/.,/.,P
et,et,82
ils,ils,51
recoururent,recourir,19
à,à,81
un,un,71
ouvrage,ouvrage,21
moins,moins,60
difficile,difficile,30
",",",",p
celui,celui,52
de,de,81
Girardin,Girardin,20
-,-,p
où,où,60
ils,ils,51
acquirent,acquérir,19
la,le,71
certitude,certitude,22
que,que,83
dix,dix,72
litres,litre,21
d',de,81
air,air,21
pèsent,peser,17
cent,cent,72
grammes,gramme,21
",",",",p
qu',que,52
il,il,51
n',ne,60
entre,entrer,17
pas,pas,60
de,de,81
plomb,plomb,21
