11269
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquième extrait>,<>,<>
avatar,avatar,21
I,I,20
personne,personne,52
ne,ne,60
pouvait,pouvoir,18
rien,rien,52
comprendre,comprendre,14
à,à,81
la,le,71
maladie,maladie,22
qui,qui,52
minait,miner,18
lentement,lentement,60
Octave,Octave,20
de,de,81
Saville,Saville,20
/.,/.,P
il,il,51
ne,ne,60
gardait,garder,18
pas,pas,60
le,le,71
lit,lit,21
et,et,82
menait,mener,18
son,son,73
train,train,21
de,de,81
vie,vie,22
ordinaire,ordinaire,30
;,;,p
jamais,jamais,60
une,un,71
plainte,plainte,22
ne,ne,60
sortait,sortir,18
de,de,81
ses,son,73
lèvres,lèvre,22
",",",",p
et,et,82
cependant,cependant,82
il,il,51
dépérissait,dépérir,18
à,à,81
vue,vue,22
d',de,81
oeil,oeil,21
/.,/.,P
interrogé,interrogé,31
par,par,81
les,le,71
médecins,médecin,21
que,que,52
le,le,52
forçait,forcer,18
à,à,81
consulter,consulter,14
la,le,71
sollicitude,sollicitude,22
de,de,81
ses,son,73
parents,parent,21
et,et,82
de,de,81
ses,son,73
amis,ami,21
",",",",p
il,il,51
n',ne,60
accusait,accuser,18
aucune,aucun,75
souffrance,souffrance,22
précise,préciser,17
",",",",p
et,et,82
la,le,71
science,science,22
ne,ne,60
découvrait,découvrir,18
en,en,81
lui,lui,51
nul,nul,75
symptôme,symptôme,21
alarmant,alarmant,30
:,:,p
sa,son,73
poitrine,poitrine,22
auscultée,ausculté,31
rendait,rendre,18
un,un,71
son,son,21
favorable,favorable,30
",",",",p
et,et,82
à,à,81
peine,peine,22
si,si,83
l',le,71
oreille,oreille,22
appliquée,appliqué,31
sur,sur,81
son,son,73
coeur,coeur,21
y,y,52
surprenait,surprendre,18
quelque,quelque,75
battement,battement,21
trop,trop,60
lent,lent,30
ou,ou,82
trop,trop,60
précipité,précipité,31
;,;,p
il,il,51
ne,ne,60
toussait,tousser,18
pas,pas,60
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
fièvre,fièvre,22
",",",",p
mais,mais,82
la,le,71
vie,vie,22
se,se,51
retirait,retirer,18
de,de,81
lui,lui,51
et,et,82
fuyait,fuir,18
par,par,81
une,un,52
de,de,81
ces,ce,74
fentes,fente,22
invisibles,invisible,30
dont,dont,52
l',le,71
homme,homme,21
est,être,17
plein,plein,30
",",",",p
au,à,81
au,le,71
dire,dire,21
de,de,81
Térence,Térence,20
/.,/.,P
quelquefois,quelquefois,60
une,un,71
bizarre,bizarre,30
syncope,syncope,22
le,le,52
faisait,faire,18
pâlir,pâlir,14
et,et,82
froidir,froidir,14
comme,comme,83
un,un,71
marbre,marbre,21
/.,/.,P
pendant,pendant,81
une,un,52
ou,ou,82
deux,deux,72
minutes,minute,22
on,on,51
eût,avoir,19
pu,pouvoir,12
le,le,52
croire,croire,14
mort,mort,31
;,;,p
puis,puis,60
le,le,71
balancier,balancier,21
",",",",p
arrêté,arrêter,12
par,par,81
un,un,71
doigt,doigt,21
mystérieux,mystérieux,30
",",",",p
n',ne,60
étant,être,13
plus,plus,60
retenu,retenir,12
",",",",p
reprenait,reprendre,18
son,son,73
mouvement,mouvement,21
",",",",p
et,et,82
Octave,Octave,20
paraissait,paraître,18
se,se,51
réveiller,réveiller,14
d',de,81
un,un,71
songe,songe,21
/.,/.,P
on,on,51
l',le,52
avait,avoir,18
envoyé,envoyer,12
aux,à,81
aux,le,71
eaux,eau,22
;,;,p
mais,mais,82
les,le,71
nymphes,nymphe,22
thermales,thermal,30
ne,ne,60
purent,pouvoir,19
rien,rien,52
pour,pour,81
lui,lui,51
/.,/.,P
un,un,71
voyage,voyage,21
à,à,81
Naples,Naples,20
ne,ne,60
produisit,produire,19
pas,pas,60
un,un,71
meilleur,meilleur,30
résultat,résultat,21
/.,/.,P
ce,ce,74
beau,beau,30
soleil,soleil,21
si,si,60
vanté,vanté,31
lui,lui,51
avait,avoir,18
semblé,sembler,12
noir,noir,30
comme,comme,83
celui,celui,52
de,de,81
la,le,71
gravure,gravure,22
d',de,81
Albert,Albert,20
Dürer,Dürer,20
;,;,p
la,le,71
chauve-souris,chauve-souris,22
qui,qui,52
porte,porter,17
écrit,écrit,21
dans,dans,81
son,son,73
aile,aile,22
ce,ce,74
mot,mot,21
:,:,p
melancholia,melancholia,92
",",",",p
fouettait,fouetter,18
cet,ce,74
azur,azur,21
étincelant,étincelant,30
de,de,81
ses,son,73
membranes,membrane,22
poussiéreuses,poussiéreux,30
et,et,82
voletait,voleter,18
entre,entre,81
la,le,71
lumière,lumière,22
et,et,82
lui,lui,51
;,;,p
il,il,51
s',se,51
était,être,18
senti,sentir,12
glacé,glacé,31
sur,sur,81
le,le,71
quai,quai,21
de,de,81
la,le,71
Mergellina,Mergellina,20
",",",",p
où,où,60
les,le,71
lazzaroni,lazzaroni,92
demi-nus,demi-nu,21
se,se,51
cuisent,cuire,17
et,et,82
donnent,donner,17
à,à,81
leur,leur,73
peau,peau,22
une,un,71
patine,patine,22
de,de,81
bronze,bronze,21
/.,/.,P
il,il,51
était,être,18
donc,donc,82
revenu,revenir,12
à,à,81
son,son,73
petit,petit,30
appartement,appartement,21
de,de,81
la,le,71
rue,rue,22
Saint-Lazare,Saint-Lazare,20
et,et,82
avait,avoir,18
repris,reprendre,12
en,en,81
apparence,apparence,22
ses,son,73
habitudes,habitude,22
