11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
Georges,Georges,20
Duroy,Duroy,20
dormit,dormir,19
mal,mal,60
",",",",p
tant,tant,60
l',le,52
excitait,exciter,18
le,le,71
désir,désir,21
de,de,81
voir,voir,14
imprimé,imprimé,31
son,son,73
article,article,21
/.,/.,P
dès,dès,81
que,que,83
le,le,71
jour,jour,21
parut,paraître,19
",",",",p
il,il,51
fut,être,19
debout,debout,60
et,et,82
il,il,51
rôdait,rôder,18
dans,dans,81
la,le,71
rue,rue,22
bien,bien,60
avant,avant,81
l',le,71
heure,heure,22
où,où,60
les,le,71
porteurs,porteur,21
de,de,81
journaux,journal,21
vont,aller,17
",",",",p
en,en,81
courant,courir,13
",",",",p
de,de,81
kiosque,kiosque,21
en,en,81
kiosque,kiosque,21
/.,/.,P
alors,alors,60
il,il,51
gagna,gagner,19
la,le,71
gare,gare,22
Saint-Lazare,Saint-Lazare,20
",",",",p
sachant,savoir,13
bien,bien,60
que,que,83
la,le,71
Vie Française,Vie Française,20
y,y,52
arriverait,arriver,16
avant,avant,81
de,de,81
parvenir,parvenir,14
dans,dans,81
son,son,73
quartier,quartier,21
/.,/.,P
comme,comme,83
il,il,51
était,être,18
encore,encore,60
trop,trop,60
tôt,tôt,60
",",",",p
il,il,51
erra,errer,19
sur,sur,81
le,le,71
trottoir,trottoir,21
/.,/.,P
il,il,51
vit,voir,19
arriver,arriver,14
la,le,71
marchande,marchande,22
qui,qui,52
ouvrit,ouvrir,19
sa,son,73
boutique,boutique,22
de,de,81
verre,verre,21
",",",",p
puis,puis,60
il,il,51
aperçut,apercevoir,19
un,un,71
homme,homme,21
portant,porter,13
sur,sur,81
sa,son,73
tête,tête,22
un,un,71
tas,tas,21
de,de,81
grands,grand,30
papiers,papier,21
pliés,plié,31
/.,/.,P
il,il,51
se,se,51
précipita,précipiter,19
:,:,p
c',ce,52
étaient,être,18
le,le,71
Figaro,Figaro,20
",",",",p
le,le,71
Gil Blas,Gil Blas,20
",",",",p
le,le,71
Gaulois,Gaulois,20
",",",",p
l',le,71
Evénement,Evénement,20
",",",",p
et,et,82
deux,deux,72
ou,ou,82
trois,trois,72
autres,autre,75
feuilles,feuille,22
du,de,81
du,le,71
matin,matin,21
;,;,p
mais,mais,82
la,le,71
Vie Française,Vie Française,20
n',ne,60
y,y,52
était,être,18
pas,pas,60
/.,/.,P
une,un,71
peur,peur,22
le,le,52
saisit,saisir,19
:,:,p
“,“,p
si,si,83
on,on,51
avait,avoir,18
remis,remettre,12
au,à,81
au,le,71
lendemain,lendemain,21
les,le,71
souvenirs,souvenirs,21
d',de,81
un,un,71
chasseur,chasseur,21
d',de,81
Afrique,Afrique,20
",",",",p
ou,ou,82
si,si,83
",",",",p
par,par,81
hasard,hasard,21
",",",",p
la,le,71
chose,chose,22
n',ne,60
avait,avoir,18
pas,pas,60
plu,plaire,12
",",",",p
au,à,81
au,le,71
dernier,dernier,30
moment,moment,21
",",",",p
au,à,81
au,le,71
père,père,21
Walter,Walter,20
/?,/?,P
en,en,81
redescendant,redescendre,13
vers,vers,81
le,le,71
kiosque,kiosque,21
",",",",p
il,il,51
s',se,51
aperçut,apercevoir,19
qu',que,83
on,on,51
vendait,vendre,18
le,le,71
journal,journal,21
sans,sans,81
qu',que,83
il,il,51
l',le,52
