11362
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatorzième extrait>,<>,<>
eh,eh,93
bien,bien,60
!,!,p
s',se,51
écria,écrier,19
le,le,71
général,général,21
",",",",p
en,en,81
apercevant,apercevoir,13
son,son,73
frère,frère,21
don,don,21
Cesare,Cesare,20
",",",",p
voilà,voilà,81
la,le,71
duchesse,duchesse,22
qui,qui,52
va,aller,17
dépenser,dépenser,14
cent,cent,72
mille,mille,72
écus,écu,21
pour,pour,81
se,se,51
moquer,moquer,14
de,de,81
moi,moi,51
et,et,82
faire,faire,14
sauver,sauver,14
le,le,71
prisonnier,prisonnier,21
/!,/!,P
mais,mais,82
pour,pour,81
le,le,71
moment,moment,21
",",",",p
nous,nous,51
sommes,être,17
obligés,obliger,12
de,de,81
laisser,laisser,14
Fabrice,Fabrice,20
dans,dans,81
sa,son,73
prison,prison,22
",",",",p
tout,tout,60
au,à,81
au,le,71
faîte,faîte,21
de,de,81
la,le,71
citadelle,citadelle,22
de,de,81
Parme,Parme,20
;,;,p
on,on,51
le,le,52
garde,garder,17
bien,bien,60
",",",",p
et,et,82
nous,nous,51
l',le,52
y,y,52
retrouverons,retrouver,15
peut-être,peut-être,60
un,un,71
peu,peu,60
changé,changé,31
/.,/.,P
nous,nous,51
allons,aller,17
nous,nous,51
occuper,occuper,14
avant,avant,81
tout,tout,52
de,de,81
la,le,71
cour,cour,22
",",",",p
où,où,60
des,de,81
des,le,71
intrigues,intrigue,22
fort,fort,60
compliquées,compliqué,31
",",",",p
et,et,82
surtout,surtout,60
les,le,71
passions,passion,22
d',de,81
une,un,71
femme,femme,22
malheureuse,malheureux,30
vont,aller,17
décider,décider,14
de,de,81
son,son,73
sort,sort,21
/.,/.,P
en,en,81
montant,monter,13
les,le,71
trois,trois,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
dix,dix,72
marches,marche,22
de,de,81
sa,son,73
prison,prison,22
à,à,81
la,le,71
tour,tour,22
Farnèse,Farnèse,20
",",",",p
sous,sous,81
les,le,71
yeux,oeil,21
du,de,81
du,le,71
gouverneur,gouverneur,21
",",",",p
Fabrice,Fabrice,20
",",",",p
qui,qui,52
avait,avoir,18
tant,tant,60
redouté,redouter,12
ce,ce,74
moment,moment,21
",",",",p
trouva,trouver,19
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
le,le,71
temps,temps,21
de,de,81
songer,songer,14
au,à,81
au,le,71
malheur,malheur,21
/.,/.,P
en,en,81
rentrant,rentrer,13
chez,chez,81
elle,il,51
après,après,81
la,le,71
soirée,soirée,22
du,de,81
du,le,71
comte,comte,21
Zurla,Zurla,20
",",",",p
la,le,71
duchesse,duchesse,22
renvoya,renvoyer,19
ses,son,73
femmes,femme,22
d',de,81
un,un,71
geste,geste,21
;,;,p
puis,puis,60
",",",",p
se,se,51
laissant,laisser,13
tomber,tomber,14
tout,tout,60
habillée,habillé,31
sur,sur,81
son,son,73
lit,lit,21
:,:,p
Fabrice,Fabrice,20
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
à,à,81
haute,haut,30
voix,voix,22
",",",",p
est,être,17
au,à,81
au,le,71
pouvoir,pouvoir,21
de,de,81
ses,son,73
ennemis,ennemi,21
",",",",p
et,et,82
peut-être,peut-être,60
à,à,81
cause,cause,22
de,de,81
moi,moi,51
ils,ils,51
lui,lui,51
donneront,donner,15
du,de,81
du,le,71
poison,poison,21
/!,/!,P
comment,comment,60
peindre,peindre,14
le,le,71
moment,moment,21
