11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Seizième extrait>,<>,<>
la,le,71
veillée,veillée,22
à,à,81
peine,peine,22
le,le,71
cardinal,cardinal,21
fut,être,19
il,il,51
dans,dans,81
sa,son,73
tente,tente,22
qu',que,52
il,il,51
tomba,tomber,19
",",",",p
encore,encore,60
armé,armé,31
et,et,82
cuirassé,cuirassé,31
",",",",p
dans,dans,81
un,un,71
grand,grand,30
fauteuil,fauteuil,21
;,;,p
et,et,82
là,là,60
",",",",p
portant,porter,13
son,son,73
mouchoir,mouchoir,21
sur,sur,81
sa,son,73
bouche,bouche,22
et,et,82
le,le,71
regard,regard,21
fixe,fixe,30
",",",",p
il,il,51
demeura,demeurer,19
dans,dans,81
cette,ce,74
attitude,attitude,22
",",",",p
laissant,laisser,13
ses,son,73
deux,deux,72
noirs,noir,30
confidents,confident,21
chercher,chercher,14
si,si,83
la,le,71
méditation,méditation,22
ou,ou,82
l',le,71
anéantissement,anéantissement,21
l',le,52
y,y,52
retenait,retenir,18
/.,/.,P
il,il,51
était,être,18
mortellement,mortellement,60
pâle,pâle,30
",",",",p
et,et,82
une,un,71
sueur,sueur,22
froide,froid,30
ruisselait,ruisseler,18
sur,sur,81
son,son,73
front,front,21
/.,/.,P
en,en,81
l',le,52
essuyant,essuyer,13
avec,avec,81
un,un,71
mouvement,mouvement,21
brusque,brusque,30
",",",",p
il,il,51
jeta,jeter,19
en,en,81
arrière,arrière,21
sa,son,73
calotte,calotte,22
rouge,rouge,30
",",",",p
seul,seul,30
signe,signe,21
ecclésiastique,ecclésiastique,30
qui,qui,52
lui,lui,51
restât,rester,18
",",",",p
et,et,82
retomba,retomber,19
la,le,71
bouche,bouche,22
sur,sur,81
ses,son,73
mains,main,22
/.,/.,P
le,le,71
capucin,capucin,21
d',de,81
un,un,71
côté,côté,21
",",",",p
le,le,71
sombre,sombre,30
magistrat,magistrat,21
de,de,81
l',le,71
autre,autre,52
",",",",p
le,le,52
considéraient,considérer,18
en,en,81
silence,silence,21
",",",",p
et,et,82
semblaient,sembler,18
",",",",p
avec,avec,81
leurs,leur,73
habits,habit,21
noirs,noir,30
et,et,82
bruns,brun,30
",",",",p
le,le,71
prêtre,prêtre,21
et,et,82
le,le,71
notaire,notaire,21
d',de,81
un,un,71
mourant,mourant,21
/.,/.,P
le,le,71
religieux,religieux,21
",",",",p
tirant,tirer,13
du,de,81
du,le,71
fond,fond,21
de,de,81
sa,son,73
poitrine,poitrine,22
une,un,71
voix,voix,22
qui,qui,52
semblait,sembler,18
plus,plus,60
propre,propre,30
à,à,81
dire,dire,14
l',le,71
office,office,21
des,de,81
des,le,71
morts,mort,21
qu',que,52
à,à,81
donner,donner,14
des,de,81
des,le,71
consolations,consolation,22
",",",",p
parla,parler,19
cependant,cependant,82
le,le,71
premier,premier,72
:,:,p
-,-,p
si,si,83
monseigneur,monseigneur,21
veut,vouloir,17
se,se,51
souvenir,souvenir,14
de,de,81
mes,mon,73
conseils,conseil,21
donnés,donné,31
à,à,81
Narbonne,Narbonne,20
",",",",p
il,il,51
conviendra,convenir,15
que,que,83
j',je,51
avais,avoir,18
un,un,71
juste,juste,30
pressentiment,pressentiment,21
des,de,81
des,le,71
chagrins,chagrin,21
que,que,52
lui,lui,51
causerait,causer,16
un,un,71
jour,jour,21
ce,ce,74
jeune,jeune,30
homme,homme,21
/.,/.,P
le,le,71
maître,maître,21
des,de,81
des,le,71
requêtes,requête,22
reprit,reprendre,19
:,:,p
-,-,p
j',je,51
ai,avoir,17
su,savoir,12
",",",",p
par,par,81
le,le,71
vieil,vieux,30
abbé,abbé,21
sourd,sourd,30
