11421
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-deuxième extrait>,<>,<>
le,le,71
brougham,brougham,21
où,où,60
il,il,51
se,se,51
trouvait,trouver,18
était,être,18
tapissé,tapisser,12
de,de,81
dames,dame,22
bleu,bleu,30
foncé,foncé,31
;,;,p
un,un,71
satin,satin,21
bouton,bouton,21
d',de,81
or,or,21
capitonnait,capitonner,18
son,son,73
coupé,coupé,21
",",",",p
et,et,82
le,le,71
comte,comte,21
s',se,51
étonnait,étonner,18
de,de,81
cette,ce,74
différence,différence,22
tout,tout,60
en,en,81
l',le,52
acceptant,accepter,13
comme,comme,83
on,on,51
fait,faire,17
dans,dans,81
le,le,71
rêve,rêve,21
où,où,60
les,le,71
objets,objet,21
habituels,habituel,30
se,se,51
présentent,présenter,17
sous,sous,81
des,de,81
des,le,71
aspects,aspect,21
tout,tout,60
autres,autre,30
sans,sans,81
pourtant,pourtant,60
cesser,cesser,14
d',de,81
être,être,14
reconnaissables,reconnaissable,30
;,;,p
il,il,51
se,se,51
sentait,sentir,18
aussi,aussi,60
plus,plus,60
petit,petit,60
que,que,83
de,de,81
coutume,coutume,22
;,;,p
en,en,81
outre,outre,81
",",",",p
il,il,51
lui,lui,51
semblait,sembler,18
être,être,14
venu,venir,12
en,en,81
habit,habit,21
chez,chez,81
le,le,71
docteur,docteur,21
",",",",p
et,et,82
",",",",p
sans,sans,81
se,se,51
souvenir,souvenir,14
d',de,81
avoir,avoir,14
changé,changer,12
de,de,81
vêtement,vêtement,21
",",",",p
il,il,51
se,se,51
voyait,voir,18
habillé,habillé,31
d',de,81
un,un,71
paletot,paletot,21
d',de,81
été,été,21
en,en,81
étoffe,étoffe,22
légère,léger,30
qui,qui,52
n',ne,60
avait,avoir,18
jamais,jamais,60
fait,faire,12
partie,partie,22
de,de,81
sa,son,73
garde-robe,garde-robe,22
;,;,p
son,son,73
esprit,esprit,21
éprouvait,éprouver,18
une,un,71
gêne,gêne,22
inconnue,inconnu,30
",",",",p
et,et,82
ses,son,73
pensées,pensée,22
",",",",p
le,le,71
matin,matin,21
si,si,60
lucides,lucide,30
",",",",p
se,se,51
débrouillaient,débrouiller,18
péniblement,péniblement,60
/.,/.,P
attribuant,attribuer,13
cet,ce,74
état,état,21
singulier,singulier,30
aux,à,81
aux,le,71
scènes,scène,22
étranges,étrange,30
de,de,81
la,le,71
soirée,soirée,22
",",",",p
il,il,51
ne,ne,60
s',se,51
en,en,52
occupa,occuper,19
plus,plus,60
",",",",p
il,il,51
appuya,appuyer,19
sa,son,73
tête,tête,22
à,à,81
l',le,71
angle,angle,21
de,de,81
la,le,71
voiture,voiture,22
",",",",p
et,et,82
se,se,51
laissa,laisser,19
aller,aller,14
à,à,81
une,un,71
rêverie,rêverie,22
flottante,flottant,30
",",",",p
à,à,81
une,un,71
vague,vague,30
somnolence,somnolence,22
qui,qui,52
n',ne,60
était,être,18
ni,ni,82
la,le,71
veille,veille,22
ni,ni,82
le,le,71
sommeil,sommeil,21
/.,/.,P
le,le,71
brusque,brusque,30
arrêt,arrêt,21
du,de,81
du,le,71
cheval,cheval,21
et,et,82
la,le,71
voix,voix,22
du,de,81
du,le,71
cocher,cocher,21
criant,crier,13
“,“,p
la,le,71
porte,porte,22
!,!,p
le,le,52
rappelèrent,rappeler,19
à,à,81
lui,lui,51
;,;,p
il,il,51
baissa,baisser,19
la,le,71
glace,glace,22
",",",",p
mit,mettre,19
la,le,71
tête,tête,22
dehors,dehors,60
et,et,82
vit,voir,19
à,à,81
la,le,71
clarté,clarté,22
du,de,81
du,le,71
