11727
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-quatrième extrait>,<>,<>
homme,homme,21
qu',que,52
elle,il,51
n',ne,60
aimait,aimer,18
pas,pas,60
",",",",p
par,par,81
bravade,bravade,22
",",",",p
avec,avec,81
la,le,71
rage,rage,22
dans,dans,81
le,le,71
coeur,coeur,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
misérable,misérable,30
",",",",p
une,un,71
espèce,espèce,22
de,de,81
musicien,musicien,21
mendiant,mendier,13
",",",",p
un,un,71
oisif,oisif,30
gueux,gueux,21
",",",",p
qui,qui,52
la,le,52
battait,battre,18
",",",",p
et,et,82
qui,qui,52
la,le,52
quitta,quitter,19
comme,comme,83
elle,il,51
l',le,52
avait,avoir,18
pris,prendre,12
",",",",p
avec,avec,81
dégoût,dégoût,21
/.,/.,P
elle,il,51
adorait,adorer,18
son,son,73
enfant,enfant,21
/.,/.,P
plus,plus,60
elle,il,51
descendait,descendre,18
",",",",p
plus,plus,60
tout,tout,52
devenait,devenir,18
sombre,sombre,30
autour,autour,60
d',de,81
elle,il,51
plus,plus,60
ce,ce,74
doux,doux,30
petit,petit,21
ange,ange,21
rayonnait,rayonner,18
dans,dans,81
le,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
/.,/.,P
elle,il,51
disait,dire,18
/.,/.,P
quand,quand,83
je,je,51
serai,être,16
riche,riche,30
",",",",p
j',je,51
aurai,avoir,15
ma,mon,73
Cosette,Cosette,20
avec,avec,81
moi,moi,51
;,;,p
et,et,82
elle,il,51
riait,rire,18
/.,/.,P
la,le,71
toux,toux,22
ne,ne,60
la,le,52
quittait,quitter,18
pas,pas,60
",",",",p
et,et,82
elle,il,51
avait,avoir,18
des,de,81
des,le,71
sueurs,sueur,22
dans,dans,81
le,le,71
dos,dos,21
/.,/.,P
un,un,71
jour,jour,21
elle,il,51
reçut,recevoir,19
des,de,81
des,le,71
Thénardier,Thénardier,20
une,un,71
lettre,lettre,22
ainsi,ainsi,60
conçue,conçu,31
:,:,p
“,“,p
Cosette,Cosette,20
est,être,17
malade,malade,30
d',de,81
une,un,71
maladie,maladie,22
qui,qui,52
est,être,17
dans,dans,81
le,le,71
pays,pays,21
/.,/.,P
une,un,71
fièvre,fièvre,22
miliaire,miliaire,30
",",",",p
qu',que,52
ils,ils,51
appellent,appeler,17
/.,/.,P
il,il,51
faut,falloir,17
des,de,81
des,le,71
drogues,drogue,22
chères,cher,30
/.,/.,P
cela,cela,52
nous,nous,51
ruine,ruiner,17
et,et,82
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
plus,plus,60
payer,payer,14
/.,/.,P
si,si,83
vous,vous,51
ne,ne,60
nous,nous,51
envoyez,envoyer,17
pas,pas,60
quarante,quarante,72
francs,franc,21
avant,avant,81
huit,huit,72
jours,jour,21
",",",",p
la,le,71
petite,petite,22
est,être,17
morte,mourir,12
/.,/.,P
“,“,p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
aux,à,81
aux,le,71
éclats,éclat,21
",",",",p
et,et,82
elle,il,51
dit,dire,19
à,à,81
sa,son,73
vieille,vieux,30
voisine,voisine,22
:,:,p
-,-,p
ah,ah,93
!,!,p
ils,ils,51
sont,être,17
bons,bon,30
!,!,p
quarante,quarante,72
francs,franc,21
!,!,p
que,que,52
ça,ça,52
!,!,p
ça,ça,52
fait,faire,17
deux,deux,72
napoléons,napoléon,21
/!,/!,P
où,où,60
veulent,vouloir,17
ils,ils,51
que,que,83
je,je,51
les,le,52
prenne,prendre,17
/?,/?,P
sont,être,17
ils,ils,51
bêtes,bête,30
",",",",p
ces,ce,74
paysans,paysan,21
/!,/!,P
cependant,cependant,82
elle,il,51
alla,aller,19
dans,dans,81
l',le,71
escalier,escalier,21
près,près,81
d',de,81
une,un,71
lucarne,lucarne,22
et,et,82
relut,relire,19
la,le,71
lettre,lettre,22
/.,/.,P
puis,puis,60
elle,il,51
descendit,descendre,19
l',le,71
escalier,escalier,21
et,et,82
sortit,sortir,19
en,en,81
courant,courir,13
et,et,82
en,en,81
sautant,sauter,13
",",",",p
riant,rire,13
toujours,toujours,60
/.,/.,P
quelqu'un,quelqu'un,52
qui,qui,52
la,le,52
rencontra,rencontrer,19
lui,lui,51
dit,dire,19
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
donc,donc,82
à,à,81
être,être,14
si,si,60
gaie,gai,30
/?,/?,P
elle,il,51
répondit,répondre,19
:,:,p
-,-,p
c',ce,52
est,être,17
une,un,71
bonne,bon,30
bêtise,bêtise,22
que,que,52
viennent,venir,17
de,de,81
m',je,51
écrire,écrire,14
des,de,81
des,le,71
gens,gens,21
de,de,81
la,le,71
campagne,campagne,22
/.,/.,P
ils,ils,51
me,je,51
demandent,demander,17
quarante,quarante,72
francs,franc,21
/.,/.,P
paysans,paysan,21
",",",",p
va,aller,17
/!,/!,P
comme,comme,83
elle,il,51
passait,passer,18
sur,sur,81
la,le,71
place,place,22
",",",",p
elle,il,51
vit,voir,19
beaucoup,beaucoup,60
de,de,81
monde,monde,21
qui,qui,52
entourait,entourer,18
une,un,71
voiture,voiture,22
de,de,81
forme,forme,22
bizarre,bizarre,30
sur,sur,81
l',le,71
impériale,impériale,22
de,de,81
laquelle,lequel,52
pérorait,pérorer,18
tout,tout,60
debout,debout,60
un,un,71
homme,homme,21
vêtu,vêtu,31
de,de,81
rouge,rouge,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
bateleur,bateleur,21
dentiste,dentiste,21
en,en,81
tournée,tournée,22
",",",",p
qui,qui,52
offrait,offrir,18
au,à,81
au,le,71
public,public,21
des,de,81
des,le,71
râteliers,râtelier,21
complets,complet,30
",",",",p
des,de,81
des,le,71
opiats,opiat,21
",",",",p
des,de,81
des,le,71
poudres,poudre,22
et,et,82
des,de,81
des,le,71
élixirs,élixir,21
/.,/.,P
Fantine,Fantine,20
se,se,51
mêla,mêler,19
au,à,81
au,le,71
groupe,groupe,21
et,et,82
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
comme,comme,83
les,le,71
autres,autre,52
de,de,81
cette,ce,74
harangue,harangue,22
où,où,60
il,il,51
y,y,52
avait,avoir,18
de,de,81
l',le,71
argot,argot,21
pour,pour,81
la,le,71
canaille,canaille,22
et,et,82
du,de,81
du,le,71
jargon,jargon,21
pour,pour,81
les,le,71
gens,gens,21
comme,comme,83
il,il,51
faut,falloir,17
/.,/.,P
l',le,71
arracheur,arracheur,21
de,de,81
dents,dent,22
vit,voir,19
cette,ce,74
belle,beau,30
fille,fille,22
qui,qui,52
riait,rire,18
",",",",p
et,et,82
s',se,51
écria,écrier,19
tout,tout,60
à,à,81
coup,coup,21
:,:,p
-,-,p
vous,vous,51
avez,avoir,17
de,de,81
jolies,joli,30
dents,dent,22
",",",",p
la,le,71
fille,fille,22
qui,qui,52
riez,rire,17
là,là,60
/.,/.,P
si,si,83
vous,vous,51
voulez,vouloir,17
me,je,51
vendre,vendre,14
vos,votre,73
deux,deux,72
palettes,palette,22
",",",",p
je,je,51
vous,vous,51
donne,donner,17
de,de,81
chaque,chaque,75
un,un,71
napoléon,napoléon,21
d',de,81
or,or,21
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
ça,ça,52
",",",",p
mes,mon,73
palettes,palette,22
?,?,p
demanda,demander,19
Fantine,Fantine,20
/.,/.,P
-,-,p
les,le,71
palettes,palette,22
",",",",p
reprit,reprendre,19
le,le,71
professeur,professeur,21
dentiste,dentiste,21
",",",",p
c',ce,52
est,être,17
les,le,71
dents,dent,22
de,de,81
devant,devant,21
",",",",p
