11536
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-cinquième extrait>,<>,<>
des,de,81
des,le,71
Esseintes,Esseintes,20
huma,humer,19
l',le,71
air,air,21
;,;,p
un,un,71
pica,pica,21
",",",",p
une,un,71
perversion,perversion,22
s',se,51
empara,emparer,19
de,de,81
lui,lui,51
;,;,p
cette,ce,74
immonde,immonde,30
tartine,tartine,22
lui,lui,51
fit,faire,19
venir,venir,14
l',le,71
eau,eau,22
à,à,81
la,le,71
bouche,bouche,22
/.,/.,P
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
son,son,73
estomac,estomac,21
",",",",p
qui,qui,52
se,se,51
refusait,refuser,18
à,à,81
toute,tout,75
nourriture,nourriture,22
",",",",p
digérerait,digérer,16
cet,ce,74
affreux,affreux,30
mets,mets,21
et,et,82
que,que,83
son,son,73
palais,palais,21
en,en,52
jouirait,jouir,16
comme,comme,83
d',de,81
un,un,71
régal,régal,21
/.,/.,P
il,il,51
se,se,51
leva,lever,19
d',de,81
un,un,71
bond,bond,21
",",",",p
courut,courir,19
à,à,81
la,le,71
cuisine,cuisine,22
",",",",p
ordonna,ordonner,19
de,de,81
chercher,chercher,14
dans,dans,81
le,le,71
village,village,21
",",",",p
une,un,71
miche,miche,22
",",",",p
du,de,81
du,le,71
fromage,fromage,21
blanc,blanc,30
",",",",p
de,de,81
la,le,71
ciboule,ciboule,22
",",",",p
prescrivit,prescrire,19
qu',que,83
on,on,51
lui,lui,51
apprêtât,apprêter,18
une,un,71
tartine,tartine,22
absolument,absolument,60
pareille,pareil,30
à,à,81
celle,celui,52
que,que,52
rongeait,ronger,18
l',le,71
enfant,enfant,21
",",",",p
et,et,82
il,il,51
retourna,retourner,19
s',se,51
asseoir,asseoir,14
sous,sous,81
son,son,73
arbre,arbre,21
/.,/.,P
les,le,71
marmots,marmot,21
se,se,51
battaient,battre,18
maintenant,maintenant,60
/.,/.,P
ils,ils,51
s',se,51
arrachaient,arracher,18
des,de,81
des,le,71
lambeaux,lambeau,21
de,de,81
pain,pain,21
qu',que,52
ils,ils,51
s',se,51
enfonçaient,enfoncer,18
",",",",p
dans,dans,81
les,le,71
joues,joue,22
",",",",p
en,en,81
se,se,51
suçant,sucer,13
les,le,71
doigts,doigt,21
/.,/.,P
des,de,81
des,le,71
coups,coup,21
de,de,81
pied,pied,21
et,et,82
des,de,81
des,le,71
coups,coup,21
de,de,81
poing,poing,21
pleuvaient,pleuvoir,18
et,et,82
les,le,71
plus,plus,60
faibles,faible,30
",",",",p
foulés,foulé,31
par,par,81
terre,terre,22
",",",",p
ruaient,ruer,18
",",",",p
et,et,82
pleuraient,pleurer,18
",",",",p
le,le,71
derrière,derrière,21
raboté,raboté,31
par,par,81
les,le,71
caillasses,caillasse,22
/.,/.,P
ce,ce,74
spectacle,spectacle,21
ranima,ranimer,19
des,de,81
des,le,71
Esseintes,Esseintes,20
;,;,p
l',le,71
intérêt,intérêt,21
qu',que,52
il,il,51
prit,prendre,19
à,à,81
ce,ce,74
combat,combat,21
détournait,détourner,18
ses,son,73
pensées,pensée,22
de,de,81
son,son,73
mal,mal,21
;,;,p
devant,devant,81
l',le,71
acharnement,acharnement,21
de,de,81
ces,ce,74
méchants,méchant,30
mômes,môme,21
",",",",p
il,il,51
songea,songer,19
à,à,81
la,le,71
cruelle,cruel,30
et,et,82
abominable,abominable,30
loi,loi,22
de,de,81
la,le,71
lutte,lutte,22
pour,pour,81
l',le,71
existence,existence,22
",",",",p
et,et,82
bien,bien,60
que,que,83
ces,ce,74
enfants,enfant,21
fussent,être,18
ignobles,ignoble,30
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
s',se,51
intéresser,intéresser,14
à,à,81
leur,leur,73
sort,sort,21
et,et,82
de,de,81
croire,croire,14
que,que,83
mieux,mieux,60
eût,avoir,19
valu,valoir,12
pour,pour,81
eux,ils,51
que,que,83
leur,leur,73
mère,mère,22
n',ne,60
eût,avoir,19
point,point,60
mis,mettre,12
bas,bas,60
/.,/.,P
en,en,81
effet,effet,21
",",",",p
c',ce,52
était,être,18
de,de,81
la,le,71
gourme,gourme,22
",",",",p
des,de,81
des,le,71
coliques,colique,22
et,et,82
des,de,81
des,le,71
fièvres,fièvre,22
",",",",p
des,de,81
des,le,71
rougeoles,rougeole,22
et,et,82
des,de,81
des,le,71
gifles,gifle,22
dès,dès,81
le,le,71
premier,premier,72
âge,âge,21
;,;,p
des,de,81
des,le,71
coups,coup,21
de,de,81
bottes,botte,22
et,et,82
des,de,81
des,le,71
travaux,travail,21
abêtissants,abêtissant,30
",",",",p
vers,vers,81
les,le,71
treize,treize,72
ans,an,21
;,;,p
des,de,81
des,le,71
duperies,duperie,22
de,de,81
femmes,femme,22
",",",",p
des,de,81
des,le,71
maladies,maladie,22
et,et,82
des,de,81
des,le,71
cocuages,cocuage,21
dès,dès,81
l',le,71
âge,âge,21
d',de,81
homme,homme,21
;,;,p
c',ce,52
était,être,18
aussi,aussi,60
",",",",p
vers,vers,81
le,le,71
déclin,déclin,21
",",",",p
des,de,81
des,le,71
infirmités,infirmité,22
et,et,82
des,de,81
des,le,71
agonies,agonie,22
",",",",p
dans,dans,81
un,un,71
dépôt,dépôt,21
de,de,81
mendicité,mendicité,22
ou,ou,82
dans,dans,81
un,un,71
hospice,hospice,21
/.,/.,P
et,et,82
l',le,71
avenir,avenir,21
était,être,18
",",",",p
en,en,81
somme,somme,22
",",",",p
égal,égal,30
pour,pour,81
tous,tout,52
et,et,82
",",",",p
ni,ni,82
les,le,71
uns,un,52
",",",",p
ni,ni,82
les,le,71
autres,autre,52
",",",",p
s',si,83
ils,ils,51
avaient,avoir,18
eu,avoir,12
un,un,71
peu,peu,60
de,de,81
bon,bon,30
sens,sens,21
",",",",p
n',ne,60
auraient,avoir,16
pu,pouvoir,12
s',se,51
envier,envier,14
/.,/.,P
pour,pour,81
les,le,71
riches,riche,21
",",",",p
c',ce,52
étaient,être,18
dans,dans,81
un,un,71
milieu,milieu,21
différent,différent,30
",",",",p
les,le,71
mêmes,même,75
passions,passion,22
",",",",p
les,le,71
mêmes,même,75
tracas,tracas,21
",",",",p
les,le,71
mêmes,même,75
peines,peine,22
",",",",p
les,le,71
mêmes,même,75
maladies,maladie,22
",",",",p
et,et,82
c',ce,52
étaient,être,18
aussi,aussi,60
",",",",p
les,le,71
mêmes,même,75
jouissances,jouissance,22
médiocres,médiocre,30
",",",",p
qu',que,52
elles,ils,51
fussent,être,18
alcooliques,alcoolique,30
",",",",p
littéraires,littéraire,30
ou,ou,82
charnelles,charnel,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
même,même,60
une,un,71
vague,vague,30
compensation,compensation,22
à,à,81
tous,tout,75
les,le,71
maux,mal,21
",",",",p
une,un,71
sorte,sorte,22
de,de,81
justice,justice,22
qui,qui,52
rétablissait,rétablir,18
l',le,71
équilibre,équilibre,21
du,de,81
du,le,71
malheur,malheur,21
entre,entre,81
les,le,71
classes,classe,22
",",",",p
en,en,81
dispensant,dispenser,13
plus,plus,60
aisément,aisément,60
les,le,71
pauvres,pauvre,21
des,de,81
des,le,71
souffrances,souffrance,22
physiques,physique,30
qui,qui,52
accablaient,accabler,18
plus,plus,60
implacablement,implacablement,60
le,le,71
corps,corps,21
plus,plus,60
débile,débile,30
et,et,82
plus,plus,60
émacié,émacié,30
des,de,81
des,le,71
riches,riche,21
/.,/.,P
quelle,quel,75
folie,folie,22
que,que,83
de,de,81
procréer,procréer,14
des,de,81
des,le,71
gosses,gosse,21
!,!,p
pensait,penser,18
des,de,81
des,le,71
Esseintes,Esseintes,20
/.,/.,P
et,et,82
dire,dire,14
que,que,83
les,le,71
ecclésiastiques,ecclésiastique,21
qui,qui,52
ont,avoir,17
fait,faire,12
voeu,voeu,21
de,de,81
stérilité,stérilité,22
ont,avoir,17
poussé,pousser,12
l',le,71
inconséquence,inconséquence,22
jusqu',jusque,81
à,à,81
canoniser,canoniser,14
Saint Vincent,Saint Vincent,20
de,de,81
Paul,Paul,20
parce qu',parce que,83
il,il,51
réservait,réserver,18
pour,pour,81
d',de,81
inutiles,inutile,30
tortures,torture,22
des,de,81
des,le,71
innocents,innocent,21
/!,/!,P
grâce,grâce,22
à,à,81
ses,son,73
odieuses,odieux,30
précautions,précaution,22
",",",",p
celui-là,celui-là,52
avait,avoir,18
reculé,reculer,12
",",",",p
pendant,pendant,81
des,de,81
des,le,71
années,année,22
",",",",p
la,le,71
mort,mort,22
d',de,81
êtres,être,21
inintelligents,inintelligent,30
et,et,82
insensibles,insensible,30
",",",",p
de,de,81
telle,tel,75
façon,façon,22
que,que,83
",",",",p
devenus,devenu,31
",",",",p
plus,plus,60
tard,tard,60
",",",",p
presque,presque,60
compréhensifs,compréhensif,30
et,et,82
",",",",p
en,en,81
tout,tout,75
cas,cas,21
",",",",p
aptes,apte,30
à,à,81
la,le,71
douleur,douleur,22
",",",",p
ils,ils,51
pussent,pouvoir,18
prévoir,prévoir,14
l',le,71
avenir,avenir,21
",",",",p
attendre,attendre,14
et,et,82
redouter,redouter,14
cette,ce,74
mort,mort,22
dont,dont,52
ils,ils,51
ignoraient,ignorer,18
naguère,naguère,60
jusqu',jusque,81
au,à,81
au,le,71
nom,nom,21
",",",",p
quelques-uns,quelqu'un,52
même,même,60
",",",",p
l',le,52
appeler,appeler,14
",",",",p
en,en,81
haine,haine,22
de,de,81
cette,ce,74
condamnation,condamnation,22
à,à,81
l',le,71
existence,existence,22
qu',que,52
il,il,51
leur,leur,52
infligeait,infliger,18
en,en,81
vertu,vertu,22
d',de,81
un,un,71
code,code,21
théologique,théologique,30
absurde,absurde,30
/!,/!,P
et,et,82
depuis,depuis,81
que,que,83
ce,ce,74
vieillard,vieillard,21
était,être,18
décédé,décéder,12
",",",",p
ses,son,73
idées,idée,22
avaient,avoir,18
prévalu,prévaloir,12
;,;,p
on,on,51
recueillait,recueillir,18
des,de,81
des,le,71
enfants,enfant,21
abandonnés,abandonné,31
au,à,81
au,le,71
lieu,lieu,21
de,de,81
les,le,52
laisser,laisser,14
doucement,doucement,60
périr,périr,14
sans,sans,81
qu',que,83
ils,ils,51
s',se,51
en,en,52
aperçussent,apercevoir,18
",",",",p
et,et,82
cependant,cependant,82
cette,ce,74
vie,vie,22
qu',que,52
on,on,51
leur,leur,52
conservait,conserver,18
",",",",p
devenait,devenir,18
",",",",p
de,de,81
jours,jour,21
en,en,81
jours,jour,21
",",",",p
plus,plus,60
rigoureuse,rigoureux,30
et,et,82
plus,plus,60
aride,aride,30
/!,/!,P
sous,sous,81
prétexte,prétexte,21
de,de,81
liberté,liberté,22
et,et,82
de,de,81
progrès,progrès,21
",",",",p
la,le,71
société,société,22
avait,avoir,18
encore,encore,60
découvert,découvrir,12
le,le,71
moyen,moyen,21
d',de,81
aggraver,aggraver,14
la,le,71
misérable,misérable,30
condition,condition,22
de,de,81
l',le,71
homme,homme,21
",",",",p
en,en,81
l',le,52
arrachant,arracher,13
à,à,81
son,son,73
chez,chez,81
lui,lui,51
",",",",p
en,en,81
l',le,52
affublant,affubler,13
d',de,81
un,un,71
costume,costume,21
ridicule,ridicule,30
",",",",p
en,en,81
lui,lui,51
distribuant,distribuer,13
des,de,81
des,le,71
armes,arme,22
particulières,particulier,30
",",",",p
en,en,81
l',le,52
abrutissant,abrutir,13
sous,sous,81
un,un,71
esclavage,esclavage,21
identique,identique,30
à,à,81
celui,celui,52
dont,dont,52
on,on,51
avait,avoir,18
jadis,jadis,60
affranchi,affranchir,12
",",",",p
par,par,81
compassion,compassion,22
",",",",p
les,le,71
nègres,nègre,21
",",",",p
et,et,82
tout,tout,75
cela,cela,52
pour,pour,81
le,le,52
mettre,mettre,14
à,à,81
même,même,60
d',de,81
assassiner,assassiner,14
son,son,73
prochain,prochain,21
",",",",p
sans,sans,81
risquer,risquer,14
l',le,71
échafaud,échafaud,21
",",",",p
comme,comme,83
les,le,71
ordinaires,ordinaire,30
meurtriers,meurtrier,21
qui,qui,52
opèrent,opérer,17
",",",",p
seuls,seul,30
",",",",p
sans,sans,81
uniformes,uniforme,21
",",",",p
avec,avec,81
des,de,81
des,le,71
armes,arme,22
moins,moins,60
bruyantes,bruyant,30
et,et,82
moins,moins,60
rapides,rapide,30
/.,/.,P
quelle,quel,75
singulière,singulier,30
époque,époque,22
",",",",p
se,se,51
disait,dire,18
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
que,que,83
celle,celui,52
qui,qui,52
",",",",p
tout,tout,60
en,en,81
invoquant,invoquer,13
les,le,71
intérêts,intérêt,21
de,de,81
l',le,71
humanité,humanité,22
",",",",p
cherche,chercher,17
à,à,81
perfectionner,perfectionner,14
les,le,71
anesthésiques,anesthésique,21
pour,pour,81
supprimer,supprimer,14
la,le,71
souffrance,souffrance,22
physique,physique,30
et,et,82
prépare,préparer,17
",",",",p
en,en,81
même,même,75
temps,temps,21
",",",",p
de,de,81
tels,tel,75
stimulants,stimulant,21
pour,pour,81
aggraver,aggraver,14
la,le,71
douleur,douleur,22
morale,moral,30
/!,/!,P
ah,ah,93
!,!,p
si,si,83
jamais,jamais,60
",",",",p
au,à,81
au,le,71
nom,nom,21
de,de,81
la,le,71
pitié,pitié,22
",",",",p
l',le,71
inutile,inutile,30
procréation,procréation,22
devait,devoir,18
être,être,14
abolie,abolir,12
",",",",p
c',ce,52
était,être,18
maintenant,maintenant,60
/!,/!,P
mais,mais,82
ici,ici,60
",",",",p
encore,encore,60
",",",",p
les,le,71
lois,loi,22
édictées,édicté,31
par,par,81
des,de,81
des,le,71
Portalis,Portalis,20
ou,ou,82
des,de,81
des,le,71
Homais,Homais,20
apparaissaient,apparaître,18
",",",",p
féroces,féroce,30
et,et,82
étranges,étrange,30
/.,/.,P
la,le,71
justice,justice,22
trouvait,trouver,18
toutes,tout,60
naturelles,naturel,30
les,le,71
fraudes,fraude,22
en,en,81
matière,matière,22
de,de,81
génération,génération,22
;,;,p
c',ce,52
était,être,18
un,un,71
fait,fait,21
",",",",p
reconnu,reconnu,31
",",",",p
admis,admis,31
il,il,51
n',ne,60
était,être,18
point,point,60
de,de,81
ménage,ménage,21
",",",",p
si,si,60
riche,riche,30
qu',que,83
il,il,51
fût,être,19
",",",",p
qui,qui,52
ne,ne,60
confiât,confier,18
ses,son,73
enfants,enfant,21
à,à,81
la,le,71
lessive,lessive,22
ou,ou,82
qui,qui,52
n',ne,60
usât,user,18
d',de,81
artifices,artifice,21
qu',que,83
on,on,51
vendait,vendre,18
librement,librement,60
et,et,82
qu',que,83
il,il,51
ne,ne,60
serait,être,16
d',de,81
ailleurs,ailleurs,60
venu,venir,12
à,à,81
l',le,71
esprit,esprit,21
de,de,81
personne,personne,52
",",",",p
de,de,81
réprouver,réprouver,14
/.,/.,P
et,et,82
pourtant,pourtant,60
",",",",p
si,si,83
ces,ce,74
réserves,réserve,22
ou,ou,82
si,si,83
ces,ce,74
subterfuges,subterfuge,21
demeuraient,demeurer,18
insuffisants,insuffisant,30
",",",",p
si,si,83
la,le,71
fraude,fraude,22
ratait,rater,18
et,et,82
",",",",p
qu',que,83
afin,afin,81
de,de,81
la,le,52
