11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-huitième extrait>,<>,<>
j',je,51
ai,avoir,17
à,à,81
raconter,raconter,14
maintenant,maintenant,60
ce,ce,52
qui,qui,52
advint,advenir,19
de,de,81
mon,mon,73
amour,amour,21
et,et,82
le,le,71
changement,changement,21
qui,qui,52
se,se,51
fit,faire,19
en,en,81
moi,moi,51
/.,/.,P
quelle,quel,75
raison,raison,22
puis,pouvoir,17
je,je,51
en,en,52
donner,donner,14
/?,/?,P
aucune,aucun,52
",",",",p
sinon,sinon,83
que,que,83
je,je,51
raconte,raconter,17
",",",",p
et,et,82
que,que,52
je,je,51
puis,pouvoir,17
dire,dire,14
:,:,p
c',ce,52
est,être,17
la,le,71
vérité,vérité,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
deux,deux,72
jours,jour,21
",",",",p
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
",",",",p
que,que,83
j',je,51
étais,être,18
l',le,71
amant,amant,21
de,de,81
madame,madame,22
Pierson,Pierson,20
/.,/.,P
je,je,51
sortais,sortir,18
du,de,81
du,le,71
bain,bain,21
à,à,81
onze,onze,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
et,et,82
par,par,81
une,un,71
nuit,nuit,22
magnifique,magnifique,30
je,je,51
traversais,traverser,18
la,le,71
promenade,promenade,22
pour,pour,81
me,je,51
rendre,rendre,14
chez,chez,81
elle,il,51
/.,/.,P
je,je,51
me,je,51
sentais,sentir,18
un,un,71
tel,tel,75
bien-être,bien-être,21
dans,dans,81
le,le,71
corps,corps,21
et,et,82
tant,tant,60
de,de,81
contentement,contentement,21
dans,dans,81
l',le,71
âme,âme,22
",",",",p
que,que,83
je,je,51
sautais,sauter,18
de,de,81
joie,joie,22
en,en,81
marchant,marcher,13
et,et,82
que,que,83
je,je,51
tendais,tendre,18
les,le,71
bras,bras,21
au,à,81
au,le,71
ciel,ciel,21
/.,/.,P
je,je,51
la,le,52
trouvai,trouver,19
en,en,81
haut,haut,21
de,de,81
son,son,73
escalier,escalier,21
",",",",p
accoudée,accoudé,31
sur,sur,81
la,le,71
rampe,rampe,22
",",",",p
une,un,71
bougie,bougie,22
par,par,81
terre,terre,22
à,à,81
côté,côté,21
d',de,81
elle,il,51
/.,/.,P
elle,il,51
m',je,51
attendait,attendre,18
",",",",p
et,et,82
",",",",p
dès,dès,81
qu',que,83
elle,il,51
m',je,51
aperçut,apercevoir,19
",",",",p
courut,courir,19
à,à,81
ma,mon,73
rencontre,rencontre,22
/.,/.,P
nous,nous,51
fûmes,être,19
bientôt,bientôt,60
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
et,et,82
les,le,71
verrous,verrou,21
tirés,tiré,31
sur,sur,81
nous,nous,51
/.,/.,P
elle,il,51
me,je,51
montrait,montrer,18
comme,comme,83
elle,il,51
avait,avoir,18
changé,changer,12
sa,son,73
coiffure,coiffure,22
",",",",p
qui,qui,52
me,je,51
déplaisait,déplaire,18
",",",",p
et,et,82
comme,comme,83
elle,il,51
avait,avoir,18
passé,passer,12
la,le,71
journée,journée,22
à,à,81
faire,faire,14
prendre,prendre,14
à,à,81
ses,son,73
cheveux,cheveu,21
le,le,71
tour,tour,21
que,que,52
je,je,51
voulais,vouloir,18
;,;,p
comme,comme,83
elle,il,51
avait,avoir,18
ôté,ôter,12
de,de,81
l',le,71
alcôve,alcôve,22
un,un,71
grand,grand,60
vilain,vilain,30
cadre,cadre,21
noir,noir,30
qui,qui,52
me,je,51
semblait,sembler,18
sinistre,sinistre,30
;,;,p
comme,comme,83
elle,il,51
avait,avoir,18
renouvelé,renouveler,12
ses,son,73
fleurs,fleur,22
",",",",p
et,et,82
il,il,51
y,y,52
en,en,52
avait,avoir,18
de,de,81
tous,tout,75
côtés,côté,21
;,;,p
elle,il,51
me,je,51
contait,conter,18
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
fait,faire,12
depuis,depuis,81
que,que,83
nous,nous,51
nous,nous,51
connaissions,connaître,17
",",",",p
ce,ce,52
qu',que,52
elle,il,51
m',je,51
avait,avoir,18
vu,voir,12
souffrir,souffrir,14
",",",",p
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
souffert,souffrir,12
elle-même,lui-même,51
;,;,p
comme,comme,83
elle,il,51
avait,avoir,18
voulu,vouloir,12
mille,mille,72
fois,fois,22
quitter,quitter,14
le,le,71
pays,pays,21
et,et,82
fuir,fuir,14
son,son,73
amour,amour,21
;,;,p
comme,comme,83
elle,il,51
avait,avoir,18
imaginé,imaginer,12
tant,tant,60
de,de,81
précautions,précaution,22
contre,contre,81
moi,moi,51
;,;,p
qu',que,83
elle,il,51
avait,avoir,18
pris,prendre,12
conseil,conseil,21
de,de,81
sa,son,73
tante,tante,22
",",",",p
de,de,81
Mercanson,Mercanson,20
et,et,82
du,de,81
du,le,71
curé,curé,21
;,;,p
qu',que,83
elle,il,51
s',se,51
était,être,18
juré,jurer,12
à,à,81
elle-même,lui-même,51
