11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
peut-être,peut-être,60
que,que,83
la,le,71
mère,mère,22
Fadet,Fadet,20
avait,avoir,18
aussi,aussi,60
de,de,81
la,le,71
connaissance,connaissance,22
là-dessus,là-dessus,60
",",",",p
et,et,82
qu',que,83
elle,il,51
avait,avoir,18
enseigné,enseigner,12
à,à,81
sa,son,73
petite-fille,petite-fille,22
à,à,81
ne,ne,60
rien,rien,52
redouter,redouter,14
de,de,81
ces,ce,74
feux,feu,21
de,de,81
nuit,nuit,22
;,;,p
ou,ou,82
bien,bien,60
",",",",p
à,à,81
force,force,22
d',de,81
en,en,52
voir,voir,14
",",",",p
car,car,82
il,il,51
y,y,52
en,en,52
avait,avoir,18
souvent,souvent,60
aux,à,81
aux,le,71
entours,entour,21
du,de,81
du,le,71
gué,gué,21
des,de,81
des,le,71
Roulettes,Roulettes,20
",",",",p
et,et,82
c',ce,52
était,être,18
un,un,71
grand,grand,30
hasard,hasard,21
que,que,83
Landry,Landry,20
n',ne,60
en,en,52
eût,avoir,19
point,point,60
encore,encore,60
vu,voir,12
de,de,81
près,près,81
",",",",p
peut-être,peut-être,60
la,le,71
petite,petite,22
s',se,51
était,être,18
elle,il,51
fait,faire,17
une,un,71
idée,idée,22
que,que,83
l',le,71
esprit,esprit,21
qui,qui,52
les,le,52
souillait,souiller,18
n',ne,60
était,être,18
point,point,60
méchant,méchant,30
et,et,82
ne,ne,60
lui,lui,51
voulait,vouloir,18
que,que,83
du,de,81
du,le,71
bien,bien,21
/.,/.,P
sentant,sentir,13
Landry,Landry,20
qui,qui,52
tremblait,trembler,18
de,de,81
tout,tout,75
son,son,73
corps,corps,21
à,à,81
mesure,mesure,22
que,que,83
le,le,71
follet,follet,30
s',se,51
approchait,approcher,18
d',de,81
eux,ils,51
:,:,p
-,-,p
innocent,innocent,30
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
ce,ce,74
feu,feu,21
là,là,60
ne,ne,60
brûle,brûler,17
point,point,60
",",",",p
et,et,82
si,si,83
tu,tu,51
étais,être,18
assez,assez,60
subtil,subtil,30
pour,pour,81
le,le,52
manier,manier,14
",",",",p
tu,tu,51
verrais,voir,16
qu',que,83
il,il,51
ne,ne,60
laisse,laisser,17
pas,pas,60
seulement,seulement,60
sa,son,73
marque,marque,22
/.,/.,P
“,“,p
c',ce,52
est,être,17
encore,encore,60
pis,pis,30
",",",",p
pensa,penser,19
Landry,Landry,20
;,;,p
du,de,81
du,le,71
feu,feu,21
qui,qui,52
ne,ne,60
brûle,brûler,17
pas,pas,60
",",",",p
on,on,51
sait,savoir,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
:,:,p
ça,ça,52
ne,ne,60
peut,pouvoir,17
pas,pas,60
venir,venir,14
de,de,81
dieu,dieu,21
",",",",p
car,car,82
le,le,71
feu,feu,21
du,de,81
du,le,71
bon,bon,30
dieu,dieu,21
est,être,17
fait,faire,12
pour,pour,81
chauffer,chauffer,14
et,et,82
brûler,brûler,14
/.,/.,P
“,“,p
mais,mais,82
il,il,51
ne,ne,60
fit,faire,19
pas,pas,60
connaître,connaître,14
sa,son,73
pensée,pensée,22
à,à,81
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
et,et,82
quand,quand,83
il,il,51
se,se,51
vit,voir,19
sain,sain,30
et,et,82
sauf,sauf,30
à,à,81
la,le,71
rive,rive,22
",",",",p
il,il,51
eut,avoir,19
grande,grand,30
envie,envie,22
de,de,81
la,le,52
planter,planter,14
là,là,60
et,et,82
de,de,81
s',se,51
ensauver,ensauver,14
à,à,81
la,le,71
Bessonnière,Bessonnière,20
/.,/.,P
mais,mais,82
il,il,51
n',ne,60
avait,avoir,18
point,point,60
le,le,71
coeur,coeur,21
ingrat,ingrat,30
",",",",p
et,et,82
il,il,51
ne,ne,60
voulut,vouloir,19
point,point,60
la,le,52
quitter,quitter,14
sans,sans,81
la,le,52
remercier,remercier,14
/.,/.,P
-,-,p
voilà,voilà,81
la,le,71
seconde,second,72
fois,fois,22
que,que,83
tu,tu,51
me,je,51
rends,rendre,17
service,service,21
",",",",p
Fanchon,Fanchon,20
Fadet,Fadet,20
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
et,et,82
je,je,51
ne,ne,60
vaudrais,valoir,16
rien,rien,52
si,si,83
je,je,51
ne,ne,60
te,tu,51
disais,dire,18
pas,pas,60
que,que,83
je,je,51
m',je,51
en,en,52
souviendrai,souvenir,15
toute,tout,75
ma,mon,73
vie,vie,22
/.,/.,P
j',je,51
étais,être,18
là,là,60
comme,comme,83
un,un,71
fou,fou,21
quand,quand,83
tu,tu,51
m',je,51
as,avoir,17
trouvé,trouver,12
;,;,p
le,le,71
follet,follet,30
m',je,51
avait,avoir,18
vanné,vanner,12
et,et,82
charmé,charmer,12
/.,/.,P
jamais,jamais,60
je,je,51
n',ne,60
aurais,avoir,16
passé,passer,12
la,le,71
rivière,rivière,22
",",",",p
ou,ou,82
bien,bien,60
je,je,51
n',ne,60
en,en,52
serais,être,16
jamais,jamais,60
sorti,sortir,12
/.,/.,P
-,-,p
peut-être,peut-être,60
bien,bien,60
que,que,83
tu,tu,51
l',le,52
aurais,avoir,16
passée,passer,12
sans,sans,81
peine,peine,22
ni,ni,82
danger,danger,21
si,si,83
tu,tu,51
n',ne,60
étais,être,18
pas,pas,60
si,si,60
sot,sot,30
",",",",p
répondit,répondre,19
la,le,71
Fadette,Fadette,20
;,;,p
je,je,51
n',ne,60
aurais,avoir,16
jamais,jamais,60
cru,croire,12
qu',que,83
un,un,71
grand,grand,30
gars,gars,21
comme,comme,83
toi,toi,51
",",",",p
qui,qui,52
est,être,17
dans,dans,81
ses,son,73
dix,dix,72
sept,sept,72
ans,an,21
",",",",p
et,et,82
qui,qui,52
ne,ne,60
tardera,tarder,15
pas,pas,60
à,à,81
avoir,avoir,14
de,de,81
la,le,71
barbe,barbe,22
au,à,81
au,le,71
menton,menton,21
",",",",p
fût,être,19
si,si,60
aisé,aisé,30
à,à,81
épeurer,épeurer,14
",",",",p
et,et,82
je,je,51
suis,être,17
contente,content,30
de,de,81
te,tu,51
voir,voir,14
comme,comme,83
cela,cela,52
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
en,en,52
êtes,être,17
vous,vous,51
contente,content,30
",",",",p
Fanchon,Fanchon,20
Fadet,Fadet,20
/?,/?,P
parce que,parce que,83
je,je,51
ne,ne,60
vous,vous,51
aime,aimer,17
point,point,60
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
d',de,81
un,un,71
ton,ton,21
méprisant,méprisant,30
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
est,être,17
ce,ce,52
encore,encore,60
que,que,83
vous,vous,51
ne,ne,60
m',je,51
aimez,aimer,17
point,point,60
/?,/?,P
parce que,parce que,83
je,je,51
ne,ne,60
vous,vous,51
estime,estimer,17
point,point,60
",",",",p
répondit,répondre,19
elle,il,51
;,;,p
ni,ni,82
vous,vous,51
",",",",p
ni,ni,82
votre,votre,73
besson,besson,21
",",",",p
ni,ni,82
vos,votre,73
père,père,21
et,et,82
mère,mère,22
",",",",p
qui,qui,52
sont,être,17
fiers,fier,30
parce qu',parce que,83
ils,ils,51
sont,être,17
riches,riche,30
",",",",p
et,et,82
qui,qui,52
croient,croire,17
qu',que,83
on,on,51
ne,ne,60
fait,faire,17
que,que,83
son,son,73
devoir,devoir,21
en,en,81
leur,leur,52
rendant,rendre,13
service,service,21
/.,/.,P
ils,ils,51
vous,vous,51
ont,avoir,17
appris,apprendre,12
à,à,81
être,être,14
ingrat,ingrat,30
",",",",p
Landry,Landry,20
",",",",p
et,et,82
c',ce,52
est,être,17
le,le,71
plus,plus,60
vilain,vilain,30
défaut,défaut,21
pour,pour,81
un,un,71
homme,homme,21
après,après,81
celui,celui,52
d',de,81
être,être,14
peureux,peureux,30
/.,/.,P
Landry,Landry,20
se,se,51
sentit,sentir,19
bien,bien,60
humilié,humilié,31
des,de,81
des,le,71
reproches,reproche,21
de,de,81
cette,ce,74
petite,petit,30
fille,fille,22
",",",",p
car,car,82
il,il,51
reconnaissait,reconnaître,18
qu',que,83
ils,ils,51
n',ne,60
étaient,être,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
injustes,injuste,30
",",",",p
et,et,82
il,il,51
lui,lui,51
répondit,répondre,19
:,:,p
-,-,p
si,si,83
je,je,51
suis,être,17
fautif,fautif,30
",",",",p
Fadette,Fadette,20
",",",",p
ne,ne,60
l',le,52
imputez,imputer,17
qu',que,83
à,à,81
moi,moi,51
/.,/.,P
ni,ni,82
mon,mon,73
frère,frère,21
",",",",p
ni,ni,82
mon,mon,73
père,père,21
",",",",p
ni,ni,82
ma,mon,73
mère,mère,22
