11335
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente et unième extrait>,<>,<>
profonde,profond,30
discrétion,discrétion,22
",",",",p
un,un,71
geôlier,geôlier,21
doit,devoir,17
tout,tout,52
voir,voir,14
et,et,82
ne,ne,60
rien,rien,52
deviner,deviner,14
",",",",p
etc.,et cetera,91
.,.,p
etc.,et cetera,91
/.,/.,P
au,à,81
au,le,71
lieu,lieu,21
d',de,81
un,un,71
chien,chien,21
j',je,51
en,en,52
aurai,avoir,15
plusieurs,plusieurs,75
",",",",p
et,et,82
vous-même,vous-même,51
vous,vous,51
leur,leur,52
ferez,faire,15
goûter,goûter,14
de,de,81
tous,tout,75
les,le,71
plats,plat,21
dont,dont,52
vous,vous,51
aurez,avoir,15
le,le,71
projet,projet,21
de,de,81
manger,manger,14
;,;,p
quant,quand,83
au,à,81
au,le,71
vin,vin,21
",",",",p
je,je,51
vous,vous,51
donnerai,donner,15
du,de,81
du,le,71
mien,mien,52
",",",",p
et,et,82
vous,vous,51
ne,ne,60
toucherez,toucher,15
qu',que,83
aux,à,81
aux,le,71
bouteilles,bouteille,22
dont,dont,52
j',je,51
aurai,avoir,15
bu,boire,12
/.,/.,P
mais,mais,82
si,si,83
votre,votre,73
excellence,excellence,22
veut,vouloir,17
me,je,51
perdre,perdre,14
à,à,81
jamais,jamais,60
",",",",p
il,il,51
suffit,suffire,17
qu',que,83
elle,il,51
fasse,faire,17
confidence,confidence,22
de,de,81
ces,ce,74
détails,détail,21
même,même,60
à,à,81
mademoiselle,mademoiselle,22
Clélia,Clélia,20
;,;,p
les,le,71
femmes,femme,22
sont,être,17
toujours,toujours,60
femmes,femme,22
;,;,p
si,si,83
demain,demain,60
elle,il,51
se,se,51
brouille,brouiller,17
avec,avec,81
vous,vous,51
",",",",p
après-demain,après-demain,60
",",",",p
pour,pour,81
se,se,51
venger,venger,14
",",",",p
elle,il,51
raconte,raconter,17
toute,tout,75
cette,ce,74
invention,invention,22
à,à,81
son,son,73
père,père,21
",",",",p
dont,dont,52
la,le,71
plus,plus,60
douce,doux,30
joie,joie,22
serait,être,16
d',de,81
avoir,avoir,14
de,de,81
quoi,quoi,52
faire,faire,14
pendre,pendre,14
un,un,71
geôlier,geôlier,21
/.,/.,P
après,après,81
Barbone,Barbone,20
",",",",p
c',ce,52
est,être,17
peut-être,peut-être,60
l',le,71
être,être,21
le,le,71
plus,plus,60
méchant,méchant,30
de,de,81
la,le,71
forteresse,forteresse,22
",",",",p
et,et,82
c',ce,52
est,être,17
là,là,60
ce,ce,52
qui,qui,52
fait,faire,17
le,le,71
vrai,vrai,30
danger,danger,21
de,de,81
votre,votre,73
position,position,22
;,;,p
il,il,51
sait,savoir,17
manier,manier,14
