11643
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-troisième extrait>,<>,<>
l',le,71
immuable,immuable,30
Richelieu,Richelieu,20
/.,/.,P
six,six,72
armées,armée,22
formidables,formidable,30
",",",",p
reposées,reposé,31
sur,sur,81
leurs,leur,73
armes,arme,22
triomphantes,triomphant,30
",",",",p
servaient,servir,18
de,de,81
rempart,rempart,21
au,à,81
au,le,71
royaume,royaume,21
;,;,p
celles,celui,52
du,de,81
du,le,71
nord,nord,21
",",",",p
liguées,ligué,31
avec,avec,81
la,le,71
Suède,Suède,20
",",",",p
avaient,avoir,18
fait,faire,12
fuir,fuir,14
les,le,71
impériaux,impérial,30
",",",",p
poursuivis,poursuivi,31
encore,encore,60
par,par,81
l',le,71
ombre,ombre,22
de,de,81
Gustave,Gustave,20
Adolphe,Adolphe,20
;,;,p
celles,celui,52
qui,qui,52
regardaient,regarder,18
l',le,71
Italie,Italie,20
recevaient,recevoir,18
dans,dans,81
le,le,71
Piémont,Piémont,20
les,le,71
clefs,clé,22
des,de,81
des,le,71
villes,ville,22
qu',que,52
avait,avoir,18
défendues,défendre,12
le,le,71
prince,prince,21
Thomas,Thomas,20
;,;,p
et,et,82
celles,celui,52
qui,qui,52
redoublaient,redoubler,18
la,le,71
chaîne,chaîne,22
des,de,81
des,le,71
Pyrénées,Pyrénées,20
soutenaient,soutenir,18
la,le,71
Catalogne,Catalogne,20
révoltée,révolté,31
",",",",p
et,et,82
frémissaient,frémir,18
encore,encore,60
devant,devant,81
Perpignan,Perpignan,20
",",",",p
qu',que,52
il,il,51
ne,ne,60
leur,leur,52
était,être,18
pas,pas,60
permis,permettre,12
de,de,81
prendre,prendre,14
/.,/.,P
l',le,71
intérieur,intérieur,21
n',ne,60
était,être,18
pas,pas,60
heureux,heureux,30
",",",",p
mais,mais,82
tranquille,tranquille,30
/.,/.,P
un,un,71
invisible,invisible,30
génie,génie,21
semblait,sembler,18
avoir,avoir,14
maintenu,maintenir,12
ce,ce,74
calme,calme,21
;,;,p
car,car,82
le,le,71
roi,roi,21
",",",",p
mortellement,mortellement,60
malade,malade,30
",",",",p
languissait,languir,18
à,à,81
Saint-Germain,Saint-Germain,20
près,près,81
d',de,81
un,un,71
jeune,jeune,30
favori,favori,21
;,;,p
et,et,82
le,le,71
cardinal,cardinal,21
",",",",p
disait,dire,18
on,on,51
",",",",p
se,se,51
mourait,mourir,18
à,à,81
Narbonne,Narbonne,20
/.,/.,P
quelques,quelque,75
morts,mort,21
pourtant,pourtant,60
trahissaient,trahir,18
sa,son,73
vie,vie,22
",",",",p
et,et,82
de,de,81
loin,loin,60
