11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
l',le,71
instruction,instruction,22
du,de,81
du,le,71
procès,procès,21
marcha,marcher,19
avec,avec,81
une,un,71
telle,tel,75
lenteur,lenteur,22
",",",",p
que,que,83
sept,sept,72
mois,mois,21
déjà,déjà,60
s',se,51
étaient,être,18
écoulés,écouler,12
",",",",p
depuis,depuis,81
l',le,71
arrestation,arrestation,22
de,de,81
Saccard,Saccard,20
et,et,82
d',de,81
Hamelin,Hamelin,20
",",",",p
sans,sans,81
que,que,83
l',le,71
affaire,affaire,22
pût,pouvoir,18
être,être,14
mise,mettre,12
au,à,81
au,le,71
rôle,rôle,21
/.,/.,P
on,on,51
était,être,18
au,à,81
au,le,71
milieu,milieu,21
de,de,81
septembre,septembre,21
",",",",p
et,et,82
",",",",p
ce,ce,74
lundi,lundi,21
là,là,60
",",",",p
madame,madame,22
Caroline,Caroline,20
qui,qui,52
allait,aller,18
voir,voir,14
son,son,73
frère,frère,21
deux,deux,72
fois,fois,22
par,par,81
semaine,semaine,22
",",",",p
devait,devoir,18
se,se,51
rendre,rendre,14
vers,vers,81
trois,trois,72
heures,heure,22
à,à,81
la,le,71
Conciergerie,Conciergerie,20
/.,/.,P
elle,il,51
ne,ne,60
prononçait,prononcer,18
jamais,jamais,60
le,le,71
nom,nom,21
de,de,81
Saccard,Saccard,20
",",",",p
elle,il,51
avait,avoir,18
dix,dix,72
fois,fois,22
répondu,répondre,12
par,par,81
un,un,71
refus,refus,21
formel,formel,30
",",",",p
aux,à,81
aux,le,71
demandes,demande,22
pressantes,pressant,30
qu',que,52
il,il,51
lui,lui,51
faisait,faire,18
transmettre,transmettre,14
de,de,81
le,le,52
venir,venir,14
visiter,visiter,14
/.,/.,P
pour,pour,81
elle,il,51
",",",",p
raidie,raidi,31
dans,dans,81
sa,son,73
volonté,volonté,22
de,de,81
justice,justice,22
",",",",p
il,il,51
n',ne,60
était,être,18
plus,plus,60
/.,/.,P
et,et,82
elle,il,51
espérait,espérer,18
toujours,toujours,60
sauver,sauver,14
son,son,73
frère,frère,21
",",",",p
elle,il,51
était,être,18
toute,tout,60
gaie,gai,30
",",",",p
les,le,71
jours,jour,21
de,de,81
visite,visite,22
",",",",p
heureuse,heureux,30
de,de,81
l',le,52
entretenir,entretenir,14
de,de,81
ses,son,73
dernières,dernier,30
démarches,démarche,22
et,et,82
de,de,81
lui,lui,51
apporter,apporter,14
un,un,71
gros,gros,30
bouquet,bouquet,21
des,de,81
des,le,71
fleurs,fleur,22
qu',que,52
il,il,51
aimait,aimer,18
/.,/.,P
le,le,71
matin,matin,21
",",",",p
ce,ce,74
lundi,lundi,21
là,là,60
",",",",p
elle,il,51
préparait,préparer,18
donc,donc,82
une,un,52
boite,boiter,17
d',de,81
oeillets,oeillet,21
rouges,rouge,30
",",",",p
lorsque,lorsque,83
la,le,71
vieille,vieux,30
Sophie,Sophie,20
",",",",p
la,le,71
bonne,bonne,22
de,de,81
la,le,71
princesse,princesse,22
d',de,81
Orviedo,Orviedo,20
",",",",p
descendit,descendre,19
lui,lui,51
dire,dire,14
que,que,83
madame,madame,22
désirait,désirer,18
lui,lui,51
parler,parler,14
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
étonnée,étonné,31
",",",",p
vaguement,vaguement,60
inquiète,inquiet,30
",",",",p
elle,il,51
se,se,51
hâta,hâter,19
de,de,81
monter,monter,14
/.,/.,P
depuis,depuis,81
plusieurs,plusieurs,75
mois,mois,21
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
vu,voir,12
la,le,71
princesse,princesse,22
",",",",p
ayant,avoir,13
donné,donner,12
sa,son,73
démission,démission,22
de,de,81
secrétaire,secrétaire,22
",",",",p
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
travail,travail,21
",",",",p
dès,dès,81
la,le,71
catastrophe,catastrophe,22
de,de,81
l',le,71
Universelle,Universelle,20
/.,/.,P
elle,il,51
ne,ne,60
se,se,51
rendait,rendre,18
plus,plus,60
",",",",p
de,de,81
loin,loin,60
en,en,81
loin,loin,60
",",",",p
boulevard,boulevard,21
Bineau,Bineau,20
",",",",p
que,que,83
pour,pour,81
voir,voir,14
Victor,Victor,20
",",",",p
que,que,52
la,le,71
sévère,sévère,30
discipline,discipline,22
semblait,sembler,18
dompter,dompter,14
maintenant,maintenant,60
",",",",p
l',le,71
oeil,oeil,21
en,en,81
dessous,dessous,21
",",",",p
avec,avec,81
sa,son,73
joue,joue,22
gauche,gauche,30
plus,plus,60
forte,fort,30
que,que,83
la,le,71
droite,droit,30
",",",",p
tirant,tirer,13
la,le,71
bouche,bouche,22
dans,dans,81
une,un,71
moue,moue,22
de,de,81
férocité,férocité,22
goguenarde,goguenard,30
/.,/.,P
tout,tout,60
de,de,81
suite,suite,22
",",",",p
elle,il,51
eut,avoir,19
le,le,71
pressentiment,pressentiment,21
qu',que,52
on,on,51
la,le,52
faisait,faire,18
appeler,appeler,14
à,à,81
cause,cause,22
de,de,81
Victor,Victor,20
/.,/.,P
la,le,71
princesse,princesse,22
d',de,81
Orviedo,Orviedo,20
",",",",p
enfin,enfin,60
",",",",p
était,être,18
ruinée,ruiner,12
/.,/.,P
dix,dix,72
ans,an,21
à,à,81
peine,peine,22
lui,lui,51
avaient,avoir,18
suffi,suffire,12
peur,peur,22
rendre,rendre,14
aux,à,81
aux,le,71
pauvres,pauvre,21
les,le,71
trois,trois,72
cents,cent,72
millions,million,21
de,de,81
l',le,71
héritage,héritage,21
du,de,81
du,le,71
prince,prince,21
",",",",p
volés,volé,31
dans,dans,81
les,le,71
poches,poche,22
des,de,81
des,le,71
actionnaires,actionnaire,21
crédules,crédule,30
/.,/.,P
s',si,83
il,il,51
lui,lui,51
avait,avoir,18
fallu,falloir,12
cinq,cinq,72
années,année,22
d'abord,d'abord,60
pour,pour,81
dépenser,dépenser,14
en,en,81
bonnes,bon,30
oeuvres,oeuvre,22
folles,fou,30
les,le,71
cent,cent,72
premiers,premier,72
millions,million,21
",",",",p
elle,il,51
était,être,18
arrivée,arriver,12
",",",",p
en,en,81
quatre,quatre,72
et,et,82
demi,demi,30
",",",",p
à,à,81
engloutir,engloutir,14
les,le,71
deux,deux,72
cents,cent,72
autres,autre,52
",",",",p
dans,dans,81
des,de,81
des,le,71
fondations,fondation,22
d',de,81
un,un,71
luxe,luxe,21
plus,plus,60
extraordinaire,extraordinaire,30
encore,encore,60
/.,/.,P
à,à,81
l',le,71
oeuvre,oeuvre,22
du,de,81
du,le,71
travail,travail,21
",",",",p
à,à,81
la,le,71
crèche,crèche,22
Sainte-Marie,Sainte-Marie,20
",",",",p
à,à,81
l',le,71
orphelinat,orphelinat,21
Saint-Joseph,Saint-Joseph,20
",",",",p
à,à,81
l',le,71
asile,asile,21
de,de,81
Châtillon,Châtillon,20
et,et,82
à,à,81
l',le,71
hôpital,hôpital,21
Saint-Marceau,Saint Marceau,20
",",",",p
s',se,51
ajoutaient,ajouter,18
aujourd'hui,aujourd'hui,60
une,un,71
ferme,ferme,22
modèle,modèle,30
",",",",p
près,près,81
d',de,81
Evreux,Evreux,20
",",",",p
deux,deux,72
maisons,maison,22
de,de,81
convalescence,convalescence,22
peur,peur,22
les,le,71
enfants,enfant,21
",",",",p
sur,sur,81
les,le,71
bords,bord,21
de,de,81
la,le,71
Manche,Manche,20
",",",",p
une,un,71
autre,autre,75
maison,maison,22
