11802
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-septième extrait>,<>,<>
l',le,71
interrogatoire,interrogatoire,21
à,à,81
peine,peine,22
de,de,81
Villefort,Villefort,20
fut,être,19
il,il,51
hors,hors,81
de,de,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
qu',que,83
il,il,51
quitta,quitter,19
son,son,73
masque,masque,21
joyeux,joyeux,30
pour,pour,81
prendre,prendre,14
l',le,71
air,air,21
grave,grave,30
d',de,81
un,un,71
homme,homme,21
appelé,appelé,31
à,à,81
cette,ce,74
suprême,suprême,30
fonction,fonction,22
de,de,81
prononcer,prononcer,14
sur,sur,81
la,le,71
vie,vie,22
de,de,81
son,son,73
semblable,semblable,21
/.,/.,P
or,or,82
",",",",p
malgré,malgré,81
la,le,71
mobilité,mobilité,22
de,de,81
sa,son,73
physionomie,physionomie,22
",",",",p
mobilité,mobilité,22
que,que,52
le,le,71
substitut,substitut,21
avait,avoir,18
",",",",p
comme,comme,83
doit,devoir,17
faire,faire,14
un,un,71
habile,habile,30
acteur,acteur,21
",",",",p
plus,plus,60
d',de,81
une,un,71
fois,fois,22
étudiée,étudié,31
devant,devant,81
sa,son,73
glace,glace,22
",",",",p
ce,ce,52
fut,être,19
cette,ce,74
fois,fois,22
un,un,71
travail,travail,21
pour,pour,81
lui,lui,51
que,que,83
de,de,81
froncer,froncer,14
son,son,73
sourcil,sourcil,21
et,et,82
d',de,81
assombrir,assombrir,14
ses,son,73
traits,trait,21
/.,/.,P
en,en,81
effet,effet,21
",",",",p
à,à,81
part,part,22
le,le,71
souvenir,souvenir,21
de,de,81
cette,ce,74
ligne,ligne,22
politique,politique,22
suivie,suivi,31
par,par,81
son,son,73
père,père,21
",",",",p
et,et,82
qui,qui,52
pouvait,pouvoir,18
",",",",p
s',si,83
il,il,51
ne,ne,60
s',se,51
en,en,52
éloignait,éloigner,18
complètement,complètement,60
",",",",p
faire,faire,14
dévier,dévier,14
son,son,73
avenir,avenir,21
",",",",p
Gérard,Gérard,20
de,de,81
Villefort,Villefort,20
était,être,18
en,en,81
ce,ce,74
moment,moment,21
aussi,aussi,60
heureux,heureux,30
qu',que,83
il,il,51
est,être,17
donné,donner,12
à,à,81
un,un,71
homme,homme,21
de,de,81
le,le,52
devenir,devenir,14
;,;,p
déjà,déjà,60
riche,riche,30
par,par,81
lui-même,lui-même,51
",",",",p
il,il,51
occupait,occuper,18
à,à,81
vingt,vingt,72
sept,sept,72
ans,an,21
une,un,71
place,place,22
élevée,élevé,31
dans,dans,81
la,le,71
magistrature,magistrature,22
",",",",p
il,il,51
épousait,épouser,18
une,un,71
jeune,jeune,30
et,et,82
belle,beau,30
personne,personne,22
qu',que,52
il,il,51
aimait,aimer,18
",",",",p
non,non,60
pas,pas,60
passionnément,passionnément,60
",",",",p
mais,mais,82
avec,avec,81
raison,raison,22
",",",",p
comme,comme,83
un,un,71
substitut,substitut,21
du,de,81
du,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
peut,pouvoir,17
aimer,aimer,14
",",",",p
et,et,82
outre,outre,81
sa,son,73
beauté,beauté,22
",",",",p
qui,qui,52
était,être,18
remarquable,remarquable,30
",",",",p
mademoiselle,mademoiselle,22
de,de,81
Saint Méran,Saint Méran,20
",",",",p
sa,son,73
fiancée,fiancée,22
",",",",p
appartenait,appartenir,18
à,à,81
une,un,52
des,de,81
des,le,71
familles,famille,22
les,le,71
mieux,mieux,60
en,en,81
cour,cour,22
de,de,81
l',le,71
époque,époque,22
;,;,p
et,et,82
outre,outre,81
l',le,71
influence,influence,22
de,de,81
son,son,73
père,père,21
et,et,82
de,de,81
sa,son,73
mère,mère,22
",",",",p
qui,qui,52
",",",",p
n',ne,60
ayant,avoir,13
point,point,60
d',de,81
autre,autre,75
enfant,enfant,21
",",",",p
pouvaient,pouvoir,18
la,le,52
conserver,conserver,14
tout,tout,60
entière,entier,30
à,à,81
leur,leur,73
gendre,gendre,21
",",",",p
elle,il,51
apportait,apporter,18
encore,encore,60
à,à,81
son,son,73
mari,mari,21
une,un,71
dot,dot,22
de,de,81
cinquante,cinquante,72
mille,mille,72
écus,écu,21
",",",",p
qui,qui,52
",",",",p
grâce,grâce,22
aux,à,81
aux,le,71
espérances,espérance,22
",",",",p
ce,ce,74
mot,mot,21
atroce,atroce,30
inventé,inventé,31
par,par,81
les,le,71
entremetteurs,entremetteur,21
de,de,81
mariage,mariage,21
",",",",p
pouvait,pouvoir,18
s',se,51
augmenter,augmenter,14
un,un,71
jour,jour,21
d',de,81
un,un,71
héritage,héritage,21
d',de,81
un,un,71
demi-million,demi-million,21
/.,/.,P
tous,tout,75
ces,ce,74
éléments,élément,21
réunis,réuni,31
composaient,composer,18
donc,donc,82
pour,pour,81
Villefort,Villefort,20
un,un,71
total,total,21
de,de,81
félicité,félicité,22
éblouissant,éblouissant,30
",",",",p
à,à,81
ce,ce,74
point,point,21
qu',que,83
il,il,51
lui,lui,51
semblait,sembler,18
voir,voir,14
des,de,81
des,le,71
taches,tache,22
au,à,81
au,le,71
soleil,soleil,21
",",",",p
quand,quand,83
il,il,51
avait,avoir,18
longtemps,longtemps,60
regardé,regarder,12
sa,son,73
vie,vie,22
intérieure,intérieur,30
avec,avec,81
la,le,71
vue,vue,22
de,de,81
l',le,71
âme,âme,22
/.,/.,P
à,à,81
la,le,71
porte,porte,22
",",",",p
il,il,51
trouva,trouver,19
le,le,71
commissaire,commissaire,21
de,de,81
police,police,22
qui,qui,52
l',le,52
attendait,attendre,18
/.,/.,P
la,le,71
vue,vue,22
de,de,81
l',le,71
homme,homme,21
noir,noir,30
le,le,52
fit,faire,19
aussitôt,aussitôt,60
retomber,retomber,14
des,de,81
des,le,71
hauteurs,hauteur,22
du,de,81
du,le,71
troisième,troisième,72
ciel,ciel,21
sur,sur,81
la,le,71
terre,terre,22
matérielle,matériel,30
où,où,60
nous,nous,51
marchons,marcher,17
;,;,p
il,il,51
composa,composer,19
son,son,73
visage,visage,21
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
et,et,82
s',se,51
approchant,approcher,13
