12010
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-huitième extrait>,<>,<>
ils,ils,51
recommencèrent,recommencer,19
à,à,81
s',se,51
aimer,aimer,14
/.,/.,P
souvent,souvent,60
même,même,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
journée,journée,22
",",",",p
Emma,Emma,20
lui,lui,51
écrivait,écrire,18
tout,tout,60
à,à,81
coup,coup,21
;,;,p
puis,puis,60
",",",",p
à,à,81
travers,travers,21
les,le,71
carreaux,carreau,21
",",",",p
faisait,faire,18
un,un,71
signe,signe,21
à,à,81
Justin,Justin,20
",",",",p
qui,qui,52
",",",",p
dénouant,dénouer,13
vite,vite,60
sa,son,73
serpillière,serpillière,22
",",",",p
s',se,51
envolait,envoler,18
à,à,81
la,le,71
Huchette,Huchette,20
/.,/.,P
Rodolphe,Rodolphe,20
arrivait,arriver,18
;,;,p
c',ce,52
était,être,18
pour,pour,81
lui,lui,51
dire,dire,14
qu',que,83
elle,il,51
s',se,51
ennuyait,ennuyer,18
",",",",p
que,que,83
son,son,73
mari,mari,21
était,être,18
odieux,odieux,30
et,et,82
son,son,73
existence,existence,22
affreuse,affreux,30
/!,/!,P
-,-,p
est,être,17
ce,ce,52
que,que,83
j',je,51
y,y,52
peux,pouvoir,17
quelque,quelque,75
chose,chose,22
?,?,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
un,un,71
jour,jour,21
",",",",p
impatienté,impatienté,31
/.,/.,P
-,-,p
ah,ah,93
!,!,p
si,si,83
tu,tu,51
voulais,vouloir,18
!,!,p
/…,/…,P
elle,il,51
était,être,18
assise,asseoir,12
par,par,81
terre,terre,22
",",",",p
entre,entre,81
ses,son,73
genoux,genou,21
",",",",p
les,le,71
bandeaux,bandeau,21
dénoués,dénoué,31
",",",",p
le,le,71
regard,regard,21
perdu,perdu,31
/.,/.,P
-,-,p
quoi,quoi,52
donc,donc,82
?,?,p
fit,faire,19
Rodolphe,Rodolphe,20
/.,/.,P
elle,il,51
soupira,soupirer,19
/.,/.,P
-,-,p
nous,nous,51
irions,aller,16
vivre,vivre,14
ailleurs,ailleurs,60
…,…,p
quelque,quelque,75
part,part,22
/…,/…,P
-,-,p
tu,tu,51
es,être,17
folle,fou,30
",",",",p
vraiment,vraiment,60
!,!,p
dit,dire,19
il,il,51
en,en,81
riant,rire,13
/.,/.,P
est,être,17
ce,ce,52
possible,possible,30
/?,/?,P
elle,il,51
revint,revenir,19
là-dessus,là-dessus,60
;,;,p
il,il,51
eut,avoir,19
l',le,71
air,air,21
de,de,81
ne,ne,60
pas,pas,60
comprendre,comprendre,14
et,et,82
détourna,détourner,19
la,le,71
conversation,conversation,22
/.,/.,P
ce,ce,52
qu',que,52
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
",",",",p
c',ce,52
était,être,18
tout,tout,75
ce,ce,74
trouble,trouble,21
dans,dans,81
une,un,71
chose,chose,22
aussi,aussi,60
simple,simple,30
que,que,83
l',le,71
amour,amour,21
/.,/.,P
elle,il,51
avait,avoir,18
un,un,71
motif,motif,21
",",",",p
une,un,71
raison,raison,22
",",",",p
et,et,82
comme,comme,83
un,un,71
auxiliaire,auxiliaire,21
à,à,81
son,son,73
attachement,attachement,21
/.,/.,P
cette,ce,74
tendresse,tendresse,22
",",",",p
en,en,81
effet,effet,21
",",",",p
chaque,chaque,75
jour,jour,21
s',se,51
accroissait,accroître,18
davantage,davantage,60
sous,sous,81
la,le,71
répulsion,répulsion,22
du,de,81
du,le,71
mari,mari,21
/.,/.,P
plus,plus,60
elle,il,51
se,se,51
livrait,livrer,18
à,à,81
l',le,71
un,un,52
",",",",p
plus,plus,60
elle,il,51
exécrait,exécrer,18
l',le,71
autre,autre,52
;,;,p
jamais,jamais,60
Charles,Charles,20
ne,ne,60
lui,lui,51
paraissait,paraître,18
aussi,aussi,60
désagréable,désagréable,30
",",",",p
avoir,avoir,14
les,le,71
doigts,doigt,21
aussi,aussi,60
carrés,carré,31
",",",",p
l',le,71
esprit,esprit,21
aussi,aussi,60
lourd,lourd,30
",",",",p
les,le,71
façons,façon,22
si,si,60
communes,commun,30
qu',que,83
après,après,81
ses,son,73
rendez-vous,rendez-vous,21
avec,avec,81
Rodolphe,Rodolphe,20
",",",",p
quand,quand,83
ils,ils,51
se,se,51
trouvaient,trouver,18
ensemble,ensemble,60
/.,/.,P
alors,alors,60
",",",",p
tout,tout,60
en,en,81
faisant,faire,13
l',le,71
épouse,épouse,22
et,et,82
la,le,71
vertueuse,vertueux,30
",",",",p
elle,il,51
s',se,51
enflammait,enflammer,18
à,à,81
l',le,71
idée,idée,22
de,de,81
cette,ce,74
tête,tête,22
dont,dont,52
les,le,71
cheveux,cheveu,21
noirs,noir,30
se,se,51
tournaient,tourner,18
en,en,81
une,un,71
boucle,boucle,22
vers,vers,81
le,le,71
front,front,21
hâlé,hâlé,31
",",",",p
de,de,81
cette,ce,74
taille,taille,22
à,à,81
la,le,71
fois,fois,22
si,si,60
robuste,robuste,30
et,et,82
si,si,60
élégante,élégant,30
",",",",p
de,de,81
cet,ce,74
homme,homme,21
enfin,enfin,60
qui,qui,52
possédait,posséder,18
tant,tant,60
d',de,81
expérience,expérience,22
dans,dans,81
la,le,71
raison,raison,22
",",",",p
tant,tant,60
d',de,81
emportement,emportement,21
dans,dans,81
le,le,71
désir,désir,21
/!,/!,P
c',ce,52
était,être,18
pour,pour,81
lui,lui,51
qu',que,83
elle,il,51
se,se,51
limait,limer,18
les,le,71
ongles,ongle,21
avec,avec,81
un,un,71
soin,soin,21
de,de,81
ciseleur,ciseleur,21
",",",",p
et,et,82
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
jamais,jamais,60
assez,assez,60
de,de,81
cold cream,cold cream,22
sur,sur,81
sa,son,73
peau,peau,22
",",",",p
ni,ni,82
de,de,81
patchouli,patchouli,21
dans,dans,81
ses,son,73
mouchoirs,mouchoir,21
/.,/.,P
elle,il,51
se,se,51
chargeait,charger,18
de,de,81
bracelets,bracelet,21
",",",",p
de,de,81
bagues,bague,22
",",",",p
de,de,81
colliers,collier,21
/.,/.,P
quand,quand,83
il,il,51
devait,devoir,18
venir,venir,14
",",",",p
elle,il,51
emplissait,emplir,18
de,de,81
roses,rose,22
ses,son,73
deux,deux,72
