11885
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarantième extrait>,<>,<>
folle,fou,30
d',de,81
amour,amour,21
",",",",p
le,le,52
couvrait,couvrir,18
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
de,de,81
ses,son,73
petits,petit,30
pieds,pied,21
nus,nu,30
des,de,81
des,le,71
tendresses,tendresse,22
de,de,81
sa,son,73
bouche,bouche,22
/.,/.,P
on,on,51
déjeunait,déjeuner,18
/.,/.,P
elle,il,51
s',se,51
attablait,attabler,18
",",",",p
l',le,71
enfant,enfant,21
sur,sur,81
ses,son,73
genoux,genou,21
",",",",p
et,et,82
ne,ne,60
mangeait,manger,18
pas,pas,60
:,:,p
elle,il,51
l',le,52
avait,avoir,18
tant,tant,60
embrassé,embrasser,12
qu',que,83
elle,il,51
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
encore,encore,60
vu,voir,12
",",",",p
et,et,82
elle,il,51
se,se,51
mettait,mettre,18
à,à,81
chercher,chercher,14
",",",",p
à,à,81
détailler,détailler,14
la,le,71
ressemblance,ressemblance,22
de,de,81
la,le,71
petite,petite,22
avec,avec,81
eux,ils,51
deux,deux,72
/.,/.,P
un,un,71
trait,trait,21
était,être,18
à,à,81
lui,lui,51
",",",",p
un,un,71
autre,autre,52
à,à,81
elle,il,51
:,:,p
-,-,p
c',ce,52
est,être,17
ton,ton,73
nez,nez,21
…,…,p
c',ce,52
est,être,17
mes,mon,73
yeux,oeil,21
/…,/…,P
elle,il,51
aura,avoir,15
les,le,71
cheveux,cheveu,21
comme,comme,83
les,le,71
tiens,tien,52
avec,avec,81
le,le,71
temps,temps,21
/…,/…,P
ils,ils,51
friseront,friser,15
!,!,p
/…,/…,P
vois,voir,17
tu,tu,51
",",",",p
voilà,voilà,81
tes,ton,73
mains,main,22
…,…,p
c',ce,52
est,être,17
tout,tout,52
toi,toi,51
/…,/…,P
et,et,82
c',ce,52
était,être,18
pendant,pendant,81
des,de,81
des,le,71
heures,heure,22
ce,ce,74
radotage,radotage,21
intarissable,intarissable,30
et,et,82
charmant,charmer,13
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
veulent,vouloir,17
faire,faire,14
à,à,81
un,un,71
homme,homme,21
la,le,71
part,part,22
de,de,81
leur,leur,73
fille,fille,22
/.,/.,P
Jupillon,Jupillon,20
se,se,51
prêtait,prêter,18
à,à,81
tout,tout,75
cela,cela,52
sans,sans,81
trop,trop,60
d',de,81
impatience,impatience,22
",",",",p
grâce,grâce,22
à,à,81
des,de,81
des,le,71
cigares,cigare,21
à,à,81
trois,trois,72
sous,sou,21
que,que,52
Germinie,Germinie,20
tirait,tirer,18
de,de,81
sa,son,73
poche,poche,22
et,et,82
qu',que,52
elle,il,51
lui,lui,51
donnait,donner,18
un,un,52
à,à,81
un,un,52
/.,/.,P
puis,puis,60
il,il,51
avait,avoir,18
trouvé,trouver,12
une,un,71
distraction,distraction,22
:,:,p
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
jardin,jardin,21
passait,passer,18
le,le,71
Morin,Morin,20
/.,/.,P
Jupillon,Jupillon,20
était,être,18
parisien,parisien,30
:,:,p
il,il,51
aimait,aimer,18
la,le,71
pêche,pêche,22
à,à,81
la,le,71
ligne,ligne,22
/.,/.,P
et,et,82
l',le,71
été,été,21
venu,venu,31
",",",",p
ils,ils,51
se,se,51
tenaient,tenir,18
là,là,60
toute,tout,75
la,le,71
journée,journée,22
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
jardin,jardin,21
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
l',le,71
eau,eau,22
",",",",p
Jupillon,Jupillon,20
sur,sur,81
une,un,71
planche,planche,22
à,à,81
laver,laver,14
jetée,jetée,22
sur,sur,81
deux,deux,72
piquets,piquet,21
",",",",p
sa,son,73
ligne,ligne,22
à,à,81
la,le,71
main,main,22
",",",",p
Germinie,Germinie,20
",",",",p
son,son,73
enfant,enfant,21
dans,dans,81
sa,son,73
jupe,jupe,22
",",",",p
assise,assise,22
par,par,81
terre,terre,22
sous,sous,81
le,le,71
néflier,néflier,21
penché,penché,31
sur,sur,81
la,le,71
rivière,rivière,22
/.,/.,P
le,le,71
jour,jour,21
étincelait,étinceler,18
;,;,p
le,le,71
soleil,soleil,21
brûlait,brûler,18
la,le,71
grande,grand,30
eau,eau,22
courante,courant,30
d',de,81
où,où,60
se,se,51
levaient,lever,18
des,de,81
des,le,71
éclairs,éclair,21
de,de,81
miroir,miroir,21
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
une,un,71
joie,joie,22
de,de,81
feu,feu,21
du,de,81
du,le,71
ciel,ciel,21
et,et,82
de,de,81
la,le,71
rivière,rivière,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
laquelle,lequel,52
Germinie,Germinie,20
tenait,tenir,18
sa,son,73
fille,fille,22
debout,debout,60
et,et,82
la,le,52
faisait,faire,18
piétiner,piétiner,14
sur,sur,81
elle,il,51
",",",",p
nue,nu,30
et,et,82
rose,rose,30
",",",",p
avec,avec,81
sa,son,73
brassière,brassière,22
écourtée,écourté,31
",",",",p
la,le,71
peau,peau,22
tremblante,tremblant,30
de,de,81
soleil,soleil,21
par,par,81
places,place,22
",",",",p
la,le,71
chair,chair,22
frappée,frappé,31
de,de,81
rayons,rayon,21
comme,comme,83
de,de,81
la,le,71
chair,chair,22
d',de,81
ange,ange,21
qu',que,83
elle,il,51
avait,avoir,18
vue,voir,12
dans,dans,81
les,le,71
tableaux,tableau,21
/.,/.,P
elle,il,51
ressentait,ressentir,18
de,de,81
divines,divin,30
douceurs,douceur,22
",",",",p
quand,quand,83
la,le,71
petite,petite,22
",",",",p
avec,avec,81
ces,ce,74
mains,main,22
tâtillonnantes,tâtillonnantes,92
des,de,81
des,le,71
enfants,enfant,21
qui,qui,52
ne,ne,60
parlent,parler,17
pas,pas,60
encore,encore,60
",",",",p
lui,lui,51
touchait,toucher,18
le,le,71
menton,menton,21
",",",",p
la,le,71
bouche,bouche,22
",",",",p
les,le,71
joues,joue,22
",",",",p
s',se,51
obstinait,obstiner,18
à,à,81
lui,lui,51
