11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
le,le,71
voyageur,voyageur,21
arrivé,arrivé,31
prend,prendre,17
ses,son,73
précautions,précaution,22
pour,pour,81
repartir,repartir,14
/.,/.,P
il,il,51
était,être,18
près,près,81
de,de,81
huit,huit,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
quand,quand,83
la,le,71
carriole,carriole,22
que,que,52
nous,nous,51
avons,avoir,17
laissée,laisser,12
en,en,81
route,route,22
entra,entrer,19
sous,sous,81
la,le,71
porte,porte,22
cochère,cocher,30
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
la,le,71
poste,poste,22
à,à,81
Arras,Arras,20
/.,/.,P
l',le,71
homme,homme,21
que,que,52
nous,nous,51
avons,avoir,17
suivi,suivre,12
jusqu',jusque,81
à,à,81
ce,ce,74
moment,moment,21
en,en,52
descendit,descendre,19
",",",",p
répondit,répondre,19
d',de,81
un,un,71
air,air,21
distrait,distrait,31
aux,à,81
aux,le,71
empressements,empressement,21
des,de,81
des,le,71
gens,gens,21
de,de,81
l',le,71
auberge,auberge,22
",",",",p
renvoya,renvoyer,19
le,le,71
cheval,cheval,21
de,de,81
renfort,renfort,21
",",",",p
et,et,82
conduisit,conduire,19
lui-même,lui-même,51
le,le,71
petit,petit,30
cheval,cheval,21
blanc,blanc,30
à,à,81
l',le,71
écurie,écurie,22
;,;,p
puis,puis,60
il,il,51
poussa,pousser,19
la,le,71
porte,porte,22
d',de,81
une,un,71
salle,salle,22
de,de,81
billard,billard,21
qui,qui,52
était,être,18
au,à,81
au,le,71
rez-de-chaussée,rez-de-chaussée,21
",",",",p
s',se,51
y,y,52
assit,asseoir,19
",",",",p
et,et,82
s',se,51
accouda,accouder,19
sur,sur,81
une,un,71
table,table,22
/.,/.,P
il,il,51
avait,avoir,18
mis,mettre,12
quatorze,quatorze,72
heures,heure,22
à,à,81
ce,ce,74
trajet,trajet,21
qu',que,83
il,il,51
comptait,compter,18
faire,faire,14
en,en,81
six,six,72
/.,/.,P
il,il,51
se,se,51
rendait,rendre,18
la,le,71
justice,justice,22
que,que,52
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
sa,son,73
faute,faute,22
;,;,p
mais,mais,82
au,à,81
au,le,71
fond,fond,21
il,il,51
n',ne,60
en,en,52
était,être,18
pas,pas,60
fâché,fâcher,12
/.,/.,P
