11073
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-deuxième extrait>,<>,<>
j',je,51
allais,aller,18
faire,faire,14
de,de,81
longues,long,30
courses,course,22
à,à,81
travers,travers,21
la,le,71
ville,ville,22
",",",",p
sur,sur,81
les,le,71
quais,quai,21
",",",",p
dans,dans,81
la,le,71
campagne,campagne,22
;,;,p
mais,mais,82
ces,ce,74
courses,course,22
solitaires,solitaire,30
n',ne,60
étaient,être,18
pas,pas,60
tristes,triste,30
comme,comme,83
les,le,71
premiers,premier,72
jours,jour,21
de,de,81
mon,mon,73
retour,retour,21
à,à,81
Naples,Naples,20
/.,/.,P
je,je,51
jouissais,jouir,18
seul,seul,30
",",",",p
mais,mais,82
je,je,51
jouissais,jouir,18
délicieusement,délicieusement,60
des,de,81
des,le,71
spectacles,spectacle,21
de,de,81
la,le,71
ville,ville,22
",",",",p
de,de,81
la,le,71
côte,côte,22
",",",",p
du,de,81
du,le,71
ciel,ciel,21
et,et,82
des,de,81
des,le,71
eaux,eau,22
/.,/.,P
le,le,71
sentiment,sentiment,21
momentané,momentané,30
de,de,81
mon,mon,73
isolement,isolement,21
ne,ne,60
m',je,51
accablait,accabler,18
plus,plus,60
;,;,p
il,il,51
me,je,51
recueillait,recueillir,18
en,en,81
moi-même,moi-même,51
et,et,82
concentrait,concentrer,18
les,le,71
forces,force,22
de,de,81
mon,mon,73
coeur,coeur,21
et,et,82
de,de,81
ma,mon,73
pensée,pensée,22
/.,/.,P
je,je,51
savais,savoir,18
que,que,83
des,de,81
des,le,71
yeux,oeil,21
et,et,82
des,de,81
des,le,71
pensées,pensée,22
amies,ami,30
me,je,51
suivaient,suivre,18
dans,dans,81
cette,ce,74
foule,foule,22
ou,ou,82
dans,dans,81
ces,ce,74
déserts,désert,21
",",",",p
et,et,82
qu',que,83
au,à,81
au,le,71
retour,retour,21
j',je,51
étais,être,18
attendu,attendre,12
par,par,81
des,de,81
des,le,71
coeurs,coeur,21
pleins,plein,30
de,de,81
moi,moi,51
/.,/.,P
je,je,51
n',ne,60
étais,être,18
plus,plus,60
comme,comme,83
l',le,71
oiseau,oiseau,21
qui,qui,52
crie,crier,17
autour,autour,60
des,de,81
des,le,71
nids,nid,21
étrangers,étranger,30
",",",",p
suivant,suivant,81
l',le,71
expression,expression,22
de,de,81
la,le,71
vieille,vieux,30
femme,femme,22
",",",",p
j',je,51
étais,être,18
comme,comme,83
l',le,71
oiseau,oiseau,21
qui,qui,52
s',se,51
essaye,essayer,17
à,à,81
voler,voler,14
à,à,81
de,de,81
longues,long,30
distances,distance,22
de,de,81
la,le,71
branche,branche,22
qui,qui,52
le,le,52
porte,porter,17
",",",",p
mais,mais,82
qui,qui,52
sait,savoir,17
la,le,71
route,route,22
pour,pour,81
y,y,52
revenir,revenir,14
/.,/.,P
toute,tout,75
mon,mon,73
affection,affection,22
pour,pour,81
mon,mon,73
ami,ami,21
absent,absent,30
avait,avoir,18
reflué,refluer,12
sur,sur,81
Graziella,Graziella,20
/.,/.,P
ce,ce,74
sentiment,sentiment,21
avait,avoir,18
même,même,60
quelque,quelque,75
chose,chose,22
de,de,81
plus,plus,60
vif,vif,30
",",",",p
de,de,81
plus,plus,60
mordant,mordant,30
",",",",p
de,de,81
plus,plus,60
attendri,attendri,31
que,que,83
celui,celui,52
qui,qui,52
m',je,51
attachait,attacher,18
à,à,81
lui,lui,51
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
je,je,51
devais,devoir,18
l',le,71
un,un,52
à,à,81
l',le,71
habitude,habitude,22
et,et,82
aux,à,81
aux,le,71
circonstances,circonstance,22
",",",",p
mais,mais,82
que,que,83
l',le,71
autre,autre,52
était,être,18
né,naître,12
de,de,81
moi-même,moi-même,51
",",",",p
et,et,82
que,que,52
je,je,51
l',le,52
avais,avoir,18
