11655
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-troisième extrait>,<>,<>
Mariolle,Mariolle,20
venait,venir,18
d',de,81
arriver,arriver,14
chez,chez,81
elle,il,51
/.,/.,P
il,il,51
l',le,52
attendait,attendre,18
",",",",p
car,car,82
elle,il,51
n',ne,60
était,être,18
pas,pas,60
rentrée,rentrer,12
",",",",p
bien,bien,60
qu',que,83
elle,il,51
lui,lui,51
eût,avoir,19
donné,donner,12
rendez-vous,rendez-vous,21
par,par,81
une,un,71
dépêche,dépêche,22
bleue,bleu,30
",",",",p
le,le,71
matin,matin,21
/.,/.,P
dans,dans,81
ce,ce,74
salon,salon,21
",",",",p
où,où,60
il,il,51
aimait,aimer,18
tant,tant,60
se,se,51
sentir,sentir,14
",",",",p
où,où,60
tout,tout,52
lui,lui,51
plaisait,plaire,18
",",",",p
il,il,51
éprouvait,éprouver,18
cependant,cependant,82
chaque,chaque,75
fois,fois,22
qu',que,83
il,il,51
s',se,51
y,y,52
trouvait,trouver,18
seul,seul,30
",",",",p
une,un,71
oppression,oppression,22
du,de,81
du,le,71
coeur,coeur,21
",",",",p
un,un,71
peu,peu,60
d',de,81
essoufflement,essoufflement,21
",",",",p
d',de,81
énervement,énervement,21
",",",",p
qui,qui,52
l',le,52
empêchaient,empêcher,18
d',de,81
y,y,52
rester,rester,14
assis,assis,31
tant,tant,60
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
point,point,60
paru,paraître,12
/.,/.,P
il,il,51
marchait,marcher,18
",",",",p
dans,dans,81
une,un,71
attente,attente,22
heureuse,heureux,30
",",",",p
avec,avec,81
la,le,71
crainte,crainte,22
que,que,52
quelque,quelque,75
obstacle,obstacle,21
imprévu,imprévu,30
ne,ne,60
l',le,52
empêchât,empêcher,18
de,de,81
revenir,revenir,14
et,et,82
ne,ne,60
remît,remettre,18
au,à,81
au,le,71
lendemain,lendemain,21
leur,leur,73
rencontre,rencontre,22
/.,/.,P
quand,quand,83
il,il,51
entendit,entendre,19
s',se,51
arrêter,arrêter,14
une,un,71
voiture,voiture,22
devant,devant,81
la,le,71
porte,porte,22
de,de,81
la,le,71
rue,rue,22
",",",",p
il,il,51
eut,avoir,19
un,un,71
tressaillement,tressaillement,21
d',de,81
espoir,espoir,21
",",",",p
et,et,82
lorsque,lorsque,83
sonna,sonner,19
le,le,71
timbre,timbre,21
de,de,81
l',le,71
appartement,appartement,21
",",",",p
il,il,51
ne,ne,60
douta,douter,19
plus,plus,60
/.,/.,P
elle,il,51
entra,entrer,19
",",",",p
son,son,73
chapeau,chapeau,21
sur,sur,81
la,le,71
tête,tête,22
",",",",p
ce,ce,52
qu',que,52
elle,il,51
ne,ne,60
faisait,faire,18
jamais,jamais,60
",",",",p
avec,avec,81
un,un,71
air,air,21
pressé,pressé,31
et,et,82
content,content,30
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
une,un,71
nouvelle,nouvelle,22
pour,pour,81
vous,vous,51
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
laquelle,lequel,52
donc,donc,82
",",",",p
madame,madame,22
/?,/?,P
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
en,en,81
le,le,52
regardant,regarder,13
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
je,je,51
vais,aller,17
passer,passer,14
quelque,quelque,75
temps,temps,21
à,à,81
la,le,71
campagne,campagne,22
/.,/.,P
un,un,71
chagrin,chagrin,21
le,le,52
saisit,saisir,19
",",",",p
subit,subit,30
et,et,82
fort,fort,30
",",",",p
que,que,83
son,son,73
visage,visage,21
refléta,refléter,19
/.,/.,P
-,-,p
oh,oh,93
/!,/!,P
et,et,82
vous,vous,51
m',je,51
annoncez,annoncer,17
cela,cela,52
avec,avec,81
une,un,71
figure,figure,22
satisfaite,satisfait,31
/!,/!,P
oui,oui,60
/.,/.,P
asseyez,asseoir,17
vous,vous,51
",",",",p
je,je,51
vais,aller,17
vous,vous,51
conter,conter,14
tout,tout,52
/.,/.,P
vous,vous,51
savez,savoir,17
ou,ou,82
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
",",",",p
que,que,83
monsieur,monsieur,21
Valsaci,Valsaci,20
",",",",p
le,le,71
frère,frère,21
de,de,81
ma,mon,73
pauvre,pauvre,30
mère,mère,22
",",",",p
l',le,71
ingénieur,ingénieur,21
en,en,81
chef,chef,21
des,de,81
des,le,71
ponts,pont,21
",",",",p
a,avoir,17
une,un,71
propriété,propriété,22
à,à,81
Avranches,Avranches,20
où,où,60
il,il,51
passe,passer,17
une,un,71
partie,partie,22
de,de,81
sa,son,73
vie,vie,22
avec,avec,81
sa,son,73
femme,femme,22
et,et,82
ses,son,73
enfants,enfant,21
",",",",p
car,car,82
il,il,51
exerce,exercer,17
là-bas,là-bas,60
sa,son,73
profession,profession,22
/.,/.,P
or,or,82
nous,nous,51
allons,aller,17
les,le,52
voir,voir,14
tous,tout,75
les,le,71
étés,été,21
/.,/.,P
cette,ce,74
année,année,22
",",",",p
je,je,51
ne,ne,60
voulais,vouloir,18
pas,pas,60
;,;,p
mais,mais,82
il,il,51
s',se,51
est,être,17
fâché,fâcher,12
et,et,82
il,il,51
a,avoir,17
fait,faire,12
à,à,81
papa,papa,21
une,un,71
scène,scène,22
pénible,pénible,30
/.,/.,P
à,à,81
ce,ce,74
propos,propos,21
",",",",p
je,je,51
vous,vous,51
confierai,confier,15
que,que,83
papa,papa,21
est,être,17
jaloux,jaloux,30
de,de,81
vous,vous,51
",",",",p
et,et,82
m',je,51
en,en,52
fait,faire,17
aussi,aussi,60
",",",",p
des,de,81
des,le,71
scènes,scène,22
",",",",p
en,en,81
