11441
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-quatrième extrait>,<>,<>
décidés,décidé,31
à,à,81
un,un,71
long,long,30
voyage,voyage,21
",",",",p
nous,nous,51
étions,être,18
venus,venir,12
à,à,81
Paris,Paris,20
;,;,p
les,le,71
préparatifs,préparatif,21
nécessaires,nécessaire,30
et,et,82
les,le,71
affaires,affaire,22
à,à,81
régler,régler,14
demandaient,demander,18
du,de,81
du,le,71
temps,temps,21
",",",",p
et,et,82
il,il,51
fallut,falloir,19
prendre,prendre,14
pour,pour,81
un,un,71
mois,mois,21
un,un,71
appartement,appartement,21
à,à,81
l',le,71
hôtel,hôtel,21
garni,garni,31
/.,/.,P
la,le,71
résolution,résolution,22
de,de,81
quitter,quitter,14
la,le,71
France,France,20
avait,avoir,18
tout,tout,52
fait,faire,12
changer,changer,14
de,de,81
face,face,22
;,;,p
la,le,71
joie,joie,22
",",",",p
l',le,71
espoir,espoir,21
",",",",p
la,le,71
confiance,confiance,22
",",",",p
tout,tout,52
était,être,18
revenu,revenir,12
à,à,81
la,le,71
fois,fois,22
;,;,p
plus,plus,60
de,de,81
chagrins,chagrin,21
",",",",p
plus,plus,60
de,de,81
querelles,querelle,22
devant,devant,81
la,le,71
pensée,pensée,22
du,de,81
du,le,71
départ,départ,21
prochain,prochain,30
/.,/.,P
il,il,51
ne,ne,60
s',se,51
agissait,agir,18
plus,plus,60
que,que,83
de,de,81
rêves,rêve,21
de,de,81
bonheur,bonheur,21
",",",",p
de,de,81
serments,serment,21
d',de,81
aimer,aimer,14
à,à,81
jamais,jamais,60
;,;,p
je,je,51
voulais,vouloir,18
enfin,enfin,60
pour,pour,81
tout,tout,60
de,de,81
bon,bon,21
faire,faire,14
oublier,oublier,14
à,à,81
ma,mon,73
chère,cher,30
maîtresse,maîtresse,22
tous,tout,75
les,le,71
maux,mal,21
qu',que,52
elle,il,51
avait,avoir,18
soufferts,souffrir,12
/.,/.,P
comment,comment,60
aurais,avoir,16
je,je,51
pu,pouvoir,12
résister,résister,14
à,à,81
tant,tant,60
de,de,81
preuves,preuve,22
d',de,81
une,un,71
affection,affection,22
si,si,60
tendre,tendre,30
et,et,82
à,à,81
une,un,71
résignation,résignation,22
si,si,60
courageuse,courageux,30
/?,/?,P
non,non,60
seulement,seulement,60
Brigitte,Brigitte,20
me,je,51
pardonnait,pardonner,18
",",",",p
mais,mais,82
elle,il,51
s',se,51
apprêtait,apprêter,18
à,à,81
me,je,51
faire,faire,14
le,le,71
plus,plus,60
grand,grand,30
sacrifice,sacrifice,21
et,et,82
à,à,81
tout,tout,52
quitter,quitter,14
pour,pour,81
me,je,51
suivre,suivre,14
/.,/.,P
autant,autant,60
je,je,51
me,je,51
sentais,sentir,18
indigne,indigne,30
du,de,81
du,le,71
dévouement,dévouement,21
qu',que,52
elle,il,51
me,je,51
témoignait,témoigner,18
",",",",p
autant,autant,60
je,je,51
voulais,vouloir,18
à,à,81
l',le,71
avenir,avenir,21
que,que,83
mon,mon,73
amour,amour,21
l',le,52
en,en,52
récompensât,récompenser,18
;,;,p
enfin,enfin,60
mon,mon,73
bon,bon,30
ange,ange,21
avait,avoir,18
triomphé,triompher,12
",",",",p
et,et,82
l',le,71
admiration,admiration,22
et,et,82
l',le,71
amour,amour,21
prenaient,prendre,18
le,le,71
dessus,dessus,21
dans,dans,81
mon,mon,73
coeur,coeur,21
/.,/.,P
inclinée,incliné,31
près,près,81
de,de,81
moi,moi,51
",",",",p
Brigitte,Brigitte,20
cherchait,chercher,18
sur,sur,81
la,le,71
carte,carte,22
le,le,71
lieu,lieu,21
où,où,60
nous,nous,51
allions,aller,18
nous,nous,51
ensevelir,ensevelir,14
;,;,p
nous,nous,51
ne,ne,60
l',le,52
avions,avoir,18
pas,pas,60
décidé,décider,12
encore,encore,60
",",",",p
et,et,82
nous,nous,51
trouvions,trouver,18
à,à,81
cette,ce,74
incertitude,incertitude,22
un,un,71
plaisir,plaisir,21
si,si,60
vif,vif,30
et,et,82
si,si,60
nouveau,nouveau,30
",",",",p
que,que,52
nous,nous,51
feignions,feindre,18
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
de,de,81
ne,ne,60
pouvoir,pouvoir,14
nous,nous,51
fixer,fixer,14
sur,sur,81
rien,rien,52
/.,/.,P
durant,durant,81
ces,ce,74
recherches,recherche,22
",",",",p
nos,notre,73
fronts,front,21
se,se,51
touchaient,toucher,18
",",",",p
mon,mon,73
bras,bras,21
entourait,entourer,18
la,le,71
taille,taille,22
de,de,81
Brigitte,Brigitte,20
/.,/.,P
-,-,p
où,où,60
irons,aller,15
nous,nous,51
?,?,p
que,que,52
ferons,faire,15
nous,nous,51
?,?,p
où,où,60
commencera,commencer,15
la,le,71
vie,vie,22
nouvelle,nouveau,30
/?,/?,P
comment,comment,60
dirai,dire,15
je,je,51
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
",",",",p
lorsqu',lorsque,83
au,à,81
au,le,71
milieu,milieu,21
de,de,81
tant,tant,60
d',de,81
espérances,espérance,22
je,je,51
relevais,relever,18
la,le,71
tête,tête,22
par,par,81
moments,moment,21
/?,/?,P
quel,quel,75
repentir,repentir,21
me,je,51
pénétrait,pénétrer,18
à,à,81
la,le,71
vue,vue,22
de,de,81
ce,ce,74
beau,beau,30
et,et,82
tranquille,tranquille,30
visage,visage,21
qui,qui,52
souriait,sourire,18
à,à,81
l',le,71
avenir,avenir,21
",",",",p
pâle,pâle,30
encore,encore,60
des,de,81
des,le,71
douleurs,douleur,22
du,de,81
du,le,71
passé,passé,21
/!,/!,P
lorsque,lorsque,83
je,je,51
la,le,52
tenais,tenir,18
ainsi,ainsi,60
et,et,82
que,que,83
son,son,73
doigt,doigt,21
errait,errer,18
sur,sur,81
la,le,71
carte,carte,22
",",",",p
tandis qu',tandis que,83
elle,il,51
parlait,parler,18
à,à,81
voix,voix,22
basse,bas,30
de,de,81
ses,son,73
affaires,affaire,22
qu',que,52
elle,il,51
disposait,disposer,18
",",",",p
de,de,81
ses,son,73
désirs,désir,21
",",",",p
de,de,81
notre,notre,73
retraite,retraite,22
future,futur,30
",",",",p
j',je,51
aurais,avoir,16
donné,donner,12
mon,mon,73
sang,sang,21
pour,pour,81
elle,il,51
/.,/.,P
projets,projet,21
de,de,81
bonheur,bonheur,21
",",",",p
vous,vous,51
êtes,être,17
peut-être,peut-être,60
le,le,71
seul,seul,30
bonheur,bonheur,21
véritable,véritable,30
ici-bas,ici-bas,60
/!,/!,P
il,il,51
y,y,52
avait,avoir,18
huit,huit,72
jours,jour,21
environ,environ,60
que,que,83
notre,notre,73
temps,temps,21
se,se,51
passait,passer,18
en,en,81
courses,course,22
et,et,82
en,en,81
emplettes,emplette,22
",",",",p
lorsqu',lorsque,83
un,un,71
jeune,jeune,30
homme,homme,21
se,se,51
présenta,présenter,19
chez,chez,81
nous,nous,51
;,;,p
il,il,51
apportait,apporter,18
des,de,81
des,le,71
lettres,lettre,22
à,à,81
Brigitte,Brigitte,20
/.,/.,P
après,après,81
l',le,71
entretien,entretien,21
qu',que,52
il,il,51
eut,avoir,19
avec,avec,81
elle,il,51
",",",",p
je,je,51
la,le,52
trouvai,trouver,19
triste,triste,30
et,et,82
abattue,abattu,31
;,;,p
mais,mais,82
je,je,51
n',ne,60
en,en,52
pus,pouvoir,19
savoir,savoir,14
autre,autre,75
chose,chose,22
sinon,sinon,83
que,que,83
les,le,71
lettres,lettre,22
étaient,être,18
de,de,81
N,N,20
",",",",p
cette,ce,74
même,même,75
ville,ville,22
où,où,60
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
j',je,51
avais,avoir,18
parlé,parler,12
de,de,81
mon,mon,73
amour,amour,21
",",",",p
et,et,82
où,où,60
demeuraient,demeurer,18
les,le,71
seuls,seul,30
parents,parent,21
que,que,52
Brigitte,Brigitte,20
eût,avoir,19
encore,encore,60
/.,/.,P
cependant,cependant,82
nos,notre,73
préparatifs,préparatif,21
se,se,51
faisaient,faire,18
rapidement,rapidement,60
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
place,place,22
dans,dans,81
mon,mon,73
coeur,coeur,21
que,que,83
pour,pour,81
l',le,71
impatience,impatience,22
du,de,81
du,le,71
départ,départ,21
;,;,p
en,en,81
même,même,75
temps,temps,21
la,le,71
joie,joie,22
que,que,52
j',je,51
éprouvais,éprouver,18
me,je,51
laissait,laisser,18
à,à,81
peine,peine,22
un,un,71
instant,instant,21
de,de,81
repos,repos,21
/.,/.,P
quand,quand,83
je,je,51
me,je,51
levais,lever,18
le,le,71
matin,matin,21
et,et,82
que,que,83
le,le,71
soleil,soleil,21
éclairait,éclairer,18
nos,notre,73
croisées,croisée,22
",",",",p
je,je,51
me,je,51
sentais,sentir,18
de,de,81
tels,tel,75
transports,transport,21
que,que,83
j',je,51
en,en,52
étais,être,18
comme,comme,83
enivré,enivrer,12
;,;,p
j',je,51
entrais,entrer,18
alors,alors,60
sur,sur,81
la,le,71
pointe,pointe,22
du,de,81
du,le,71
pied,pied,21
dans,dans,81
la,le,71
