11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-cinquième extrait>,<>,<>
en,en,81
quittant,quitter,13
sir,sir,92
Ralph,Ralph,20
",",",",p
madame,madame,22
Delmare,Delmare,20
s',se,51
était,être,18
enfermée,enfermer,12
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
et,et,82
mille,mille,72
pensées,pensée,22
orageuses,orageux,30
s',se,51
étaient,être,18
élevées,élever,12
dans,dans,81
son,son,73
âme,âme,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
première,premier,72
fois,fois,22
qu',que,83
un,un,71
soupçon,soupçon,21
vague,vague,30
jetait,jeter,18
ses,son,73
clartés,clarté,22
sinistres,sinistre,30
sur,sur,81
le,le,71
frêle,frêle,30
édifice,édifice,21
de,de,81
son,son,73
bonheur,bonheur,21
/.,/.,P
déjà,déjà,60
monsieur,monsieur,21
Delmare,Delmare,20
avait,avoir,18
",",",",p
dans,dans,81
la,le,71
conversation,conversation,22
",",",",p
laissé,laisser,12
échapper,échapper,14
quelques-unes,quelqu'un,52
de,de,81
ces,ce,74
indélicates,indélicat,30
plaisanteries,plaisanterie,22
qui,qui,52
passent,passer,17
pour,pour,81
des,de,81
des,le,71
compliments,compliment,21
/.,/.,P
il,il,51
avait,avoir,18
félicité,féliciter,12
Raymon,Raymon,20
de,de,81
ses,son,73
succès,succès,21
chevaleresques,chevaleresque,30
de,de,81
manière,manière,22
à,à,81
mettre,mettre,14
presque,presque,60
sur,sur,81
la,le,71
voie,voie,22
les,le,71
oreilles,oreille,22
étrangères,étranger,30
à,à,81
cette,ce,74
aventure,aventure,22
/.,/.,P
chaque,chaque,75
fois,fois,22
que,que,52
madame,madame,22
Delmare,Delmare,20
avait,avoir,18
adressé,adresser,12
la,le,71
parole,parole,22
au,à,81
au,le,71
jardinier,jardinier,21
",",",",p
le,le,71
nom,nom,21
de,de,81
Noun,Noun,20
était,être,18
venu,venir,12
",",",",p
comme,comme,83
une,un,71
fatale,fatal,30
nécessité,nécessité,31
",",",",p
se,se,51
placer,placer,14
dans,dans,81
les,le,71
détails,détail,21
lus,lu,31
plus,plus,60
indifférents,indifférent,30
",",",",p
et,et,82
puis,puis,60
celui,celui,52
de,de,81
monsieur,monsieur,21
de,de,81
Ramière,Ramière,20
s',se,51
y,y,52
était,être,18
glissé,glisser,12
aussi,aussi,60
par,par,81
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
enchaînement,enchaînement,21
d',de,81
idées,idée,22
qui,qui,52
semblaient,sembler,18
s',se,51
être,être,14
emparées,emparer,12
de,de,81
la,le,71
tête,tête,22
de,de,81
cet,ce,74
homme,homme,21
et,et,82
l',le,52
obséder,obséder,14
malgré,malgré,81
lui,lui,51
/.,/.,P
madame,madame,22
Delmare,Delmare,20
avait,avoir,18
été,être,12
