11847
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-neuvième extrait>,<>,<>
le,le,71
samedi,samedi,21
suivant,suivant,30
",",",",p
Coupeau,Coupeau,20
",",",",p
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
rentré,rentrer,12
dîner,dîner,14
",",",",p
amena,amener,19
Lantier,Lantier,20
vers,vers,81
dix,dix,72
heures,heure,22
/.,/.,P
ils,ils,51
avaient,avoir,18
mangé,manger,12
ensemble,ensemble,60
des,de,81
des,le,71
pieds,pied,21
de,de,81
mouton,mouton,21
",",",",p
chez,chez,81
Thomas,Thomas,20
",",",",p
à,à,81
Montmartre,Montmartre,20
/.,/.,P
-,-,p
faut,falloir,17
pas,pas,60
gronder,gronder,14
",",",",p
la,le,71
bourgeoise,bourgeoise,22
",",",",p
dit,dire,19
le,le,71
zingueur,zingueur,21
/.,/.,P
nous,nous,51
sommes,être,17
sages,sage,30
",",",",p
tu,tu,51
vois,voir,17
/…,/…,P
oh,oh,93
!,!,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
danger,danger,21
avec,avec,81
lui,lui,51
;,;,p
il,il,51
vous,vous,51
met,mettre,17
droit,droit,60
dans,dans,81
le,le,71
bon,bon,30
chemin,chemin,21
/.,/.,P
et,et,82
il,il,51
raconta,raconter,19
comment,comment,60
ils,ils,51
s',se,51
étaient,être,18
rencontrés,rencontrer,12
rue,rue,22
Rochechouart,Rochechouart,20
/.,/.,P
après,après,81
le,le,71
dîner,dîner,21
",",",",p
Lantier,Lantier,20
avait,avoir,18
refusé,refuser,12
une,un,71
consommation,consommation,22
au,à,81
au,le,71
café,café,21
de,de,81
la,le,71
boule,boule,22
noire,noir,30
",",",",p
en,en,81
disant,dire,13
que,que,83
",",",",p
lorsqu',lorsque,83
on,on,51
était,être,18
marié,marier,12
avec,avec,81
une,un,71
femme,femme,22
gentille,gentil,30
et,et,82
honnête,honnête,30
",",",",p
on,on,51
ne,ne,60
devait,devoir,18
pas,pas,60
gouaper,gouaper,14
dans,dans,81
tous,tout,75
les,le,71
bastringues,bastringue,21
/.,/.,P
Gervaise,Gervaise,20
écoutait,écouter,18
avec,avec,81
un,un,71
petit,petit,30
sourire,sourire,21
/.,/.,P
bien,bien,60
sûr,sûr,30
",",",",p
non,non,60
",",",",p
elle,il,51
ne,ne,60
songeait,songer,18
pas,pas,60
à,à,81
gronder,gronder,14
;,;,p
elle,il,51
se,se,51
sentait,sentir,18
trop,trop,60
gênée,gêné,31
/.,/.,P
depuis,depuis,81
la,le,71
fête,fête,22
",",",",p
elle,il,51
s',se,51
attendait,attendre,18
bien,bien,60
à,à,81
revoir,revoir,14
son,son,73
ancien,ancien,30
amant,amant,21
un,un,71
jour,jour,21
ou,ou,82
l',le,71
autre,autre,52
;,;,p
mais,mais,82
",",",",p
à,à,81
pareille,pareil,30
heure,heure,22
",",",",p
au,à,81
au,le,71
moment,moment,21
de,de,81
se,se,51
mettre,mettre,14
au,à,81
au,le,71
lit,lit,21
