<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquantième extrait>,<>,<>
César,César,20
aux,à,81
aux,le,71
prises,prise,22
avec,avec,81
le,le,71
malheur,malheur,21
/.,/.,P
huit,huit,72
jours,jour,21
après,après,81
cette,ce,74
fête,fête,22
",",",",p
dernière,dernier,30
flammèche,flammèche,22
du,de,81
du,le,71
feu,feu,21
de,de,81
paille,paille,22
d',de,81
une,un,71
prospérité,prospérité,22
de,de,81
dix,dix,72
huit,huit,72
années,année,22
près,près,81
de,de,81
s',se,51
éteindre,éteindre,14
",",",",p
César,César,20
regardait,regarder,18
les,le,71
passants,passant,21
",",",",p
à,à,81
travers,travers,21
les,le,71
glaces,glace,22
de,de,81
sa,son,73
boutique,boutique,22
",",",",p
en,en,81
songeant,songer,13
à,à,81
l',le,71
étendue,étendue,22
de,de,81
ses,son,73
affaires,affaire,22
qu',que,52
il,il,51
trouvait,trouver,18
lourdes,lourd,30
/!,/!,P
jusqu',jusque,81
alors,alors,60
tout,tout,52
avait,avoir,18
été,être,12
simple,simple,30
dans,dans,81
sa,son,73
vie,vie,22
:,:,p
il,il,51
fabriquait,fabriquer,18
et,et,82
vendait,vendre,18
",",",",p
ou,ou,82
achetait,acheter,18
pour,pour,81
revendre,revendre,14
/.,/.,P
aujourd'hui,aujourd'hui,60
l',le,71
affaire,affaire,22
des,de,81
des,le,71
terrains,terrain,21
",",",",p
son,son,73
intérêt,intérêt,21
dans,dans,81
la,le,71
maison,maison,22
A.,A,20
Popinot,Popinot,20
et,et,82
compagnie,compagnie,22
",",",",p
le,le,71
remboursement,remboursement,21
de,de,81
cent,cent,72
soixante,soixante,72
mille,mille,72
francs,franc,21
jetés,jeté,31
sur,sur,81
la,le,71
place,place,22
",",",",p
et,et,82
qui,qui,52
allaient,aller,18
nécessiter,nécessiter,14
ou,ou,82
des,de,81
des,le,71
trafics,trafic,21
d',de,81
effets,effet,21
qui,qui,52
déplairaient,déplaire,16
à,à,81
sa,son,73
femme,femme,22
",",",",p
ou,ou,82
des,de,81
des,le,71
succès,succès,21
inouïs,inouï,30
chez,chez,81
Popinot,Popinot,20
",",",",p
effrayaient,effrayer,18
ce,ce,74
pauvre,pauvre,30
homme,homme,21
par,par,81
la,le,71
multiplicité,multiplicité,22
des,de,81
des,le,71
idées,idée,22
",",",",p
il,il,51
se,se,51
sentait,sentir,18
dans,dans,81
la,le,71
main,main,22
plus,plus,60
de,de,81
pelotons,peloton,21
de,de,81
fil,fil,21
qu',que,83
il,il,51
n',ne,60
en,en,52
pouvait,pouvoir,18
tenir,tenir,14
/.,/.,P
comment,comment,60
Anselme,Anselme,20
gouvernerait,gouverner,16
il,il,51
sa,son,73
barque,barque,22
/?,/?,P
