11714
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante et unième extrait>,<>,<>
la,le,71
voix,voix,22
",",",",p
qui,qui,52
ne,ne,60
fit,faire,19
plus,plus,60
entendre,entendre,14
que,que,83
des,de,81
des,le,71
sons,son,21
inarticulés,inarticulé,30
/.,/.,P
“,“,p
ils,ils,51
la,le,52
bâillonnent,bâillonner,17
",",",",p
ils,ils,51
vont,aller,17
l',le,52
entraîner,entraîner,14
",",",",p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
en,en,81
se,se,51
redressant,redresser,13
comme,comme,83
par,par,81
un,un,71
ressort,ressort,21
/.,/.,P
mon,mon,73
épée,épée,22
;,;,p
bon,bon,60
",",",",p
elle,il,51
est,être,17
à,à,81
mon,mon,73
côté,côté,21
/.,/.,P
Planchet,Planchet,20
/!,/!,P
monsieur,monsieur,21
/?,/?,P
cours,courir,17
chercher,chercher,14
Athos,Athos,20
",",",",p
Porthos,Porthos,20
et,et,82
Aramis,Aramis,20
/.,/.,P
l',le,71
un,un,52
des,de,81
des,le,71
trois,trois,72
sera,être,15
sûrement,sûrement,60
chez,chez,81
lui,lui,51
",",",",p
peut-être,peut-être,60
tous,tout,75
les,le,71
trois,trois,72
seront,être,15
ils,ils,51
rentrés,rentrer,12
/.,/.,P
que,que,52
ils,ils,51
prennent,prendre,17
des,de,81
des,le,71
armes,arme,22
",",",",p
qu',que,52
ils,ils,51
viennent,venir,17
",",",",p
qu',que,52
ils,ils,51
accourent,accourir,17
/.,/.,P
ah,ah,93
!,!,p
je,je,51
me,je,51
souviens,souvenir,17
",",",",p
Athos,Athos,20
est,être,17
chez,chez,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
/.,/.,P
-,-,p
mais,mais,82
où,où,60
allez,aller,17
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
où,où,60
allez,aller,17
vous,vous,51
/?,/?,P
je,je,51
descends,descendre,17
par,par,81
la,le,71
fenêtre,fenêtre,22
",",",",p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
",",",",p
afin,afin,81
d',de,81
être,être,14
plus,plus,60
tôt,tôt,60
arrivé,arriver,12
;,;,p
toi,toi,51
",",",",p
remets,remettre,17
les,le,71
carreaux,carreau,21
",",",",p
balaie,balayer,17
le,le,71
plancher,plancher,21
",",",",p
sors,sortir,17
par,par,81
la,le,71
porte,porte,22
et,et,82
cours,courir,17
où,où,60
je,je,51
te,tu,51
dis,dire,17
/.,/.,P
-,-,p
oh,oh,93
!,!,p
monsieur,monsieur,21
",",",",p
monsieur,monsieur,21
",",",",p
vous,vous,51
allez,aller,17
vous,vous,51
tuer,tuer,14
",",",",p
s',se,51
écria,écrier,19
Planchet,Planchet,20
/.,/.,P
-,-,p
tais,taire,17
toi,toi,51
",",",",p
imbécile,imbécile,30
“,“,p
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
et,et,82
s',se,51
accrochant,accrocher,13
de,de,81
la,le,71
main,main,22
au,à,81
au,le,71
rebord,rebord,21
de,de,81
sa,son,73
fenêtre,fenêtre,22
",",",",p
il,il,51
se,se,51
laissa,laisser,19
tomber,tomber,14
du,de,81
du,le,71
premier,premier,72
étage,étage,21
",",",",p
qui,qui,52
heureusement,heureusement,60
n',ne,60
était,être,18
pas,pas,60
élevé,élever,12
",",",",p
sans,sans,81
