11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-quatrième extrait>,<>,<>
le,le,71
noir,noir,30
bonheur,bonheur,21
du,de,81
du,le,71
sommeil,sommeil,21
",",",",p
d',de,81
un,un,71
sommeil,sommeil,21
sans,sans,81
mémoire,mémoire,22
et,et,82
sans,sans,81
rêve,rêve,21
",",",",p
d',de,81
un,un,71
sommeil,sommeil,21
de,de,81
plomb,plomb,21
tombant,tombant,30
sur,sur,81
elle,il,51
comme,comme,83
un,un,71
coup,coup,21
d',de,81
assommoir,assommoir,21
sur,sur,81
la,le,71
tête,tête,22
d',de,81
un,un,71
boeuf,boeuf,21
:,:,p
et,et,82
elle,il,51
le,le,52
trouvait,trouver,18
dans,dans,81
ces,ce,74
liqueurs,liqueur,22
mêlées,mêlé,31
qui,qui,52
la,le,52
foudroyaient,foudroyer,18
et,et,82
lui,lui,51
couchaient,coucher,18
la,le,71
face,face,22
sur,sur,81
la,le,71
toile,toile,22
cirée,ciré,31
de,de,81
la,le,71
table,table,22
de,de,81
cuisine,cuisine,22
/.,/.,P
dormir,dormir,14
de,de,81
ce,ce,74
sommeil,sommeil,21
écrasant,écrasant,30
",",",",p
rouler,rouler,14
",",",",p
le,le,71
jour,jour,21
",",",",p
dans,dans,81
cette,ce,74
nuit,nuit,22
",",",",p
cela,cela,52
était,être,18
devenu,devenir,12
pour,pour,81
elle,il,51
comme,comme,83
la,le,71
trêve,trêve,22
et,et,82
la,le,71
délivrance,délivrance,22
d',de,81
une,un,71
existence,existence,22
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
le,le,71
courage,courage,21
de,de,81
continuer,continuer,14
ni,ni,82
de,de,81
finir,finir,14
/.,/.,P
un,un,71
immense,immense,30
besoin,besoin,21
de,de,81
néant,néant,21
",",",",p
c',ce,52
était,être,18
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
éprouvait,éprouver,18
dans,dans,81
l',le,71
éveil,éveil,21
/.,/.,P
les,le,71
heures,heure,22
de,de,81
sa,son,73
vie,vie,22
qu',que,52
elle,il,51
vivait,vivre,18
de,de,81
sang-froid,sang-froid,21
",",",",p
en,en,81
se,se,51
voyant,voir,13
elle-même,lui-même,51
",",",",p
en,en,81
regardant,regarder,13
dans,dans,81
sa,son,73
conscience,conscience,22
",",",",p
en,en,81
assistant,assister,13
à,à,81
ces,ce,74
hontes,honte,22
",",",",p
lui,lui,51
semblaient,sembler,18
si,si,60
abominables,abominable,30
/!,/!,P
elle,il,51
aimait,aimer,18
mieux,mieux,60
les,le,52
mourir,mourir,14
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
que,que,83
le,le,71
sommeil,sommeil,21
au,à,81
au,le,71
monde,monde,21
pour,pour,81
lui,lui,51
faire,faire,14
tout,tout,52
oublier,oublier,14
",",",",p
le,le,71
sommeil,sommeil,21
congestionné,congestionné,31
de,de,81
l',le,71
Ivrognerie,Ivrognerie,20
qui,qui,52
berce,bercer,17
avec,avec,81
les,le,71
bras,bras,21
de,de,81
la,le,71
mort,mort,22
/.,/.,P
là,là,60
",",",",p
dans,dans,81
ce,ce,74
verre,verre,21
",",",",p
qu',que,52
elle,il,51
se,se,51
forçait,forcer,18
à,à,81
boire,boire,14
et,et,82
qu',que,52
elle,il,51
vidait,vider,18
avec,avec,81
frénésie,frénésie,22
",",",",p
ses,son,73
souffrances,souffrance,22
",",",",p
ses,son,73
douleurs,douleur,22
",",",",p
tout,tout,75
son,son,73
horrible,horrible,30
présent,présent,21
allait,aller,18
se,se,51
noyer,noyer,14
",",",",p
disparaître,disparaître,14
/.,/.,P
dans,dans,81
une,un,71
demi-heure,demi-heure,22
",",",",p
sa,son,73
pensée,pensée,22
ne,ne,60
penserait,penser,16
plus,plus,60
",",",",p
sa,son,73
vie,vie,22
n',ne,60
existerait,exister,16
plus,plus,60
;,;,p
rien,rien,52
d',de,81
elle,il,51
ne,ne,60
serait,être,16
plus,plus,60
pour,pour,81
elle,il,51
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
plus,plus,60
même,même,60
de,de,81
temps,temps,21
à,à,81
côté,côté,21
d',de,81
elle,il,51
/.,/.,P
“,“,p
je,je,51
bois,boire,17
mes,mon,73
embêtements,embêtement,21
",",",",p
“,“,p
avait,avoir,18
elle,il,51
répondu,répondre,12
à,à,81
une,un,71
