11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
un,un,71
matin,matin,21
radieux,radieux,30
éclairait,éclairer,18
la,le,71
ville,ville,22
/.,/.,P
Mariolle,Mariolle,20
monta,monter,19
dans,dans,81
la,le,71
voiture,voiture,22
qui,qui,52
l',le,52
attendait,attendre,18
devant,devant,81
sa,son,73
porte,porte,22
",",",",p
avec,avec,81
un,un,71
sac,sac,21
de,de,81
voyage,voyage,21
et,et,82
deux,deux,72
malles,malle,22
dans,dans,81
la,le,71
galerie,galerie,22
/.,/.,P
il,il,51
avait,avoir,18
fait,faire,12
préparer,préparer,14
",",",",p
la,le,71
nuit,nuit,22
même,même,30
par,par,81
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
",",",",p
le,le,71
linge,linge,21
et,et,82
les,le,71
objets,objet,21
nécessaires,nécessaire,30
pour,pour,81
une,un,71
longue,long,30
absence,absence,22
",",",",p
et,et,82
il,il,51
s',se,51
en,en,52
allait,aller,18
en,en,81
donnant,donner,13
pour,pour,81
adresse,adresse,22
provisoire,provisoire,30
:,:,p
“,“,p
Fontainebleau,Fontainebleau,20
",",",",p
poste,poste,22
restante,restant,30
“,“,p
/.,/.,P
il,il,51
n',ne,60
emmenait,emmener,18
personne,personne,52
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
voir,voir,14
une,un,71
figure,figure,22
qui,qui,52
lui,lui,51
rappelât,rappeler,18
Paris,Paris,20
",",",",p
ne,ne,60
voulant,vouloir,13
plus,plus,60
entendre,entendre,14
une,un,71
voix,voix,22
entendue,entendu,31
déjà,déjà,60
pendant,pendant,81
qu',que,83
il,il,51
songeait,songer,18
à,à,81
certaines,certain,75
choses,chose,22
/.,/.,P
il,il,51
cria,crier,19
au,à,81
au,le,71
cocher,cocher,21
:,:,p
“,“,p
gare,gare,22
de,de,81
Lyon,Lyon,20
/!,/!,P
le,le,71
fiacre,fiacre,21
se,se,51
mit,mettre,19
en,en,81
marche,marche,22
/.,/.,P
alors,alors,60
il,il,51
pensa,penser,19
à,à,81
cet,ce,74
autre,autre,75
départ,départ,21
pour,pour,81
le,le,71
Mont Saint-Michel,Mont Saint-Michel,20
",",",",p
au,à,81
au,le,71
printemps,printemps,21
passé,passé,31
/.,/.,P
il,il,51
y,y,52
aurait,avoir,16
un,un,71
an,an,21
dans,dans,81
trois,trois,72
mois,mois,21
/.,/.,P
puis,puis,60
",",",",p
pour,pour,81
oublier,oublier,14
cela,cela,52
",",",",p
il,il,51
regarda,regarder,19
la,le,71
rue,rue,22
/.,/.,P
la,le,71
voiture,voiture,22
déboucha,déboucher,19
dans,dans,81
l',le,71
avenue,avenue,22
des,de,81
des,le,71
Champs-Elysées,Champs-Elysées,20
",",",",p
que,que,52
baignait,baigner,18
une,un,71
ondée,ondée,22
de,de,81
soleil,soleil,21
printanier,printanier,30
/.,/.,P
les,le,71
feuilles,feuille,22
vertes,vert,30
",",",",p
désemprisonnées,désemprisonné,31
déjà,déjà,60
par,par,81
les,le,71
premières,premier,72
chaleurs,chaleur,22
des,de,81
des,le,71
autres,autre,75
semaines,semaine,22
",",",",p
à,à,81
peine,peine,22
arrêtées,arrêté,31
par,par,81
les,le,71
deux,deux,72
derniers,dernier,30
jours,jour,21
de,de,81
grêle,grêle,22
et,et,82
de,de,81
froid,froid,21
",",",",p
semblaient,sembler,18
épandre,épandre,14
",",",",p
tant,tant,60
elles,ils,51
s',se,51
ouvraient,ouvrir,18
vite,vite,60
",",",",p
par,par,81
cette,ce,74
matinée,matinée,22
lumineuse,lumineux,30
",",",",p
une,un,71
odeur,odeur,22
de,de,81
verdure,verdure,22
fraîche,frais,30
et,et,82
de,de,81
sève,sève,22
évaporée,évaporé,31
dans,dans,81
la,le,71
délivrance,délivrance,22
des,de,81
des,le,71
branches,branche,22
futures,futur,30
/.,/.,P
c',ce,52
était,être,18
un,un,52
de,de,81
ces,ce,74
matins,matin,21
d',de,81
éclosion,éclosion,22
où,où,60
on,on,51
sent,sentir,17
que,que,83
",",",",p
dans,dans,81
les,le,71
jardins,jardin,21
publics,public,30
et,et,82
tout,tout,75
le,le,71
long,long,21
des,de,81
des,le,71
avenues,avenue,22
",",",",p
les,le,71
marronniers,marronnier,21
ronds,rond,30
vont,aller,17
fleurir,fleurir,14
en,en,81
un,un,71
jour,jour,21
à,à,81
travers,travers,21
Paris,Paris,20
",",",",p
comme,comme,83
des,de,81
des,le,71
lustres,lustre,21
qui,qui,52
s',se,51
allument,allumer,17
/.,/.,P
la,le,71
vie,vie,22
de,de,81
la,le,71
terre,terre,22
naissait,naître,18
pour,pour,81
un,un,71
été,été,21
",",",",p
et,et,82
