11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
cet,ce,74
hiver,hiver,21
là,là,60
",",",",p
maman,maman,22
Coupeau,Coupeau,20
faillit,faillir,19
passer,passer,14
",",",",p
dans,dans,81
une,un,71
crise,crise,22
d',de,81
étouffement,étouffement,21
/.,/.,P
chaque,chaque,75
année,année,22
",",",",p
au,à,81
au,le,71
mois,mois,21
de,de,81
décembre,décembre,21
",",",",p
elle,il,51
était,être,18
sûre,sûr,30
que,que,83
son,son,73
asthme,asthme,21
la,le,52
collait,coller,18
sur,sur,81
le,le,71
dos,dos,21
pour,pour,81
des,de,81
des,le,71
deux,deux,72
et,et,82
trois,trois,72
semaines,semaine,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
quinze,quinze,72
ans,an,21
",",",",p
elle,il,51
devait,devoir,18
en,en,52
avoir,avoir,14
soixante,soixante,72
treize,treize,72
à,à,81
la,le,71
Saint-Antoine,Saint Antoine,20
/.,/.,P
avec,avec,81
ça,ça,52
",",",",p
très,très,60
patraque,patraque,30
",",",",p
râlant,râler,13
pour,pour,81
un,un,71
rien,rien,21
",",",",p
quoique,quoique,83
grosse,gros,30
et,et,82
grasse,gras,30
/.,/.,P
le,le,71
médecin,médecin,21
annonçait,annoncer,18
qu',que,83
elle,il,51
s',se,51
en,en,52
irait,aller,16
en,en,81
toussant,tousser,13
",",",",p
le,le,71
temps,temps,21
de,de,81
crier,crier,14
:,:,p
bonsoir,bonsoir,21
",",",",p
Jeanneton,Jeanneton,20
",",",",p
la,le,71
chandelle,chandelle,22
est,être,17
éteinte,éteindre,12
/!,/!,P
quand,quand,83
elle,il,51
était,être,18
dans,dans,81
son,son,73
lit,lit,21
",",",",p
maman,maman,22
Coupeau,Coupeau,20
devenait,devenir,18
mauvaise,mauvais,30
comme,comme,83
la,le,71
gale,gale,22
/.,/.,P
il,il,51
faut,falloir,17
dire,dire,14
que,que,83
le,le,71
cabinet,cabinet,21
où,où,60
elle,il,51
